time	M	P	EmptySet
0.0	1e-15	1e-15	0.0
1.0	1.0207201171699709e-15	1.8653487384467676e-15	0.0
2.0	9.776903307526927e-16	2.711241115895757e-15	0.0
3.0	9.346605443354145e-16	3.557133493344746e-15	0.0
4.0	9.08634817958359e-16	4.397048991425694e-15	0.0
5.0	9.413534570529781e-16	5.216316009958485e-15	0.0
6.0	9.740720961475975e-16	6.035583028491279e-15	0.0
7.0	1.0067907352422168e-15	6.8548500470240725e-15	0.0
8.0	1.039509374336836e-15	7.674117065556863e-15	0.0
9.0	1.072228013431455e-15	8.493384084089654e-15	0.0
10.0	1.1049466525260744e-15	9.312651102622448e-15	0.0
11.0	1.1376652916206937e-15	1.0131918121155238e-14	0.0
12.0	1.1703839307153126e-15	1.095118513968803e-14	0.0
13.0	1.203102569809932e-15	1.1770452158220823e-14	0.0
14.0	1.2358212089045513e-15	1.2589719176753616e-14	0.0
15.0	1.2685398479991704e-15	1.3408986195286407e-14	0.0
16.0	1.3012584870937893e-15	1.4228253213819198e-14	0.0
17.0	1.3339771261884089e-15	1.504752023235199e-14	0.0
18.0	1.3666957652830282e-15	1.5866787250884785e-14	0.0
19.0	1.3994144043776471e-15	1.6686054269417573e-14	0.0
20.0	1.4321330434722664e-15	1.7505321287950367e-14	0.0
21.0	1.4648516825668858e-15	1.8324588306483157e-14	0.0
22.0	1.4975703216615049e-15	1.914385532501595e-14	0.0
23.0	1.530288960756124e-15	1.9963122343548745e-14	0.0
24.0	1.5630075998507431e-15	2.0782389362081535e-14	0.0
25.0	1.5957262389453625e-15	2.1601656380614326e-14	0.0
26.0	1.6284448780399816e-15	2.242092339914712e-14	0.0
27.0	1.661163517134601e-15	2.324019041767991e-14	0.0
28.0	1.6938821562292203e-15	2.4059457436212704e-14	0.0
29.0	1.7266007953238392e-15	2.4878724454745495e-14	0.0
30.0	1.7593194344184585e-15	2.569799147327829e-14	0.0
31.0	1.792038073513078e-15	2.651725849181108e-14	0.0
32.0	1.824756712607697e-15	2.733652551034387e-14	0.0
33.0	1.857475351702316e-15	2.8155792528876664e-14	0.0
34.0	1.8901939907969354e-15	2.897505954740946e-14	0.0
35.0	1.9229126298915547e-15	2.9794326565942245e-14	0.0
36.0	1.9556312689861737e-15	3.061359358447504e-14	0.0
37.0	1.988349908080793e-15	3.143286060300783e-14	0.0
38.0	2.0210685471754123e-15	3.225212762154062e-14	0.0
39.0	1.2987516316092042e-16	3.387587072768695e-14	0.0
40.0	-1.970606367455999e-15	3.5587126832005737e-14	0.0
41.0	-4.0710878980729186e-15	3.7298382936324634e-14	0.0
42.0	-6.171569428689838e-15	3.9009639040643424e-14	0.0
43.0	-8.272050959306758e-15	4.0720895144962316e-14	0.0
44.0	-1.0372532489923677e-14	4.243215124928121e-14	0.0
45.0	-1.2473014020540596e-14	4.4143407353600003e-14	0.0
46.0	-1.4573495551157516e-14	4.585466345791879e-14	0.0
47.0	-1.6673977081774435e-14	4.756591956223768e-14	0.0
48.0	-1.8774458612391355e-14	4.927717566655647e-14	0.0
49.0	-2.0874940143008173e-14	5.098843177087536e-14	0.0
50.0	-2.2975421673625194e-14	5.269968787519425e-14	0.0
51.0	-2.507590320424211e-14	5.441094397951304e-14	0.0
52.0	-2.7176384734859033e-14	5.612220008383183e-14	0.0
53.0	-2.927686626547595e-14	5.783345618815072e-14	0.0
54.0	-3.137734779609277e-14	5.954471229246951e-14	0.0
55.0	-3.347782932670969e-14	6.12559683967884e-14	0.0
56.0	-3.557831085732671e-14	6.29672245011073e-14	0.0
57.0	-3.7678792387943637e-14	6.467848060542607e-14	0.0
58.0	-3.9779273918560455e-14	6.638973670974488e-14	0.0
59.0	-4.187975544917737e-14	6.810099281406377e-14	0.0
60.0	-4.398023697979429e-14	6.981224891838256e-14	0.0
61.0	-4.608071851041121e-14	7.152350502270135e-14	0.0
62.0	-4.8181200041028127e-14	7.323476112702034e-14	0.0
63.0	-5.0281681571645046e-14	7.494601723133913e-14	0.0
64.0	-5.2382163102261966e-14	7.665727333565792e-14	0.0
65.0	-5.4482644632878885e-14	7.836852943997681e-14	0.0
66.0	-5.6583126163495805e-14	8.007978554429559e-14	0.0
67.0	-5.868360769411272e-14	8.179104164861449e-14	0.0
68.0	-6.078408922472964e-14	8.350229775293328e-14	0.0
69.0	-6.288457075534656e-14	8.521355385725217e-14	0.0
70.0	-6.498505228596348e-14	8.692480996157096e-14	0.0
71.0	-6.70855338165804e-14	8.863606606588986e-14	0.0
72.0	-6.918601534719722e-14	9.034732217020865e-14	0.0
73.0	-7.128649687781424e-14	9.205857827452754e-14	0.0
74.0	-7.338697840843117e-14	9.376983437884633e-14	0.0
75.0	-7.548745993904808e-14	9.548109048316523e-14	0.0
76.0	-7.7587941469665e-14	9.719234658748401e-14	0.0
77.0	-7.968842300028182e-14	9.89036026918029e-14	0.0
78.0	-8.178890453089874e-14	1.0061485879612169e-13	0.0
79.0	-8.388938606151576e-14	1.0232611490044058e-13	0.0
80.0	-8.598986759213268e-14	1.0403737100475937e-13	0.0
81.0	-8.80903491227495e-14	1.0574862710907826e-13	0.0
82.0	-9.019083065336642e-14	1.0745988321339705e-13	0.0
83.0	-9.229131218398334e-14	1.0917113931771594e-13	0.0
84.0	-9.439179371460024e-14	1.1088239542203475e-13	0.0
85.0	-9.649227524521727e-14	1.1259365152635361e-13	0.0
86.0	-9.859275677583409e-14	1.1430490763067242e-13	0.0
87.0	-1.0069323830645101e-13	1.160161637349913e-13	0.0
88.0	-1.0279371983706793e-13	1.177274198393101e-13	0.0
89.0	-1.0489420136768485e-13	1.19438675943629e-13	0.0
90.0	-1.0699468289830177e-13	1.2114993204794778e-13	0.0
91.0	-1.0909516442891869e-13	1.2286118815226667e-13	0.0
92.0	-1.1119564595953561e-13	1.2457244425658546e-13	0.0
93.0	-1.1329612749015252e-13	1.2628370036090435e-13	0.0
94.0	-1.1539660902076945e-13	1.2799495646522314e-13	0.0
95.0	-1.1749709055138637e-13	1.2970621256954203e-13	0.0
96.0	-1.195975720820033e-13	1.3141746867386092e-13	0.0
97.0	-1.216980536126202e-13	1.3312872477817972e-13	0.0
98.0	-1.2379853514323713e-13	1.3483998088249853e-13	0.0
99.0	-1.2589901667385405e-13	1.3655123698681737e-13	0.0
100.0	-1.2799949820447087e-13	1.3826249309113619e-13	0.0
