time	Pancreatic_cancer_cells__C	Pancreatic_stellate_cells__P	CD8__T_cells__T	NK_cells__N	helper_T_cells__H
0.0	1000000000.0	5600000.0	700000000.0	352800000.0	1881600000.0
0.9900990099009901	1010460435.4686133	6207895.623589064	570731451.9935658	348991421.10027146	1725465479.5104506
1.9801980198019802	1021229435.8931875	6881282.6234804075	480608796.99525326	345122315.0802329	1593114104.6893811
2.9702970297029703	1032301521.4770088	7627053.416788374	414241449.764523	341211164.5444172	1479498942.685525
3.9603960396039604	1043673444.5325756	8452781.780819917	363374128.1854186	337272339.3361912	1380905693.4451737
4.9504950495049505	1055343539.9928511	9366779.42929808	323180740.7105012	333317256.89178413	1294540509.9980762
5.9405940594059405	1067311323.8781227	10378154.626538739	290650993.2266074	329355135.7080259	1218261690.791257
6.930693069306931	1079577232.1332176	11496872.188020324	263809627.1775637	325393512.03847784	1150399975.7346776
7.920792079207921	1092142444.3081996	12733813.979015535	241306655.60508206	321438608.0969788	1089635126.5820284
8.910891089108912	1105008761.2715948	14100838.73836175	222188009.9210192	317495602.1557742	1034909260.374368
9.900990099009901	1118178518.8501897	15610839.715729944	205760256.1218609	313568831.28879416	985364777.3856983
10.89108910891089	1131654526.252134	17277798.212635104	191507244.26829594	309661946.4697103	940299111.8850842
11.881188118811881	1145440022.139296	19116830.656644445	179036828.13506705	305778033.1447156	899131217.8009957
12.871287128712872	1159538643.6305237	21144226.313418183	168045715.10981098	301919706.2778383	861376386.6923118
13.861386138613861	1173954405.0154643	23377472.15511625	158295634.16283375	298089186.194297	826627077.8135109
14.85148514851485	1188691683.9185157	25835260.76421598	149596786.1000089	294288359.7621823	794538150.0188266
15.841584158415841	1203755213.2763827	28537476.473591622	141796105.44950283	290518830.23012143	764815359.9283825
16.831683168316832	1219150077.9044557	31505154.25812421	134768776.8568066	286781958.18443245	737206313.4182097
17.821782178217823	1234881714.7004335	34760405.21590248	128411999.97314568	283078895.4777677	711493281.2979681
18.81188118811881	1250955915.7054567	38326301.90200198	122640336.46963495	279410613.543796	687487445.6616678
19.801980198019802	1267378833.3552225	42226716.32382844	117382189.92566742	275777927.1858073	665024255.4003252
20.792079207920793	1284156987.3125389	46486103.204498835	112577109.225885	272181514.6875382	643959649.1449367
21.78217821782178	1301297272.2974799	51129221.2519632	108173699.11579122	268621934.91271055	624166962.3705795
22.77227722772277	1318806966.3323324	56180785.77639503	104127984.14532375	265099641.92196617	605534378.3074552
23.762376237623762	1336693738.7996898	61665047.20658133	100402115.20923339	261614997.52973753	587962814.2917191
24.752475247524753	1354965657.6840498	67605292.00830087	96963337.79229029	258168282.14134315	571364159.185889
25.742574257425744	1373631195.335348	74023265.33945619	93783162.1367483	254759704.14636225	555659795.6644963
26.73267326732673	1392699232.0643349	80938518.5614877	90836690.6831371	251389408.09347752	540779355.0828024
