time	Per	dClk	dClkF	EmptySet
0.0	5e-31	1e-31	0.0	0.0
1.0	3.60653054918303e-17	1.4548143487338096e-16	1.0941612938155066e-16	0.0
2.0	7.102636700138776e-17	2.7712236826446624e-16	2.060960012630785e-16	0.0
3.0	1.0598742851094522e-16	4.0876330165555152e-16	3.0277587314460627e-16	0.0
4.0	1.3590968093953894e-16	5.347027572420012e-16	3.987930763024622e-16	0.0
5.0	1.4842422947306683e-16	6.409451701755819e-16	4.92520940702515e-16	0.0
6.0	1.6093877800659477e-16	7.471875831091634e-16	5.862488051025686e-16	0.0
7.0	1.7345332654012268e-16	8.534299960427449e-16	6.799766695026222e-16	0.0
8.0	1.859678750736506e-16	9.596724089763264e-16	7.737045339026758e-16	0.0
9.0	1.984824236071785e-16	1.0659148219099075e-15	8.674323983027291e-16	0.0
10.0	2.1099697214070645e-16	1.172157234843489e-15	9.611602627027826e-16	0.0
11.0	2.235115206742343e-16	1.2783996477770705e-15	1.0548881271028364e-15	0.0
12.0	2.360260692077622e-16	1.3846420607106516e-15	1.1486159915028893e-15	0.0
13.0	2.4854061774129015e-16	1.4908844736442331e-15	1.242343855902943e-15	0.0
14.0	2.610551662748181e-16	1.5971268865778146e-15	1.3360717203029965e-15	0.0
15.0	2.7356971480834598e-16	1.7033692995113958e-15	1.4297995847030496e-15	0.0
16.0	2.860842633418739e-16	1.809611712444977e-15	1.5235274491031028e-15	0.0
17.0	2.985988118754018e-16	1.9158541253785584e-15	1.6172553135031566e-15	0.0
18.0	3.1111336040892974e-16	2.02209653831214e-15	1.71098317790321e-15	0.0
19.0	3.236279089424576e-16	2.128338951245721e-15	1.804711042303263e-15	0.0
20.0	3.361424574759855e-16	2.2345813641793025e-15	1.8984389067033167e-15	0.0
21.0	3.4865700600951346e-16	2.340823777112884e-15	1.9921667711033703e-15	0.0
22.0	3.6117155454304135e-16	2.447066190046465e-15	2.0858946355034234e-15	0.0
23.0	3.736861030765693e-16	2.5533086029800466e-15	2.179622499903477e-15	0.0
24.0	3.862006516100972e-16	2.659551015913628e-15	2.273350364303531e-15	0.0
25.0	3.987152001436251e-16	2.7657934288472096e-15	2.3670782287035845e-15	0.0
26.0	4.1122974867715296e-16	2.872035841780791e-15	2.460806093103638e-15	0.0
27.0	4.237442972106809e-16	2.978278254714372e-15	2.554533957503691e-15	0.0
28.0	4.3625884574420884e-16	3.0845206676479534e-15	2.6482618219037444e-15	0.0
29.0	4.487733942777368e-16	3.190763080581535e-15	2.7419896863037984e-15	0.0
30.0	4.612879428112646e-16	3.2970054935151164e-15	2.835717550703852e-15	0.0
31.0	4.738024913447926e-16	3.4032479064486975e-15	2.929445415103905e-15	0.0
32.0	4.863170398783205e-16	3.509490319382279e-15	3.0231732795039587e-15	0.0
33.0	4.988315884118484e-16	3.61573273231586e-15	3.116901143904012e-15	0.0
34.0	5.113461369453763e-16	3.721975145249442e-15	3.210629008304065e-15	0.0
35.0	5.238606854789042e-16	3.828217558183023e-15	3.304356872704119e-15	0.0
36.0	5.363752340124322e-16	3.934459971116605e-15	3.3980847371041726e-15	0.0
37.0	5.4888978254596e-16	4.040702384050185e-15	3.4918126015042254e-15	0.0
38.0	5.614043310794878e-16	4.146944796983767e-15	3.5855404659042785e-15	0.0
39.0	5.578349827472362e-16	4.235314632469812e-15	3.677479649722576e-15	0.0
