time	T	N
0.0	1.0	1.0
0.9900990099009901	1.344436843514642	1.5251277892196455
1.9801980198019802	1.8072588707031858	2.3189274097392154
2.9702970297029703	2.4290343918695023	3.5165905369907025
3.9603960396039604	3.2641759735278226	5.320589062982229
4.9504950495049505	4.385638689287255	8.033908048230966
5.9405940594059405	5.891202444761603	12.109608568533622
6.930693069306931	7.911870388194117	18.224714278075396
7.920792079207921	10.623096481372833	27.390316772062842
8.910891089108912	14.25980263411775	41.11559407542598
9.900990099009901	19.13648852673211	61.652052796907434
10.89108910891089	25.674219603620976	92.35709712798605
11.881188118811881	34.43696491199155	138.23500252188572
12.871287128712872	46.18072837060161	206.7414753909724
13.861386138613861	61.92025135121535	308.9795144523029
14.85148514851485	83.01978112289586	461.4754727268337
15.841584158415841	111.31642635184089	688.8139030445319
16.831683168316832	149.2869118501258	1027.5402486713838
17.821782178217823	200.27143812618584	1531.9281119376424
18.81188118811881	268.77279867605364	2282.4729901445235
19.801980198019802	360.855955385329	3398.338322430524
20.792079207920793	484.68320101874195	5055.455109350824
21.78217821782178	651.2325804075317	7512.541927563509
22.77227722772277	875.2627760520486	11147.853696751636
23.762376237623762	1176.6076427293308	16509.65286376569
24.752475247524753	1581.9098619962112	24382.43363923327
25.742574257425744	2126.9374590008447	35867.16265286382
26.73267326732673	2859.6705561248746	52464.21677059684
27.722772277227723	3844.399619942551	76127.91161112697
28.712871287128714	5167.1402315729	109228.02519530166
29.7029702970297	6942.739794017931	154312.33394239002
30.693069306930692	9324.11929668736	213547.79196070202
31.683168316831683	12514.137644321103	287802.02844606334
32.67326732673267	16780.546266781097	375590.14274753275
33.663366336633665	22474.342965851196	472478.8341746493
34.65346534653465	30051.408365730655	571628.340533442
35.64356435643565	40096.4134343858	665561.1622654358
36.633663366336634	53346.33348783594	748290.5001843979
37.62376237623762	70708.15022451586	816623.6001963307
38.613861386138616	93261.21823953108	870156.2981613867
39.603960396039604	122229.53733304932	910380.3819407887
40.59405940594059	158904.22412884724	939613.4669257967
41.584158415841586	204495.41486123178	960194.8214126551
42.57425742574257	259901.93873221645	974042.760712824
43.56435643564356	325413.4867889007	982492.2784520936
44.554455445544555	400405.0056099548	986308.2890734654
45.54455445544554	483131.7618780256	985805.3709091172
46.53465346534654	570750.3174600546	981034.1348067025
47.524752475247524	659637.4640509513	971996.2761614189
48.51485148514851	745957.1004886829	958836.6151850153
49.504950495049506	826299.4543448804	941957.9067028945
50.495049504950494	898177.3732963618	922029.8996002744
51.48514851485149	960241.5693550532	899907.3211208463
52.475247524752476	1012211.5875143997	876503.9207970165
53.46534653465346	1054621.9173978034	852673.4901142422
54.45544554455446	1088509.0519258708	829129.4805141095
55.445544554455445	1115132.6667480317	806410.3553870113
56.43564356435643	1135773.5915867724	784881.4045983631
57.42574257425743	1151611.9871773592	764758.2372492714
58.415841584158414	1163669.323913096	746138.912587698
59.4059405940594	1172792.9810512809	729036.0872283236
60.396039603960396	1179665.2559462714	713404.7629758288
61.386138613861384	1184823.897274113	699164.1462898573
62.37623762376238	1188686.1983767098	686213.7768421309
63.366336633663366	1191572.3230954097	674444.8062137533
64.35643564356435	1193725.8725323926	663747.4953529076
65.34653465346534	1195331.0572209733	654015.9228947463
66.33663366336634	1196526.5449079198	645150.7210150388
67.32673267326733	1197416.3696237216	637060.4658063491
68.31683168316832	1198078.3875242795	629662.1819209476
69.3069306930693	1198570.7562142888	622881.2874050817
70.29702970297029	1198936.8597851638	616651.2037182886
71.2871287128713	1199209.0281240582	610912.7819211537
72.27722772277228	1199411.335574459	605613.6448609233
73.26732673267327	1199561.6989363055	600707.5081163034
74.25742574257426	1199673.4468399354	596153.5184314991
75.24752475247524	1199756.4916264054	591915.6317550682
76.23762376237623	1199818.2032905908	587962.0422165407
77.22772277227723	1199864.060613728	584264.6664319094
78.21782178217822	1199898.1359508748	580798.683234887
79.20792079207921	1199923.455953288	577542.1263990852
80.1980198019802	1199942.269947666	574475.5264595388
81.18811881188118	1199956.2496175566	571581.5970296146
82.17821782178218	1199966.6370616197	568844.9614325003
83.16831683168317	1199974.3553087376	566251.9143960004
84.15841584158416	1199980.090222044	563790.2150235104
85.14851485148515	1199984.3514438155	561448.9069337129
86.13861386138613	1199987.517658596	559218.1620915217
87.12871287128712	1199989.8702500653	557089.1451577692
88.11881188118812	1199991.618293464	555053.8956523895
89.10891089108911	1199992.9171407197	553105.2254596633
90.0990099009901	1199993.8822227744	551236.6296266475
91.08910891089108	1199994.5993078712	549442.2086161162
92.07920792079207	1199995.1321250668	547716.6004458703
93.06930693069307	1199995.5280261158	546054.9213835595
94.05940594059406	1199995.822194977	544452.7140101029
95.04950495049505	1199996.0407741803	542905.9016744307
96.03960396039604	1199996.2031869788	541410.7484813391
97.02970297029702	1199996.3238638337	539963.8240670966
98.01980198019803	1199996.4135360313	538561.9724081848
99.00990099009901	1199996.480170465	537202.2845109807
100.0	1199996.529685196	535882.0740514722
