time	T	H1	H2	M1	M2
0.0	100000.0	0.0	0.0	100.0	0.0
0.9900990099009901	197994.57531253272	486.29110797405065	0.002547873958446773	94.08947306000195	4.584786577625584
1.9801980198019802	386888.96238877845	97075923.22140078	0.01316783352321194	2804.1645822482046	12.820739070261727
2.9702970297029703	476052.3756093895	99999111.48035018	0.8525013880039922	97139.31613343074	2475.0421415943724
3.9603960396039604	585377.6607945286	99999454.17398301	6.1427921763707305	182256.96151402386	9508.857560776023
4.9504950495049505	719407.9909112849	99999539.46983948	20.66599125388277	257454.62409740075	23942.943878091388
5.9405940594059405	883673.4353732262	99999534.478367	57.97604899262751	322639.04610235954	69148.41439866724
6.930693069306931	1084954.8957097759	99999307.75746801	299.2478494860726	391452.3639622198	936036.0336441386
7.920792079207921	1383107.4806105488	95708632.72211827	4291365.475048412	57092409.02876589	942908859.0213748
8.910891089108912	1261829.378022074	89368117.02241363	10631882.215086564	119971403.41329525	880029002.7635009
9.900990099009901	831770.0000781324	84911512.98863208	15088486.636324229	170921324.54431257	829078814.7253236
10.89108910891089	411939.1030463894	82573771.15117599	17426228.687279217	217692384.04400122	782307628.2749205
11.881188118811881	154752.90247098487	81602755.27541654	18397244.670285836	262519964.9607644	737479988.7900171
12.871287128712872	44580.40554656327	81274476.1378866	18725523.85281497	304261948.9851734	695737981.3391778
13.861386138613861	10068.49665939225	81212716.78694914	18787283.221078433	341491651.00802034	658508269.8557618
14.85148514851485	1835.1286118703636	81275435.991864	18724564.02392103	373788965.1378319	626210950.2021351
15.841584158415841	277.9497975179778	81411149.76189099	18588850.25859082	401481853.75545233	598518056.8371199
16.831683168316832	35.921193133696754	81595609.04487117	18404390.97907509	425142091.9140981	574857814.0422915
17.821782178217823	4.053034581276626	81813607.08045152	18186392.94623444	445339979.5749684	554659921.7860469
18.81188118811881	0.4071864197503633	82054358.82351364	17945641.20538516	462579486.2468161	537420410.5840672
19.801980198019802	0.03704156775415753	82309939.36850198	17690060.662200235	477293600.8089464	522706291.58520883
20.792079207920793	0.003095323393115043	82574453.60204351	17425546.43013678	489852265.1110153	510147622.96049577
21.78217821782178	0.00024053188139567286	82843487.34357442	17156512.689822722	500571264.52526546	499428619.35113937
22.77227722772277	1.7564942949630602e-05	83113722.07138894	16886277.963013496	509720121.564122	490279758.2523312
23.762376237623762	1.2162453505152771e-06	83382659.29136966	16617340.743865686	517528870.10479367	482471005.7899519
24.752475247524753	8.048110799672078e-08	83648420.22399767	16351579.811929245	524193840.9179282	475806031.1930539
25.742574257425744	5.154913813480826e-09	83909599.02950788	16090401.006994346	529882599.80456626	470117268.65785587
26.73267326732673	3.2039135292119814e-10	84165153.3438229	15834846.69315853	534738162.2005718	465261702.74409246
27.722772277227723	1.9178688497533045e-11	84414322.5327459	15585677.504635025	538882590.2180932	461117271.33417857
28.712871287128714	1.1170471231188337e-12	84656565.18165249	15343434.856061712	542420062.6496077	457579795.6296375
29.7029702970297	6.378625243635602e-14	84891511.76477085	15108488.273221457	545439495.1106215	454560360.0087429
30.693069306930692	3.471781191756833e-15	85118927.53181008	14881072.50641423	548016776.460419	451983075.60608894
31.683168316831683	1.930212108514125e-16	85338683.90596436	14661316.132453423	550216677.0518829	449783172.0628788
32.67326732673267	1.5390597996293916e-17	85550735.96789889	14449264.070680086	552094478.0873858	447905368.17118335
33.663366336633665	8.622634216077182e-19	85755104.45074907	14244895.587964077	553697361.844995	446302481.6477973
34.65346534653465	4.6720258190514e-20	85951861.50120053	14048138.537624111	555065598.1373236	444934242.6754183
35.64356435643565	2.6599883669674102e-21	86141119.60529226	13858880.433624802	556233557.06414	443766281.1500355
36.633663366336634	1.3901806254020784e-22	86323021.97876212	13676978.060231376	557230573.6375078	442769262.0557818
37.62376237623762	7.106803722899516e-24	86497735.54210012	13502264.49695639	558081685.0954502	441918148.1512386
38.613861386138616	3.6173916243200633e-25	86665444.80555081	13334555.23355743	558808260.7859832	441191570.08537006
39.603960396039604	1.7900192942970705e-26	86826346.97208235	13173653.06706818	559428539.5473955	440571289.0172066
40.59405940594059	7.2615016974670085e-28	86980648.09717315	13019351.942011641	559958088.3681967	440041737.9558564
41.584158415841586	2.6776706325331544e-29	87128559.8733322	12871440.165880227	560410193.6153746	439589630.53221244
42.57425742574257	8.703140412889317e-31	87270297.04189587	12729702.997338593	560796195.4405444	439203626.59276474
43.56435643564356	1.798077522220077e-32	87406075.32841264	12593924.710839186	561125772.7931912	438874047.1863264
44.554455445544555	2.458427967015177e-33	87536109.73571907	12463890.303546254	561407186.7738427	438592631.2108285
