time	Mad1_CMad2	OMad2	Mad1_CMad2_OMad2	Cdc20	Cdc20_CMad2	Bub3_BubR1	MCC	Bub3_BubR1_Cdc20
0.0	5e-08	1.3e-07	0.0	2.2e-07	0.0	1.3e-07	0.0	0.0
0.9900990099009901	4.949130159511808e-08	1.2876520603146522e-07	5.08698404881921e-10	2.190185411186247e-07	4.5367716955941045e-10	1.2947220910662226e-07	2.722011870541466e-10	2.5546505474685383e-10
1.9801980198019802	4.9455762219408665e-08	1.2759048723145804e-07	5.442377805913283e-10	2.1767142291120502e-07	7.976532556913065e-10	1.2846910354028728e-07	1.0680846229497732e-09	4.6300798938970684e-10
2.9702970297029703	4.946641242968192e-08	1.264332339361193e-07	5.335875703180716e-10	2.163367977667497e-07	9.227660265361591e-10	1.2725957458193051e-07	2.1115390183545125e-09	6.298630888100575e-10
3.9603960396039604	4.947152930019984e-08	1.2528731169604397e-07	5.28470699800156e-10	2.1505323753098804e-07	9.586949332733197e-10	1.2601189297689698e-07	3.2272035959315846e-09	7.628580034122601e-10
4.9504950495049505	4.947402292692659e-08	1.2415267939910182e-07	5.25977073073403e-10	2.138105973514302e-07	9.763980074300686e-10	1.2478691972456608e-07	4.346924661450184e-09	8.68717634489395e-10
5.9405940594059405	4.9475969266510075e-08	1.2302917520852433e-07	5.240307334899149e-10	2.1260191223783741e-07	9.920380831527891e-10	1.2359383800832772e-07	5.4569808821229744e-09	9.523048703005194e-10
6.930693069306931	4.947806273250256e-08	1.219165994494314e-07	5.219372674974269e-10	2.1141902023498824e-07	1.0091509294942396e-09	1.22428023722087e-07	6.5547605603965845e-09	1.0208657527394378e-09
7.920792079207921	4.948001376020751e-08	1.208150195619122e-07	5.199862397924776e-10	2.1026456541746288e-07	1.0258288441868867e-09	1.2129021357603548e-07	7.641794434108164e-09	1.0721107406073887e-09
8.910891089108912	4.948203613165637e-08	1.1972411711831665e-07	5.179638683436203e-10	2.091301406539933e-07	1.043150828487142e-09	1.201730854472062e-07	8.717542078953953e-09	1.1138553270214e-09
9.900990099009901	4.948416607514451e-08	1.1864384732921477e-07	5.158339248554764e-10	2.0801454164538312e-07	1.0613109822377022e-09	1.1907562994059646e-07	9.781891777582889e-09	1.1472148139411797e-09
10.89108910891089	4.948629534075137e-08	1.1757434402514394e-07	5.137046592486156e-10	2.0692136683011763e-07	1.0797293363195425e-09	1.1800086312217694e-07	1.0835177340742959e-08	1.168856686069286e-09
11.881188118811881	4.948842925566053e-08	1.1651552580306437e-07	5.115707443394613e-10	2.0584942129575833e-07	1.0983728139989e-09	1.1694755627716515e-07	1.1877518567221455e-08	1.1798961250549215e-09
12.871287128712872	4.949061658939874e-08	1.1546664743096543e-07	5.093834106012535e-10	2.047877658070963e-07	1.1169386029868384e-09	1.1590446071521615e-07	1.2910012196051007e-08	1.1905424432865733e-09
13.861386138613861	4.9492828160003574e-08	1.1442815482936302e-07	5.071718399964194e-10	2.0374294601614118e-07	1.1356078954626793e-09	1.14878307255364e-07	1.393200197732786e-08	1.1946867487917788e-09
14.85148514851485	4.9495063967475035e-08	1.1340004799825715e-07	5.049360325249586e-10	2.0271496192289294e-07	1.1543806914264228e-09	1.138690958976087e-07	1.4943487911052012e-08	1.1923290415705383e-09
15.841584158415841	4.9497305238899374e-08	1.1238195301082467e-07	5.026947611006168e-10	2.0170015974465317e-07	1.173246589967184e-09	1.1287316060305194e-07	1.5944851798559462e-08	1.1867856984287171e-09
16.831683168316832	4.949954155420301e-08	1.1137366231563981e-07	5.004584457969834e-10	2.006965114166732e-07	1.1921998179664008e-09	1.1188846650403178e-07	1.693630556209475e-08	1.179897503958144e-09
17.821782178217823	4.95017802314526e-08	1.1037532167704453e-07	4.982197685473944e-10	1.9970544125835943e-07	1.211244429912377e-09	1.1091644269767262e-07	1.7917700367669337e-08	1.170371666486905e-09
18.81188118811881	4.950401886279305e-08	1.0938688313436441e-07	4.959811372069396e-10	1.9872648062752954e-07	1.230379091761472e-09	1.0995661896978503e-07	1.8889085185959948e-08	1.1586335517775775e-09
19.801980198019802	4.9506255040369284e-08	1.0840829872692502e-07	4.937449596307084e-10	1.9775916088200113e-07	1.249602469470044e-09	1.0900852510617955e-07	1.9850508987643294e-08	1.1451085255927392e-09
20.792079207920793	4.950848620020897e-08	1.0743948322953067e-07	4.915137997910293e-10	1.9680294559004233e-07	1.2689228692337495e-09	1.080716327421778e-07	2.080204964703503e-08	1.1302526590030817e-09
21.78217821782178	4.951070774639652e-08	1.064798664007716e-07	4.89292253603473e-10	1.9585641600533443e-07	1.2884740697408653e-09	1.0714465665566485e-07	2.1744161233637463e-08	1.1149216678834128e-09
22.77227722772277	4.9512918395559657e-08	1.0552966868923537e-07	4.870816044403382e-10	1.9491959176093252e-07	1.308185300136847e-09	1.0622754547936823e-07	2.2676684530711137e-08	1.0993197534995156e-09
23.762376237623762	4.95151155545075e-08	1.0458879789538475e-07	4.848844454924945e-10	1.939919237377695e-07	1.3280666708622214e-09	1.053197599652986e-07	2.359970282210986e-08	1.0839087336564681e-09
24.752475247524753	4.9517296630049187e-08	1.0365716181968253e-07	4.827033699508113e-10	1.9307286281677836e-07	1.3481282923575156e-09	1.0442076086546663e-07	2.4513299391687422e-08	1.0691504261593492e-09
25.742574257425744	4.951945902899384e-08	1.0273466826259152e-07	4.80540971006158e-10	1.9216185987889204e-07	1.3683802750632568e-09	1.0353000893188298e-07	2.541755752329763e-08	1.0555066488132367e-09
