time	B	P	A	T
0.0	90000.0	1000000.0	150000000.0	100000000.0
0.9900990099009901	90008.907362693	990945.9259685052	145452474.31154305	-2.0853712871086136e-34
1.9801980198019802	90017.80767127307	981981.1328612809	144144900.78252408	9.704526961726595e-39
2.9702970297029703	90026.70092975923	973104.741007935	142853725.0258512	-4.5146961389380966e-38
3.9603960396039604	90035.58714217105	964315.879404738	141575286.588849	2.0316409977950792e-39
4.9504950495049505	90044.4663125287	955613.6856292448	140309456.12662524	-1.011806271270176e-39
5.9405940594059405	90053.33844485285	946997.3057555656	139056109.3935111	-5.894018667394705e-39
6.930693069306931	90062.20354316467	938465.89426928	137815123.40306476	-8.509948164349294e-39
7.920792079207921	90071.06161148589	930018.6139886316	136586376.33680815	1.6868006005700202e-38
8.910891089108912	90079.9126538387	921654.635981046	135369747.64026347	-5.816633884183118e-39
9.900990099009901	90088.7566742459	913373.1394744128	134165117.89983639	9.272324914118568e-39
10.89108910891089	90097.59367673064	905173.3117790566	132972368.88466576	-1.909266805224992e-39
11.881188118811881	90106.42366531664	897054.3482146175	131791383.53517297	-1.0355846368033786e-38
12.871287128712872	90115.24664402811	889015.4520417032	130622045.94457485	9.743058158383492e-40
13.861386138613861	90124.06261688973	881055.8343809514	129464241.3513501	2.1274808326739047e-38
14.85148514851485	90132.87158792665	873174.7141069762	128317856.12134017	3.690876643074234e-39
15.841584158415841	90141.67356116448	865371.3177878616	127182777.73811823	-2.0304196377366706e-38
16.831683168316832	90150.46854062931	857644.8796121049	126058894.79472591	-2.783735121474112e-39
17.821782178217823	90159.25653034769	849994.6413096047	124946096.98142973	2.2077399352140555e-38
18.81188118811881	90168.03753434656	842419.8520917217	123844275.07683152	1.551815992517701e-38
19.801980198019802	90176.81155665338	834919.7685394377	122753320.93157627	-2.8507908326280085e-38
20.792079207920793	90185.578601296	827493.6545617935	121673127.46232139	-3.0464311053465223e-38
21.78217821782178	90194.33867230272	820140.7814081201	120603588.65359806	1.537558284475335e-38
22.77227722772277	90203.09177370225	812860.4274420926	119544599.52495873	2.2776771158575044e-39
23.762376237623762	90211.83790952375	805651.8781384545	118496056.13037425	-6.96788855536842e-38
24.752475247524753	90220.57708379676	798514.4259894231	117457855.54471718	-1.6570375351428199e-37
25.742574257425744	90229.30930055122	791447.370448905	116429895.85558641	-5.96640720290133e-38
26.73267326732673	90238.03456381752	784450.0178925112	115412076.1575551	1.7746253910201881e-37
27.722772277227723	90246.75287762638	777521.6815302261	114404296.53941894	3.450116286334944e-37
28.712871287128714	90255.46424600897	770661.6813568028	113406458.07699749	-3.085426450168601e-38
29.7029702970297	90264.16867299679	763869.3440563014	112418462.81923142	-6.013167179638936e-37
30.693069306930692	90272.86616262177	757144.0029496392	111440213.7805684	-7.518223049273909e-37
31.683168316831683	90281.55671891614	750484.9979188943	110471614.9299457	2.236994229545483e-37
32.67326732673267	90290.24034591258	743891.6753636188	109512571.18443592	7.342438597353146e-37
33.663366336633665	90298.91704764408	737363.3880855151	108562988.39246985	1.2855696503561906e-36
34.65346534653465	90307.58682814398	730899.4953182094	107622773.33816296	7.969253249594643e-37
35.64356435643565	90316.24969144596	724499.3625552767	106691833.71630329	3.7116378860789447e-37
36.633663366336634	90324.90564158412	718162.3615390086	105770078.13071546	1.6153093189781645e-36
37.62376237623762	90333.55468259276	711887.870263956	104857416.09477562	4.032856176084298e-36
38.613861386138616	90342.19681850662	705675.2727680529	103953758.00102513	1.1446346381296398e-35
39.603960396039604	90350.83205336075	699523.9592275814	103059015.1349865	1.9228565818221865e-35
40.59405940594059	90359.46039119044	693433.3257971229	102173099.65187952	2.5142271885239795e-35
41.584158415841586	90368.0818360314	687402.7745818692	101295924.57259308	2.6092347046685773e-35
42.57425742574257	90376.69639191957	681431.7135941833	100427403.77736546	1.857108832946526e-35
43.56435643564356	90385.30406289123	675519.556665555	99567451.99297717	-4.1726656622145933e-36
44.554455445544555	90393.90485298293	669665.7234097099	98715984.78738324	-3.130271931383124e-35
45.54455445544554	90402.49876623151	663869.6391526376	97872918.55953433	-5.532496438490841e-35
46.53465346534654	90411.08580667412	658130.7348814782	97038170.53194101	-6.536387804759225e-35
47.524752475247524	90419.66597834816	652448.4471968233	96211658.74373487	-4.913870001165795e-35
48.51485148514851	90428.23928529132	646822.2182320561	95393302.0389341	1.6000021383685604e-35
49.504950495049506	90436.80573154152	641251.4956375301	94583020.06414199	9.962998122883187e-35
