time	UbE	UbE2	Wee1	Cdc25	G2K	R	G1K	IE	PG2	G1R	G2R	PG2R	SPF	MPF	Rum1Total	Cdc13Total	Cig2Total	IEB	UbEB	UbE2B	Wee1B	Cdc25B
0.0	0.11	0.0	0.0	0.0	0.0	0.4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.4	0.0	0.0	1.0	0.89	1.0	1.0	1.0
1.0	0.024871253525014396	7.196022210039901e-05	0.2243639607430993	0.0001460113415471718	0.00047049951605405917	0.4010831377640412	0.0004872026465288697	1.826943461188727e-05	1.4018564613661442e-06	0.0012495591903576258	0.014007529653924556	2.7692530231179234e-05	0.0005923702705093449	0.0004705696088771275	0.41636791913855453	0.014507123556671163	0.0017367618368864955	0.9999817305653881	0.9751287464749856	0.9999280397778996	0.7756360392569007	0.9998539886584529
2.0	1.4003927558259927e-05	8.798193965072847e-05	0.44112801548538677	0.00019223685377995714	0.0005696246069316449	0.399142491604386	0.0006087214567129684	2.222390499678834e-05	3.119947364320782e-06	0.002857120491045875	0.027608237861720515	9.594401644291253e-05	0.0007219609684781031	0.000569780604299861	0.42970379397359526	0.028276926432459396	0.0034658419477588435	0.9999777760950032	0.9999859960724418	0.9999120180603492	0.5588719845146133	0.99980776314622
3.0	5.100299080050504e-07	0.00010349796702430162	0.6450843490894174	0.00022877583022765718	0.0006665610857711623	0.39547389429683755	0.0007289049310602098	2.609367714822724e-05	5.490579814822534e-06	0.004461389039874474	0.040418963205153376	0.00021300553686164254	0.0008490618475269559	0.0006668356147619034	0.44056725207872705	0.041304020407601005	0.005190293970934684	0.9999739063228518	0.999999489970092	0.9998965020329758	0.35491565091058264	0.9997712241697724
4.0	5.845235671584481e-07	0.0001187699443438606	0.8240405400164414	0.0002639670985452973	0.0007620075684059567	0.3904865609923208	0.0008532596334739031	2.9905227802906793e-05	8.487108118292299e-06	0.006056726006246001	0.052453210862793	0.00038428780746502364	0.0009757468321803471	0.0007624319238118713	0.44938078566882483	0.05360799334678227	0.006909985639719904	0.9999700947721971	0.9999994154764329	0.9998812300556561	0.17595945998355855	0.9997360329014547
5.0	6.59669607907508e-07	0.00013392267177610252	0.948897443469516	0.0002987602475293523	0.0008567658068946166	0.3844900890981853	0.0009824715586866845	3.368971906350151e-05	1.1890475130104854e-05	0.007642243876154637	0.06375205368554418	0.0006085053901414089	0.001102978220322793	0.0008573603306511218	0.4564928920500255	0.06522921535771031	0.00862471543484132	0.9999663102809365	0.9999993403303921	0.9998660773282239	0.05110255653048401	0.9997012397524706
6.0	7.347093629644519e-07	0.0001490876236193876	0.9930795255622743	0.00033351076951669946	0.0009516611168941192	0.3777349397930594	0.0011170366319391755	3.74798386253063e-05	1.5298387601099435e-05	0.009217221166348476	0.0743666895291054	0.0008721851676414301	0.001231685194258968	0.0009524260362741741	0.4621910356561547	0.07620583420124205	0.01033425779828765	0.9999625201613747	0.999999265290637	0.9998509123763806	0.006920474437725699	0.9996664892304833
7.0	8.10101734607101e-07	0.00016432318582243369	0.9990489772613835	0.00036840086847440053	0.0010469503391461275	0.3704233178288597	0.0012573554712666107	4.128848913465757e-05	1.8763983342617355e-05	0.010781011982862207	0.08434944581235425	0.0011587235302319915	0.001362227406129911	0.0010478885383132584	0.4667124991543081	0.086573883665075	0.012038367454128817	0.9999587115108654	0.9999991898982654	0.9998356768141776	0.0009510227386164694	0.9996315991315256
8.0	8.858872042181029e-07	0.00017963590187609918	0.9995500231031529	0.0004034646632521332	0.0011426653344425415	0.36271840704395863	0.0014037568641791028	4.511719131478495e-05	2.2482979469879632e-05	0.012333025906798223	0.09374022631693556	0.0014620223643831325	0.0014947286994608112	0.0011437894834160356	0.47025368163207554	0.09636739699523111	0.013736782770977325	0.9999548828086852	0.9999991141127957	0.9998203640981239	0.00044997689684711517	0.9995965353367479
9.0	9.62153816206023e-07	0.0001950438308611301	0.9995585021384131	0.00043873970594262847	0.0012389225586615586	0.3547513025589521	0.0015565143277088136	4.897061441072887e-05	2.6506819391519665e-05	0.013872713726360225	0.10257244688846916	0.0017806389931027315	0.001629376481558338	0.0012402478996311347	0.4729771021668842	0.10561851525962497	0.015429228054069039	0.9999510293855892	0.9999990378461838	0.9998049561691389	0.0004414978615868703	0.9995612602940573
10.0	1.038990464026982e-06	0.00021056475087198812	0.9995259974324533	0.0004742675202646709	0.0013358267809654818	0.3466267002539046	0.0017158588866729245	5.285315248591495e-05	3.0855677877656245e-05	0.015399556259918595	0.11087707825945566	0.002113829897872955	0.0017663342865275955	0.0013373695648593645	0.4750171646711518	0.11435759061617175	0.01711541514659152	0.9999471468475141	0.999998961009536	0.999789435249128	0.0004740025675467052	0.9995257324797353
11.0	1.1164646424184572e-06	0.00022621210870374777	0.9994897426232088	0.0005100811630439346	0.0014334556126807002	0.33842767576620947	0.0018819886427877363	5.676811516016689e-05	3.554616350011022e-05	0.016913056066260316	0.1186833024681305	0.0024609803624469724	0.0019057300815526399	0.0014352329208557058	0.47648501466304727	0.12261328460675829	0.018795044709048053	0.9999432318848398	0.9999988835353576	0.9997737878912962	0.0005102573767912233	0.999489918836956
