time	TGF_beta_ex	T1R_surf	T1R_endo	T2R_surf	T2R_endo	LRC_surf	LRC_endo	Smad2c	Smad2n	Smad4c	Smad4n	PSmad2c	PSmad2_PSmad2_c	PSmad2_Smad4_c	PSmad2n	PSmad2_PSmad2_n	PSmad2_Smad4_n	TGF_beta_endo	TGF_beta_ns	AA	empty_degraded
12.871287128712872	7.525394067224126e-11	-2.9075757717185717e-12	2.3928995513571996e-12	-3.9742710719005304e-12	-8.152802759591655e-12	4.829368877025452e-12	1.3194239172143668e-11	2.968398226945108e-11	1.1370910846576292e-11	4.210758745217866e-11	4.1684865857930977e-11	6.4010580052767275e-12	1.7924709418631597e-12	1.2546498187207701e-11	7.564150145136654e-12	1.2796390728401425e-11	7.112529858462617e-11	1.3404432771250403e-12	1.8786181955807776e-12	0.0	0.0
13.861386138613861	7.555102729798333e-11	-2.5403953540273466e-12	2.5133117135654334e-12	-3.6002913033293856e-12	-7.964274290784479e-12	4.604048162860546e-12	1.286933867048908e-11	2.8221658004345414e-11	1.1052889634506247e-11	4.259737136127428e-11	4.130691828741531e-11	6.373314502884035e-12	1.9568324146822354e-12	1.1888951959409712e-11	7.739280658470073e-12	1.3504426652681792e-11	7.167100854900829e-11	1.3220707725228585e-12	1.885691228424564e-12	0.0	0.0
14.85148514851485	7.658658535723792e-11	-2.1081936453440393e-12	3.01082785808831e-12	-3.1631851880107796e-12	-7.428209430151784e-12	3.889610517368659e-12	1.1578890765442526e-11	2.972154046569897e-11	1.1239046292688116e-11	4.5007139327807674e-11	4.1030196450226804e-11	6.127173731613238e-12	2.1116745861566973e-12	1.100335397291698e-11	7.741913640232157e-12	1.3694841867978213e-11	7.042356043674519e-11	1.2093087298453913e-12	1.909882131681971e-12	0.0	0.0
15.841584158415841	7.762214341649252e-11	-1.6759919366607305e-12	3.5083440026111897e-12	-2.726079072692172e-12	-6.892144569519088e-12	3.1751728718767693e-12	1.0288442860395966e-11	3.122142292705253e-11	1.1425202950869987e-11	4.741690729434109e-11	4.0753474613038296e-11	5.881032960342441e-12	2.26651675763116e-12	1.0117755986424242e-11	7.744546621994241e-12	1.3885257083274636e-11	6.917611232448207e-11	1.0965466871679239e-12	1.934073034939378e-12	0.0	0.0
16.831683168316832	7.865770147574711e-11	-1.243790227977422e-12	4.005860147134068e-12	-2.2889729573735645e-12	-6.356079708886392e-12	2.4607352263848816e-12	8.997994955349407e-12	3.2721305388406096e-11	1.1611359609051856e-11	4.9826675260874494e-11	4.0476752775849795e-11	5.634892189071644e-12	2.421358929105623e-12	9.232157999931504e-12	7.747179603756325e-12	1.4075672298571058e-11	6.792866421221896e-11	9.837846444904562e-13	1.9582639381967858e-12	0.0	0.0
17.821782178217823	7.969325953500172e-11	-8.115885192941131e-13	4.503376291656946e-12	-1.8518668420549577e-12	-5.820014848253696e-12	1.7462975808929928e-12	7.70754705030285e-12	3.422118784975965e-11	1.1797516267233726e-11	5.22364432274079e-11	4.020003093866129e-11	5.388751417800846e-12	2.5762011005800855e-12	8.346560013438766e-12	7.74981258551841e-12	1.4266087513867479e-11	6.668121609995585e-11	8.710226018129888e-13	1.982454841454193e-12	0.0	0.0
18.81188118811881	8.072881759425632e-11	-3.7938681061080454e-13	5.0008924361798245e-12	-1.4147607267363498e-12	-5.283949987621e-12	1.0318599354011035e-12	6.41709914525629e-12	3.572107031111322e-11	1.1983672925415597e-11	5.4646211193941293e-11	3.992330910147278e-11	5.142610646530049e-12	2.7310432720545483e-12	7.460962026946028e-12	7.752445567280493e-12	1.4456502729163902e-11	6.543376798769273e-11	7.582605591355212e-13	2.006645744711601e-12	0.0	0.0
19.801980198019802	8.176437565351091e-11	5.281489807250242e-14	5.498408580702703e-12	-9.776546114177438e-13	-4.747885126988306e-12	3.174222899092175e-13	5.126651240209735e-12	3.722095277246677e-11	1.2169829583597466e-11	5.70559791604747e-11	3.964658726428427e-11	4.896469875259252e-12	2.8858854435290102e-12	6.575364040453293e-12	7.755078549042576e-12	1.4646917944460325e-11	6.418631987542962e-11	6.45498516458054e-13	2.0308366479690078e-12	0.0	0.0
20.792079207920793	8.27999337127655e-11	4.85016606755811e-13	5.9959247252255805e-12	-5.405484960991367e-13	-4.2118202663556095e-12	-3.9701535558267023e-13	3.836203335163177e-12	3.872083523382033e-11	1.2355986241779335e-11	5.94657471270081e-11	3.936986542709577e-11	4.650329103988455e-12	3.0407276150034726e-12	5.689766053960557e-12	7.75771153080466e-12	1.4837333159756745e-11	6.29388717631665e-11	5.327364737805865e-13	2.055027551226415e-12	0.0	0.0
21.78217821782178	8.38354917720201e-11	9.172183154391196e-13	6.493440869748459e-12	-1.0344238078052912e-13	-3.675755405722913e-12	-1.1114530010745591e-12	2.5457554301166186e-12	4.0220717695173894e-11	1.2542142899961205e-11	6.187551509354151e-11	3.909314358990726e-11	4.404188332717657e-12	3.1955697864779353e-12	4.804168067467818e-12	7.760344512566744e-12	1.5027748375053168e-11	6.169142365090339e-11	4.199744311031189e-13	2.0792184544838226e-12	0.0	0.0
22.77227722772277	8.48710498312747e-11	1.3494200241224265e-12	6.990957014271337e-12	3.336637345380768e-13	-3.139690545090219e-12	-1.825890646566445e-12	1.2553075250700644e-12	4.1720600156527455e-11	1.2728299558143074e-11	6.428528306007491e-11	3.8816421752718754e-11	4.158047561446861e-12	3.3504119579523977e-12	3.918570080975084e-12	7.762977494328828e-12	1.521816359034959e-11	6.044397553864029e-11	3.072123884256518e-13	2.1034093577412298e-12	0.0	0.0
23.762376237623762	8.590660789052929e-11	1.7816217328057353e-12	7.488473158794215e-12	7.707698498566844e-13	-2.6036256844575225e-12	-2.5403282920583336e-12	-3.514037997649507e-14	4.322048261788102e-11	1.2914456216324943e-11	6.669505102660831e-11	3.8539699915530246e-11	3.9119067901760636e-12	3.50525412942686e-12	3.032972094482346e-12	7.765610476090912e-12	1.540857880564601e-11	5.919652742637718e-11	1.944503457481842e-13	2.127600260998637e-12	0.0	0.0
24.752475247524753	8.694216594978389e-11	2.213823441489044e-12	7.985989303317094e-12	1.207875965175292e-12	-2.067560823824826e-12	-3.2547659375502225e-12	-1.3255882850230537e-12	4.4720365079234577e-11	1.3100612874506814e-11	6.910481899314172e-11	3.8262978078341745e-11	3.665766018905267e-12	3.660096300901322e-12	2.147374107989608e-12	7.768243457852996e-12	1.5598994020942433e-11	5.7949079314114066e-11	8.168830307071663e-14	2.151791164256044e-12	0.0	0.0
25.742574257425744	8.797772400903849e-11	2.6460251501723527e-12	8.483505447839973e-12	1.6449820804938995e-12	-1.53149596319213e-12	-3.969203583042111e-12	-2.6160361900696128e-12	4.622024754058814e-11	1.3286769532688685e-11	7.151458695967512e-11	3.798625624115324e-11	3.419625247634469e-12	3.814938472375785e-12	1.2617761214968708e-12	7.77087643961508e-12	1.5789409236238856e-11	5.670163120185095e-11	-3.107373960675093e-14	2.1759820675134518e-12	0.0	0.0
26.73267326732673	9.047997052853654e-11	3.3383642385160278e-12	1.0333679334159239e-11	2.327657071929617e-12	1.8240108154733847e-13	-4.15141196692075e-12	-3.077291752986078e-12	4.835834847334893e-11	1.3593595378715371e-11	7.347039492479868e-11	3.7917030857387925e-11	3.255486212569273e-12	3.832255642739173e-12	6.990755094550153e-13	7.678398310625926e-12	1.5621228594367112e-11	5.537774920400324e-11	-7.544159535742008e-14	2.235939788967135e-12	0.0	0.0
27.722772277227723	9.49907524044673e-11	4.3869447092258355e-12	1.4036230854307741e-11	3.3466228186896e-12	3.509263421813907e-12	-3.6047666653338064e-12	-2.4030218232051423e-12	5.137044848614408e-11	1.406566990350926e-11	7.480453391388991e-11	3.813195849884361e-11	3.203643272361522e-12	3.6612411839853634e-12	5.785620493978691e-13	7.45567164289683e-12	1.4961974028266766e-11	5.39491959240206e-11	-2.61480183358288e-14	2.344877863700747e-12	0.0	0.0
28.712871287128714	9.950153428039808e-11	5.435525179935644e-12	1.7738782374456265e-11	4.365588565449585e-12	6.836125762080482e-12	-3.0581213637468624e-12	-1.728751893424206e-12	5.4382548498939255e-11	1.453774442830315e-11	7.613867290298115e-11	3.8346886140299307e-11	3.1518003321537707e-12	3.4902267252315535e-12	4.580485893407229e-13	7.232944975167737e-12	1.430271946216642e-11	5.252064264403796e-11	2.3145558685762477e-14	2.4538159384343597e-12	0.0	0.0
29.7029702970297	1.0401231615632885e-10	6.484105650645456e-12	2.1441333894604782e-11	5.384554312209569e-12	1.0162988102347062e-11	-2.511476062159917e-12	-1.0544819636432695e-12	5.739464851173443e-11	1.500981895309704e-11	7.74728118920724e-11	3.856181378175498e-11	3.0999573919460196e-12	3.3192122664777444e-12	3.375351292835766e-13	7.010218307438642e-12	1.3643464896066074e-11	5.109208936405531e-11	7.243913570735386e-14	2.562754013167972e-12	0.0	0.0
30.693069306930692	1.0852309803225963e-10	7.532686121355262e-12	2.5143885414753287e-11	6.403520058969552e-12	1.3489850442613634e-11	-1.964830760572973e-12	-3.802120338623348e-13	6.040674852452958e-11	1.548189347789093e-11	7.880695088116363e-11	3.8776741423210675e-11	3.048114451738269e-12	3.148197807723935e-12	2.1702166922643076e-13	6.787491639709548e-12	1.298421032996573e-11	4.966353608407267e-11	1.2173271272894503e-13	2.6716920879015844e-12	0.0	0.0
