time	FH2f	DHFRf	FH4	CH2FH4	CH3FH4	CHOFH4	FFH2	HCHO	FGAR	AICAR	MTX1	MTX2	MTX3	MTX4	MTX5	MTX1b	MTX2b	MTX3b	MTX4b	MTX5b	EMTX	dUMP	GAR	serine	formate	ATP	glutamine	glycine	NADP	NADPH	homocysteine	FH2b	DHFRtot
0.0	0.0012	0.64	0.46	0.26	1.63	1.0	0.000332	0.0074	16.49	3.695	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	20.76	689.6	123.3	500.0	2980.0	7170.0	1600.0	6.73	294.0	10.0	0.0024	0.6424
1.0	0.001208843210841966	0.639928568377603	0.45911677676302454	0.2620402190865382	1.6290713298807893	0.9998387035350466	0.00032863589254345296	0.007380411429310219	16.485912938354836	3.695041173371099	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	20.76	689.6	123.3	500.0	2980.0	7170.0	1600.0	6.73	294.0	10.0	0.0024174165790846382	0.6423459849566877
2.0	0.0012091784244287836	0.6398592269444396	0.4592169740624436	0.2620887810536218	1.628792191556188	1.000041186273856	0.0003287266610328476	0.007380141474302193	16.489239541099508	3.695049568842258	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	20.76	689.6	123.3	500.0	2980.0	7170.0	1600.0	6.73	294.0	10.0	0.0024178249121653028	0.642277051856605
3.0	0.001209388113274407	0.6397919271680317	0.4592574733522195	0.2621084082415396	1.6287222412352396	1.0001232809251364	0.0003287836478901493	0.007380033919794602	16.490580267894348	3.6950512522654657	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	20.76	689.6	123.3	500.0	2980.0	7170.0	1600.0	6.73	294.0	10.0	0.002417989849018571	0.6422099170170502
4.0	0.0012095540171930311	0.6397266129741369	0.45927832079752856	0.26211851100731987	1.6287211570054982	1.0001657449073273	0.00032882884380288334	0.007379980654033885	16.491267288769237	3.6950507312332994	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	20.76	689.6	123.3	500.0	2980.0	7170.0	1600.0	6.73	294.0	10.0	0.002418074670712996	0.6421446876448499
5.0	0.001209701971104671	0.6396632270250664	0.45929213694658366	0.2621252054636138	1.6287447179854633	1.0001940281979014	0.0003288691996096515	0.007379946453878862	16.49172037641095	3.695049440333881	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	20.76	689.6	123.3	500.0	2980.0	7170.0	1600.0	6.73	294.0	10.0	0.002418130833048117	0.6420813578581145
6.0	0.0012098428091202617	0.6396017128909003	0.4593041850382116	0.2621310433016795	1.6287744813506995	1.0002187442525219	0.00032890763025960533	0.00737991697736078	16.492114673137458	3.695047944936703	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	20.76	689.6	123.3	500.0	2980.0	7170.0	1600.0	6.73	294.0	10.0	0.0024181797907564307	0.6420198926816567
7.0	0.0012099796803914306	0.6395420154046337	0.4593159593601951	0.26213674838446516	1.6288052116392124	1.0002429062480716	0.00032894498327565194	0.007379888215899988	16.49249985198614	3.6950464223746264	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	20.76	689.6	123.3	500.0	2980.0	7170.0	1600.0	6.73	294.0	10.0	0.002418227635613094	0.6419602430402468
8.0	0.001210112032373103	0.6394840808489513	0.4593271402992096	0.2621421658546035	1.6288380284497164	1.0002658699155789	0.0003289811103884478	0.007379861061135069	16.492865286347428	3.695044835078241	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	20.76	689.6	123.3	500.0	2980.0	7170.0	1600.0	6.73	294.0	10.0	0.0024182730648324067	0.6419023539137837
9.0	0.0012102403876668795	0.6394278571471066	0.4593379371400229	0.2621473971732855	1.6288721983659582	1.00028805723157	0.0003290161524129413	0.007379834949758831	16.49321794530916	3.6950432070262424	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	20.76	689.6	123.3	500.0	2980.0	7170.0	1600.0	6.73	294.0	10.0	0.0024183169303709884	0.6418461740774776
