time	Ca_cyt	Ca_er	IP3_cyt	Na_cyt	ATP_cyt	ADP_cyt
0.0	6.494e-14	6.384e-12	2.5212e-13	7.531511999999999e-09	7.121244e-10	2.3438756e-09
1.0	6.494268589518022e-14	6.38399898473647e-12	2.5211981822310164e-13	7.53153029727669e-09	7.129272475093556e-10	2.3430727524906444e-09
2.0	6.494632148197444e-14	6.383997975863973e-12	2.521196373731771e-13	7.531547837552487e-09	7.137295817176358e-10	2.3422704182823642e-09
3.0	6.495083448284218e-14	6.383996975246839e-12	2.5211945771900504e-13	7.531564673286183e-09	7.145314123022025e-10	2.3414685876977974e-09
4.0	6.495615427438486e-14	6.3839959846126776e-12	2.5211927950962484e-13	7.53158085455263e-09	7.153327494368948e-10	2.340667250563105e-09
5.0	6.496221669212933e-14	6.383995005513908e-12	2.521191029688097e-13	7.531596425686065e-09	7.161336021561238e-10	2.339866397843876e-09
6.0	6.496896142161289e-14	6.383994039395335e-12	2.5211892830480665e-13	7.531611427513952e-09	7.169339788027986e-10	2.339066021197201e-09
7.0	6.49763321997826e-14	6.383993087591263e-12	2.5211875570992243e-13	7.531625897413835e-09	7.177338870370639e-10	2.338266112962936e-09
8.0	6.498427702090643e-14	6.383992151319918e-12	2.5211858535971907e-13	7.531639869231874e-09	7.185333338191591e-10	2.337466666180841e-09
9.0	6.499274769936513e-14	6.3839912316964544e-12	2.521184174148892e-13	7.531653373815548e-09	7.193323255137642e-10	2.3366676744862357e-09
10.0	6.500169955242795e-14	6.383990329742101e-12	2.52118252022576e-13	7.53166643934037e-09	7.20130867954332e-10	2.335869132045668e-09
11.0	6.50110911503991e-14	6.383989446390764e-12	2.521180893173261e-13	7.531679091546693e-09	7.209289664898734e-10	2.3350710335101266e-09
12.0	6.502088441168114e-14	6.383988582486463e-12	2.5211792942071836e-13	7.531691353646693e-09	7.217266259666001e-10	2.3342733740333996e-09
13.0	6.503104393454908e-14	6.383987738801491e-12	2.5211777244398497e-13	7.531703246986197e-09	7.225238508585041e-10	2.333476149141496e-09
