time	TF	X	Xa_Va	II	IIa	Xa_Va_II	mIIa	mIIa_ATIII	IIa_ATIII
0.0	1e-09	1.6e-07	0.0	1.4e-06	0.0	0.0	0.0	0.0	0.0
0.9900990099009901	9.999807896122036e-10	1.599999807896122e-07	4.0555121620263505e-16	1.399121108811496e-06	1.221402796594199e-14	1.8804836580370427e-14	8.766872899979895e-10	2.172760923714441e-12	1.1869550772589057e-16
1.9801980198019802	9.999615795663817e-10	1.5999996157956638e-07	8.123580176781703e-16	1.396912780380695e-06	1.181814370893737e-13	3.7608075600548715e-14	3.0751272727212223e-09	1.1935044545112849e-11	1.512504211960662e-15
2.9702970297029703	9.999423698827438e-10	1.5999994236988275e-07	1.221581617958641e-15	1.3932965824191754e-06	4.884183574887673e-13	5.64085356381389e-14	6.667761919494546e-09	3.510314082621116e-11	7.693589446555922e-15
3.9603960396039604	9.999231605700635e-10	1.5999992316057004e-07	1.6348064111756724e-15	1.3882388115418777e-06	1.621669481393354e-12	7.520462352533015e-14	1.167757585018981e-08	8.187908970628459e-11	3.6644101027193943e-14
4.9504950495049505	9.999039516280524e-10	1.5999990395162804e-07	2.0533738587355047e-15	1.3817411647755451e-06	4.202382930780731e-12	9.399499808900495e-14	1.8094268018797424e-08	1.6013732572806546e-10	1.3350198389430257e-13
5.9405940594059405	9.998847430574472e-10	1.5999988474305744e-07	2.4787933548787457e-15	1.3738013935219472e-06	8.965742898829674e-12	1.1277814919775358e-13	2.591030706184627e-08	2.7887597150467866e-10	3.4492364570937675e-13
6.930693069306931	9.9986553485765e-10	1.5999986553485765e-07	2.909917428720827e-15	1.3644213546185388e-06	1.5354097869643442e-11	1.315552249204929e-13	3.513128607115019e-08	4.3123802113742015e-10	6.35636082467508e-13
7.920792079207921	9.998463270290311e-10	1.59999846327029e-07	3.351723923919945e-15	1.353601580424636e-06	2.5655257149377762e-11	1.5032124704372089e-13	4.573571372992095e-08	6.357154787682001e-10	1.1847882905985609e-12
8.910891089108912	9.998271195716779e-10	1.5999982711957166e-07	3.805386022527832e-15	1.3413421964070954e-06	4.0408413408608147e-11	1.6907504229822077e-13	5.771852494795979e-08	8.966665542664958e-10	2.0346022444410562e-12
9.900990099009901	9.998079124854543e-10	1.5999980791248542e-07	4.269077931951712e-15	1.3276430073051246e-06	5.877443517361159e-11	1.8781843661223798e-13	7.108760239288251e-08	1.2073086794147806e-09	3.1193689878395577e-12
10.89108910891089	9.997887057705037e-10	1.5999978870577049e-07	4.749686825746498e-15	1.3125075432401526e-06	8.539987115024625e-11	2.065445426686548e-13	8.580775477308682e-08	1.594194772975555e-09	4.900798126631038e-12
11.881188118811881	9.997694994267967e-10	1.5999976949942676e-07	5.245820940020634e-15	1.2959350908432621e-06	1.1934574417210106e-10	2.2525475226037408e-13	1.0188609356450099e-07	2.0519590062450078e-09	7.285587124925363e-12
12.871287128712872	9.997502934543135e-10	1.5999975029345427e-07	5.756585429490003e-15	1.2779251971607623e-06	1.6000544030969105e-10	2.439499602530531e-13	1.1932730784456757e-07	2.577031049267612e-09	1.0214555219723814e-11
13.861386138613861	9.99731087853087e-10	1.5999973108785305e-07	6.294911189540267e-15	1.2584852756799292e-06	2.1570538574047088e-10	2.6261723571831937e-13	1.3808137346217551e-07	3.2027170477044784e-09	1.4665807337482345e-11
14.85148514851485	9.997118826231011e-10	1.5999971188262306e-07	6.854597631337033e-15	1.2376117715049062e-06	2.824529145548882e-10	2.81262779260825e-13	1.5817227786626604e-07	3.913046126473596e-09	2.017032518480637e-11
15.841584158415841	9.996926777643536e-10	1.5999969267776432e-07	7.438280596095468e-15	1.2153063999172004e-06	3.6207481990843146e-10	2.9988395504217084e-13	1.7959157472832665e-07	4.712671539006946e-09	2.6979111813870906e-11
16.831683168316832	9.996734732768277e-10	1.5999967347327678e-07	8.061938711807134e-15	1.1915795590564838e-06	4.656452317908455e-10	3.1846478445143517e-13	2.0228806189686845e-07	5.6298015875012375e-09	3.661376282473478e-11
17.821782178217823	9.996542691605295e-10	1.599996542691605e-07	8.719929133594262e-15	1.1664275768246751e-06	5.892533264617318e-10	3.3701091032746754e-13	2.2627982138734438e-07	6.654474523448068e-09	4.8536927454719e-11
18.81188118811881	9.996350654154572e-10	1.599996350654154e-07	9.41393402278097e-15	1.1398515478932576e-06	7.340649407612044e-10	3.5552065051074087e-13	2.515614628571673e-07	7.789659995743416e-09	6.290879275309487e-11
19.801980198019802	9.996158620416088e-10	1.5999961586204156e-07	1.0145635540691376e-14	1.1118525669337138e-06	9.012459115293771e-10	3.7399232284172804e-13	2.7812759596375004e-07	9.03832765328326e-09	7.988954576913366e-11
20.792079207920793	9.995966590389658e-10	1.5999959665903893e-07	1.092906151406515e-14	1.0824408054592078e-06	1.1013057151455865e-09	3.9241189951184765e-13	3.059418247083634e-07	1.0414514820886637e-08	1.0115688492522961e-10
