time	D	DR	DRG_GDP	G_GDP	DRG	GDP	DRG_GTP	GTP	G_GTP	R
0.0	3.1e-05	0.0	0.0	1e-06	0.0	0.0	0.0	1e-05	0.0	1e-10
0.9900990099009901	3.0999900033464674e-05	5.195913060296884e-13	1.4242541041867647e-11	9.998795056748706e-07	4.8477614135868864e-11	1.267659170895837e-10	4.3035987654151125e-11	9.999921711697043e-06	1.4733370899503447e-11	3.346467455095265e-14
1.9801980198019802	3.0999900034509736e-05	5.350098782261811e-13	1.1236717777096497e-11	9.998688879934016e-07	5.266828935788616e-11	1.8182843540918313e-10	4.694479030602678e-11	9.999870839853947e-06	2.0274016389791758e-11	3.450973936152413e-14
2.9702970297029703	3.099990003504561e-05	5.432558985717166e-13	1.075316561850318e-11	9.998620271319512e-07	5.504871141218713e-11	2.3515561473248033e-10	4.9110071329484004e-11	9.999819893096678e-06	2.309613715136617e-11	3.504561404227433e-14
3.9603960396039604	3.099990003569015e-05	5.532504943267784e-13	1.0911658440649029e-11	9.998581802299231e-07	5.651438890548565e-11	2.91171081370168e-10	5.042289278785621e-11	9.999765343307534e-06	2.4030643050292006e-11	3.569014767294589e-14
4.9504950495049505	3.099990003633468e-05	5.632450900818402e-13	1.1070151262794879e-11	9.99854333327895e-07	5.7980066398784176e-11	3.4718654800785565e-10	5.1735714246228405e-11	9.999710793518389e-06	2.496514894921784e-11	3.6334681303617446e-14
5.9405940594059405	3.099990003697922e-05	5.73239685836902e-13	1.1228644084940728e-11	9.99850486425867e-07	5.94457438920827e-11	4.0320201464554333e-10	5.30485357046006e-11	9.999656243729244e-06	2.589965484814368e-11	3.6979214934289e-14
6.930693069306931	3.099990003752177e-05	5.816501514846324e-13	1.1373295121405425e-11	9.998473785775317e-07	6.064553796456495e-11	4.614481416052001e-10	5.412243915286657e-11	9.999599197396358e-06	2.660413998977347e-11	3.7521774925124866e-14
7.920792079207921	3.099990003794018e-05	5.881318917618503e-13	1.1501093373434754e-11	9.998451705489787e-07	6.152161108953562e-11	5.224101636394256e-10	5.490545284060617e-11	9.999539111447448e-06	2.7028568039950875e-11	3.794017898623985e-14
8.910891089108912	3.099990003835858e-05	5.946136320390682e-13	1.1628891625464083e-11	9.998429625204257e-07	6.239768421450628e-11	5.833721856736512e-10	5.568846652834577e-11	9.99947902549854e-06	2.7452996090128285e-11	3.835858304735483e-14
9.900990099009901	3.0999900038776986e-05	6.010953723162861e-13	1.1756689877493413e-11	9.998407544918726e-07	6.327375733947695e-11	6.443342077078767e-10	5.647148021608537e-11	9.99941893954963e-06	2.7877424140305695e-11	3.877698710846981e-14
10.89108910891089	3.099990003919539e-05	6.07577112593504e-13	1.1884488129522741e-11	9.998385464633198e-07	6.414983046444762e-11	7.05296229742102e-10	5.725449390382497e-11	9.99935885360072e-06	2.83018521904831e-11	3.9195391169584795e-14
11.881188118811881	3.0999900039613794e-05	6.140588528707219e-13	1.201228638155207e-11	9.998363384347668e-07	6.502590358941827e-11	7.662582517763276e-10	5.803750759156457e-11	9.999298767651812e-06	2.8726280240660508e-11	3.961379523069978e-14
12.871287128712872	3.09999000400322e-05	6.205405931479398e-13	1.2140084633581399e-11	9.998341304062138e-07	6.590197671438894e-11	8.272202738105531e-10	5.882052127930417e-11	9.999238681702902e-06	2.915070829083792e-11	4.003219929181476e-14
13.861386138613861	3.09999000404506e-05	6.270223334251577e-13	1.2267882885610727e-11	9.998319223776608e-07	6.677804983935961e-11	8.881822958447787e-10	5.960353496704377e-11	9.999178595753993e-06	2.957513634101533e-11	4.045060335292975e-14
14.85148514851485	3.099990004083503e-05	6.329794408448787e-13	1.23852636659292e-11	9.99830033765358e-07	6.752921269628001e-11	9.518398962474164e-10	6.027450485211799e-11	9.999115689316446e-06	2.9927563320217773e-11	4.0835033485037367e-14
15.841584158415841	3.099990004119921e-05	6.386238227072528e-13	1.2496434751981733e-11	9.998283355521568e-07	6.820591846833407e-11	1.0171042893539186e-09	6.087868715396127e-11	9.999051101629112e-06	3.023707157115447e-11	4.119921228188784e-14
16.831683168316832	3.0999900041563386e-05	6.44268204569627e-13	1.2607605838034267e-11	9.998266373389556e-07	6.888262424038814e-11	1.0823686824604208e-09	6.148286945580452e-11	9.998986513941778e-06	3.0546579822091154e-11	4.156339107873832e-14
17.821782178217823	3.099990004192757e-05	6.499125864320013e-13	1.2718776924086802e-11	9.998249391257542e-07	6.955933001244218e-11	1.1476330755669228e-09	6.20870517576478e-11	9.998921926254444e-06	3.085608807302785e-11	4.192756987558879e-14
18.81188118811881	3.0999900042291746e-05	6.555569682943754e-13	1.2829948010139336e-11	9.99823240912553e-07	7.023603578449624e-11	1.212897468673425e-09	6.269123405949106e-11	9.998857338567108e-06	3.1165596323964535e-11	4.2291748672439263e-14
19.801980198019802	3.099990004265592e-05	6.612013501567496e-13	1.294111909619187e-11	9.998215426993519e-07	7.09127415565503e-11	1.278161861779927e-09	6.329541636133432e-11	9.998792750879774e-06	3.147510457490123e-11	4.2655927469289736e-14
20.792079207920793	3.0999900043020107e-05	6.668457320191238e-13	1.3052290182244405e-11	9.998198444861505e-07	7.158944732860435e-11	1.343426254886429e-09	6.389959866317759e-11	9.99872816319244e-06	3.1784612825837916e-11	4.3020106266140215e-14
21.78217821782178	3.099990004338428e-05	6.72490113881498e-13	1.3163461268296939e-11	9.998181462729493e-07	7.226615310065842e-11	1.4086906479929313e-09	6.450378096502085e-11	9.998663575505105e-06	3.209412107677461e-11	4.338428506299069e-14
