time	A	T	M
0.0	14119.902077922077	66094173.0355407	1000000.0
0.9900990099009901	13642.855296045087	65903237.01566266	915037.884086324
1.9801980198019802	13243.820252088855	65414378.34484161	837737.7810987999
2.9702970297029703	12905.599061398767	64727637.97452774	767768.6194756568
3.9603960396039604	12614.586500652229	63915377.85221663	704618.5619419197
4.9504950495049505	12360.02920734575	63029160.93008763	647698.8653543204
5.9405940594059405	12133.437915780029	62105023.39688886	596406.8576852861
6.930693069306931	11928.121257322233	61167501.46930287	550161.9986596998
7.920792079207921	11738.816164587537	60232695.399429925	508424.7370123147
8.910891089108912	11561.395025869742	59310591.025148965	470704.7098144077
9.900990099009901	11392.633792921075	58406810.13273764	436562.58216971724
10.89108910891089	11230.028422246853	57523922.85354308	405608.2899643871
11.881188118811881	11071.649603300413	56662425.13438597	377497.41742832324
12.871287128712872	10916.02775025249	55821461.01556087	351926.76853148016
13.861386138613861	10762.06186382993	54999351.16480482	328629.75681764085
14.85148514851485	10608.947173480987	54193974.899230525	307371.96346347604
15.841584158415841	10456.11751630213	53403041.88457737	287947.0427289233
16.831683168316832	10303.199249339887	52624281.14712948	270173.0506167554
17.821782178217823	10149.974166906037	51855568.42763045	253889.2120778765
18.81188118811881	9996.349437559404	51095007.81935152	238953.1085739651
19.801980198019802	9842.333006690646	50340979.75794512	225238.2505183701
20.792079207920793	9688.013269986035	49592164.39278497	212631.99304503013
21.78217821782178	9533.542085585428	48847547.2064535	201033.75117456316
22.77227722772277	9379.120427132219	48106411.95622663	190353.47354605593
23.762376237623762	9224.98614724725	47368324.76920058	180510.33708259946
24.752475247524753	9071.403458231784	46633112.251128666	171431.6293733227
25.742574257425744	8918.653840808089	45900835.75344249	163051.7899169411
26.73267326732673	8767.028170189913	45171763.410598636	155311.58550580722
27.722772277227723	8616.819906490588	44446341.164259724	148157.3987771643
28.712871287128714	8468.319237580308	43725163.695915245	141540.6122616965
29.7029702970297	8321.808090174663	43008945.96787105	135417.07311302042
30.693069306930692	8177.555943445358	42298495.90368318	129746.62614253517
31.683168316831683	8035.816388847814	41594688.60799131	124492.70483282441
32.67326732673267	7896.824385442533	40898442.42098303	119621.97172934422
33.663366336633665	7760.794161126569	40210697.01747256	115104.0010429794
34.65346534653465	7627.917709430122	39532393.689036295	110910.99748549111
35.64356435643565	7498.363829763086	38864457.88663839	107017.54634334368
36.633663366336634	7372.277657050866	38207784.04856419	103400.39060675477
37.62376237623762	7249.780625173351	37563222.69301669	100038.23163940919
38.613861386138616	7130.970807885796	36931569.71574064	96911.55042499355
39.603960396039604	7015.923581148388	36313557.80015868	94002.44688049358
40.59405940594059	6904.692552075381	35709849.82051869	91294.49510050898
41.584158415841586	6797.310702055243	35121034.098072514	88772.61271204261
42.57425742574257	6693.791694445066	34547621.350943476	86422.94274948545
43.56435643564356	6594.1313011882	33990043.1715383	84232.74669835101
44.554455445544555	6498.308908173822	33448651.867523976	82190.30759711261
45.54455445544554	6406.289061056708	32923721.47366849	80284.8420302484
46.53465346534654	6318.023021079111	32415449.77945407	78506.42023264772
47.524752475247524	6233.450303297018	31923961.19657138	76845.89343702084
48.51485148514851	6152.500175022581	31449310.312461916	75294.8277892767
49.504950495049506	6075.093096380574	30991485.9802862	73845.44418954421
50.495049504950494	6001.142089103497	30550415.809667647	72490.56349673591
51.48514851485149	5930.5540231330615	30125970.935499277	71223.55659989777
52.475247524752476	5863.230814024243	29717970.95451531	70038.29889787018
53.46534653465346	5799.070526929467	29326188.93361104	68929.12878034615
54.45544554455446	5737.96838516523	28950356.406861924	67890.80974785687
55.445544554455445	5679.81768364517	28590168.290924195	66918.49583271565
56.43564356435643	5624.510608930491	28245287.660890955	66007.70002208928
57.42574257425743	5571.9389688366655	27915350.339397676	65154.26541434217
58.415841584158414	5521.994835805895	27599969.262649283	64354.33885681808
59.4059405940594	5474.571108750604	27298738.596017648	63604.346843282234
60.396039603960396	5429.561998530347	27011237.579669997	62900.97347008204
61.386138613861384	5386.863442769712	26737034.092822827	62241.14026224975
62.37623762376238	5346.3734555978235	26475687.930547148	61621.987704744264
63.366336633663366	5307.992417973106	26226753.79240042	61040.85832708406
64.35643564356435	5271.6233142752935	25989783.987164833	60495.281200722784
65.34653465346534	5237.171920428568	25764330.86059698	59982.95772581754
66.33663366336634	5204.546948820551	25549948.95639675	59501.748592845324
67.32673267326733	5173.660154836995	25346196.922961455	59049.66181432668
68.31683168316832	5144.426409541714	25152639.17936181	58624.841734174384
69.3069306930693	5116.763742759167	24968847.355713516	58225.558928159306
70.29702970297029	5090.5933604547145	24794401.523587715	57850.20091757239
71.2871287128713	5065.839639931223	24628891.232047033	57497.26362658046
72.27722772277228	5042.4301061082415	24471916.365446705	57165.34351806968
73.26732673267327	5020.295391733508	24323087.837796453	56853.13035299719
74.25742574257426	4999.36918442454	24182028.141973373	56559.40050840223
75.24752475247524	4979.5881624251915	24048371.764904454	56283.010817774164
76.23762376237623	4960.891921172374	23921765.47980181	56022.8929029633
77.22772277227723	4943.222893263503	23801868.538411133	55778.04791993079
78.21782178217822	4926.526262608635	23688352.76749954	55547.54171136175
79.20792079207921	4910.749874393061	23580902.58221386	55330.5003298484
80.1980198019802	4895.844142301789	23479214.92952665	55126.105891524436
81.18811881188118	4881.761953826885	23382999.169373605	54933.592740438
82.17821782178218	4868.45857465573	23291976.903022684	54752.24389660974
83.16831683168317	4855.891552933764	23205881.75687051	54581.3877650616
84.15841584158416	4844.020624017133	23124459.12906055	54420.395083934745
85.14851485148515	4832.807616286155	23047465.90535083	54268.67609409917
86.13861386138613	4822.216358463604	22974670.15036021	54125.67791132708
87.12871287128712	4812.212588829184	22905850.779156793	53990.882087782695
88.11881188118812	4802.763866610698	22840797.214271303	53863.80234503198
89.10891089108911	4793.839485803317	22779309.031994995	53743.98246740507
90.0990099009901	4785.41039158583	22721195.601676412	53630.994342370155
91.08910891089108	4777.449099497901	22666275.72112057	53524.436138180085
92.07920792079207	4769.929617443673	22614377.250904303	53423.93060686026
93.06930693069307	4762.827370597189	22565336.749900706	53329.12350406139
94.05940594059406	4756.119129230951	22518999.114019983	53239.68211670804
95.04950495049505	4749.782939491156	22475217.219886713	53155.29389111967
96.03960396039604	4743.798057090677	22433851.574865196	53075.66515368354
97.02970297029702	4738.144883875498	22394769.974584915	53000.519917370315
98.01980198019803	4732.804907244631	22357847.168919913	52929.59876815696
99.00990099009901	4727.760642345532	22322964.537192993	52862.65782554404
100.0	4722.99557698451	22290009.77321382	52799.467772022916
