time	EGF	NGF	freeEGFReceptor	boundEGFReceptor	freeNGFReceptor	boundNGFReceptor	SosInactive	SosActive	P90RskInactive	P90RskActive	RasInactive	RasActive	RasGapActive	Raf1Inactive	Raf1Active	BRafInactive	BRafActive	MekInactive	MekActive	ErkInactive	ErkActive	PI3KInactive	PI3KActive	AktInactive	AktActive	C3GInactive	C3GActive	Rap1Inactive	Rap1Active	RapGapActive	PP2AActive	Raf1PPtase
15.841584158415841	9922004.465015857	450005.7658991255	4.465015881560167	79995.53498411839	4005.765899124959	5994.234100875042	37912.45428355485	82087.54571644534	101078.22408493029	18921.77591506961	104213.09011674185	15786.909883258239	120000.0	119013.34301669139	986.6569833087643	119315.89381544759	684.106184552603	436506.64017345983	163493.3598265404	91203.71956334717	508796.28043665155	9.556525142209638e-26	119999.99999999994	104537.68599791102	15462.314002089017	3.809714930542348e-30	119999.99999999993	105544.62439152888	14455.375608471062	120000.0	120000.0	120000.0
16.831683168316832	9922004.465015857	449808.9480017039	4.4650158815601655	79995.53498411839	3808.9480017033525	6191.051998296648	40180.21782087605	79819.7821791241	99828.69493230758	20171.305067692338	104637.8440435943	15362.155956405808	120000.0	119074.54697408529	925.453025914842	119315.89381544759	684.1061845526033	439516.7145278516	160483.2854721486	92892.97868050245	507107.0213194963	-3.086372790245248e-26	119999.99999999994	103613.9388483253	16386.061151674723	-6.7046315804396505e-28	119999.99999999993	105544.62439152888	14455.375608471062	120000.0	120000.0	120000.0
17.821782178217823	9922004.465015857	449625.29675985535	4.4650158815601655	79995.53498411839	3625.296759854702	6374.7032401453	42312.38912736466	77687.6108726355	98596.74930105556	21403.250698944325	105037.86602489052	14962.133975109607	120000.0	119128.68569719537	871.3143028047606	119315.89381544759	684.1061845526033	442161.69553927775	157838.30446072246	94431.73362395799	505568.2663760408	-5.155720220745706e-27	119999.99999999994	102697.24649052286	17302.75350947717	-1.7256783741347287e-26	119999.99999999993	105544.62439152888	14455.37560847106	120000.0	120000.0	120000.0
18.81188118811881	9922004.465015857	449453.9227348897	4.4650158815601655	79995.53498411839	3453.9227348890645	6546.077265110936	44321.99311042454	75678.0068895756	97381.80091604816	22618.199083951753	105415.47670962228	14584.523290377861	120000.0	119176.94110903887	823.0588909612669	119315.89381544759	684.1061845526032	444494.48052107973	155505.51947892053	95831.60643957855	504168.3935604202	-5.466094196416537e-31	119999.99999999994	101787.57195464183	18212.428045358192	-8.705668848758457e-27	119999.99999999993	105544.62439152888	14455.375608471062	120000.0	120000.0	120000.0
19.801980198019802	9922004.465015857	449293.99767943757	4.4650158815601655	79995.53498411839	3293.9976794369486	6706.0023205630505	46220.381248866994	73779.61875113322	96183.31080450221	23816.689195497704	105772.70532900684	14227.294670993302	120000.0	119220.24224883124	779.7577511689313	119315.89381544759	684.1061845526032	446561.3874195093	153438.612580491	97105.64096692222	502894.35903307644	-1.947538327582126e-31	119999.99999999994	100884.87822590586	19115.121774094136	-5.918573834331053e-29	119999.99999999993	105544.62439152888	14455.37560847106	120000.0	120000.0	120000.0
20.792079207920793	9922004.465015857	449144.750185706	4.465015881560167	79995.53498411839	3144.7501857056004	6855.2498142944	48017.42738816363	71982.57261183657	95000.78687924499	24999.213120754885	106111.32171489348	13888.678285106655	120000.0	119259.32896378178	740.6710362183735	119315.89381544759	684.1061845526032	448401.9953568676	151598.00464313282	98266.95546173405	501733.0445382647	-1.1065534397083107e-32	119999.99999999994	99989.12824817446	20010.871751825565	1.9059909353513008e-29	119999.99999999993	105544.62439152888	14455.37560847106	120000.0	120000.0	120000.0
21.78217821782178	9922004.465015857	449005.46166118246	4.4650158815601655	79995.53498411839	3005.46166118209	6994.53833881791	49721.734854726295	70278.2651452739	93833.78107451973	26166.218925480163	106432.87149437239	13567.128505627734	120000.0	119294.79770654443	705.2022934557001	119315.89381544759	684.1061845526032	450049.64037215535	149950.35962784497	99327.9741161585	500672.0258838401	-1.3200910539140876e-33	119999.99999999994	99100.28492747482	20899.71507252521	1.8342161780227715e-29	119999.99999999993	105544.62439152888	14455.375608471064	120000.0	120000.0	120000.0
22.77227722772277	9922004.465015857	448875.4626059203	4.4650158815601655	79995.53498411839	2875.4626059198968	7124.537394080103	51340.827879924735	68659.1721200755	92681.8853128566	27318.114687143316	106738.70918111285	13261.29081888726	120000.0	119327.13483818578	672.865161814327	119315.89381544759	684.1061845526033	451532.1758958554	148467.82410414488	100300.04274834962	499699.9572516489	-5.984856968107621e-35	119999.99999999994	98218.31113551372	21781.68886448629	-1.9287577395063696e-29	119999.99999999993	105544.62439152888	14455.375608471062	120000.0	120000.0	120000.0
23.762376237623762	9922004.465015857	448754.1291635797	4.465015881560166	79995.53498411839	2754.1291635793505	7245.87083642065	52881.31876403321	67118.68123596703	91544.72709180665	28455.272908193227	107030.02735488667	12969.972645113494	120000.0	119356.74114661427	643.2588533858243	119315.89381544759	684.1061845526033	452872.790389104	147127.20961089627	101193.28661001724	498806.71338998125	1.300483568490165e-36	119999.99999999994	97343.16971317171	22656.830286828306	3.813480994441839e-29	119999.99999999993	105544.62439152888	14455.375608471064	120000.0	120000.0	120000.0
24.752475247524753	9922004.465015857	448640.87992908905	4.4650158815601655	79995.53498411839	2640.8799290886136	7359.120070911388	54349.04911326775	65650.95088673248	90421.96515805961	29578.034841940254	107307.88147659971	12692.118523400468	120000.0	119383.95010850376	616.0498914962901	119315.89381544759	684.1061845526032	454090.77786061465	145909.22213938556	102016.61151477767	497983.3884852207	9.578909759748205e-38	119999.99999999994	96474.82347397404	23525.176526025978	-5.371916739030584e-30	119999.99999999993	105544.62439152888	14455.37560847106	120000.0	120000.0	120000.0
