time	Drug_Concentration_C	Tumor_Cell_Population_P	Damaged_Tumor_Cells_D
0.0	0.0	144.952075141053	0.0
0.9900990099009901	2.2489697589947046e-25	145.13985002698973	2.1757876487361667e-24
1.9801980198019802	1.0587667448828163e-26	145.32756563240187	5.225810674771638e-24
2.9702970297029703	-2.193444040606622e-25	145.51522120586597	9.274993711518733e-24
3.9603960396039604	-2.334283959452114e-25	145.70281597961468	9.386457152985903e-24
4.9504950495049505	-2.0488847263034857e-25	145.89034918895285	5.5391613353819046e-24
5.9405940594059405	-2.320592041895212e-25	146.0778200664717	9.82966910852449e-25
6.930693069306931	-2.4855577619346645e-25	146.26522785275964	-3.758647207195499e-24
7.920792079207921	-2.239529142118933e-25	146.4525717881276	-8.03445048671157e-24
8.910891089108912	-1.3070493984287398e-26	146.6398511132908	-1.0766823840331698e-23
9.900990099009901	1.5699581999414666e-25	146.82706507636325	-1.2756267614294755e-23
10.89108910891089	3.0055511108455015e-25	147.01421292053803	-1.3645875303309225e-23
11.881188118811881	1.538231109828153e-25	147.20129389601047	-1.4623996844390302e-23
12.871287128712872	-1.3751738833413047e-25	147.38830724898867	-1.5575030543581927e-23
13.861386138613861	-1.9367563632724658e-25	147.57525223093174	-1.679941832944629e-23
14.85148514851485	-1.0203079211396831e-25	147.76212809040544	-1.8324003674248962e-23
15.841584158415841	-5.999808744503908e-26	147.9489340809061	-1.9414105973331075e-23
16.831683168316832	-1.5037980561028425e-26	148.1356694528427	-2.0237980617917698e-23
17.821782178217823	1.305575107698053e-26	148.32233346235586	-2.1021308734942193e-23
18.81188118811881	1.0412196152200607e-26	148.50892536194183	-2.168438697299374e-23
19.801980198019802	1.635892780604002e-26	148.6954444137399	-2.2196124187412593e-23
20.792079207920793	1.7444386428395943e-26	148.88188987159012	-2.256071946259166e-23
21.78217821782178	1.27089925893251e-26	149.06826099129688	-2.277401924772701e-23
22.77227722772277	1.607595685240093e-27	149.25455703012557	-2.2844486257632865e-23
23.762376237623762	-8.055951216571151e-28	149.44077726073232	-2.288966872567791e-23
24.752475247524753	-1.5890533717968375e-27	149.62692093656898	-2.2896617321179166e-23
25.742574257425744	-1.048262606257983e-27	149.8129873183629	-2.290526760218828e-23
26.73267326732673	-1.695291897663394e-28	149.9989756684265	-2.2961213302880007e-23
27.722772277227723	-6.19982310694578e-28	150.1848852632603	-2.3115706333552186e-23
28.712871287128714	-4.7475739810622554e-27	150.37071536321773	-2.342565678062574e-23
29.7029702970297	-1.5581079036535796e-26	150.55646523575246	-2.3953632906644687e-23
30.693069306930692	-3.485010792088366e-26	150.74213414975966	-2.4767861150276133e-23
31.683168316831683	-3.076835435424818e-26	150.92772138117263	-2.594222612631028e-23
