time	Cyclin_B1_Cdk1_complex_phosphorylated	Cyclin_B1_Cdk1_complex_unphosphorylated	Plx1_active	APC_C_active	APC_C_total	Plx1_total	Cyclin_B1_Cdk1_complex_total
0.0	60.0	0.0	0.0	1.0	1.0	1.0	60.0
0.9900990099009901	40.77998686204856	1.963562552624819	0.32145097242584925	0.8702767696787975	1.0	1.0	42.74354941467338
1.9801980198019802	28.585480418600767	3.475270813936547	0.340748451591171	0.7923458552231991	1.0	1.0	32.060751232537314
2.9702970297029703	20.17268494705724	4.815585123268775	0.3115450594128592	0.7336123485722839	1.0	1.0	24.988270070326013
3.9603960396039604	14.711004911618884	5.489096218998616	0.27731868345427874	0.6758168002386269	1.0	1.0	20.2001011306175
4.9504950495049505	11.307234281859253	5.6450201362257575	0.24552403913586687	0.6162265369369782	1.0	1.0	16.952254418085012
5.9405940594059405	9.20924897090955	5.559441524449283	0.21709636435419943	0.5559999648776526	1.0	1.0	14.768690495358832
6.930693069306931	7.929844732089122	5.403385516272308	0.19188875785448023	0.4969277001370438	1.0	1.0	13.33323024836143
7.920792079207921	7.170072410516987	5.263363415039452	0.1695863305488773	0.4405760379394953	1.0	1.0	12.433435825556439
8.910891089108912	6.747402328727007	5.178121623516063	0.14986897814810005	0.38805524942693675	1.0	1.0	11.925523952243068
9.900990099009901	6.549040822626684	5.162298708257414	0.13244249394119398	0.34000991144258247	1.0	1.0	11.711339530884098
10.89108910891089	6.5039223350850826	5.219199626254791	0.11704330204917755	0.2966971525382324	1.0	1.0	11.723121961339874
11.881188118811881	6.566220911031615	5.347213931621675	0.10343722591973943	0.25808943884275565	1.0	1.0	11.91343484265329
12.871287128712872	6.705632989614923	5.542880194979828	0.0914168924923488	0.22397097601033067	1.0	1.0	12.248513184594751
13.861386138613861	6.901595628837949	5.802264744756723	0.08079895520482343	0.1940154396509061	1.0	1.0	12.703860373594672
14.85148514851485	7.139797594242398	6.121523702265335	0.07142146550265359	0.1678428972886302	1.0	1.0	13.261321296507733
15.841584158415841	7.4100382397613	6.497086009667501	0.06314148051243275	0.14505845565236528	1.0	1.0	13.9071242494288
16.831683168316832	7.704888623875384	6.925672348459684	0.05583291900856288	0.12527666949657654	1.0	1.0	14.630560972335068
17.821782178217823	8.01883715783887	7.404252490817105	0.049384653146770485	0.1081356807108839	1.0	1.0	15.423089648655974
18.81188118811881	8.347732599241478	7.929987907163749	0.0436988158719057	0.09330437140891748	1.0	1.0	16.277720506405227
19.801980198019802	8.688412669403862	8.500179311873298	0.03868930256993786	0.08048500280292618	1.0	1.0	17.18859198127716
20.792079207920793	9.038450574789548	9.112225922420354	0.034280446353110526	0.06941309150103493	1.0	1.0	18.1506764972099
21.78217821782178	9.39597786534824	9.763597337309681	0.03040584812516964	0.05985570604813039	1.0	1.0	19.15957520265792
22.77227722772277	9.759557690111537	10.451816494020123	0.027007344451224706	0.05160895325986012	1.0	1.0	20.21137418413166
23.762376237623762	10.128092041037544	11.174451354736838	0.02403409810745757	0.044495135908113534	1.0	1.0	21.302543395774382
24.752475247524753	10.50075246223759	11.92911290533584	0.0214417979347979	0.03835987045840977	1.0	1.0	22.42986536757343
25.742574257425744	10.876927389677974	12.713457311963223	0.019191956270935784	0.03306932843056881	1.0	1.0	23.5903847016412
26.73267326732673	11.256181590120534	13.52519042445371	0.01725129348082111	0.0285076856205017	1.0	1.0	24.781372014574245
27.722772277227723	11.638224704537977	14.362073191593554	0.015591200585196635	0.02457481501499215	1.0	1.0	26.00029789613153
28.712871287128714	12.022886865745619	15.221926871721381	0.01418727206913365	0.021184230503526247	1.0	1.0	27.244813737467
29.7029702970297	12.410100024280098	16.10263719005429	0.013018902078419171	0.018261272358841483	1.0	1.0	28.512737214334386
30.693069306930692	12.799884074616424	17.00215679669392	0.012068938268228508	0.0157415171117248	1.0	1.0	29.802040871310346
31.683168316831683	13.192337210141732	17.91850551667769	0.011323388621004304	0.013569390811545444	1.0	1.0	31.11084272681942
32.67326732673267	13.58763020325669	18.84976795563938	0.010771177647940973	0.011696963791927781	1.0	1.0	32.43739815889607
33.663366336633665	13.98600454505906	19.794088030673407	0.010403949595256062	0.010082905736426893	1.0	1.0	33.78009257573247
34.65346534653465	14.387774618086237	20.749659930280735	0.010215917682793852	0.008691581320125031	1.0	1.0	35.13743454836697
35.64356435643565	14.793334345020302	21.7147148594839	0.010203760135728037	0.007492268547845132	1.0	1.0	36.5080492045042
36.633663366336634	15.203169089628988	22.68750267822356	0.010366566014014532	0.006458483861635338	1.0	1.0	37.890671767852545
37.62376237623762	15.61787402769671	23.66626715370744	0.010705836889950991	0.005567400017487329	1.0	1.0	39.28414118140415
38.613861386138616	16.038180821863904	24.64921296569164	0.011225554703049489	0.004799344569956272	1.0	1.0	40.68739378755554
39.603960396039604	16.464995329643873	25.634461724605	0.011932332335518598	0.0041373685470298535	1.0	1.0	42.09945705424887
40.59405940594059	16.899450422418415	26.619992915123763	0.012835672733474766	0.0035668765791842744	1.0	1.0	43.51944333754218
41.584158415841586	17.342980096144966	27.603563559991866	0.013948376674732263	0.0030753114460318216	1.0	1.0	44.94654365613683
42.57425742574257	17.797424447637063	28.58259697197249	0.015287161841631272	0.002651887869904663	1.0	1.0	46.38002141960955
43.56435643564356	18.26518077332483	29.554025214983387	0.016873592696356233	0.0022873726902387526	1.0	1.0	47.81920598830821
44.554455445544555	18.749425960502524	30.51405987001881	0.01873548307256058	0.001973911812868132	1.0	1.0	49.26348583052133
