time	M_Tumor_Cells	N_CTL	Z_THL
0.0	2750000.0	200000.0	7200000.0
0.9900990099009901	2774590.378347423	191826.13144893042	7248641.005877794
1.9801980198019802	2799379.373513573	183984.78379824082	7296754.279482172
2.9702970297029703	2824253.8874114784	176462.48463632748	7344334.439089527
3.9603960396039604	2849111.7938369988	169246.31161803848	7391376.531807571
4.9504950495049505	2873861.3217242993	162323.86885252828	7437876.029110237
5.9405940594059405	2898420.4679238335	155683.26417173774	7483828.821834603
6.930693069306931	2922716.4439335125	149313.08790980375	7529231.214717992
7.920792079207921	2946685.1335504176	143202.39250688293	7574079.92045202
8.910891089108912	2970270.5591041413	137340.67305834414	7618372.0531724375
9.900990099009901	2993424.3589700777	131717.84891993552	7662105.121545001
10.89108910891089	3016105.27243001	126324.24616242967	7705277.021497218
11.881188118811881	3038278.629936586	121150.58080304373	7747886.028521069
12.871287128712872	3059915.8516277913	116187.94278428894	7789930.789630281
13.861386138613861	3080993.95736402	111427.78074417147	7831410.314991667
14.85148514851485	3101495.088301222	106861.88740639527	7872323.9692879105
15.841584158415841	3121406.0436716983	102482.38565237679	7912671.462792907
16.831683168316832	3140717.834179622	98281.71518014271	7952452.842226161
17.821782178217823	3159425.254485635	94252.61974454767	7991668.481399833
18.81188118811881	3177526.4766774387	90388.13494833105	8030319.071682871
19.801980198019802	3195022.6650468055	86681.57652857604	8068405.612319556
20.792079207920793	3211917.6152768293	83126.52916085692	8105929.400614021
21.78217821782178	3228217.4160728925	79716.83569579832	8142892.022022032
22.77227722772277	3243930.136295984	76446.58686712329	8179295.340158941
23.762376237623762	3259065.5352454907	73310.11139766438	8215141.486758732
24.752475247524753	3273634.797511533	70301.96651754096	8250432.8515998265
25.742574257425744	3287650.291163304	67416.92886405032	8285172.07242184
26.73267326732673	3301125.347978525	64649.98573685837	8319362.0248531485
27.722772277227723	3314074.066386278	61996.326718160875	8353005.812369229
28.712871287128714	3326511.1337478226	59451.33560569885	8386106.756298218
29.7029702970297	3338451.66939738	57010.58268633461	8418668.385895401
