time	M_Tumor_Cells	N_CTL	Z_THL
30.693069306930692	3349911.0846891557	54669.81729572551	8450694.42849685
31.683168316831683	3360904.9608081277	52424.96068489659	8482188.79977416
32.67326732673267	3371448.941831944	50272.099161616825	8513155.594100272
33.663366336633665	3381558.642006172	48207.477498829154	8543599.075039653
34.65346534653465	3391249.5665907254	46227.49261057483	8573523.665980987
35.64356435643565	3400537.043878615	44328.68746310871	8602933.94091239
36.633663366336634	3409436.168672575	42507.745240220545	8631834.6153659
37.62376237623762	3417961.7546552666	40761.48372140887	8660230.537520984
38.613861386138616	3426128.2959312242	39086.849894449784	8688126.67949602
39.603960396039604	3433949.9358059037	37480.91477106125	8715528.128819356
40.59405940594059	3441440.442386225	35940.86840805831	8742440.08009437
41.584158415841586	3448613.1901980154	34464.015128052495	8768867.826867163
42.57425742574257	3455481.1467142673	33047.768920478535	8794816.753690299
43.56435643564356	3462056.863648449	31689.649034164046	8820292.328406408
44.554455445544555	3468352.471804436	30387.27573223521	8845300.09463084
45.54455445544554	3474379.6794845676	29138.366225444704	8869845.664462738
46.53465346534654	3480149.773524747	27940.730758337624	8893934.711403875
47.524752475247524	3485673.6227734894	26792.268854219	8917572.96350193
48.51485148514851	3490961.683545295	25690.965709366883	8940766.19671542
49.504950495049506	3496024.006638302	24634.888726363013	8963520.228493582
50.495049504950494	3500870.2457507607	23622.18419178473	8985840.911587907
51.48514851485149	3505509.666876572	22651.07407804636	9007734.128071757
52.475247524752476	3509951.1585912877	21719.852981019027	9029205.783593846
53.46534653465346	3514203.242903809	20826.885172472525	9050261.801837627
54.45544554455446	3518274.0865924703	19970.60177534053	9070908.119206723
55.445544554455445	3522171.512828842	19149.498050026403	9091150.679721726
56.43564356435643	3525903.012974873	18362.130788065093	9110995.430126755
57.42574257425743	3529475.7584542194	17607.115814018558	9130448.315213101
58.415841584158414	3532896.612597873	16883.125582234148	9149515.273338437
59.4059405940594	3536172.1423936835	16188.886876433586	9168202.232162353
60.396039603960396	3539308.6300832205	15523.178595304722	9186515.104567695
61.386138613861384	3542312.0845444235	14884.829632751436	9204459.78478971
62.37623762376238	3545188.2524319384	14272.716840271314	9222042.144730069
63.366336633663366	3547942.629038586	13685.763072040138	9239268.030459799
64.35643564356435	3550580.4688476683	13122.93531060662	9256143.258909522
65.34653465346534	3553106.79577719	12583.242865021508	9272673.61473132
66.33663366336634	3555526.4130728324	12065.735646067322	9288864.847345483
67.32673267326733	3557843.912881113	11569.50250659206	9304722.668145878
68.31683168316832	3560063.6854565446	11093.669653347002	9320252.747881398
69.3069306930693	3562189.9280381296	10637.399120084097	9335460.714190485
70.29702970297029	3564226.653374295	10199.887303931453	9350352.149295129
71.2871287128713	3566177.6979051842	9780.363561476166	9364932.587846953
72.27722772277228	3568046.729620079	9378.088860105838	9379207.514915345
73.26732673267327	3569837.2555706883	8992.354486843813	9393182.364124404
74.25742574257426	3571552.6290843314	8622.480806405418	9406862.515918318
75.24752475247524	3573196.0566458115	8267.816073062042	9420253.295967774
76.23762376237623	3574770.6044955757	7927.73528801674	9433359.973696461
77.22772277227723	3576279.2049248167	7601.639105158231	9446187.760935474
78.21782178217822	3577724.6622933974	7288.952780768115	9458741.810694443
79.20792079207921	3579109.6587811336	6989.125165389994	9471027.216044838
80.1980198019802	3580436.7598689473	6701.627738358295	9483049.009116814
81.18811881188118	3581708.419584325	6425.953679525914	9494812.160195168
82.17821782178218	3582926.9854912898	6161.616981355663	9506321.576922683
83.16831683168317	3584094.703467565	5908.151594709758	9517582.103593005
84.15841584158416	3585213.722248746	5665.110611629934	9528598.520541523
85.14851485148515	3586286.0977707277	5432.065480283042	9539375.543621104
86.13861386138613	3587313.7973110066	5208.605252104975	9549917.823762435
87.12871287128712	3588298.703434173	4994.335860451654	9560229.946616653
88.11881188118812	3589242.617763472	4788.879427402826	9570316.432270939
89.10891089108911	3590147.264567784	4591.873600602255	9580181.735041479
90.0990099009901	3591014.294194278	4402.970915383926	9589830.24333086
91.08910891089108	3591845.286332701	4221.83818466023	9599266.279555568
92.07920792079207	3592641.753136317	4048.1559126166953	9608494.100132866
93.06930693069307	3593405.1421964234	3881.6177328720723	9617517.895528033
94.05940594059406	3594136.839379198	3721.929869830924	9626341.790357968
95.04950495049505	3594838.171536773	3568.810621370741	9634969.843545837
96.03960396039604	3595510.4090878963	3421.9898637998485	9643406.04852824
97.02970297029702	3596154.7684882507	3281.208575816345	9651654.33350628
98.01980198019803	3596772.414580852	3146.218383245511	9659718.56174385
99.00990099009901	3597364.4628457422	3016.7811213738782	9667602.531904932
100.0	3597931.981543864	2892.668415887077	9675309.978431368
