time	mw15abaa48_d7d0_4845_ae04_c573d289d495	mwfcfaf604_14d4_47a6_b021_226d1fb5497c	mw8796c919_9251_4970_8f87_0bca9ecfeb5c	mw849ed3fd_87d9_44d2_9f3e_4d631b900d41	mwcb834e43_dc57_45ae_9452_f4c10955caf1	mwf166ad55_4ff0_49fb_95d2_b657ad7653d5	mwee54b5b4_b8c0_41df_8dda_5b160c5e10a5	mw812f63db_4cb0_40ad_b92b_9874be969dfe	mw73259e20_240e_4f3a_b2e0_9ca248658898	mw919f8a86_e702_4b24_9cd7_adad694fcf9b	mw08818dfe_fb12_45cc_8c1d_d965f142d0ce
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0001	5e-05	0.0
0.9900990099009901	6.914603371674314e-07	5.65414350767767e-10	3.614517494090071e-08	1.0536088551927935e-09	6.780138830708054e-10	9.383649988845874e-12	3.075036369143518e-12	7.486027687607258e-08	0.0001	5e-05	0.0
1.9801980198019802	1.3144476845869911e-06	2.1772277618335425e-09	1.3441505852999093e-07	7.28059363579941e-09	2.7023087881000734e-09	1.0444830141792431e-10	2.14759767929496e-11	1.4838515565690306e-07	0.0001	5e-05	0.0
2.9702970297029703	1.8786068183629605e-06	4.7165940710706e-09	2.808992370997444e-07	2.2792524691085878e-08	6.088858705699558e-09	4.675003380908936e-10	6.840032311577972e-11	2.2060404884819134e-07	0.0001	5e-05	0.0
3.9603960396039604	2.3918198018489933e-06	8.08201383840713e-09	4.6443122730099876e-07	5.0593674584361484e-08	1.0885397075607645e-08	1.3706432429842942e-09	1.5548151767535216e-10	2.915466800037293e-07	0.0001	5e-05	0.0
4.9504950495049505	2.8602632066518127e-06	1.2191193240093037e-08	6.764782917518575e-07	9.267990344301994e-08	1.7161368712766984e-08	3.140658254675258e-09	2.933303240585095e-10	3.612410471592886e-07	0.0001	5e-05	0.0
5.9405940594059405	3.2891501180400383e-06	1.6973583343759964e-08	9.10032947823055e-07	1.5040810852484155e-07	2.500043992235217e-08	6.144297808262657e-09	4.926172069226039e-10	4.297146157631814e-07	0.0001	5e-05	0.0
6.930693069306931	3.6829597131159084e-06	2.2368611383604362e-08	1.159261687421295e-06	2.246561039457691e-07	3.4493787036586807e-08	1.0768403790429213e-08	7.641089745738935e-10	4.969941116679e-07	0.0001	5e-05	0.0
7.920792079207921	4.045458340635946e-06	2.8326257782530175e-08	1.4195011607968485e-06	3.1583083577331816e-07	4.57379418231362e-08	1.7414202704285e-08	1.118788672072984e-09	5.63105452134631e-07	0.0001	5e-05	0.0
8.910891089108912	4.3798114458828835e-06	3.480615272745298e-08	1.6870547720132018e-06	4.2395635707909394e-07	5.883107548699294e-08	2.6487342944918706e-08	1.5679011839863228e-09	6.280737533559403e-07	0.0001	5e-05	0.0
9.900990099009901	4.688752562735173e-06	4.177573907801215e-08	1.9589075274707935e-06	5.487997716810499e-07	7.386909895597238e-08	3.83873179862354e-08	2.122886273544149e-09	6.919234111224089e-07	0.0001	5e-05	0.0
10.89108910891089	4.9746832169827286e-06	4.920918716096081e-08	2.2325672427687633e-06	6.899457134181006e-07	9.094336949418477e-08	5.3501166701561474e-08	2.79524206624435e-09	7.546781501788962e-07	0.0001	5e-05	0.0
11.881188118811881	5.239718244995436e-06	5.708690553029065e-08	2.5059932597219554e-06	8.468327097025821e-07	1.1013949489724995e-07	7.220011737072845e-08	3.5963790541556616e-09	8.163610424682619e-07	0.0001	5e-05	0.0
12.871287128712872	5.485729437296785e-06	6.539498383234995e-08	2.7775200319701945e-06	1.0187908097037723e-06	1.3153622924508594e-07	9.483642877403847e-08	4.537461527982411e-09	8.769945264635329e-07	0.0001	5e-05	0.0
13.861386138613861	5.714360047254664e-06	7.412494565621539e-08	3.045828521103864e-06	1.2050538856679338e-06	1.5520525709969914e-07	1.2174274261180163e-07	5.629376231306694e-09	9.366004182690315e-07	0.0001	5e-05	0.0
14.85148514851485	5.9270632871684705e-06	8.327317785048796e-08	3.309877009894636e-06	1.4047929450252105e-06	1.8121037664522598e-07	1.5322967941272514e-07	6.882598348543938e-09	9.951999338425783e-07	0.0001	5e-05	0.0
