time	cLc	cLm	cLn	cP7c	cP7m	cP7n	cP9c	cP9m	cP9n	cPn	cTc	cTm	cTn	cXc	cXm	cXn	cYc	cYm	cYn
0.0	6.7846	0.8539	6.8104	20.0554	4.28	2.091	6.0091	1.1006	3.7528	0.0	0.1724	0.3717	8.0398	13.0372	8.487	31.8995	7.075	0.1937	1.07
0.9900990099009901	7.148213824343165	0.8158829933630152	7.206564388878182	23.359124382248524	4.669487953851499	2.4379749524681027	6.434133551912003	1.270552025033425	4.015738343190308	0.33785328208194804	0.13949801181751442	0.28174939987870856	6.865871329294319	13.92720342222551	8.481551035829273	34.13660232388034	6.041658437896739	0.16171202676700533	0.9135685704329708
1.9801980198019802	7.229847835151393	0.7423616465172079	7.320872450657413	26.87681541973981	4.968815601262089	2.8083327248221406	6.933074894159028	1.3985048558803548	4.32638034314874	0.5173656893911579	0.11568234690707953	0.21478038827878984	5.801432205126935	14.543314422436588	8.247799278795522	35.72470438765199	5.138820273932479	0.13886766877069348	0.7768876183166464
2.9702970297029703	7.006611810426166	0.6428709094559779	7.125672842384906	30.461105119400404	5.163574730161364	3.1866343376021713	7.469089351127827	1.467697847680378	4.661963316143925	0.6271588809790294	0.09557208663879298	0.1654672257773217	4.861690264967609	14.743295556904787	7.764133784949513	36.31261528480832	4.368356747995466	0.12651994001682734	0.6602157318870995
3.9603960396039604	6.504126819360069	0.5325810575945522	6.6417293080142406	33.94957012847991	5.239548986880017	3.5557594948409506	7.998241050861136	1.4671576449967512	4.995128505266199	0.6985402623640828	0.078790310850766	0.12964631663277582	4.047463591033501	14.415609573657422	7.073674517373218	35.613543860883055	3.7358701942990633	0.1288104262346749	0.5643442614568223
4.9504950495049505	5.796195357655948	0.4271184121228874	5.939958152503813	37.162836645772735	5.1843731279514875	3.896736640026232	8.474909633801955	1.3955803068422423	5.297191996660911	0.7465150002332781	0.06497543786359494	0.1044509152969663	3.353333929763546	13.532300175871079	6.270069005618718	33.53916754645142	3.2587217868193306	0.15502317086469528	0.4917972381169778
5.9405940594059405	4.984116428012508	0.3373302531348714	5.122044366615608	39.909196727501964	4.991304700890737	4.18921628997363	8.858909269159836	1.2633453749954315	5.542570836002811	0.7794104383417083	0.05385593836691715	0.08858531099945167	2.770760829117512	12.165312400957443	5.447405608833742	30.249133762168572	2.979142442431988	0.22321538916195532	0.4487813123333585
6.930693069306931	4.1670241969959605	0.2673575562594435	4.290303953433482	41.99849470025886	4.664569354769382	4.412924275573424	9.122340606403231	1.0907191603612958	5.713144994486578	0.8022568850082944	0.04535045326590215	0.08290809455857377	2.291130607525807	10.463617315171314	4.66864067047453	26.100224032050107	2.98287619334163	0.36336176985208324	0.4479794576270774
7.920792079207921	3.4187836122654423	0.21595369647836835	3.522939242607641	43.26593137768868	4.224194062156642	4.550176231723817	9.253611981330259	0.9022944363807661	5.800940869415894	0.8182593518591941	0.039738904560150765	0.09175719886345515	1.9092249168406363	8.615942026194764	3.9648323849293483	21.554890534733715	3.414600192807924	0.6126831292921269	0.5109404844954164
8.910891089108912	2.778884887983459	0.17888237650233418	2.863386735282024	43.60124680785307	3.7066819171732455	4.588991129925108	9.257091444895439	0.7202021307798857	5.808099092092197	0.8295327664836255	0.03796322679009269	0.12544807363800017	1.6281208048559208	6.813254638079371	3.346127947935531	17.087787784596824	4.4613260738300236	0.991516777571993	0.6658308817846041
9.900990099009901	2.2553466701809866	0.1509082608785745	2.3224100798285434	42.97252994123316	3.158627127642555	4.525674535873366	9.14893565631041	0.5593360240752976	5.744381118056608	0.8375062284992574	0.041958153378412175	0.20252964492894907	1.4661397494094788	5.212467935403577	2.811633213389228	13.095416544636642	6.270496819319532	1.4661855001278052	0.9354426125566256
