time	agonist	DR	DRG_GDP	DRG	GDP	DRG_GTP	GTP	Recptor	G_GDP	G_GTP
0.0	1e-08	0.0	0.0	0.0	0.0	0.0	1e-05	1e-09	1e-09	0.0
1.0	9.964837604924651e-09	3.2611069635534104e-11	2.1820174028225266e-12	2.366371503403289e-15	2.2920220375454153e-13	2.140273011479189e-13	9.99999977316417e-06	9.648376049246504e-10	9.97590200176103e-10	1.1387938324284368e-14
2.0	9.94028521816224e-09	5.2877219090949406e-11	5.6775571918756246e-12	6.3171758825530755e-15	7.360660321843428e-13	6.859369548971698e-13	9.999999270251145e-06	9.40285218162239e-10	9.93591319803367e-10	3.886642184376406e-14
3.0	9.920765065350362e-09	6.801023456687898e-11	9.25826224285085e-12	1.0672656162008094e-14	1.6126692976684208e-12	1.471735941216758e-12	9.999998398003359e-06	9.207650653503628e-10	9.891491088363509e-10	1.1021798134857334e-13
4.0	9.906430995181955e-09	7.779779776441303e-11	1.2967995481708572e-11	1.547178959787337e-14	2.852054231993101e-12	2.5663238786550483e-12	9.999997163417558e-06	9.064309951819559e-10	9.842262045930252e-10	2.240036659862998e-13
5.0	9.898092338628425e-09	8.112299457900236e-11	1.7037500659333625e-11	2.091961855966611e-14	4.4176190467400535e-12	3.942869881644645e-12	9.999995603300572e-06	8.980923386284261e-10	9.78626058274924e-10	3.7265378199496116e-13
6.0	9.888159358040433e-09	8.656861811500765e-11	2.0275058432651165e-11	2.562807058280903e-14	6.1989525214510694e-12	5.414792337109144e-12	9.99999382667555e-06	8.881593580404336e-10	9.736909624383875e-10	5.935623710304712e-13
7.0	9.878870711041808e-09	9.160310060229564e-11	2.303217655016324e-11	3.0006569437770025e-14	8.228621383970376e-12	7.037125077557421e-12	9.999991801385186e-06	8.788707110418088e-10	9.690249964859603e-10	8.756997426994974e-13
8.0	9.872240528129914e-09	9.394877894594351e-11	2.562510813998593e-11	3.442347556236974e-14	1.0535926068206293e-11	8.859382293664694e-12	9.999989498497408e-06	8.722405281299145e-10	9.642719488463048e-10	1.2091424341369716e-12
9.0	9.86826880930475e-09	9.360565314595124e-11	2.8053853202119237e-11	3.887878895660818e-14	1.3120866574158821e-11	1.0881563985430965e-11	9.999986918012215e-06	8.682688093047508e-10	9.594318195194208e-10	1.593890445342894e-12
10.0	9.866955554566316e-09	9.057372320231884e-11	3.031841173656316e-11	4.3372509620485347e-14	1.598344290182796e-11	1.3103670152856236e-11	9.99998405992961e-06	8.669555545663175e-10	9.545046085053082e-10	2.0299437763172644e-12
11.0	9.865303055094022e-09	8.820702177970275e-11	3.2293825090015646e-11	4.758635132515913e-14	1.8970076377434515e-11	1.5336318071700393e-11	9.999981077509975e-06	8.653030550940238e-10	9.498045832951123e-10	2.517694724901015e-12
12.0	9.862010816878047e-09	8.796062662253613e-11	3.392588253360987e-11	5.138223216915371e-14	2.2014140067797286e-11	1.749734796155171e-11	9.999978037242166e-06	8.62010816878048e-10	9.454680823440253e-10	3.057313481403719e-12
13.0	9.85937204615303e-09	8.726874863050639e-11	3.5310175727501894e-11	5.500363676290486e-14	2.5233119557172935e-11	1.973163501541686e-11	9.999974821884081e-06	8.593720461530318e-10	9.412546953209671e-10	3.6484999433442835e-12
14.0	9.857386742918974e-09	8.613138780361352e-11	3.644670467169171e-11	5.845056510641258e-14	2.8627014845561465e-11	2.203917923329585e-11	9.99997143143572e-06	8.573867429189753e-10	9.371644222259382e-10	4.291254110722708e-12
15.0	9.856054907175878e-09	8.454854414185753e-11	3.733546936617933e-11	6.172301719967686e-14	3.219582593296287e-11	2.441998061518867e-11	9.999967865897085e-06	8.560549071758786e-10	9.331972630589383e-10	4.9855759835389935e-12
16.0	9.854951909228832e-09	8.293093863947802e-11	3.801585194510904e-11	6.477886228283441e-14	3.585994763973161e-11	2.679258648092553e-11	9.999964204831222e-06	8.549519092288342e-10	9.294088119508925e-10	5.717983834774094e-12
17.0	9.853059438325096e-09	8.22635273884017e-11	3.858229528693737e-11	6.751706595743257e-14	3.942847760699035e-11	2.896166395329249e-11	9.99996063903946e-06	8.530594383250976e-10	9.259323900095542e-10	6.456146935433538e-12
18.0	9.851271099737718e-09	8.168197506161974e-11	3.895192227977735e-11	7.002628963745874e-14	4.3068939701172805e-11	3.109862484210133e-11	9.999957001086589e-06	8.512710997377206e-10	9.226510030417692e-10	7.228436693590154e-12
