time	M	Ma	Bn	Ba	Cy
0.0	477000.0	0.0	0.0	0.0	0.0
0.9900990099009901	468667.19905343716	8864.761918500455	394.9610662894407	5650.018511587793	0.0005842158866627286
1.9801980198019802	208944.52639665868	279744.8555127594	26931.7832688994	724681.021648598	0.9728033840236816
2.9702970297029703	10009.444364621348	567431.4944405121	286243.6069048901	3245328.941348587	32.353700079564945
3.9603960396039604	12369.748444887811	664402.7933515559	229500.06490416854	3007978.4292200487	30.575770995569993
4.9504950495049505	13843.859515567563	769671.9764354494	197933.18697071398	3069474.2507659956	30.398445818937237
5.9405940594059405	13857.486341992639	884407.2320738749	193309.1679113509	3480843.5988897583	33.98223206923011
6.930693069306931	13293.415385312914	1008274.3607159198	199438.5265638423	4084715.7069178894	39.969573388053085
7.920792079207921	13400.606882923641	1140321.2875770414	197158.0861958757	4525871.908666769	44.84679124518485
8.910891089108912	15095.001807658058	1279670.7836728513	174612.0164201535	4455213.628197271	44.81754885180719
9.900990099009901	19425.20367901324	1425061.8350759298	134909.7519599763	3808598.9310789686	38.79080973989254
10.89108910891089	28212.411951280275	1574100.836767205	91690.09023244891	2857020.49879757	29.26768345720447
11.881188118811881	44162.32586193278	1722952.806851474	57243.66501418454	1966477.2354667133	20.0524766649694
12.871287128712872	69128.71497940646	1868007.9764086667	35473.862900036926	1341957.8622047238	13.45888934277561
13.861386138613861	100537.01285479336	2009951.3765761585	23719.508031674915	984577.3163389155	9.64440705990328
14.85148514851485	132134.01079853083	2153942.6779273096	17715.055870185595	801280.7429909778	7.686705372021179
15.841584158415841	160733.0178098584	2303006.7845343244	14384.245188381852	703507.180537119	6.656969344855146
16.831683168316832	187772.89863274497	2455638.6256937664	12181.978822362073	640233.363984392	6.00541011052123
17.821782178217823	215413.40465739524	2609186.561313927	10507.852091578017	590590.653335507	5.501995538036229
18.81188118811881	244711.4062593406	2761754.3323486685	9153.933952748093	547942.7978946595	5.0724144689074775
19.801980198019802	275924.3258173121	2912092.9612598927	8035.724730742043	510304.08950588	4.694512861750849
20.792079207920793	308988.20454133	3059235.2553779916	7104.325082885982	476860.9115116323	4.359508212221989
21.78217821782178	343726.72067609284	3202338.368055905	6324.202363115759	447077.8706122638	4.061785664287797
22.77227722772277	379912.62798993237	3340651.3604914965	5667.620084121872	420517.68259812973	3.7968064080535773
23.762376237623762	417285.0577175308	3473519.8571764906	5112.524623314265	396805.3967987984	3.5606937089564545
24.752475247524753	455558.3178210509	3600395.6743577407	4641.245769003549	375616.1710398202	3.350097415142295
25.742574257425744	494430.08754443616	3720843.651816342	4239.542103334338	356667.2756154535	3.1621080690996095
26.73267326732673	533589.9732129948	3834544.338828622	3895.873165452595	339711.7064963313	2.994189044314962
27.722772277227723	572728.1482930031	3941292.560904255	3600.8385387950816	324532.913762809	2.844120865516544
28.712871287128714	611543.6501881821	4040992.273817208	3346.74263399993	310940.41771303315	2.709955112751627
29.7029702970297	649751.9380402849	4133648.306844604	3127.2549256881202	298766.1436374382	2.5899760139830295
30.693069306930692	687091.3857801652	4219355.713520801	2937.1432287992516	287861.34512806317	2.4826682884880387
31.683168316831683	723328.478375462	4298287.495421376	2772.0632077970536	278094.0113439526	2.3866900948695013
32.67326732673267	758261.5780694396	4370681.452828046	2628.391468301762	269346.67622257536	2.300850188597704
33.663366336633665	791723.2268059757	4436826.851361702	2503.092602546242	261514.5619638827	2.224088567679357
34.65346534653465	823581.0398048115	4497051.493525802	2393.6128293820793	254504.0019664747	2.155460020725202
35.64356435643565	853737.3184127377	4551709.661242039	2297.794568406976	248231.0979818424	2.094120103168604
36.633663366336634	882127.5644527049	4601171.264636793	2213.8075608577055	242620.57353120507	2.039313146765421
37.62376237623762	908718.1119795326	4645812.405431846	2140.0931225187073	237604.7920570672	1.990361975637707
38.613861386138616	933503.1055438581	4686007.449612749	2075.3188669855613	233122.91290592667	1.9466590585921448
39.603960396039604	956501.05214865	4722122.609760517	2018.3417804158232	229120.16268327914	1.9076588594608075
