time	a	b	c
0.0	1e-15	1e-15	1e-15
0.9900990099009901	-1.2427328938267716e-12	-1.092714982109998e-12	-9.355933469838535e-13
1.9801980198019802	-3.137263850175699e-12	-2.6581195728144706e-12	-1.8822162734235762e-12
2.9702970297029703	-5.031794806524626e-12	-4.223524163518942e-12	-2.8288391998632985e-12
3.9603960396039604	-7.903816013099451e-12	-9.327113857434597e-12	-3.8304391819574164e-12
4.9504950495049505	-1.0879556312608919e-11	-1.48061316944495e-11	-4.837872644583307e-12
5.9405940594059405	-1.3855296612118388e-11	-2.0285149531464403e-11	-5.845306107209199e-12
6.930693069306931	-1.6831036911627858e-11	-2.576416736847931e-11	-6.852739569835091e-12
7.920792079207921	-1.980677721113733e-11	-3.1243185205494215e-11	-7.860173032460981e-12
8.910891089108912	-2.27825175106468e-11	-3.6722203042509124e-11	-8.867606495086874e-12
9.900990099009901	-2.575825781015627e-11	-4.220122087952404e-11	-9.875039957712766e-12
10.89108910891089	-2.626889069010192e-11	-4.628712509434112e-11	-9.095130663781231e-12
11.881188118811881	-2.241385580769581e-11	-4.790584626412961e-11	-5.1498645214425044e-12
12.871287128712872	-1.8558820925289703e-11	-4.9524567433918096e-11	-1.204598379103781e-12
13.861386138613861	-1.47037860428836e-11	-5.1143288603706586e-11	2.7406677632349425e-12
14.85148514851485	-1.0848751160477504e-11	-5.2762009773495076e-11	6.685933905573653e-12
15.841584158415841	-6.993716278071395e-12	-5.4380730943283566e-11	1.063120004791238e-11
16.831683168316832	-3.1386813956652873e-12	-5.599945211307204e-11	1.4576466190251106e-11
17.821782178217823	7.1635348674082e-13	-5.7618173282860526e-11	1.852173233258983e-11
18.81188118811881	1.3916985890782388e-12	-5.946368047687593e-11	1.9692080609244985e-11
19.801980198019802	1.3581267132401165e-12	-6.135974998171645e-11	2.024375646057215e-11
20.792079207920793	1.324554837401994e-12	-6.325581948655697e-11	2.0795432311899318e-11
21.78217821782178	1.2909829615638716e-12	-6.515188899139752e-11	2.1347108163226484e-11
22.77227722772277	1.257411085725749e-12	-6.704795849623803e-11	2.189878401455365e-11
23.762376237623762	1.2238392098876268e-12	-6.894402800107857e-11	2.2450459865880817e-11
24.752475247524753	1.1902673340495043e-12	-7.08400975059191e-11	2.3002135717207987e-11
25.742574257425744	1.1668773037085882e-12	-7.272068969806529e-11	2.3647141204406787e-11
26.73267326732673	1.1703970659632779e-12	-7.456037660691521e-11	2.4538809356543696e-11
27.722772277227723	1.1739168282179675e-12	-7.640006351576512e-11	2.54304775086806e-11
28.712871287128714	1.1774365904726574e-12	-7.823975042461505e-11	2.6322145660817508e-11
29.7029702970297	1.1809563527273471e-12	-8.007943733346497e-11	2.721381381295442e-11
30.693069306930692	1.1844761149820368e-12	-8.191912424231488e-11	2.810548196509132e-11
31.683168316831683	1.1879958772367267e-12	-8.375881115116481e-11	2.8997150117228233e-11
32.67326732673267	1.1915156394914164e-12	-8.559849806001473e-11	2.988881826936514e-11
33.663366336633665	1.1920337412659157e-12	-8.742169333519139e-11	3.05797910590001e-11
34.65346534653465	1.1914490416747997e-12	-8.923882963192724e-11	3.119702895379919e-11
35.64356435643565	1.1908643420836838e-12	-9.105596592866306e-11	3.1814266848598275e-11
36.633663366336634	1.1902796424925676e-12	-9.28731022253989e-11	3.243150474339736e-11
37.62376237623762	1.1896949429014516e-12	-9.469023852213474e-11	3.304874263819646e-11
38.613861386138616	1.1891102433103356e-12	-9.650737481887056e-11	3.366598053299554e-11
39.603960396039604	1.1885255437192197e-12	-9.83245111156064e-11	3.428321842779463e-11
40.59405940594059	1.1879408441281037e-12	-1.0014164741234222e-10	3.4900456322593713e-11
41.584158415841586	1.1873561445369875e-12	-1.0195878370907807e-10	3.551769421739281e-11
42.57425742574257	1.1867714449458716e-12	-1.037759200058139e-10	3.6134932112191895e-11
43.56435643564356	1.1861867453547556e-12	-1.0559305630254974e-10	3.675217000699098e-11
44.554455445544555	1.1856020457636396e-12	-1.0741019259928556e-10	3.7369407901790064e-11
45.54455445544554	1.1850173461725234e-12	-1.0922732889602139e-10	3.798664579658916e-11
46.53465346534654	1.1844326465814075e-12	-1.1104446519275724e-10	3.8603883691388246e-11
47.524752475247524	1.1838479469902915e-12	-1.1286160148949307e-10	3.9221121586187334e-11
48.51485148514851	1.1832632473991755e-12	-1.1467873778622892e-10	3.983835948098642e-11
49.504950495049506	1.1826785478080594e-12	-1.1649587408296474e-10	4.045559737578551e-11
50.495049504950494	1.1820938482169434e-12	-1.1831301037970056e-10	4.1072835270584597e-11
51.48514851485149	1.1815091486258274e-12	-1.201301466764364e-10	4.1690073165383684e-11
52.475247524752476	1.1809244490347115e-12	-1.2194728297317225e-10	4.230731106018278e-11
53.46534653465346	1.1803397494435953e-12	-1.2376441926990807e-10	4.292454895498186e-11
54.45544554455446	1.1797550498524793e-12	-1.255815555666439e-10	4.354178684978095e-11
55.445544554455445	1.1791703502613633e-12	-1.2739869186337974e-10	4.4159024744580035e-11
56.43564356435643	1.1785856506702474e-12	-1.2921582816011558e-10	4.477626263937912e-11
57.42574257425743	1.1780009510791314e-12	-1.310329644568514e-10	4.539350053417821e-11
58.415841584158414	1.1774162514880152e-12	-1.3285010075358725e-10	4.6010738428977304e-11
59.4059405940594	1.1768315518968993e-12	-1.3466723705032307e-10	4.6627976323776386e-11
