time	E	T
0.0	320000.0	5000000.0
0.9900990099009901	327461.0990066498	5757240.948632294
1.9801980198019802	335691.22949576034	6621591.309547884
2.9702970297029703	344779.6135619558	7606026.374010358
3.9603960396039604	354818.6626056331	8724455.008368056
4.9504950495049505	365902.75180913194	9991592.329592297
5.9405940594059405	378126.7277146481	11422761.312719123
6.930693069306931	391584.16739924357	13033609.524907777
7.920792079207921	406365.424261044	14839728.05498214
8.910891089108912	422555.5117931745	16856162.082812894
9.900990099009901	440231.8922717159	19096806.970551156
10.89108910891089	459462.2512294447	21573690.504065942
11.881188118811881	480302.35086963174	24296151.299125332
12.871287128712872	502794.0659021623	27269935.187446505
13.861386138613861	526963.7134584584	30496245.163666595
14.85148514851485	552820.7938419988	33970795.046695136
15.841584158415841	580357.2594303518	37682930.722322434
16.831683168316832	609547.4225014992	41614893.425177276
17.821782178217823	640348.5966676322	45741304.51768754
18.81188118811881	672702.5385738002	50028948.15960972
19.801980198019802	706537.7156328751	54436915.57473568
20.792079207920793	741772.3728817819	58917151.65675541
21.78217821782178	778318.3121352249	63415413.10673346
22.77227722772277	816085.2342832821	67872609.86002249
23.762376237623762	854985.4414574497	72226463.6507535
24.752475247524753	894938.6552850099	76413384.21865684
25.742574257425744	935876.6893558045	80370440.60604271
26.73267326732673	977747.7207038198	84037295.90231474
27.722772277227723	1020519.9362744419	87357980.25620061
28.712871287128714	1064184.3807540592	90282397.73335034
29.7029702970297	1108756.894236188	92767494.21281177
30.693069306930692	1154279.0914938238	94778050.59116733
31.683168316831683	1200818.3907425222	96287102.90105684
32.67326732673267	1248467.1399388963	97276023.2167051
33.663366336633665	1297340.9094701377	97734319.48155631
34.65346534653465	1347576.0187367005	97659226.57214275
35.64356435643565	1399326.3426249106	97055165.40260148
36.633663366336634	1452759.404762474	95933142.77795835
37.62376237623762	1508051.712214535	94310154.15986058
38.613861386138616	1565383.226026884	92208636.69338399
39.603960396039604	1624930.798561072	89656002.75574405
40.59405940594059	1686860.348726848	86684266.47120261
41.584158415841586	1751317.4963476209	83329758.24282168
42.57425742574257	1818416.3484659016	79632906.01588902
43.56435643564356	1888226.1357317935	75638047.34200111
44.554455445544555	1960755.457806704	71393223.864446
45.54455445544554	2035934.0374619437	66949900.51685598
46.53465346534654	2113592.1382763307	62362546.7979394
47.524752475247524	2193438.2064356958	57688018.77185723
48.51485148514851	2275035.8858625526	52984690.01341432
49.504950495049506	2357782.34007685	48311299.73810022
50.495049504950494	2440890.760781228	43725517.71474314
51.48514851485149	2523380.9329365953	39282267.90167933
52.475247524752476	2604082.5261644595	35031902.03622033
53.46534653465346	2681656.0040621366	31018363.733384468
54.45544554455446	2754635.220796145	27277521.97703978
55.445544554455445	2821493.4507661858	23835868.430628464
56.43564356435643	2880730.629259646	20709754.774596382
57.42574257425743	2930974.4940892183	17905291.26682424
58.415841584158414	2971083.2963935416	15418940.685467757
59.4059405940594	3000234.704365836	13238740.564389745
60.396039603960396	3017986.0871696696	11345994.530089917
61.386138613861384	3024296.0998744797	9717213.865580972
62.37623762376238	3019505.231429642	8326076.936030289
63.366336633663366	3004281.207983876	7145206.089276489
64.35643564356435	2979541.172043025	6147625.00617355
65.34653465346534	2946364.79971207	5307833.5517817
66.33663366336634	2905911.049904515	4602502.954804904
67.32673267326733	2859347.4028445655	4010840.0847606743
68.31683168316832	2807795.9572845134	3514692.8938465104
69.3069306930693	2752296.937628236	3098473.421345831
70.29702970297029	2693787.636164725	2748966.649984415
71.2871287128713	2633093.5950654163	2455079.4704329963
72.27722772277228	2570928.6036677416	2207568.8410526314
73.26732673267327	2507900.449273689	1998774.7546779586
74.25742574257426	2444519.9805211565	1822373.016168079
75.24752475247524	2381211.700478601	1673155.2153324431
76.23762376237623	2318324.68515862	1546838.2355391495
77.22772277227723	2256143.078679809	1439902.5734056162
78.21782178217822	2194895.74771172	1349457.0809295091
79.20792079207921	2134764.9036361007	1273127.0020327803
80.1980198019802	2075893.6452445253	1208962.0041233862
81.18811881188118	2018392.4606697222	1155361.0565468306
82.17821782178218	1962344.7733049223	1111011.3190841055
83.16831683168317	1907811.6367922153	1074838.5759995626
84.15841584158416	1854835.688726159	1045967.126941481
85.14851485148515	1803444.468272463	1023687.3948715606
86.13861386138613	1753653.1938168055	1007429.8196874349
87.12871287128712	1705467.0857572465	996743.870517243
88.11881188118812	1658883.3082459501	991281.2313611205
89.10891089108911	1613892.592954487	990782.3980388239
90.0990099009901	1570480.5982244832	995066.0742311388
91.08910891089108	1528629.0484268987	1004020.8761154771
92.07920792079207	1488316.6909838095	1017598.9534937532
93.06930693069307	1449520.1023663364	1035811.2130987839
94.05940594059406	1412214.368835857	1058723.8961017765
95.04950495049505	1376373.6637206026	1086456.3078665936
96.03960396039604	1341971.739003455	1119179.5416328094
97.02970297029702	1308982.3461235769	1157116.067533565
98.01980198019803	1277379.5983248984	1200540.0831070112
99.00990099009901	1247138.28478122	1249778.5398804948
100.0	1218234.1449752543	1305212.7737545099
