time	U_H	U_E	U_I	U_R	V	IFN	K
0.0	500000000.0	0.0	0.0	0.0	0.001	0.0	800000.0
0.9900990099009901	230268953.1895433	126036138.41919586	4249202.632817505	114979994.1404578	2221.636524921281	0.7089253507414952	800298.5326365923
1.9801980198019802	34218.088524717714	16295820.150791543	10000276.29532422	213628974.58693796	24988.573135860504	10.008971598216476	814848.6734796911
2.9702970297029703	160829.16145176836	1634036.6119495698	1555549.5576463786	213932711.7482689	4730.776274041488	2.1598716907837394	818762.8869578647
3.9603960396039604	791154.1434793392	732053.4319015715	298107.12273984787	214054106.05854857	803.9303433313893	0.3675811866791673	818730.5687639066
4.9504950495049505	2048096.141425085	630034.2546421792	144875.90295924852	213789785.51142925	306.54998816101534	0.12654557637930136	818193.4354088304
5.9405940594059405	2959114.0662819156	741542.4727554059	141392.51631232337	213609458.55716813	266.7445818738808	0.10415149715536406	817620.8906843401
6.930693069306931	2935859.182298473	910670.624943772	172225.73268439763	213840167.64411503	319.1247086253734	0.12311570655509985	817088.2832114907
7.920792079207921	2541118.554066379	950269.7967865888	191154.26538871962	214243081.28149047	363.7452603877585	0.14111799354795826	816603.3954819908
8.910891089108912	2397085.1698220386	900581.0412296911	186901.41762543758	214534113.94240466	362.3762033455023	0.14153774817490694	816143.2981503395
9.900990099009901	2456125.757651329	870841.8109494093	179207.06475057767	214730929.11180955	346.9076968875873	0.13561017784652468	815693.7588685147
10.89108910891089	2523426.4753133683	873550.4777997509	177507.8122139871	214920460.4305384	341.36851368212507	0.1331938485164515	815257.0373494367
11.881188118811881	2531364.775610984	884501.6099787477	179324.2901557832	215134141.35551998	344.07848855377756	0.13411078033857035	814837.7146219582
12.871287128712872	2510668.060947525	888667.3648779282	180805.09354798804	215358849.7813964	347.3124133288109	0.13539165570377035	814436.4802665997
13.861386138613861	2497383.813955463	887165.1849351409	180983.6915868854	215578342.2720464	348.0806024606833	0.1357457158803689	814051.5948534098
14.85148514851485	2496474.1943832897	885498.1186988655	180718.5342523682	215790176.1349721	347.6249292458553	0.13558472100588603	813681.5294209985
15.841584158415841	2498467.4806712833	885560.9501214037	180681.3363594819	215998549.5771533	347.4419936402841	0.13550310569961013	813325.6642678205
16.831683168316832	2497808.1690762024	886394.3528677974	180877.009401318	216206020.90782505	347.7557611074178	0.13561601527705902	812983.7112184806
17.821782178217823	2495170.463295687	886989.3802926538	181093.38506134032	216412350.37064955	348.18288733074513	0.13578209252168683	812655.2505782135
18.81188118811881	2492616.519911811	887226.5686018313	181239.19175346463	216616636.23984912	348.48970773167224	0.1359047763029151	812339.7204693804
19.801980198019802	2490795.5627814992	887379.6675643752	181344.12572147144	216818595.01538074	348.70076254131044	0.13598871879251748	812036.5597078655
20.792079207920793	2489318.987988409	887602.3685096448	181450.11788314706	217018414.54789695	348.90163129355045	0.1360669650518315	811745.2709802282
21.78217821782178	2487813.7425475065	887872.1735824831	181565.47743594134	217216282.9588421	349.1207997193092	0.13615206108230396	811465.4009290126
22.77227722772277	2486244.507968326	888130.8935717258	181680.45543752125	217412237.90608606	349.34320285922246	0.1362388419363678	811196.5108730954
23.762376237623762	2484713.081766981	888361.5624035662	181788.4412073743	217606253.49562052	349.55368406267996	0.13632123669389912	810938.1702042347
24.752475247524753	2483271.2857483486	888575.9282424924	181889.90857971183	217798324.89027324	349.7509516555829	0.13639844763235806	810689.9623386502
25.742574257425744	2481906.3531686105	888784.6434858135	181987.3046972584	217988476.13601223	349.9395670321597	0.1364721812670584	810451.488731094
26.73267326732673	2480594.394282952	888988.737287273	182081.64151297047	218176736.49791682	350.1221198858663	0.1365435111142816	810222.3680873928
27.722772277227723	2479327.483915055	889185.5347277609	182172.69361714667	218363128.04099852	350.2984952000772	0.13661244233294462	810002.2341995984
28.712871287128714	2478108.0156062255	889373.8586127718	182260.16814554643	218547667.94981828	350.4680602857159	0.13667872915530666	809790.7347546973
29.7029702970297	2476937.7127847886	889554.3290550921	182344.13347782317	218730373.45507714	350.6308177156521	0.13674235726621747	809587.5310124003
30.693069306930692	2475814.8113487717	889727.8339166862	182424.82678602313	218911263.16556454	350.78719316698806	0.13680348612513524	809392.2975579785
31.683168316831683	2474736.3672112403	889894.7933056623	182502.43712159272	219090356.06408274	350.9375799309202	0.13686227141146665	809204.7218289302
32.67326732673267	2473700.112815683	890055.3365589945	182577.07562193225	219267670.66767237	351.0822154132392	0.1369188089409419	809024.5035416489
33.663366336633665	2472704.5033565555	890209.6105895641	182648.832024191	219443224.99561688	351.2212741310848	0.13697316757256053	808851.3541654715
34.65346534653465	2471748.1433388805	890357.8536489755	182717.80808597108	219617036.82565817	351.35494646771826	0.1370254210300366	808684.9964655028
35.64356435643565	2470829.529137797	890500.3282116342	182784.11369439855	219789123.81414253	351.48344226911587	0.13707565084194756	808525.1640757223
36.633663366336634	2469947.121766327	890637.2703413364	182847.85482337407	219959503.4671177	351.6069676684377	0.13712393758650876	808371.6010785418
37.62376237623762	2469099.454177387	890768.8896638856	182909.1298513157	220128193.0937815	351.72571457656534	0.13717035643571088	808224.0615927724
