time	Glcin	MgATP	Glc6P	MgADP	Fru6P	Fru16P2	GraP	DHAP	Phi	NAD	Gri13P2	NADH	Gri3P	Gri23P2f	Gri2P	PEP	Pyr	Lac	NADPHf	NADPf	AMPf	ADPf	GlcA6P	Rul5P	GSSG	GSH	Xul5P	Rib5P	Sed7P	E4P	MgAMP	ATPf	Mgf	MgGri23P2	P1NADP	P1f	P1NADPH	P2NADP	P2f	P2NADPH	PRPP	Lacex	Pyrex	Glcout	Phiex
0.0	4.5663	1.4	0.0394	0.1	0.0153	0.0097	0.0061	0.1492	0.9992	0.0653	0.0005	0.0002	0.0658	2.0601	0.0084	0.0109	0.084	1.6803	0.004	0.0	0.0	0.25	0.025	0.0047	0.0004	3.1136	0.0127	0.014	0.0154	0.0063	0.0	0.25	0.8	0.5	0.0	0.0	0.024	0.0	0.0	0.024	1.0	1.68	0.084	5.0	1.0
1.0	4.562920466180242	1.4226972734161993	0.03917153316430245	0.13908286834491898	0.015216961950297732	0.009636982471751002	0.0060346678398608845	0.1485452999926702	0.9987032811176101	0.06534337373690792	0.00047727070401532213	0.00015662626309212343	0.06613495804913244	1.9309938625639764	0.008484762145390925	0.010977613301850936	0.08398710526012826	1.6803111883231912	0.004889933168281961	2.322136934048151e-05	0.07219848699921023	0.18462327759967112	0.02473336889210746	0.00470382890023196	0.00018671583904555109	3.1140265683219064	0.01269477059174886	0.013951230605065236	0.015238733975777583	0.0062204349971037385	0.0024841396457270523	0.17891395399429239	0.5725333401503262	0.6632023784429408	5.685596258878946e-06	4.8968656467046246e-05	0.02394534574727712	0.0020067579745128785	0.0008641858859219757	0.021129056138649856	1.0	1.68	0.084	5.0	1.0
2.0	4.559454581725347	1.4214893636485963	0.03906539373889171	0.13884232200043825	0.015175648516833205	0.009640934529695696	0.006037453969015742	0.1486131224055397	0.9987565217078496	0.06534340514587202	0.00047762686482309837	0.00015659485412803135	0.06612695884486569	1.9527367651433485	0.008484200415054412	0.010978486460497119	0.08398766556095555	1.6803104726053264	0.0048891281717803456	2.3449636601204784e-05	0.07236014891545171	0.1851996778617667	0.024457418935507784	0.004695127696520961	0.0001867447095799094	3.114026510580838	0.012671347682540498	0.013925202867827256	0.01516669721925659	0.00621323494412392	0.002477660641285092	0.17963082693246812	0.569764310120544	0.6674263435892377	5.74241592897233e-06	4.897658675389077e-05	0.023945280997320184	0.002025113317239973	0.0008636012263942424	0.021111285455450487	1.0	1.68	0.084	5.0	1.0
3.0	4.560481062059811	1.4208526525495837	0.03913347662434697	0.13850821170763225	0.01520276038303059	0.009647553195072938	0.006041559023457484	0.1487132157289836	0.9988361765081473	0.06534344306829014	0.0004781237068754975	0.00015655693170992497	0.0660679986567699	1.9707460731867221	0.00847740252607688	0.010972374888331847	0.08398807222873736	1.6803095984311904	0.0048891144252503444	2.345353495861655e-05	0.07234563157655392	0.18552601919252037	0.024545262152407224	0.004699114196141051	0.00018674520723043254	3.1140265095855364	0.012682114337465704	0.013937123796148173	0.01520656526867078	0.0062229441268425835	0.0024668556638079058	0.18030062930990468	0.5673934216105566	0.6707788584685176	5.743386327005611e-06	4.8976722180350846e-05	0.02394527989149587	0.0020254267435175903	0.0008635912427958344	0.021110982012771295	1.0	1.68	0.084	5.0	1.0
4.0	4.561548456103641	1.4203367762894898	0.0391950762214581	0.13822863478080702	0.015227262046776595	0.009653133034537048	0.006045002011005019	0.14879717100433026	0.998902674285695	0.06534347460236085	0.00047853956203345146	0.00015652539763920533	0.06601760418264059	1.9856746117080515	0.008471581110001604	0.010967098715802013	0.08398840267463936	1.680308871223408	0.0048891286580149745	2.3449497384093427e-05	0.07232884726485933	0.18579064155796485	0.024631010335998373	0.004702974816153858	0.00018674469984477962	3.1140265106003087	0.012692538340394912	0.013948661923434847	0.015242379889120774	0.006231252581967205	0.0024577995558932343	0.18085730055098842	0.5654416360792347	0.6735351532946728	5.742381151325432e-06	4.8976581947069886e-05	0.023945281036904978	0.00202510229499363	0.000863601578219751	0.021111296125871322	1.0	1.68	0.084	5.0	1.0
5.0	4.562436354682332	1.4199070047169842	0.0392457082379207	0.13799819680305767	0.015247402123992181	0.00965773725588997	0.006047839583983831	0.14886636429050754	0.998957303230144	0.06534350055125311	0.00047888222893523505	0.00015649944874695783	0.06597606146548524	1.9980738627862538	0.008466782725432716	0.010962751768429585	0.0839886738981374	1.680308272780203	0.00488914009508317	2.3446252922852718e-05	0.0723155261527885	0.18601030496413226	0.024702196002767664	0.004706164225255127	0.00018674429192019345	3.1140265114161583	0.012701149931891932	0.013958193725546835	0.015271798647045993	0.006238071060957428	0.002450353216651232	0.18131861414638498	0.5638323721229165	0.6758120731404843	5.741573427729543e-06	4.8976469259691556e-05	0.023945281957316225	0.0020248415755724685	0.0008636098835150513	0.02111154853999718	1.0	1.68	0.084	5.0	1.0
6.0	4.563168812707764	1.4195481751752008	0.039287299465206496	0.13780783308915215	0.015263947395201672	0.009661543175504909	0.006050183251554535	0.1489235142188324	0.9990023049598765	0.06534352196236944	0.00047916522964707727	0.00015647803763063221	0.06594176959884672	2.0083898036839143	0.00846282254097261	0.010959166864511176	0.08398889740895865	1.680307778971815	0.004889148599285699	2.344384047946681e-05	0.07230502498363482	0.18619313527513037	0.024761019849409528	0.004708788717675932	0.0001867439886290558	3.1140265120227406	0.01270823622131427	0.013966037118906838	0.01529595811633355	0.006243677586945533	0.0024442152685891076	0.18170161620829547	0.562501698828766	0.6776980776383899	5.740972840987692e-06	4.897638546961548e-05	0.023945282641692874	0.0020246477126088986	0.0008636160590636668	0.021111736227412133	1.0	1.68	0.084	5.0	1.0
7.0	4.563774397202334	1.4192483095908337	0.0393215798765526	0.13765015016553162	0.015277585384856306	0.009664697422919203	0.006052124328693626	0.14897084731695642	0.9990394932030763	0.06534353968077528	0.000479399599805888	0.0001564603192247893	0.06591338527595153	2.016985375760771	0.008459545090533755	0.010956201954291459	0.08398908219260325	1.680307370317978	0.004889154952176884	2.344203832370367e-05	0.07229667883971432	0.18634553156852765	0.024809738781411118	0.00471095469392654	0.00018674376213880184	3.114026512475722	0.012714084496519201	0.013972510133951259	0.015315866627025582	0.00624830333205618	0.002439140275796563	0.1820201895596119	0.5613985705427241	0.6792638294252253	5.740524188581695e-06	4.897632287608073e-05	0.023945283152938278	0.002024502890742012	0.0008636206723906796	0.02111187643595202	1.0	1.68	0.084	5.0	1.0
8.0	4.564276562657239	1.4189975459715083	0.039349927216631254	0.13751924418874964	0.015288863642714165	0.00966731674045448	0.006053735418108277	0.14901013379764355	0.9990703077386027	0.0653435543788232	0.00047959412488797124	0.00015644562117685294	0.06588983255254333	2.0241564505032104	0.008456825885004134	0.01095374344898606	0.08398923533260294	1.6803070313164508	0.00488915977693453	2.3440669673145556e-05	0.0722899902096364	0.18647270353090759	0.024850190705996793	0.004712747951652411	0.00018674359008738158	3.1140265128198243	0.012718926411763252	0.013977869244161549	0.01533232633566626	0.006252130990829687	0.0024349334928710246	0.18228558260637345	0.5604821778011491	0.6805660985458636	5.740183459716294e-06	4.897627533902972e-05	0.023945283541203132	0.0020243929040108712	0.0008636241760309457	0.021111982919042916	1.0	1.68	0.084	5.0	1.0
9.0	4.564693219898982	1.4187877734995415	0.03937340223504476	0.13741042057817993	0.015298203923286843	0.009669494263943512	0.0060550742847696355	0.1490427821383697	0.9990958841886179	0.06534356658969041	0.00047975578674173264	0.00015643341030962442	0.0658702637793376	2.0301425330224174	0.00845456689903386	0.010951702089046516	0.08398936247670105	1.6803067496749833	0.00488916341962119	2.3439636345321116e-05	0.07228461223233627	0.186578904537486	0.024883786240980265	0.004714234194122372	0.0001867434601048814	3.1140265130797893	0.012722939371948282	0.013982310890330356	0.01534595540700751	0.00625530336979377	0.0024314407080989046	0.18250684844443407	0.5597198552140661	0.6816505100002901	5.739926210378724e-06	4.897623944862633e-05	0.023945283834341632	0.0020243098641077005	0.0008636268212756781	0.021112063313701378	1.0	1.68	0.084	5.0	1.0
10.0	4.565039341116124	1.4186122916886306	0.039392873142088676	0.1373198670511679	0.015305951425102033	0.009671306789315373	0.006056188326854548	0.1490699482088493	0.9991171377292927	0.06534357674538771	0.00047989029842730236	0.0001564232546123471	0.06585398822908166	2.0351413958806592	0.0084526882787155	0.01095000523346508	0.08398946816789356	1.680306515432071	0.004889166173830502	2.343885505994094e-05	0.0722802614357213	0.18666761153113143	0.02491172308326387	0.004715467454919419	0.00018674336186489364	3.1140265132762694	0.012726269270179733	0.013985996482084127	0.015357258785952344	0.0062579369925546535	0.002428537549374918	0.1826914307440624	0.559085190668794	0.6825541130422355	5.739731708174375e-06	4.897621231223108e-05	0.023945284055979302	0.0020242470779152774	0.0008636288213326375	0.021112124099836854	1.0	1.68	0.084	5.0	1.0
11.0	4.5653276609256075	1.4184654446719793	0.03940906302829492	0.13724440759842166	0.015312393616317317	0.009672818061958428	0.006057116745158965	0.14909258791943614	0.9991348262164498	0.06534358520360874	0.00048000238655010826	0.00015641479639132098	0.06584042946250175	2.0393192162802602	0.008451123338290885	0.010948592067493674	0.08398955614258947	1.6803063203387962	0.004889168330976792	2.343824315240157e-05	0.07227671372293569	0.18674174930656015	0.024935025609126443	0.004716493740137593	0.00018674328494516413	3.114026513430109	0.012729040317582565	0.013989063492276618	0.015366656523617161	0.006260127707239058	0.0024261205413938797	0.18284556415879402	0.5585561426745389	0.6833078845138763	5.739579373736998e-06	4.8976191058643895e-05	0.023945284229567168	0.002024197902119579	0.0008636303878244054	0.02111217170914078	1.0	1.68	0.084	5.0	1.0
12.0	4.565568290037143	1.4183424760720422	0.03942255513174525	0.13718142210723863	0.01531776246008007	0.009674079001687966	0.006057891450967016	0.1491114792908339	0.9991495802160588	0.06534359226215333	0.0004800959268231504	0.00015640773784670806	0.065829113906501	2.0428141327682763	0.008449817428760375	0.010947413286544617	0.08398962952353829	1.6803061575277818	0.004889170058596829	2.3437753081531474e-05	0.07227380398992667	0.1868037762566613	0.024954479508369067	0.004717349804233	0.00018674322333487025	3.1140265135533296	0.012731351754520963	0.013991621767829083	0.015374486356710619	0.006261953251818874	0.0024241044431467435	0.18297441713106305	0.5581144526032996	0.6839375447744778	5.739457370126533e-06	4.89761740369661e-05	0.023945284368592747	0.0020241585183012416	0.0008636316423963164	0.021112209838387203	1.0	1.68	0.084	5.0	1.0
