time	L	U	V
0.0	10000.0	990000.0	0.0
0.9900990099009901	11141.803294990432	988858.196705012	424169.0264418294
1.9801980198019802	998793.2559688675	1206.744031135374	170910549.4657465
2.9702970297029703	999999.9998776773	0.00012232643930957447	154776945.49028322
3.9603960396039604	1000000.0000000005	-7.904267110922465e-11	140062104.79699016
4.9504950495049505	1000000.0000000017	-9.763089808058427e-13	126747566.29964149
5.9405940594059405	1000000.0000000017	-3.4303801176821757e-12	114700073.65965767
6.930693069306931	1000000.0000000016	8.006505158612317e-11	103799051.5272965
7.920792079207921	1000000.0000000026	-2.842729572257432e-10	93935398.87763673
8.910891089108912	1000000.0000000071	-1.7148077230157322e-10	85010396.86717749
9.900990099009901	1000000.0000000062	-2.441019934858877e-10	76934721.06862745
10.89108910891089	1000000.0000000063	2.1619244273818914e-10	69627547.42873335
11.881188118811881	1000000.0000000064	-4.666064374548002e-10	63015743.29727875
12.871287128712872	1000000.0000000077	4.42944294351196e-12	57033135.51782806
13.861386138613861	1000000.0000000077	3.880739346170026e-11	51619848.1412284
14.85148514851485	1000000.0000000076	-2.656325068738943e-12	46721703.16873067
15.841584158415841	1000000.0000000073	-3.211896643749223e-11	42289678.319193564
16.831683168316832	1000000.000000008	-1.7479589227532651e-12	38279416.40217057
17.821782178217823	1000000.000000008	-8.282004476190101e-11	34650781.3620014
18.81188118811881	1000000.0000000085	1.3581492100436369e-11	31367456.600828845
19.801980198019802	1000000.0000000092	-3.691732733792466e-10	28396581.501117736
20.792079207920793	1000000.0000000083	-1.6144383134002692e-10	25708422.546208054
21.78217821782178	1000000.0000000085	-2.592087706033172e-10	23276075.73786043
22.77227722772277	1000000.0000000077	-2.85697347625173e-10	21075197.331862956
23.762376237623762	1000000.0000000075	-2.571321143587897e-10	19083760.19729379
24.752475247524753	1000000.0000000073	-4.4972256582281183e-10	17281833.362013057
25.742574257425744	1000000.000000007	-8.969826954130336e-11	15651382.536776982
26.73267326732673	1000000.0000000072	-2.6424188678883348e-11	14176089.621638007
27.722772277227723	1000000.0000000072	-7.347379703704223e-12	12841189.38925435
28.712871287128714	1000000.0000000072	-3.27305944409454e-12	11633321.709572619
29.7029702970297	1000000.0000000072	-1.5967249084290176e-12	10540397.836817995
30.693069306930692	1000000.0000000072	-5.85466094687645e-13	9551479.42152705
31.683168316831683	1000000.0000000072	-3.6525248312138845e-13	8656669.035933899
32.67326732673267	1000000.0000000072	-1.9609336808669574e-13	7847011.116899448
33.663366336633665	1000000.0000000072	-2.9192219842644215e-14	7114402.33582651
34.65346534653465	1000000.0000000072	4.747402771506476e-15	6451510.497892283
35.64356435643565	1000000.0000000072	5.288071118679116e-14	5851701.158744693
36.633663366336634	1000000.0000000072	1.0235021703355301e-13	5308971.224909082
37.62376237623762	1000000.0000000072	1.1849971612951693e-13	4817888.872849464
38.613861386138616	1000000.0000000072	1.862462403490628e-13	4373539.185319825
39.603960396039604	1000000.0000000072	7.353033855328233e-14	3971474.9612880023
40.59405940594059	1000000.0000000072	3.688174649182434e-14	3607672.2068960215
41.584158415841586	1000000.0000000072	2.47600504560207e-14	3278489.8619055585
42.57425742574257	1000000.0000000072	1.8218997735457658e-14	2980633.358756756
43.56435643564356	1000000.0000000072	1.4003600733432003e-14	2711121.6494723805
44.554455445544555	1000000.0000000072	1.1002573458361553e-14	2467257.3702919437
45.54455445544554	1000000.0000000072	8.81803305197989e-15	2246599.8455351894
46.53465346534654	1000000.0000000072	7.20729491687887e-15	2046940.6605389847
47.524752475247524	1000000.0000000072	5.999248892614738e-15	1866281.5590858334
48.51485148514851	1000000.0000000072	5.078947587443341e-15	1702814.4441593848
49.504950495049506	1000000.0000000072	4.366447749978407e-15	1554903.281935142
50.495049504950494	1000000.0000000072	3.806569476673724e-15	1421067.7278000358
51.48514851485149	1000000.0000000072	3.3606044481122525e-15	1299968.3105385888
52.475247524752476	1000000.0000000072	3.0009380676588535e-15	1190393.0264818345
53.46534653465346	1000000.0000000072	2.7075766332932102e-15	1091245.2093689418
54.45544554455446	1000000.0000000072	2.465821828358372e-15	1001532.5545167979
