time	M	Mp	Mpp	MAPKK1	MAPKK2	MKP3
0.0	500.0	0.0	0.0	100.0	1.0	100.0
1.0	499.1108683019272	0.8767907660160207	0.01234093288384798	100.0	1.0	100.0
2.0	498.2595676067268	1.695581588959036	0.04485081339874011	100.0	1.0	100.0
3.0	497.4432919653052	2.4646717994537206	0.09203629970171572	100.0	1.0	100.0
4.0	496.6596046421818	3.19062930231054	0.14976608341173553	100.0	1.0	100.0
5.0	495.9063712226505	3.8786935267530835	0.21493505737942198	100.0	1.0	100.0
6.0	495.18170556729746	4.533086825367186	0.28520721249433084	100.0	1.0	100.0
7.0	494.4839277512725	5.1572441475545245	0.3588275107261349	100.0	1.0	100.0
8.0	493.8115304320403	5.753986229937871	0.43448287800280666	100.0	1.0	100.0
9.0	493.16315058251683	6.3256629537254225	0.511186208310292	100.0	1.0	100.0
10.0	492.53754791317914	6.874254271814276	0.5881975073135951	100.0	1.0	100.0
11.0	491.93358842983815	7.401439518025487	0.6649717180495105	100.0	1.0	100.0
12.0	491.3502287991093	7.908667260781677	0.7411036393581518	100.0	1.0	100.0
13.0	490.7865048625411	8.397200132486708	0.8162946982199134	100.0	1.0	100.0
14.0	490.2415224890466	8.868147062481487	0.8903301308772216	100.0	1.0	100.0
15.0	489.71444927622406	9.3224931736869	0.9630572336501402	100.0	1.0	100.0
16.0	489.20450766947084	9.761122347382685	1.0343696695957263	100.0	1.0	100.0
17.0	488.7109693836465	10.184833777901256	1.104196523416753	100.0	1.0	100.0
18.0	488.2331507905386	10.594354350203048	1.1724945408915886	100.0	1.0	100.0
19.0	487.7704088207256	10.99034936599806	1.23924149364051	100.0	1.0	100.0
20.0	487.322137263669	11.373431886659796	1.3044305309424715	100.0	1.0	100.0
21.0	486.88776357808246	11.744170062474554	1.3680660416771844	100.0	1.0	100.0
22.0	486.4667462008484	12.103092554418582	1.4301609269102968	100.0	1.0	100.0
23.0	486.05857219903055	12.450692891237214	1.490734591397252	100.0	1.0	100.0
24.0	485.6627551669853	12.787433282739254	1.5498112317492156	100.0	1.0	100.0
25.0	485.2788333271899	13.113747935836033	1.607418418743367	100.0	1.0	100.0
26.0	484.90636769461514	13.430046047525167	1.6635859402459456	100.0	1.0	100.0
27.0	484.5449403532788	13.736714585552964	1.7183447441287667	100.0	1.0	100.0
28.0	484.19415371593334	14.034118630540496	1.7717273370548052	100.0	1.0	100.0
29.0	483.85362799564297	14.32260615106169	1.8237655369886463	100.0	1.0	100.0
