time	Th	T	Cs	Cp	C
0.0	0.0	100000.0	0.0	0.0	0.0
0.9900990099009901	0.00020583075153701835	166804.6477564983	0.028246205918886415	0.03696624943842051	0.02822819220597509
1.9801980198019802	0.00040759148939889896	279417.1792122108	0.028021382295990348	0.050011304043497525	0.027985475139204893
2.9702970297029703	0.0005869816061889573	473071.47366370604	0.027300090084623307	0.081765361116425	0.02724948831050811
3.9603960396039604	0.0007224610189633747	820127.5066279477	0.025860530653545204	0.14528621832939886	0.025801372282295097
4.9504950495049505	0.0007862056404954003	1477678.182334768	0.02412657260185661	0.22880124823799144	0.024066331170269722
5.9405940594059405	0.0007535354891976176	2763762.082230978	0.022991569159740162	0.2882948452505477	0.022936304207295158
6.930693069306931	0.0006080353751907564	5271425.104935979	0.02252287394158811	0.3129121768088735	0.022478859827912822
7.920792079207921	0.00037269113555734755	10105931.849537715	0.02234473033085157	0.3205610590793747	0.0223176368595568
8.910891089108912	0.00015394939301508368	19329007.665697	0.022265742619004852	0.3227115010802858	0.022254429002341748
9.900990099009901	5.043651392709074e-05	36673872.86484725	0.02223552779509875	0.3233015233585593	0.022231826722770312
10.89108910891089	2.1782333550887596e-05	68485401.54130717	0.022227285890222912	0.32346390770223105	0.022225703460253616
11.881188118811881	1.1343759518844934e-05	124262842.52032927	0.022224595424010323	0.32350944892931943	0.02222377379868842
12.871287128712872	6.404788894017644e-06	214771261.14603326	0.02222347721788654	0.3235226946193051	0.022223014429014074
13.861386138613861	3.9440548833434735e-06	344664143.2235018	0.022222965783052686	0.32352678456536943	0.022222681647845
14.85148514851485	2.6937974632880308e-06	501643575.95695215	0.022222718802813603	0.32352816080788077	0.02222252535183719
15.841584158415841	2.0525906996278965e-06	656308546.931837	0.022222595546885278	0.3235286747885429	0.022222448617755675
16.831683168316832	1.722516828100578e-06	780879777.0968713	0.022222533030516297	0.32352888769200194	0.022222410049208625
17.821782178217823	1.5519989509495825e-06	865919953.9459703	0.022222501047369485	0.32352898365208843	0.022222390414022315
18.81188118811881	1.463971010533401e-06	917626126.9706801	0.022222484549485298	0.323529029501772	0.02222238031097482
19.801980198019802	1.418438553628445e-06	946880891.72337	0.022222476047231085	0.32352905220730177	0.022222375111487908
20.792079207920793	1.3949479728928512e-06	962762206.6301819	0.022222471656170268	0.3235290636829741	0.02222237242811464
21.78217821782178	1.3826975160188173e-06	971190352.4990447	0.02222246938021507	0.3235290695476918	0.02222237103755526
22.77227722772277	1.3763934390504064e-06	975609367.8008204	0.022222468208206364	0.3235290725626426	0.022222370321828163
23.762376237623762	1.3731318708012472e-06	977911643.7448561	0.02222246760053056	0.3235290741173861	0.022222369950707033
24.752475247524753	1.3714443376476303e-06	979107140.1250758	0.02222246728613064	0.3235290749204299	0.022222369758706156
25.742574257425744	1.3705711980368415e-06	979726852.7011278	0.022222467123466393	0.32352907533555986	0.022222369659371303
26.73267326732673	1.3701194278031586e-06	980047807.6006165	0.022222467039304156	0.3235290755502529	0.0222223696079763
27.722772277227723	1.3698856774954144e-06	980213955.8916712	0.022222466995758285	0.32352907566131067	0.022222369581384505
28.712871287128714	1.369764732275623e-06	980299945.2769098	0.02222246697322725	0.32352907571876616	0.022222369567625716
29.7029702970297	1.369702153703335e-06	980344443.2239735	0.02222246696156945	0.32352907574849243	0.022222369560506782
30.693069306930692	1.369669774752079e-06	980367468.6254661	0.022222466955537562	0.32352907576387274	0.022222369556823364
31.683168316831683	1.3696530217453008e-06	980379382.4937842	0.02222246695241665	0.32352907577183043	0.022222369554917555
32.67326732673267	1.3696443533652802e-06	980385547.1093019	0.02222246695080181	0.32352907577594786	0.022222369553931445
33.663366336633665	1.3696398681754692e-06	980388736.8329508	0.022222466949966258	0.32352907577807827	0.0222223695534212
34.65346534653465	1.369637547450889e-06	980390387.2663074	0.022222466949533937	0.3235290757791806	0.02222236955315721
35.64356435643565	1.3696363468449417e-06	980391241.1053195	0.022222466949310283	0.3235290757797509	0.02222236955302063
36.633663366336634	1.3696357255361897e-06	980391682.9641683	0.022222466949194535	0.32352907578004597	0.022222369552949945
37.62376237623762	1.3696354040175872e-06	980391911.6201144	0.02222246694913464	0.3235290757801987	0.022222369552913374
38.613861386138616	1.3696352376268984e-06	980392029.9530315	0.02222246694910364	0.32352907578027773	0.02222236955289444
39.603960396039604	1.3696351516564792e-06	980392091.0930657	0.02222246694908764	0.32352907578031836	0.022222369552884657
40.59405940594059	1.369635107203941e-06	980392122.7066163	0.022222466949079343	0.3235290757803396	0.02222236955287961
41.584158415841586	1.3696350840635143e-06	980392139.1635143	0.02222246694907503	0.32352907578035073	0.02222236955287696
42.57425742574257	1.369635072150299e-06	980392147.6359005	0.02222246694907281	0.32352907578035633	0.022222369552875612
43.56435643564356	1.369635066207459e-06	980392151.8623013	0.0222224669490717	0.32352907578035905	0.02222236955287493
44.554455445544555	1.369635063175459e-06	980392154.0185875	0.022222466949071148	0.3235290757803606	0.02222236955287459
45.54455445544554	1.3696350614064996e-06	980392155.2766315	0.022222466949070804	0.32352907578036144	0.02222236955287439
46.53465346534654	1.3696350603206933e-06	980392156.0488235	0.02222246694907061	0.32352907578036194	0.02222236955287427
47.524752475247524	1.3696350597579045e-06	980392156.4490654	0.022222466949070502	0.32352907578036216	0.02222236955287421
48.51485148514851	1.3696350595186825e-06	980392156.6191946	0.02222246694907046	0.3235290757803623	0.02222236955287418
49.504950495049506	1.3696350593940702e-06	980392156.7078165	0.02222246694907044	0.3235290757803624	0.02222236955287417
