time	V	S	I	T
0.0	0.0	251000000.0	0.0	251000000.0
0.9900990099009901	0.0	275926726.28089005	0.0	275926726.28089005
1.9801980198019802	0.0	302297597.5418193	0.0	302297597.5418193
2.9702970297029703	0.0	330103180.07315737	0.0	330103180.07315737
3.9603960396039604	0.0	359327203.5715542	0.0	359327203.5715542
4.9504950495049505	0.0	389946753.70998436	0.0	389946753.70998436
5.9405940594059405	0.0	421932532.07832295	0.0	421932532.07832295
6.930693069306931	0.0	455249165.48040634	0.0	455249165.48040634
7.920792079207921	0.0	489855567.39237404	0.0	489855567.39237404
8.910891089108912	0.0	525705339.3900987	0.0	525705339.3900987
9.900990099009901	0.0	562747206.8682082	0.0	562747206.8682082
10.89108910891089	0.0	600925478.6774831	0.0	600925478.6774831
11.881188118811881	0.0	640180526.443487	0.0	640180526.443487
12.871287128712872	0.0	680449277.976117	0.0	680449277.976117
13.861386138613861	0.0	721665712.2519741	0.0	721665712.2519741
14.85148514851485	0.0	763761356.334438	0.0	763761356.334438
15.841584158415841	0.0	806665776.0495313	0.0	806665776.0495313
16.831683168316832	0.0	850307054.6957268	0.0	850307054.6957268
17.821782178217823	0.0	894612257.2061293	0.0	894612257.2061293
18.81188118811881	0.0	939507874.9038317	0.0	939507874.9038317
19.801980198019802	0.0	984920248.1834284	0.0	984920248.1834284
20.792079207920793	0.0	1030775964.4835277	0.0	1030775964.4835277
21.78217821782178	0.0	1077002229.51376	0.0	1077002229.51376
22.77227722772277	0.0	1123527210.3288536	0.0	1123527210.3288536
23.762376237623762	0.0	1170280349.209608	0.0	1170280349.209608
24.752475247524753	0.0	1217192647.8776538	0.0	1217192647.8776538
25.742574257425744	0.0	1264196921.8488433	0.0	1264196921.8488433
26.73267326732673	0.0	1311228025.1660705	0.0	1311228025.1660705
27.722772277227723	0.0	1358223046.0628586	0.0	1358223046.0628586
28.712871287128714	0.0	1405121474.3338752	0.0	1405121474.3338752
29.7029702970297	0.0	1451865341.4551086	0.0	1451865341.4551086
30.693069306930692	0.0	1498399334.6631322	0.0	1498399334.6631322
31.683168316831683	0.0	1544670886.3550794	0.0	1544670886.3550794
32.67326732673267	0.0	1590630240.2852747	0.0	1590630240.2852747
33.663366336633665	0.0	1636230496.1129985	0.0	1636230496.1129985
34.65346534653465	0.0	1681427633.9090679	0.0	1681427633.9090679
35.64356435643565	0.0	1726180520.2545445	0.0	1726180520.2545445
36.633663366336634	0.0	1770450897.5683396	0.0	1770450897.5683396
37.62376237623762	0.0	1814203358.2844393	0.0	1814203358.2844393
38.613861386138616	0.0	1857405305.4665232	0.0	1857405305.4665232
39.603960396039604	0.0	1900026901.4008527	0.0	1900026901.4008527
40.59405940594059	0.0	1942041005.64986	0.0	1942041005.64986
41.584158415841586	0.0	1983423103.9849448	0.0	1983423103.9849448
42.57425742574257	0.0	2024151229.5320456	0.0	2024151229.5320456
43.56435643564356	0.0	2064205877.4008799	0.0	2064205877.4008799
44.554455445544555	0.0	2103569913.9385915	0.0	2103569913.9385915
45.54455445544554	0.0	2142228481.7442722	0.0	2142228481.7442722
46.53465346534654	0.0	2180168901.6677246	0.0	2180168901.6677246
47.524752475247524	0.0	2217380572.1811323	0.0	2217380572.1811323
48.51485148514851	0.0	2253854867.2427444	0.0	2253854867.2427444
49.504950495049506	0.0	2289585033.6368337	0.0	2289585033.6368337
50.495049504950494	0.0	2324566088.513556	0.0	2324566088.513556
51.48514851485149	0.0	2358794717.012433	0.0	2358794717.012433
52.475247524752476	0.0	2392269170.9491315	0.0	2392269170.9491315
53.46534653465346	0.0	2424989169.678806	0.0	2424989169.678806
54.45544554455446	0.0	2456955802.7033043	0.0	2456955802.7033043
55.445544554455445	0.0	2488171434.417796	0.0	2488171434.417796
56.43564356435643	0.0	2518639611.384397	0.0	2518639611.384397
57.42574257425743	0.0	2548364972.4105306	0.0	2548364972.4105306
58.415841584158414	0.0	2577353163.347348	0.0	2577353163.347348
59.4059405940594	0.0	2605610752.7020454	0.0	2605610752.7020454
60.396039603960396	0.0	2633145151.257125	0.0	2633145151.257125
61.386138613861384	0.0	2659964535.9121346	0.0	2659964535.9121346
62.37623762376238	0.0	2686077776.574545	0.0	2686077776.574545
63.366336633663366	0.0	2711494366.48825	0.0	2711494366.48825
64.35643564356435	0.0	2736224355.9363	0.0	2736224355.9363
65.34653465346534	0.0	2760278289.5960703	0.0	2760278289.5960703
66.33663366336634	0.0	2783667147.354486	0.0	2783667147.354486
67.32673267326733	0.0	2806402288.3670692	0.0	2806402288.3670692
68.31683168316832	0.0	2828495398.424293	0.0	2828495398.424293
69.3069306930693	0.0	2849958440.6433897	0.0	2849958440.6433897
70.29702970297029	0.0	2870803609.237586	0.0	2870803609.237586
71.2871287128713	0.0	2891043286.333271	0.0	2891043286.333271
72.27722772277228	0.0	2910690001.7373133	0.0	2910690001.7373133
73.26732673267327	0.0	2929756395.4071283	0.0	2929756395.4071283
74.25742574257426	0.0	2948255182.8088055	0.0	2948255182.8088055
75.24752475247524	0.0	2966199122.7953043	0.0	2966199122.7953043
76.23762376237623	0.0	2983600987.9301114	0.0	2983600987.9301114
77.22772277227723	0.0	3000473537.255323	0.0	3000473537.255323
78.21782178217822	0.0	3016829491.2033596	0.0	3016829491.2033596
79.20792079207921	0.0	3032681508.7488265	0.0	3032681508.7488265
80.1980198019802	0.0	3048042166.5409465	0.0	3048042166.5409465
81.18811881188118	0.0	3062923939.946434	0.0	3062923939.946434
82.17821782178218	0.0	3077339185.917949	0.0	3077339185.917949
83.16831683168317	0.0	3091300127.539038	0.0	3091300127.539038
84.15841584158416	0.0	3104818840.153263	0.0	3104818840.153263
85.14851485148515	0.0	3117907239.0477095	0.0	3117907239.0477095
86.13861386138613	0.0	3130577068.5009594	0.0	3130577068.5009594
87.12871287128712	0.0	3142839892.1564145	0.0	3142839892.1564145
88.11881188118812	0.0	3154707084.635423	0.0	3154707084.635423
89.10891089108911	0.0	3166189824.2313166	0.0	3166189824.2313166
90.0990099009901	0.0	3177299086.747645	0.0	3177299086.747645
91.08910891089108	0.0	3188045640.2722273	0.0	3188045640.2722273
92.07920792079207	0.0	3198440040.8861628	0.0	3198440040.8861628
93.06930693069307	0.0	3208492629.2099214	0.0	3208492629.2099214
94.05940594059406	0.0	3218213527.704459	0.0	3218213527.704459
95.04950495049505	0.0	3227612638.7201495	0.0	3227612638.7201495
96.03960396039604	0.0	3236699643.2002215	0.0	3236699643.2002215
