time	species_7	species_24	species_25	species_26	species_1	species_5	species_2	species_4	species_6	species_3	species_12	species_8	species_9	species_15	species_16	species_17	species_18	species_19	species_10	species_43	species_11
0.0	5e-09	0.0	1.66e-10	0.0	3.56e-11	1e-09	1.3e-06	1e-09	1.16e-06	4e-07	0.0	2e-07	0.0	0.0	0.0	0.0	0.0	0.0	3e-06	5e-06	1e-07
0.9900990099009901	4.997930266904061e-09	5.5642662397514736e-11	1.1046190046308372e-10	4.226931415927184e-07	3.560043976550123e-11	4.415965727855019e-09	1.4002717197148286e-06	1.803491188293295e-09	1.1600004801103163e-06	2.1007260816789015e-08	2.597980934262429e-07	1.4115493164608845e-07	1.544526477253151e-08	1.652683159497929e-06	1.0164158640106932e-07	2.116274074744036e-09	1.9589019721086864e-08	2.683246132231859e-07	1.059413583446239e-06	5e-06	1e-07
1.9801980198019802	4.9971700255005824e-09	8.544054168668322e-11	8.076885947244338e-11	6.551337169893064e-07	3.560106921599435e-11	5.160056654720002e-09	2.94603922058448e-06	2.6068907875744884e-09	1.1599952230568141e-06	2.6015705488636186e-08	2.1572706995623362e-07	1.265385234830066e-07	1.5579987340628268e-08	1.861967163227943e-06	1.3860079781042454e-07	4.109757251380479e-09	2.484159129242212e-08	5.370227528821253e-07	5.762148670044505e-07	5e-06	1e-07
2.9702970297029703	4.996887576754107e-09	1.0850954105846974e-10	5.7805023346164586e-11	8.419473529444778e-07	3.5601721116714916e-11	5.322113394696854e-09	5.217340532604792e-06	3.4101995650051472e-09	1.159984873017036e-06	2.823689641842282e-08	2.0424955707117922e-07	1.165023545846849e-07	1.6238568521851035e-08	1.810703195482461e-06	1.4549216700178408e-07	5.819177186058212e-09	2.782653428838859e-08	6.563287187497992e-07	5.052106350605057e-07	5e-06	1e-07
3.9603960396039604	4.996747955136855e-09	1.2267933925786675e-10	4.3740604971531464e-11	9.575863511654356e-07	3.560237745719391e-11	5.357394026574251e-09	7.791735618584856e-06	4.213418008086845e-09	1.15997187083344e-06	2.8616217555860673e-08	2.0105638902938993e-07	1.0795236290326782e-07	1.6904699133810366e-08	1.7611180164896637e-06	1.4613687162984837e-07	7.325137625339113e-09	3.0268145025942945e-08	6.941952427598609e-07	5.145096054742282e-07	5e-06	1e-07
4.9504950495049505	4.9966458553648565e-09	1.3146831196519456e-10	3.505714553271309e-11	1.029354329057634e-06	3.560303472801856e-11	5.365099459617667e-09	1.0452754395790715e-05	5.0165463784521135e-09	1.1599574661322362e-06	2.861634180560125e-08	1.9968300449579307e-07	1.004586423659555e-07	1.7475008859925535e-08	1.7385406325591002e-06	1.4562300977892571e-07	8.644896436219343e-09	3.241579589554251e-08	7.0264305833155e-07	5.265131237890012e-07	5e-06	1e-07
5.9405940594059405	4.996551253777122e-09	1.3758816406056995e-10	2.9042893907044927e-11	1.077879186270033e-06	3.56036921849404e-11	5.3667563356433965e-09	1.3116940084262198e-05	5.8195848320918294e-09	1.159942233833899e-06	2.854988803485115e-08	1.9878501835681544e-07	9.392058797516812e-08	1.7953965587862437e-08	1.7305891442568685e-06	1.44965212760025e-07	9.791122357495117e-09	3.4304877626285897e-08	7.03185954075663e-07	5.320539766655347e-07	5e-06	1e-07
6.930693069306931	4.996457416686319e-09	1.417362624714662e-10	2.5000455462310855e-11	1.1118565721396814e-06	3.5604349665025536e-11	5.367100305790485e-09	1.5757133839471232e-05	6.622533474200907e-09	1.1599264644785245e-06	2.8479741093322392e-08	1.9807234008023246e-07	8.823322455513588e-08	1.835926853429395e-08	1.72801198175582e-06	1.4435803230763195e-07	1.0778770481228224e-08	3.5964064790582024e-08	7.023958183681246e-07	5.337832473365828e-07	5e-06	1e-07
7.920792079207921	4.996363711336803e-09	1.4490706465389116e-10	2.193535627830397e-11	1.1372706957091258e-06	3.560500713286392e-11	5.367161747070874e-09	1.8360810009762346e-05	7.425392383572054e-09	1.1599103226797821e-06	2.8417354637356045e-08	1.9747395428772095e-07	8.327866482902763e-08	1.870627563702663e-08	1.7269485923798248e-06	1.43829303720374e-07	1.1624209387650294e-08	3.742824589403538e-08	7.01698437710234e-07	5.341008578869056e-07	5e-06	1e-07
8.910891089108912	4.9962705227996536e-09	1.4737313233552527e-10	1.957502349087491e-11	1.156991650562092e-06	3.560566458095387e-11	5.3671590198872645e-09	2.0920818371676476e-05	8.228161620984352e-09	1.1598939079066672e-06	2.836393831235062e-08	1.9696568166489675e-07	7.89492254745432e-08	1.900607440961008e-08	1.7262438193953244e-06	1.4337510008260508e-07	1.23432481867617e-08	3.872990302023561e-08	7.012062687799237e-07	5.340170496401155e-07	5e-06	1e-07
