time	x	y	z	w	v
0.0	1000000000.0	5600000.0	190000000.0	50000.0	9.4
0.9900990099009901	758010772.0967946	5538256.340397582	186278062.45672858	1689342736.3330839	1335428690.328703
1.9801980198019802	720065533.6423929	5495357.102027539	182629101.68503276	3225577133.054373	2600316910.1169515
2.9702970297029703	703184647.8152323	5468667.701962729	179051686.80131254	4661319361.524661	3797628009.128034
3.9603960396039604	694836837.6054763	5456275.702998819	175544414.99270865	6012537900.1825285	4930134532.738096
4.9504950495049505	691133602.522651	5456695.803191897	172105910.95303556	7288851607.057263	6000491002.594606
5.9405940594059405	690370154.9595884	5468747.79377382	168734826.34202805	8497323732.314332	7011247727.475362
6.930693069306931	691652546.0260422	5491482.968812148	165429839.25628883	9643662331.615246	7964857666.483473
7.920792079207921	694456566.9972384	5524134.153997728	162189653.7108741	10732737439.908344	8863681253.98479
8.910891089108912	698450303.9126525	5566079.7759033935	159012999.1311219	11768847389.462933	9709990375.09336
9.900990099009901	703411535.1323148	5616817.1506826775	155898629.8544652	12755873421.074972	10505971894.26632
10.89108910891089	709185077.9655467	5675942.18992639	152845324.6420173	13697377636.388056	11253730903.770588
11.881188118811881	715658978.8475188	5743133.748334356	149851886.19973105	14596669360.00055	11955293771.716682
12.871287128712872	722750385.3693193	5818141.42312934	146917140.70894194	15456852577.92762	12612611032.299456
13.861386138613861	730396742.6178137	5900775.977986643	144039937.3661117	16280861379.9379	13227560143.263153
14.85148514851485	738550080.0345223	5990901.798418581	141219147.931588	17071487454.9352	13801948126.641895
15.841584158415841	747173177.9185511	6088430.948220775	138453666.2872144	17831402122.734673	14337514103.644945
16.831683168316832	756236918.2755777	6193318.50420686	135742408.0026061	18563174513.258827	14835931731.89446
17.821782178217823	765718409.0848399	6305558.929788584	133084309.90992871	19269286961.032505	15298811551.206963
18.81188118811881	775599626.973545	6425183.304779412	130478329.68701196	19952148359.74968	15727703243.054426
19.801980198019802	785866416.29871	6552257.272778611	127923445.44863649	20614106007.974	16124097808.021128
20.792079207920793	796507738.648651	6686879.600486547	125418655.34583716	21257456337.062763	16489429665.003859
21.78217821782178	807515101.0251542	6829181.266142151	122962977.17303135	21884454820.594913	16825078675.861162
22.77227722772277	818882115.8077371	6979325.021970623	120555447.98290735	22497325288.592648	17132372097.747267
23.762376237623762	830604156.2059252	7137505.3781253295	118195123.70881036	23098268843.328415	17412586467.030094
24.752475247524753	842678084.7283134	7303948.980749853	115881078.79455715	23689472522.487476	17666949416.688484
25.742574257425744	855102036.5110745	7478915.359647768	113612405.8314985	24273117844.95549	17896641430.014103
26.73267326732673	867875245.0134344	7662698.033129791	111388215.20270357	24851389354.437725	18102797532.818226
27.722772277227723	880997900.4818021	7855625.963564796	109207634.73411652	25426483267.750813	18286508926.47173
28.712871287128714	894471034.1314944	8058065.364675923	107069809.35255377	26000616327.719803	18448824563.85642
29.7029702970297	908296422.6270247	8270421.867398149	104973900.75040627	26576034958.314293	18590752670.27747
30.693069306930692	922476508.7169067	8493143.056740044	102919087.05691577	27155024819.046772	18713262211.28046
31.683168316831683	937014334.8126636	8726721.397734312	100904562.51589724	27739920858.267426	18817284309.23035
32.67326732673267	951913486.9947028	8971697.573615588	98929537.16977856	28333117968.74226	18903713610.468014
33.663366336633665	967178047.4706331	9228664.265104448	96993236.5498359	28937082355.585026	18973409604.74962
34.65346534653465	982812553.9115108	9498270.404976401	95094901.3725018	29554363734.43906	19027197898.64024
35.64356435643565	998821964.4120424	9781225.948175881	93233787.24162868	30187608488.44257	19065871444.4449
36.633663366336634	1015211627.0637603	10078307.20366186	91409164.3565896	30839573924.404762	19090191726.225456
37.62376237623762	1031987253.3266877	10390362.780732315	89620317.22610205	31513143783.023563	19100889904.3894
38.613861386138616	1049154894.5406921	10718320.209811987	87866544.3876628	32211345175.242016	19098667920.271706
