time	N	I	Q
0.0	20000000000.0	50000000.0	0.0
0.9900990099009901	8776514132.398714	30623236.06043682	23.038018461345985
1.9801980198019802	8659962667.330858	30926178.40049802	0.3746863335914896
2.9702970297029703	8728769658.713057	31555922.312079653	0.006093833912031447
3.9603960396039604	8800908959.718418	32189683.20034439	9.91093743328227e-05
4.9504950495049505	8873410298.57884	32822124.844992302	1.6119924443238538e-06
5.9405940594059405	8946223499.351704	33453151.36652474	2.6338620841939122e-08
6.930693069306931	9019346244.503626	34082753.84078118	4.810937077305862e-10
7.920792079207921	9092776977.769623	34710924.77826684	-1.8111099787346965e-11
8.910891089108912	9166514132.07376	35337656.70634997	2.8220202825603043e-12
9.900990099009901	9240556117.116001	35962942.1467016	-1.714118201461261e-11
10.89108910891089	9314901319.42073	36586773.615855366	1.3496409587822485e-12
11.881188118811881	9389548102.62199	37209143.62627287	1.0260919557022949e-11
12.871287128712872	9464494807.709702	37830044.687231116	1.1757881509809703e-11
13.861386138613861	9539739753.253973	38449469.30562418	5.8374070464397066e-12
14.85148514851485	9615281235.731468	39067409.987118706	6.721198329187957e-13
15.841584158415841	9691117529.82781	39683859.23720384	-4.634269965291872e-13
16.831683168316832	9767246888.723988	40298809.56216824	3.2088954503906263e-14
17.821782178217823	9843667544.39161	40912253.4700898	2.905692618734976e-13
18.81188118811881	9920377708.052816	41524183.472353384	5.639570267711341e-13
19.801980198019802	9997375569.944576	42134592.08286732	3.115084826758192e-13
20.792079207920793	10074659300.499563	42743471.82192372	5.654053654056206e-13
21.78217821782178	10152227049.329788	43350815.21285168	4.25022708608123e-13
22.77227722772277	10230076947.17993	43956614.78835407	6.596363387983993e-13
23.762376237623762	10308207104.748062	44560863.08664084	2.9622276741368064e-13
24.752475247524753	10386615614.325237	45163552.656651005	1.709691982057494e-13
25.742574257425744	10465300549.234186	45764676.05621939	-3.6261289043933825e-14
26.73267326732673	10544259964.639467	46364225.85453607	-9.347251916066846e-14
27.722772277227723	10623491897.558842	46962194.63203373	-1.56539448835243e-13
28.712871287128714	10702994367.372406	47558574.98203878	-3.242821163022293e-13
29.7029702970297	10782765376.31921	48153359.51248976	-3.29251439283175e-13
30.693069306930692	10862802909.531525	48746540.845329635	-2.6883476868074614e-13
31.683168316831683	10943104935.407396	49338111.617615454	-5.484212132379539e-13
32.67326732673267	11023669406.442467	49928064.48534229	-6.113388239678398e-13
33.663366336633665	11104494259.142315	50516392.121609785	-2.564303386400231e-13
34.65346534653465	11185577414.329054	51103087.21635328	-3.686223505489197e-13
35.64356435643565	11266916777.898727	51688142.48214051	-3.8367496912934007e-13
36.633663366336634	11348510240.897955	52271550.651722275	-1.1927231528644557e-13
37.62376237623762	11430355680.160604	52853304.478110924	-6.24280361658461e-14
38.613861386138616	11512450958.31112	53433396.738839805	-1.445064740863187e-14
39.603960396039604	11594793924.373535	54011820.234794274	5.058444292690521e-15
40.59405940594059	11677382414.434347	54588567.79153056	1.4702113793526665e-14
41.584158415841586	11760214251.569288	55163632.26052055	1.5860378976100455e-14
42.57425742574257	11843287246.329075	55737006.520088255	7.034757264632935e-15
43.56435643564356	11926599197.428253	56308683.47638814	-8.45776674974779e-15
44.554455445544555	12010147892.018723	56878656.06441494	-2.553726828765603e-14
45.54455445544554	12093931105.79495	57446917.24894154	-2.7183765011753126e-14
46.53465346534654	12177946603.749792	58013460.02548623	-7.86576676233459e-15
47.524752475247524	12262192140.627003	58578277.421107516	8.841823548914394e-16
48.51485148514851	12346665460.93008	59141362.49589292	7.918618504738077e-15
49.504950495049506	12431364299.630825	59702708.34352149	4.148552691656381e-15
50.495049504950494	12516286382.712673	60262308.09164233	9.22508289183618e-15
51.48514851485149	12601429427.167665	60820154.9041561	1.0550116550245021e-14
52.475247524752476	12686791141.679005	61376241.981289305	4.675211591036536e-15
53.46534653465346	12772369227.158195	61930562.56014077	-1.3930306201829035e-15
54.45544554455446	12858161376.872578	62483109.91653708	-5.872449053336571e-15
55.445544554455445	12944165276.973095	63033877.36560765	-5.296344920355121e-15
56.43564356435643	13030378607.045815	63582858.26231058	-2.5741284760697488e-15
57.42574257425743	13116799040.436102	64130046.00264335	-1.954081726686362e-15
58.415841584158414	13203424244.563738	64675434.024876274	-7.597005762003045e-16
59.4059405940594	13290251881.517328	65219015.80989081	5.996836155200858e-16
60.396039603960396	13377279608.491566	65760784.88197263	2.3622070647746634e-15
61.386138613861384	13464505078.014896	66300734.8105597	2.833449142604443e-15
62.37623762376238	13551925938.53595	66838859.210398294	8.664679977418912e-16
63.366336633663366	13639539834.89188	67375151.74187766	8.02334448240777e-18
64.35643564356435	13727344408.563675	67909606.11338869	-7.625832189755138e-16
65.34653465346534	13815337298.218588	68442216.08118784	-4.743001502649205e-16
66.33663366336634	13903516140.157043	68972975.44956368	-7.279830224290739e-16
67.32673267326733	13991878568.659836	69501878.07321142	-8.4857334586379075e-16
68.31683168316832	14080422216.45665	70028917.85728158	-4.790021273666613e-16
69.3069306930693	14169144715.159565	70554088.75762612	9.966484320828995e-17
70.29702970297029	14258043695.678337	71077384.78226778	5.338724707320736e-16
71.2871287128713	14347116788.642979	71598799.99250644	5.750303723146204e-16
72.27722772277228	14436361624.83077	72118328.50282452	2.2144372140023124e-16
73.26732673267327	14525775835.586073	72635964.48165411	1.3485971674459312e-16
74.25742574257426	14615357053.269144	73151702.15333645	1.7970416936086755e-17
75.24752475247524	14705102911.65383	73665535.7977687	-4.617539504927583e-17
76.23762376237623	14795011046.310173	74177459.75057393	-2.0151428947033738e-16
77.22772277227723	14885079095.132093	74687468.4057436	-2.6055588481419426e-16
78.21782178217822	14975304698.688417	75195556.21506704	-9.254439615624164e-17
79.20792079207921	15065685500.550312	75701717.68788902	1.9965280864359473e-19
80.1980198019802	15156219147.907082	76205947.39409304	8.250417490274335e-17
81.18811881188118	15246903291.86571	76708239.96341738	7.252246884284562e-17
82.17821782178218	15337735587.791067	77208590.08552402	6.052575261638308e-17
83.16831683168317	15428713695.840256	77706992.51173979	6.836046826382643e-17
84.15841584158416	15519835281.383385	78203442.05578	4.2977720786273825e-17
85.14851485148515	15611098015.28669	78697933.59336098	-6.233922972749732e-18
86.13861386138613	15702499574.341883	79190462.06301211	-4.7617593790990334e-17
87.12871287128712	15794037641.842106	79681022.46794559	-5.872809972106419e-17
88.11881188118812	15885709907.801193	80169609.87532221	-2.0215299748960752e-17
89.10891089108911	15977514069.26509	80656219.41629864	-9.770930705810088e-18
90.0990099009901	16069447831.048147	81140846.28876323	2.6565477943484627e-18
91.08910891089108	16161508905.891796	81623485.75636558	3.4419695134515045e-18
92.07920792079207	16253695014.65957	82104133.14796048	1.6709785595032006e-17
93.06930693069307	16346003887.217342	82582783.86094423	2.28335671979528e-17
94.05940594059406	16438433262.510946	83059433.35998403	1.2257079728651433e-17
95.04950495049505	16530980888.805988	83534077.17681827	1.2886562207696467e-19
96.03960396039604	16623644524.377527	84006710.9123251	-8.358915451090011e-18
97.02970297029702	16716421937.831194	84477330.23669559	-9.11516902799549e-18
