time	x_PCC	y_PSC	z_Effector_Cells	w_TPC	v_TSC	R_siRNA
0.0	1000000000.0	5600000.0	190000000.0	50000.0	9.4	1.0
0.9900990099009901	891295312.3105012	5532382.3695124	186278063.61380973	709059553.6813364	1335641138.2683122	36345466804.616684
1.9801980198019802	832416778.141933	5473238.142482665	182629103.97642088	1318168347.790646	2600777075.8627996	55253826566.51727
2.9702970297029703	793888079.3065504	5421216.574272529	179051690.18709862	1858219176.455581	3798297832.2584214	65090708563.93735
3.9603960396039604	766410436.583229	5375339.6823844705	175544419.4272245	2345060065.645862	4930968809.943411	70208246478.39052
4.9504950495049505	745861085.6104479	5334850.712512592	172105916.3880498	2788666457.115456	6001445787.956441	72870593553.00221
5.9405940594059405	730058272.8044499	5299142.270605208	168734832.72860307	3196028489.9914355	7012282467.144648	74255652567.04393
6.930693069306931	717711911.2892685	5267715.211116114	165429846.545838	3572382048.660592	7965935740.312152	74976215461.30632
7.920792079207921	707998372.5008415	5240152.481614542	162189661.85576475	3921830819.2615366	8864769990.492476	75351080993.77599
8.910891089108912	700361381.7390519	5216101.300115103	159013008.0850138	4247698065.664936	9711060872.3719	75546100953.75389
9.900990099009901	694408694.0437394	5195260.414378763	155898639.57249284	4552742300.602503	10506998770.042648	75647558118.45227
10.89108910891089	689854165.1934558	5177370.667031911	152845335.08087727	4839297833.344286	11254692025.222836	75700340187.84868
11.881188118811881	686483248.6405625	5162207.817161389	149851897.31771085	5109370846.223747	11956169987.010834	75727799528.29901
12.871287128712872	684131419.6699356	5149576.960697399	146917152.4659134	5364707646.150777	12613385913.44845	75742084952.78737
13.861386138613861	682670130.8004916	5139308.117692165	144039949.7235012	5606844707.93895	13228219744.295082	75749516810.80423
14.85148514851485	681997357.1117095	5131252.692332497	141219160.8523381	5837146349.652983	13802480758.301708	75753383165.66212
15.841584158415841	682031046.0122781	5125280.598830912	138453679.73573393	6056833742.9470215	14337910124.699198	75755394600.67558
16.831683168316832	682704465.9866487	5121277.904335071	135742421.94472012	6267007686.938646	14836183356.34141	75756441018.5651
17.821782178217823	683962831.5515032	5119144.879063209	133084324.31282426	6468666791.975382	15298912670.542192	75756985412.66394
18.81188118811881	685760808.0699466	5118794.371769262	130478344.51918639	6662722213.251737	15727649262.545761	75757268632.24118
19.801980198019802	688060635.3266482	5120150.447692338	127923460.67984562	6850009750.534678	16123885496.015774	75757415976.44635
