time	CaER	Ca_Cyt
0.0	0.0	0.0
1.0	-0.06416872552583491	0.06416872552583491
2.0	-0.08069507130522303	0.08069507130522305
3.0	-0.09678859470179242	0.09678859470179244
4.0	-0.1134845353899213	0.11348453538992131
5.0	-0.13200718446492804	0.13200718446492807
6.0	-0.1551338596260106	0.15513385962601062
7.0	-0.1905974553840887	0.19059745538408873
8.0	-0.26317532012764555	0.2631753201276455
9.0	-0.443186629630633	0.443186629630633
10.0	-0.7757418192181328	0.7757418192181329
11.0	-1.0600120669587434	1.0600120669587436
12.0	-1.1271536357390226	1.127153635739023
13.0	-1.0300003457917972	1.0300003457917977
14.0	-0.8649371117900155	0.8649371117900159
15.0	-0.6878813736992629	0.6878813736992634
16.0	-0.5169174101742415	0.5169174101742421
17.0	-0.3448553163198203	0.34485531631982086
18.0	-0.15844641306463775	0.1584464130646383
19.0	-0.06935048470381172	0.06935048470381225
20.0	-0.07195747567760721	0.07195747567760775
21.0	-0.08115219078112589	0.08115219078112643
22.0	-0.09101190151418899	0.09101190151418953
23.0	-0.10122324348964037	0.10122324348964092
24.0	-0.11178912330702237	0.11178912330702291
25.0	-0.12283936693819462	0.12283936693819517
26.0	-0.13471193128548797	0.13471193128548853
27.0	-0.14817890423292795	0.14817890423292854
28.0	-0.16504838393495913	0.16504838393495969
29.0	-0.1899332744906524	0.18993327449065295
30.0	-0.23602540282272444	0.236025402822725
31.0	-0.3421431577861919	0.3421431577861925
32.0	-0.5774574772796106	0.5774574772796114
33.0	-0.8893684982123337	0.8893684982123345
34.0	-1.0701486321428757	1.0701486321428766
35.0	-1.0614331536962844	1.0614331536962853
36.0	-0.9391955844268415	0.9391955844268424
37.0	-0.7769524740890633	0.7769524740890642
38.0	-0.6111059877395227	0.6111059877395236
39.0	-0.44872034958401136	0.44872034958401225
40.0	-0.27642361647323	0.276423616473231
41.0	-0.1058028079747445	0.10580280797474557
42.0	-0.06829448593311391	0.06829448593311495
43.0	-0.075373686781876	0.07537368678187704
44.0	-0.0849005419205766	0.08490054192057764
45.0	-0.09490020673203547	0.09490020673203652
46.0	-0.1052399667879374	0.10523996678793845
47.0	-0.1159673480559285	0.11596734805592955
48.0	-0.12727694162165948	0.12727694162166053
49.0	-0.13963400797444223	0.13963400797444328
50.0	-0.15410124345885717	0.15410124345885823
51.0	-0.17323824902521856	0.17323824902521961
52.0	-0.2038645372506118	0.20386453725061285
53.0	-0.2661510231993095	0.26615102319931055
54.0	-0.4146349450262588	0.41463494502625986
55.0	-0.699633958401366	0.6996339584013669
56.0	-0.9825756193316475	0.9825756193316484
57.0	-1.0861071726228082	1.086107172622809
58.0	-1.023078981168445	1.023078981168446
59.0	-0.8788054525476966	0.8788054525476975
60.0	-0.712718360605898	0.7127183606058988
61.0	-0.5486337262333268	0.5486337262333276
62.0	-0.38484354043173313	0.3848435404317339
63.0	-0.20485552189453043	0.2048555218945312
64.0	-0.07656441202141337	0.07656441202141416
65.0	-0.07023492831459557	0.07023492831459636
66.0	-0.07895210633563146	0.07895210633563225
67.0	-0.08870209112943567	0.08870209112943647
68.0	-0.09883462064331736	0.09883462064331816
69.0	-0.1093110511967145	0.10931105119671529
70.0	-0.12022870486072233	0.12022870486072314
71.0	-0.13186341345789057	0.13186341345789138
72.0	-0.1448533937877816	0.1448533937877824
73.0	-0.1606749305799693	0.1606749305799701
74.0	-0.18300561666020868	0.18300561666020948
75.0	-0.22209299525657492	0.22209299525657572
76.0	-0.3085583071838025	0.3085583071838034
77.0	-0.5099680739538469	0.5099680739538477
78.0	-0.8219151460893476	0.8219151460893485
79.0	-1.0465100615275242	1.0465100615275251
80.0	-1.0768896180630718	1.0768896180630727
81.0	-0.9731362237694422	0.973136223769443
82.0	-0.815610609526123	0.8156106095261239
83.0	-0.6490765450077662	0.6490765450077671
84.0	-0.4864487784440205	0.4864487784440214
85.0	-0.3182843390622803	0.3182843390622812
86.0	-0.13751417628967993	0.13751417628968082
87.0	-0.06864515982611234	0.0686451598261132
88.0	-0.07331286693547516	0.07331286693547602
89.0	-0.08263999795761241	0.08263999795761323
90.0	-0.09255409781982842	0.09255409781982922
91.0	-0.10281513340794685	0.10281513340794765
92.0	-0.11344204125537116	0.11344204125537197
93.0	-0.12458914698533699	0.1245891469853378
94.0	-0.1366389347413255	0.1366389347413263
95.0	-0.15046698772542708	0.15046698772542788
96.0	-0.1681467076708554	0.1681467076708562
97.0	-0.19505389431402773	0.19505389431402853
98.0	-0.2467957454753565	0.24679574547535732
99.0	-0.36825393745303114	0.3682539374530319
100.0	-0.6249479405199307	0.6249479405199314
