time	II_f	II_l	mIIa_f	mIIa_l	V_f	V_l	Va_f	Va_l	VII_f	VII_l	VIIa_f	VIIa_l	VIII_f	VIII_l	VIIIa_f	VIIIa_l	IX_f	IX_l	IXa_f	IXa_l	X_f	X_l	Xa_f	Xa_l	APC_f	APC_l	PS_f	PS_l	VIIIai_f	VIIIai_l	Vai_f	Vai_l	PC_f	PC_l	TF_l	TF_VIIa_l	TF_VII_l	TF_VIIa_IX_l	TF_VIIa_IXa_l	TF_VIIa_X_l	TF_VIIa_Xa_l	TF_VII_Xa_l	IXa_VIIIa_l	Xa_Va_l	IXa_VIIIa_X_l	V_Xa_l	VIII_Xa_l	IIa_f	V_IIa_l	VIII_IIa_l	Xa_Va_II_l	Xa_Va_mIIa_l	XI_f	XI_IIa_l	XIa_l	APC_PS_l	APC_PS_VIIIa_l	TFPI_f	AT_f	IIa_AT_f	TFPI_Xa_l	TFPI_Xa_TF_VIIa_l	APC_PS_Va_l	IXa_AT_f	Xa_AT_f	VII_Xa_l	V_mIIa_l	VIII_mIIa_l	TM_l	IIa_TM_l	IIa_TM_PC_l	mIIa_AT_l	XIa_IX_l	LIPID	alpha2M_l	alpha2M_IIa_l	alpha2M_Xa_l	AT_XIa_l
0.0	1400.0	0.0	0.0	0.0	20.0	0.0	0.0	0.0	10.0	0.0	0.1	0.0	0.7	0.0	0.0	0.0	90.0	0.0	0.0	0.0	170.0	0.0	0.0	0.0	0.0	0.0	300.0	0.0	0.0	0.0	0.0	0.0	60.0	0.0	0.005	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	30.0	0.0	0.0	0.0	0.0	2.5	3400.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	170000.0	2600.0	0.0	0.0	0.0
0.9900990099009901	589.3308484854957	810.669151514503	7.511709649748163e-17	4.165320733357193e-15	0.1739796288272865	19.826018098678016	1.51782708506734e-10	2.108144238278611e-08	0.3841392444192718	9.615635872593634	0.001352286103032964	0.0984186593473929	0.004210813757324534	0.695789120345552	5.3139679748993435e-12	3.3612926457419884e-10	0.6220405243573781	89.37792345916566	2.6072108714760462e-08	4.339970906089641e-06	61.15676534328102	108.84316053300489	1.3399374563821129e-06	5.028921444587483e-06	1.1419202588821137e-19	9.22910359991742e-19	3.587805047600127	296.41219495239943	8.876667864192924e-23	4.2971836468288116e-21	2.013610933089493e-32	4.583433037747079e-30	24.6508183404112	35.349181659588744	0.004546101151823325	0.00013218217051249857	0.00022468396099573385	3.165042285626724e-05	0.0	4.133313428908527e-05	2.4049158630231346e-05	8.899638837609252e-13	1.2772377759515694e-17	6.921586110737727e-15	5.104414088936894e-18	2.2512614824767916e-06	6.555567880364826e-08	7.899741115952074e-16	9.146329278856158e-17	2.249549658432686e-18	4.631168966935556e-15	6.744118648626251e-16	30.0	1.115694436138847e-16	1.3589501686457219e-17	2.1138286916926386e-18	3.563420307054113e-30	2.499999986742615	3399.9999999973993	1.760206652228442e-18	1.3257384407867407e-08	2.8887973163605717e-15	2.219264798826161e-28	1.1192182292417869e-11	2.591982323431068e-09	3.86884791513342e-08	4.582431410689912e-16	1.1800607106368103e-17	1.0	6.249944213081858e-17	1.0573306488486461e-17	1.5779529507080686e-19	8.928871650183712e-19	32911.19610974915	2599.9999999987967	4.926941365725331e-19	1.2064981658939274e-09	8.759509865161618e-21
1.9801980198019802	583.7755350824223	816.2244649175731	4.261451178329162e-14	1.851066966789392e-12	0.17669606803800023	19.823284058818707	3.350637021762809e-09	4.06903325119381e-07	0.3898862278562314	9.609682495107963	0.0013703753650117642	0.09819210827456637	0.004276803869466322	0.6957226976800109	1.0527325901809828e-10	5.74165727093286e-09	0.6317768485697438	89.36813124443269	1.4214075737674778e-07	2.151981848231982e-05	62.65262141001066	107.34718869123417	7.598836637442826e-06	2.4513284547469887e-05	2.1468189222032904e-16	1.3112579665782562e-15	3.6435749825780395	296.35642501742154	8.849946008623165e-23	4.2974689906119434e-21	-9.414366513755741e-23	-8.417984997550262e-22	24.8497889428799	35.15021105711999	0.004131399364334033	0.00023161425736300173	0.0004293265189745927	7.02449011068157e-05	0.0	7.226454297133208e-05	6.515040655519398e-05	8.547290183745615e-12	2.2432063253400506e-15	1.3166016411374625e-12	1.062385568572222e-15	1.9462886613091e-05	4.926035797860399e-07	3.180264489601235e-13	5.4668919059310533e-14	1.1663818811626253e-15	9.2127185553572e-13	1.4144424609533128e-13	29.999999999999932	6.06585284840904e-14	1.5698161131641052e-14	6.470023940908146e-15	3.7462474781228876e-25	2.499999826338307	3399.9999999659103	1.5682161586109573e-15	1.7366154955493902e-07	1.477327682903347e-13	2.628014108995033e-23	1.3733957727130317e-10	3.3955674819435004e-08	1.9276055347670528e-07	2.958031452961931e-13	6.759108935333469e-15	0.9999999999999376	5.065479933099717e-14	1.2009713378528271e-14	2.0098555629368606e-16	2.036676757560803e-15	32532.55347095885	2599.999999984199	4.3895465640343405e-16	1.580545477531809e-08	2.2675452469139304e-17
2.9702970297029703	583.672332266193	816.327667733714	1.2469024314896332e-12	4.9878749891837717e-11	0.1767420591218703	19.823196661963717	1.7010673784398703e-08	1.985124755966892e-06	0.38997696614551786	9.609401864351277	0.0013681627220536168	0.09800905229898489	0.004277924366789549	0.6957206823842268	4.922362997596619e-10	2.5700942959677226e-08	0.631942511080083	89.36790251197387	3.438571170046282e-07	5.07480957308631e-05	62.68610099414032	107.31355366290548	1.8610098861005543e-05	5.752740700706982e-05	1.1173730904512494e-14	6.201453789349428e-14	3.6445263851141667	296.355473614885	8.872091184628355e-23	4.3102897343195124e-21	6.253746662227678e-23	1.593724070582653e-21	24.85319084093238	35.146809159066486	0.003756500923315614	0.0003181733775265924	0.000614206946948815	0.00010388446599479216	0.0	9.965574758952371e-05	0.00010757850840938655	2.8969517567576876e-11	3.6277879234581114e-14	2.22104230824232e-11	1.829031262351995e-14	5.927672780982021e-05	1.3670555176474638e-06	7.962890520004047e-12	1.5991389072106024e-12	3.1926145456708543e-14	1.5727648094472966e-11	2.4547379355620553e-12	29.999999999997524	1.694598310819144e-12	6.689906196506401e-13	4.6666743504992e-13	1.7335088917932537e-22	2.4999993222769428	3399.999999866952	6.218303941524267e-14	6.777218161389366e-07	1.2457473081858669e-12	1.3249039818168651e-20	5.271697976180958e-10	1.3252455768327793e-07	4.5540546750390704e-07	9.210605449772094e-12	1.9920623285779686e-13	0.9999999999976084	1.8831734840705212e-12	5.08868397277931e-13	9.34687208733257e-15	1.2250022682473565e-13	32526.047795375664	2599.9999999383176	1.7405467065869653e-14	6.16866227584205e-08	1.5391342071366306e-15
3.9603960396039604	583.6703373939166	816.3296626052621	1.2053987329938369e-11	4.6270405207467306e-10	0.17674239393066016	19.82312921595159	5.0148829148147766e-08	5.741732884246861e-06	0.3899719788149959	9.609230010958347	0.0013659131614789392	0.09784875661931158	0.004277938573388046	0.6957193340312288	1.3664006799117964e-09	6.98911849432693e-08	0.631945298124798	89.36782974293817	6.209618014885832e-07	9.056383810232778e-05	62.686703782577574	107.31275976419272	3.3854988896778814e-05	0.00010256216705946894	1.558200443667493e-13	8.244566661280594e-13	3.6445451474283357	296.35545485256296	1.0654397532174539e-22	5.379844840179173e-21	5.186189362305341e-22	8.575183684160255e-20	24.853258167078465	35.146741832905995	0.003417474044703999	0.00039573073792391463	0.0007812462420441927	0.00013377282183389555	0.0	0.00012421056853553655	0.00014756551361914055	6.599446867455757e-11	2.3730014964951084e-13	1.4824085182695898e-10	1.233876383526914e-13	0.00012259785831736912	2.6561352109287012e-06	6.945117568919486e-11	1.5143541999875314e-11	2.9121829054430846e-13	1.0556736836309674e-10	1.660721648490126e-11	29.999999999974182	1.562989274058853e-11	8.28782452568796e-12	8.245360405273064e-12	1.0460315091850935e-20	2.499998296913617	3399.9999996656334	7.518345104068647e-13	1.7030810433100153e-06	5.344841390237053e-12	8.50999076895004e-19	1.3131347527376974e-09	3.3305600819638095e-07	8.144905562183063e-07	9.218937093736401e-11	1.933382545413965e-12	0.9999999999721592	2.159363216659483e-11	6.247828162405156e-12	1.2530327375694952e-13	1.881847906728551e-12	32525.91847337033	2599.9999998449757	2.1044373084931245e-13	1.5502862785911733e-07	2.6488175412675808e-14
4.9504950495049505	583.6703290800749	816.3296709156934	6.540260148616272e-11	2.4495663822200327e-09	0.17674162514548244	19.823037565443236	1.1165410156656748e-07	1.2643071238165888e-05	0.3899655242857345	9.609069608794737	0.001363964251940788	0.09771046753043272	0.00427792892774991	0.6957176045840757	2.9095759072366956e-09	1.4707776909613898e-07	0.6319448867435926	89.36775362324539	9.655020048895525e-07	0.00013985444798595854	62.68664054042409	107.31259963529166	5.287690408394577e-05	0.0001583225395585426	1.1020419367579087e-12	5.6678310831146175e-12	3.6445458539779825	296.3554541459515	5.999091546044451e-22	3.365530540453314e-20	1.9780863367174976e-20	2.4895482762364403e-18	24.853260859803964	35.14673914007905	0.003110824474770869	0.00046574688781149626	0.0009321512565258708	0.00016066743260339386	0.0	0.0001463755061197534	0.00018423430421407366	1.2187685614791795e-10	9.680399698610013e-13	6.079388239119321e-10	5.125467385924929e-13	0.00020805298386171353	4.3164873314918364e-06	3.4834488578167126e-10	7.98839721246477e-11	1.5001889846627957e-12	4.343575074026826e-10	6.864439294387205e-11	29.999999999850488	8.107192753915577e-11	5.400108275539027e-11	6.996184324131947e-11	2.190126591800948e-19	2.499996592048482	3399.9999993308675	4.862357663451114e-12	3.4079354445650708e-06	1.607767577706201e-11	1.8665665265739716e-17	2.6127842156147255e-09	6.665167105605949e-07	1.2596119141912418e-06	5.112812050432059e-10	1.0515713085075825e-11	0.9999999998266517	1.3317581256791322e-10	4.0173004501226956e-11	8.759891548225226e-13	1.4221828911009727e-11	32525.912860869485	2599.999999689758	1.3610078724578994e-12	3.102456299916313e-07	2.226123508393629e-13
5.9405940594059405	583.670362561907	816.3296374224911	2.4936228437293743e-10	9.189120535961972e-09	0.17674062548572278	19.822921876893464	2.097578366259501e-07	2.3582398398501745e-05	0.3899593242889554	9.608916178641245	0.001362317420420749	0.097593807000222	0.004277916602323479	0.6957155039007756	5.2845635501769965e-09	2.6511020976578114e-07	0.6319443761828518	89.36767157176018	1.3708685673484207e-06	0.0001976938370598042	62.68655381210487	107.31243376829548	7.528097714430201e-05	0.00022368976629143821	5.1644932280004036e-12	2.606955862472623e-11	3.6445462363690955	296.3554537632511	7.246688667954867e-21	4.0301952007638553e-19	2.8444186098544188e-19	3.507637147640626e-17	24.853262404993906	35.14673759442151	0.0028334091383652553	0.0005291252817143999	0.0010684624433856948	0.00018498274524364724	0.0	0.00016643802174203605	0.00021758213298111708	1.9772287435593016e-10	2.9598484790243578e-12	1.8502236450404575e-09	1.585828325244949e-12	0.00031369980547068355	6.3090519629180426e-06	1.2453151553887511e-09	2.954044002884961e-10	5.458284007972262e-12	1.324758997961733e-09	2.0998413021056816e-10	29.99999999939471	2.9634452802098925e-10	2.37906414014515e-10	3.7925747116482916e-10	2.407150808505105e-18	2.4999940663378037	3399.9999988348563	2.1409145599993526e-11	5.933623356014437e-06	3.8844964961503636e-11	2.1253342968987555e-16	4.53176532904796e-09	1.1605877032364155e-06	1.7817875090681977e-06	1.9787662589082784e-09	4.0159186536403055e-11	0.9999999992650345	5.609611759453606e-10	1.740050385965496e-10	4.109041453840108e-12	6.98385609040863e-11	32525.909408411604	2599.9999994597765	5.992569391681196e-12	5.402224092155406e-07	1.207179411803922e-12
6.930693069306931	583.6703994961097	816.3296004580453	7.502162446483117e-10	2.733046430962818e-08	0.17673942174282484	19.822783268094472	3.519328615343599e-07	3.9370205807153665e-05	0.3899533167435686	9.608767300400748	0.001360968086587724	0.09749843972353281	0.004277902169770295	0.6957130586006359	8.637579052870375e-09	4.31040321014077e-07	0.6319438299430055	89.36758405373334	1.8312780919908147e-06	0.0002632701372171636	62.686457130286485	107.31225136119365	0.00010071846296616278	0.0002976739128777607	1.8386976778487533e-11	9.160071141545206e-11	3.6445466370055772	296.355453361472	6.259063458587192e-20	3.4118040900776315e-18	2.5496011154363634e-18	3.0840311232669246e-16	24.853264026827066	35.146735970962666	0.0025823980266024824	0.0005865644002016058	0.0011915709193700632	0.00020700747418575503	0.0	0.00018461985844261326	0.0002478389465183484	2.937967352850982e-10	7.455753302844267e-12	4.608684243675324e-09	4.028065888746223e-12	0.0004375727059481517	8.599403507305782e-06	3.5467271163671086e-09	8.618605858011713e-10	1.573934838138563e-11	3.3047237395860146e-09	5.24911569338946e-10	29.999999998074053	8.573757967463787e-10	8.065187050791152e-10	1.5219343921907697e-09	1.719797897192757e-17	2.4999905931657382	3399.9999981526657	7.275114068593494e-11	9.406753384836109e-06	8.088238551939142e-11	1.5607767537778782e-15	7.1655465504719145e-09	1.8400795119883958e-06	2.3730721540019242e-06	6.017932505055057e-09	1.2096183479848897e-10	0.9999999975942937	1.8274578986951474e-09	5.78249110668958e-10	1.473311872176944e-11	2.57186242730361e-10	32525.905775838193	2599.999999143477	2.0363552430111992e-11	8.565075990222637e-07	4.877485900020327e-12
7.920792079207921	583.6704387029379	816.329561182646	1.9052204441941155e-09	6.881922100430288e-08	0.17673802383071716	19.82262282190482	5.449259819632786e-07	6.073816084729952e-05	0.38994741437141606	9.608620825978065	0.0013599119995766215	0.09742406293518359	0.0042778857837362586	0.6957102926467572	1.31005838487154e-08	6.512346173909727e-07	0.6319432522882151	89.36749156046173	2.3415668135860163e-06	0.0003358579514489903	62.68635166393622	107.31205370644834	0.00012887724491162164	0.0003793882234387069	5.38250021779155e-11	2.655467679461475e-10	3.6445470602596743	296.35545293481397	3.901632433436868e-19	2.093170643846288e-17	1.625134094672384e-17	1.937595900735802e-15	24.853265738774674	35.14673425438975	0.0023552416338299717	0.0006386589718576202	0.001302733316866349	0.0002269763342094037	0.0	0.0002011095008047662	0.0002752796814331149	4.0975267577098965e-10	1.6344935678541204e-11	9.947461980060422e-09	8.885172380855011e-12	0.0005778354209633162	1.1156863157548765e-05	8.587085456772044e-09	2.124525824329504e-09	3.845767145209252e-11	7.1407632678243805e-09	1.1359459234350631e-09	29.999999994844234	2.100135192182291e-09	2.267862783766793e-09	4.9257644910834975e-09	9.038186125474916e-17	2.4999860590212473	3399.999997261889	2.0531282869169312e-10	1.3940827511703961e-05	1.5124608692422267e-10	8.383206219238129e-15	1.0600585683373395e-08	2.7272486507614792e-06	3.0263495759348085e-06	1.5407993235170796e-08	3.07458529226104e-10	0.999999993457654	4.952002578834568e-09	1.5903439343132107e-09	4.356746571062302e-11	7.718160275707699e-10	32525.901940097236	2599.999998730487	5.7468494823998726e-11	1.2694610089955787e-06	1.596539418329435e-11
8.910891089108912	583.6704798680496	816.329519879407	4.261821180784903e-09	1.5293831544604424e-07	0.17673644050400097	19.822441530153636	7.94828988411597e-07	8.834696146649203e-05	0.389941537859785	9.608474821423835	0.0013591453066157347	0.09737040235013583	0.004277867573350611	0.6957072274488552	1.8793435585122205e-08	9.314783796201205e-07	0.6319426459126097	89.36739454210284	2.897091680508077e-06	0.0004148048695354199	62.686238218756095	107.31184221927846	0.00015947647685432212	0.0004680345077038464	1.3615439260186847e-10	6.667125990875719e-10	3.6445475032027836	296.3554524832228	1.9003869549400695e-18	1.0068090154969553e-16	8.056096621387179e-17	9.496834960581808e-15	24.85326752762328	35.146732454202684	0.002149642154691071	0.000685934084560726	0.0014030850883692035	0.0002450930693087331	0.0	0.00021607325852890762	0.000300171538983642	5.448148078685804e-10	3.228257318579589e-11	1.928883933989725e-08	1.7632310096488334e-11	0.0007328128927755666	1.3953884788990174e-05	1.841408064967581e-08	4.619433394389605e-09	8.304940288375022e-11	1.3857990304120988e-08	2.2070819520880537e-09	29.99999998787696	4.543975630805606e-09	5.545551388508066e-09	1.3573800598609813e-08	3.7809514095071486e-16	2.499980362158715	3399.999996142368	5.041001062502166e-10	1.9637580547380014e-05	2.607428966506887e-10	3.5693844391878285e-14	1.491526225577109e-08	3.842058751764473e-06	3.7352143092571e-06	3.468577095284153e-08	6.882239246999489e-10	0.9999999845135542	1.168920583907344e-08	3.797240468646554e-09	1.1148948231889655e-10	1.98888819336645e-09	32525.897927347618	2599.9999982114887	1.4110114080126985e-10	1.7883751738549785e-06	4.46389661381284e-11
