time	species_5	species_10	species_9	species_15	species_11	species_14	species_4	species_3	species_1	species_2	species_7	species_6
0.0	6.5755e-16	5.124220214897735e-17	8.298757797851023e-15	1.4155860087770932e-15	8.44139912229068e-17	1.5801923932593955e-17	3.3152503581039053e-12	2.0844700523245215e-11	3.9464699999999997e-13	5.291056583896315e-12	4.7999999999999996e-11	5e-09
0.9900990099009901	6.575499999999972e-16	5.597679663890227e-17	8.294023203361097e-15	1.4209526346889173e-15	7.904736531108267e-17	1.5801923932610426e-17	3.3355347404874205e-12	2.2125148943494565e-11	4.3144532119877477e-13	5.292089637658221e-12	4.6699267386163305e-11	6.623231680113253e-09
1.9801980198019802	6.575499999999931e-16	6.258529459367452e-17	8.287414705406324e-15	1.4288585898646062e-15	7.114141013539397e-17	1.5801923932630493e-17	3.366181359339928e-12	2.3944123915666477e-11	4.827375050285036e-13	5.293648458416782e-12	4.484964608023805e-11	8.19376573848003e-09
2.9702970297029703	6.57549999999989e-16	6.919379254844679e-17	8.280806207451552e-15	1.4367645450402949e-15	6.323545495970529e-17	1.5801923932650562e-17	3.3968279781924347e-12	2.576309888783839e-11	5.340296888582326e-13	5.295207279175344e-12	4.30000247743128e-11	9.713312984082063e-09
3.9603960396039604	6.575499999999872e-16	7.4797377169949e-17	8.27520262283005e-15	1.4396632815190937e-15	6.033671848090619e-17	1.580192393267365e-17	3.4160400473141826e-12	2.6982635760494962e-11	5.77704180323135e-13	5.297201603633226e-12	4.1761275640619e-11	1.1183528685114287e-08
4.9504950495049505	6.575499999999935e-16	7.692926173997344e-17	8.273070738260028e-15	1.4252634502187334e-15	7.473654978126624e-17	1.5801923932707175e-17	3.395748882102553e-12	2.6131278346006127e-11	5.950616331942189e-13	5.300700473971131e-12	4.263292238044918e-11	1.2606014372096209e-08
5.9405940594059405	6.575499999999999e-16	7.906114630999788e-17	8.270938853690006e-15	1.410863618918373e-15	8.913638108162621e-17	1.5801923932740702e-17	3.3754577168909232e-12	2.5279920931517296e-11	6.124190860653028e-13	5.304199344309037e-12	4.3504569120279356e-11	1.3982319582445791e-08
6.930693069306931	6.575500000000062e-16	8.11930308800223e-17	8.268806969119984e-15	1.3964637876180125e-15	1.0353621238198616e-16	1.5801923932774232e-17	3.3551665516792935e-12	2.4428563517028464e-11	6.297765389363866e-13	5.307698214646943e-12	4.4376215860109534e-11	1.531394354841649e-08
7.920792079207921	6.575500000000125e-16	8.332491545004674e-17	8.26667508454996e-15	1.3820639563176522e-15	1.179360436823462e-16	1.5801923932807758e-17	3.334875386467664e-12	2.3577206102539632e-11	6.471339918074705e-13	5.311197084984848e-12	4.5247862599939706e-11	1.6602336830235953e-08
8.910891089108912	6.575500000000189e-16	8.545680002007118e-17	8.264543199979938e-15	1.3676641250172917e-15	1.323358749827062e-16	1.5801923932841285e-17	3.314584221256034e-12	2.27258486880508e-11	6.644914446785544e-13	5.314695955322754e-12	4.6119509339769883e-11	1.784890289622553e-08
9.900990099009901	6.575500000000252e-16	8.758868459009561e-17	8.262411315409916e-15	1.3532642937169314e-15	1.467357062830662e-16	1.580192393287481e-17	3.2942930560444045e-12	2.1874491273561966e-11	6.818488975496383e-13	5.3181948256606596e-12	4.699115607960006e-11	1.9054999651621736e-08
10.89108910891089	6.575500000000317e-16	8.972056916012004e-17	8.260279430839893e-15	1.338864462416571e-15	1.6113553758342614e-16	1.5801923932908338e-17	3.2740018908327748e-12	2.1023133859073137e-11	6.992063504207222e-13	5.321693695998565e-12	4.786280281943023e-11	2.022194091776512e-08
11.881188118811881	6.57550000000038e-16	9.185245373014448e-17	8.25814754626987e-15	1.3244646311162106e-15	1.7553536888378616e-16	1.5801923932941865e-17	3.2537107256211447e-12	2.0171776444584306e-11	7.165638032918061e-13	5.32519256633647e-12	4.873444955926041e-11	2.1350997863267802e-08
12.871287128712872	6.575500000000444e-16	9.398433830016891e-17	8.256015661699847e-15	1.3100647998158502e-15	1.8993520018414616e-16	1.5801923932975394e-17	3.233419560409515e-12	1.9320419030095474e-11	7.339212561628901e-13	5.3286914366743764e-12	4.960609629909059e-11	2.2443400388718646e-08
13.861386138613861	6.575500000000507e-16	9.611622287019335e-17	8.253883777129825e-15	1.2956649685154897e-15	2.0433503148450615e-16	1.580192393300892e-17	3.2131283951978853e-12	1.846906161560664e-11	7.51278709033974e-13	5.332190307012282e-12	5.0477743038920766e-11	2.3500338466434542e-08
14.85148514851485	6.575500000000571e-16	9.824810744021778e-17	8.251751892559803e-15	1.2812651372151294e-15	2.1873486278486612e-16	1.5801923933042447e-17	3.1928372299862556e-12	1.761770420111781e-11	7.686361619050578e-13	5.335689177350187e-12	5.134938977875094e-11	2.45229634367171e-08
15.841584158415841	6.575500000000634e-16	1.0037999201024221e-16	8.249620007989779e-15	1.266865305914769e-15	2.331346940852261e-16	1.5801923933075974e-17	3.172546064774626e-12	1.676634678662898e-11	7.859936147761417e-13	5.3391880476880925e-12	5.2221036518581115e-11	2.5512389262026915e-08
16.831683168316832	6.575500000001011e-16	1.0262135324272595e-16	8.247378646757299e-15	1.2591504543452412e-15	2.408495456547535e-16	1.58019239331128e-17	3.1703202221443305e-12	1.6438216311848892e-11	8.039532272683592e-13	5.3431612107368305e-12	5.2551392593495955e-11	2.6469693740441427e-08
17.821782178217823	6.575500000002556e-16	1.0527129274936588e-16	8.24472870725066e-15	1.2763846414094777e-15	2.2361535859051705e-16	1.5801923933161948e-17	3.2355160395879356e-12	1.8062823116556945e-11	8.241601620048115e-13	5.348904483440757e-12	5.0861595690417164e-11	2.7395919679718407e-08
