time	As	Bs	Asyn	Bsyn
0.0	0.006	0.0	0.0	0.0
0.9900990099009901	0.005999941057170035	1.782165641813248e-09	4.1257532842798975e-08	8.024101102933878e-15
1.9801980198019802	0.005999882115264228	3.564313257035385e-09	8.251430467178436e-08	2.755005540950644e-14
2.9702970297029703	0.005999823174490752	5.346438784844865e-09	1.2377014407465515e-07	6.116804621258526e-14
3.9603960396039604	0.005999764234785602	7.1285434738286926e-09	1.6502510375699426e-07	1.0808161967677561e-13
4.9504950495049505	0.005999705296028551	8.910629669159008e-09	2.062792827136375e-07	1.6679482770245015e-13
5.9405940594059405	0.0059996463582196	1.0692697370835815e-08	2.4753268094458475e-07	2.373076702896083e-13
6.930693069306931	0.005999587421358749	1.2474746578859113e-08	2.887852984498361e-07	3.196201474382505e-13
7.920792079207921	0.005999528485445997	1.4256777293228903e-08	3.3003713522939144e-07	4.1373225914837653e-13
8.910891089108912	0.005999469550481346	1.6038789513945186e-08	3.71288191283251e-07	5.196440054199866e-13
9.900990099009901	0.005999410616464794	1.7820783241007957e-08	4.1253846661141454e-07	6.373553862530805e-13
10.89108910891089	0.005999351683396342	1.9602758474417217e-08	4.5378796121388207e-07	7.66866401647658e-13
11.881188118811881	0.00599929275127599	2.138471521417297e-08	4.950366750906538e-07	9.081770516037199e-13
12.871287128712872	0.005999233820292092	2.3166649785256454e-08	5.36284453269786e-07	1.0636267231087078e-12
13.861386138613861	0.005999174890390117	2.4948563251633435e-08	5.775313406176734e-07	1.2325381331841905e-12
14.85148514851485	0.005999115961460341	2.6730457754143594e-08	6.187774274114295e-07	1.4135484989873755e-12
15.841584158415841	0.005999057033502764	2.851233329278693e-08	6.600227136510548e-07	1.6066578205182655e-12
16.831683168316832	0.005998998106517388	3.0294189867563455e-08	7.012671993365493e-07	1.8118660977768594e-12
17.821782178217823	0.00599893918050421	3.2076027478473157e-08	7.425108844679126e-07	2.0291733307631574e-12
18.81188118811881	0.005998880255463232	3.385784612551604e-08	7.83753769045145e-07	2.2585795194771594e-12
19.801980198019802	0.005998821331394453	3.5639645808692096e-08	8.249958530682464e-07	2.500084663918864e-12
20.792079207920793	0.005998762408297874	3.7421426528001334e-08	8.662371365372169e-07	2.753688764088273e-12
21.78217821782178	0.005998703486173495	3.9203188283443764e-08	9.074776194520564e-07	3.019391819985387e-12
22.77227722772277	0.0059986445650213145	4.098493107501936e-08	9.48717301812765e-07	3.2971938316102044e-12
23.762376237623762	0.005998585644841334	4.276665490272815e-08	9.899561836193427e-07	3.587094798962725e-12
24.752475247524753	0.005998526725633552	4.4548359766570106e-08	1.0311942648717893e-06	3.88909472204295e-12
25.742574257425744	0.00599846780739797	4.633004566654525e-08	1.0724315455701051e-06	4.20319360085088e-12
26.73267326732673	0.005998408890134588	4.8111712602653574e-08	1.11366802571429e-06	4.529391435386512e-12
27.722772277227723	0.005998349973843405	4.9893360574895076e-08	1.1549037053043435e-06	4.867688225649849e-12
28.712871287128714	0.005998291058524422	5.1674989583269764e-08	1.1961385843402665e-06	5.2180839716408904e-12
29.7029702970297	0.005998232144177637	5.345659962777763e-08	1.2373726628220583e-06	5.580578673359635e-12
30.693069306930692	0.005998173230803053	5.523819070841867e-08	1.2786059407497193e-06	5.955172330806083e-12
31.683168316831683	0.0059981143184006675	5.701976282519289e-08	1.3198384181232493e-06	6.341864943980236e-12
32.67326732673267	0.005998055406970482	5.8801315978100294e-08	1.361070094942648e-06	6.740656512882091e-12
33.663366336633665	0.005997996496512495	6.058285016714087e-08	1.402300971207916e-06	7.15154703751165e-12
34.65346534653465	0.0059979375870267086	6.236436539231465e-08	1.4435310469190534e-06	7.574536517868916e-12
35.64356435643565	0.0059978786785131214	6.41458616536216e-08	1.4847603220760593e-06	8.009624953953883e-12
36.633663366336634	0.005997819770995689	6.592733848290898e-08	1.5259887770646105e-06	8.457106220624287e-12
37.62376237623762	0.005997760864614972	6.770879313319138e-08	1.5672162967935062e-06	8.918704690868603e-12
38.613861386138616	0.00599770195921409	6.949022867037451e-08	1.6084430097158366e-06	9.392495794972654e-12
39.603960396039604	0.005997643054793044	7.127164509445834e-08	1.649668915831602e-06	9.878479532936432e-12
40.59405940594059	0.005997584151351833	7.305304240544283e-08	1.690894015140802e-06	1.0376655904759939e-11
41.584158415841586	0.005997525248890459	7.483442060332805e-08	1.732118307643437e-06	1.088702491044318e-11
42.57425742574257	0.005997466347408919	7.661577968811397e-08	1.7733417933395072e-06	1.1409586549986162e-11
43.56435643564356	0.005997407446907216	7.839711965980058e-08	1.8145644722290113e-06	1.194434082338886e-11
44.554455445544555	0.0059973485473853476	8.017844051838788e-08	1.8557863443119507e-06	1.2491287730651291e-11
45.54455445544554	0.005997289648843314	8.195974226387589e-08	1.897007409588325e-06	1.3050427271773464e-11
46.53465346534654	0.005997230751281117	8.374102489626458e-08	1.938227668058134e-06	1.3621759446755365e-11
47.524752475247524	0.005997171854698756	8.5522288415554e-08	1.979447119721378e-06	1.4205284255597e-11
48.51485148514851	0.00599711295909623	8.730353282174409e-08	2.0206657645780562e-06	1.4801001698298363e-11
49.504950495049506	0.005997054064473539	8.908475811483489e-08	2.0618836026281695e-06	1.5408911774859458e-11
50.495049504950494	0.005996995170830684	9.086596429482638e-08	2.103100633871718e-06	1.6029014485280287e-11
51.48514851485149	0.005996936278167666	9.264715136171858e-08	2.144316858308701e-06	1.666130982956084e-11
52.475247524752476	0.005996877386484482	9.442831931551148e-08	2.185532275939119e-06	1.7305797807701142e-11
