time	Mad1_CMad2	OMad2	Mad1_CMad2_OMad2	Cdc20	Cdc20_CMad2	Bub3_BubR1	MCC	Bub3_BubR1_Cdc20	APC	MCC_APC	APC_Cdc20
0.0	5e-08	1.3e-07	0.0	2.2e-07	0.0	1.27e-07	0.0	0.0	9e-08	0.0	0.0
0.9900990099009901	4.9924126619380234e-08	1.2871331449095977e-07	7.587338061975107e-11	1.6589053852870667e-07	7.077137884337571e-10	1.2628471806851579e-07	1.752825939629366e-10	2.125524085623846e-10	3.698070721817329e-08	3.274156030049874e-10	5.268664291328209e-08
1.9801980198019802	4.9915660976189854e-08	1.274522976148911e-07	8.433902381013221e-11	1.4841293434913183e-07	9.237196507296661e-10	1.2511032188802967e-07	4.342368444451611e-10	3.498919803242885e-10	2.0114184433128696e-08	1.1055825390344283e-09	6.877374830271663e-08
2.9702970297029703	4.991218927824274e-08	1.2620573564280542e-07	8.781072175725681e-11	1.412101072353096e-07	9.875088517810601e-10	1.2383431502465488e-07	7.131751451195058e-10	4.4799607474711883e-10	1.3351713612656188e-08	2.0043799776427896e-09	7.46370394627065e-08
3.9603960396039604	4.991047881000442e-08	1.2497293316501953e-07	8.952118999557049e-11	1.377878736189372e-07	1.0113941329502126e-09	1.2255527095984328e-07	9.77952660058619e-10	5.21456233112671e-10	1.0279236536878948e-08	2.94502258536566e-09	7.675659029187691e-08
4.9504950495049505	4.99109034939548e-08	1.2375459262783224e-07	8.909650604519078e-11	1.362549348944689e-07	1.0219112076545158e-09	1.2129128013988623e-07	1.1662380413704212e-09	5.773713199796588e-10	9.010900276263412e-09	3.964767172675067e-09	7.701507419352726e-08
5.9405940594059405	4.991135443223662e-08	1.2254888506698964e-07	8.864556776337004e-11	1.3544175110571662e-07	1.0262344380453673e-09	1.2004618771701752e-07	1.2487234736822168e-09	6.202658993298386e-10	8.430471768130233e-09	5.084261773821205e-09	7.65790987754293e-08
6.930693069306931	4.9911257956737354e-08	1.2135528680359498e-07	8.87420432626305e-11	1.3482062369422722e-07	1.028117510578885e-09	1.1882085114334728e-07	1.242811052642877e-09	6.532688094413056e-10	8.05867766845413e-09	6.282034998967064e-09	7.597353277870347e-08
7.920792079207921	4.9911438294280365e-08	1.2017355701146015e-07	8.856170571962203e-11	1.3428297871921725e-07	1.0294016091606353e-09	1.1761419845060062e-07	1.212262701959633e-09	6.784348518591593e-10	7.8029769550973e-09	7.493448154989816e-09	7.530393010761601e-08
8.910891089108912	4.991223448508424e-08	1.1900272796529259e-07	8.776551491574627e-11	1.3376217214876905e-07	1.0308557527361555e-09	1.1642513032701662e-07	1.2223462684766275e-09	6.972237489005145e-10	7.58733615726734e-09	8.652959463656521e-09	7.46351585899017e-08
