time	S	C	V_C
0.0	830000000.0	0.0	33200000.0
0.9900990099009901	817838660.3765404	127312.24571754035	30354241.637720402
1.9801980198019802	808984513.9304231	238442.36522124812	27765632.279329468
2.9702970297029703	802492039.654278	335817.91082576924	25410075.65277582
3.9603960396039604	797705558.4235704	421286.23266218393	23265958.81051479
4.9504950495049505	794162086.2164624	496308.15437508316	21313818.191745013
5.9405940594059405	791530206.1059939	562077.5234181127	19536076.58366482
6.930693069306931	789570217.1453011	619596.9421061341	17916828.78505518
7.920792079207921	788107390.8616034	669726.8797745563	16441662.221469106
8.910891089108912	787013599.9703548	713218.2677635764	15097503.663355373
9.900990099009901	786194460.1115385	750734.6742923367	13872486.144346206
10.89108910891089	785580197.329772	782867.8105402568	12755832.01674994
11.881188118811881	785119086.9219785	810148.7136097109	11737749.252844963
12.871287128712872	784772697.2405574	833056.0893321398	10809338.865762299
13.861386138613861	784512419.219418	852022.7578117797	9962511.85119216
14.85148514851485	784316919.9253294	867440.8090606065	9189914.389010595
15.841584158415841	784170267.088196	879665.8583608123	8484860.305181919
16.831683168316832	784060543.5377315	889020.6549735451	7841269.968957899
17.821782178217823	783978821.1303135	895798.2100605085	7253614.9323189035
18.81188118811881	783918399.5534992	900264.553456836	6716867.720728141
19.801980198019802	783874240.7956147	902661.1932152557	6226456.261133153
20.792079207920793	783842548.5214942	903207.3287370948	5778222.497226148
21.78217821782178	783820454.9103707	902101.8536847341	5368384.792236827
22.77227722772277	783805787.3172007	899525.1753366292	4993503.763677105
23.762376237623762	783796894.2699698	895640.8709579638	4650451.230311663
24.752475247524753	783792515.6235313	890597.197676064	4336381.984319124
25.742574257425744	783791685.5864178	884528.46966636	4048708.1288205604
26.73267326732673	783793660.2419077	877556.3145226188	3785075.7463425184
27.722772277227723	783797863.3247454	869790.8193305944	3543343.685262502
28.712871287128714	783803845.6145977	861331.5758739319	3321564.2715750453
29.7029702970297	783811254.4886391	852268.6335638759	3117965.770664407
30.693069306930692	783819811.0598071	842683.3679331829	2930936.440243847
31.683168316831683	783829292.9811844	832649.2719110564	2759010.029808162
32.67326732673267	783839521.4867073	822232.6765004209	2600852.5954344063
33.663366336633665	783850351.6010139	811493.4069622465	2455250.510443981
34.65346534653465	783861664.7229003	800485.3801076558	2321099.5635306304
35.64356435643565	783873362.9881791	789257.1478537087	2197395.0456044623
36.633663366336634	783885364.968581	777852.3917646658	2083222.7357413042
37.62376237623762	783897602.3752213	766310.3729150977	1977750.7046071799
38.613861386138616	783910017.5190057	754666.3410381227	1880221.861265023
39.603960396039604	783922561.342587	742951.9065901502	1789947.175879281
40.59405940594059	783935191.8851516	731195.379044249	1706299.517073036
41.584158415841586	783947873.0760593	719422.0744298806	1628708.0483676342
42.57425742574257	783960573.7786307	707654.5949660587	1556653.13148095
43.56435643564356	783973267.0270181	695913.083101893	1489661.6941191456
44.554455445544555	783985929.4098241	684215.452511901	1427303.0157903337
45.54455445544554	783998540.5686234	672577.5979675303	1369184.8966294124
46.53465346534654	784011082.7854993	661013.5860591664	1314950.1733290618
47.524752475247524	784023540.6405972	649535.8284830606	1264273.5510369611
48.51485148514851	784035900.7250408	638155.2394786403	1216858.722451996
49.504950495049506	784048151.3980331	626881.3788520913	1172435.748088435
50.495049504950494	784060282.5795519	615722.5818936792	1130758.6740211966
51.48514851485149	784072285.5719872	604686.0773787395	1091603.365566389
52.475247524752476	784084152.9055487	593778.0947344082	1054765.5373124664
53.46534653465346	784095878.2033867	583003.9613564843	1020058.9616913806
54.45544554455446	784107456.0632194	572368.1909716895	987313.8398954767
55.445544554455445	784118881.9529188	561874.5638595402	956375.3204150158
56.43564356435643	784130152.1179951	551526.1996742821	927102.1518069493
57.42574257425743	784141263.4993179	541325.6235402273	899365.4575202864
58.415841584158414	784152213.6597037	531274.8260327828	873047.6217078429
59.4059405940594	784163000.7182418	521375.3176019366	848041.2759584205
60.396039603960396	784173623.2914088	511628.1779444481	824248.3777966261
61.386138613861384	784184080.4401753	502034.10078506544	801579.3726278577
62.37623762376238	784194371.6224239	492593.43448530836	779952.4315609599
63.366336633663366	784204496.6500952	483306.2188603695	759292.7582275501
64.35643564356435	784214455.6505538	474172.21855013596	739531.9583412333
65.34653465346534	784224249.0317366	465190.953258917	720607.4663074964
66.33663366336634	784233877.4506947	456361.72514989844	702462.0237111731
67.32673267326733	784243341.7851888	447683.6436543618	685043.2049776366
68.31683168316832	784252643.1080364	439155.64793209184	668302.985930582
69.3069306930693	784261782.6639404	430776.52719790954	652197.3513572387
70.29702970297029	784270761.8485613	422544.9391097439	636685.9380446498
71.2871287128713	784279582.1896168	414459.42639589356	621731.7100714426
72.27722772277228	784288245.3298159	406518.4318829812	607300.6634311853
73.26732673267327	784296753.0114542	398720.31207142636	593361.5573286613
74.25742574257426	784305107.0625143	391063.3493919032	579885.6697315392
75.24752475247524	784313309.3841275	383545.76326412085	566846.5749792118
76.23762376237623	784321361.9392745	376165.7200682199	554219.9414499556
77.22772277227723	784329266.7426023	368921.3421290449	541983.3474688716
78.21782178217822	784337025.8512609	361810.71580442874	530116.1138039184
79.20792079207921	784344641.3566574	354831.89875960484	518599.1512607395
80.1980198019802	784352115.3770494	347982.9265034111	507414.8220030042
81.18811881188118	784359450.0508813	341261.8182652868	496546.8131584106
82.17821782178218	784366647.5308322	334666.58224313747	485980.0221793466
83.16831683168317	784373709.9784669	328195.22031845443	475700.4521888466
84.15841584158416	784380639.5594541	321845.7322686909	465695.11677468935
85.14851485148515	784387438.4393003	315616.1195228837	455951.95339581405
86.13861386138613	784394108.7795432	309504.38851088885	446459.7444805208
87.12871287128712	784400652.7343662	303508.5536389223	437208.0456230932
88.11881188118812	784407072.4475937	297626.63992925116	428187.1201877704
89.10891089108911	784413370.0500284	291856.68535498274	419387.8797555505
