time	T	C	F_beta	F_gamma	M1	M2
0.0	10000000000.0	2000000.0	0.0	0.0	0.0	0.0
0.9900990099009901	10003094061.53567	31586463.132567342	985021497.7219031	1638.6795568816829	1.513934426188122	0.09830743027195606
1.9801980198019802	10006052712.257639	60968580.516956784	986278073.9658066	5951.976764814786	3.0064371879386593	0.19522319402199095
2.9702970297029703	10008758028.1442	90147763.51432396	986549840.4367623	12663.413113384826	4.477811677679061	0.29076699205708195
3.9603960396039604	10011105128.103697	119125413.73793235	986786788.3177203	21523.203167164822	5.928356992931668	0.3849582462942642
4.9504950495049505	10013000499.155823	147902923.1204794	986980484.8401697	32305.689544114415	7.35836799711356	0.4778161037086726
5.9405940594059405	10014360580.81434	176481673.98095763	987122558.767637	44807.02430408899	8.76813537947566	0.5693594402256923
6.930693069306931	10015110561.972952	204863039.09105372	987205517.2005104	58843.073056007815	10.157945714193378	0.6596068645580114
7.920792079207921	10015183353.126207	233048381.74108928	987222641.8927509	74247.52037396384	11.528081518620803	0.7485767219883637
8.910891089108912	10014518704.211454	261039055.80550626	987167900.735922	90870.15727188582	12.878821310720046	0.8362870980987038
9.900990099009901	10013062443.917673	288836405.80789965	987035871.0599769	108575.33313404501	14.210439665677743	0.9227558224466063
10.89108910891089	10010983580.810955	289792294.6964721	986837290.571682	126064.12713736368	15.52320727151106	1.008000472176042
11.881188118811881	10008595097.827995	287790777.21158004	986606107.6539319	141693.67058711548	16.81739098493176	1.0920383756449183
12.871287128712872	10005921663.0298	285803083.6699591	986346529.5889152	155630.28516251873	18.093253884328433	1.1748866158654818
13.861386138613861	10002983658.764082	283829118.59334904	986060590.7774782	168037.91349772544	19.351055324090314	1.256562034031838
14.85148514851485	9999799920.942226	281868787.1629323	985750169.1345938	179064.7410723429	20.591050987115906	1.3370812329296036
15.841584158415841	9996387885.584463	279921995.214779	985417002.575469	188844.70986010792	21.81349293678737	1.4164605803108672
16.831683168316832	9992763718.485975	277988649.2353247	985062702.0410445	197498.88664996906	23.018629668209705	1.4947162122214086
17.821782178217823	9988942430.272978	276068656.3568777	984688763.0368835	205136.6998780708	24.206706158724387	1.5718640362808034
18.81188118811881	9984937978.773499	274161924.3531584	984296575.8956723	211857.05756938588	25.37796391770723	1.6479197349160524
19.801980198019802	9980763360.367292	272268361.6348699	983887434.9311036	217749.35801378824	26.53264103566213	1.7228987685494872
20.792079207920793	9976430691.691458	270387877.2452973	983462546.622359	222894.40331993302	27.670972232619608	1.796816378741531
21.78217821782178	9971951282.899889	268520380.8559397	983023036.9499918	227365.22519663523	28.793188905850034	1.869687591288961
22.77227722772277	9967335703.50522	266665782.76217067	982569957.9868327	231227.8314223765	29.89951917690152	1.9415272192793172
23.762376237623762	9962593841.68564	264823993.87892947	982104293.8328162	234541.88061745436	30.99018793797202	2.012349866102077
24.752475247524753	9957734957.817514	262994925.73644212	981626965.9703283	237361.29218478772	32.0654168976248	2.082169928417193
25.742574257425744	9952767732.896587	261178490.4759714	981138838.1067858	239734.7976651275	33.12542462585681	2.1510015990816087
26.73267326732673	9947700312.422264	259374600.84559697	980640720.5622337	241706.43913795738	34.17042659852918	2.2188588700343606
27.722772277227723	9942540346.243727	257583170.19602394	980133374.2521182	243316.01973537268	35.200635241168555	2.2857555351408134
28.712871287128714	9937295024.806353	255804112.47642076	979617514.3093065	244599.51088287876	36.21625997214846	2.3517051929966515
29.7029702970297	9931971112.181772	254037342.23028594	979093813.3838655	245589.42042833302	37.21750724525942	2.4167212496921686
30.693069306930692	9926574976.21632	252282774.59134308	978562904.6542387	246315.12539967478	38.204580591676354	2.480816921537424
31.683168316831683	9921112616.094997	250540325.27946424	978025384.579634	246803.17280083717	39.177680661331905	2.544005237748824
32.67326732673267	9915589687.581991	248809910.59662172	977481815.4198425	247077.55151729385	40.13700526370415	2.606299043097671
33.663366336633665	9910011526.167938	247091447.42286766	976932727.5455775	247159.93809825054	41.08274940802675	2.6677110005212166
34.65346534653465	9904383168.328888	245384853.21234128	976378621.5598935	247069.91892934736	42.01510534293002	2.7282535936967545
35.64356435643565	9898709371.07863	243690045.9893039	975819970.2489069	246825.19106600224	42.93426259552078	2.7879391295792706
36.633663366336634	9892994629.975292	242006944.3442011	975257220.3779444	246441.74376877258	43.84040800990879	2.8467797409031688
37.62376237623762	9887243195.724201	240335467.4297526	974690794.3473624	245934.02257185674	44.733725785186806	2.904787388648494
38.613861386138616	9881459089.52216	238675534.95706838	974121091.7225488	245315.0777594478	45.61439751287894	2.961973864472658
39.603960396039604	9875646117.219683	237027067.19179222	973548490.6458272	244596.69828623335	46.482602213848665	3.0183507931070555
40.59405940594059	9869807882.44578	235389984.95027182	972973349.1447067	243789.53304500206	47.338516374691515	3.0739296347202276
41.584158415841586	9863947798.76848	233764209.59575483	972396006.3437986	242903.20045287238	48.18231398361173	3.128721687247514
42.57425742574257	9858069100.972256	232149663.0346121	971816783.588557	241946.3874642107	49.01416656578921	3.18273808868761
43.56435643564356	9852174855.53482	230546267.7125858	971235985.4890702	240926.93911148122	49.83424321824725	3.2359898193667034
44.554455445544555	9846267970.365498	228953946.61106497	970653900.8901342	239851.93942024006	50.6427106442258	3.2884877041705045
45.54455445544554	9840351203.869917	227372623.24338514	970070803.7740926	238727.7845717306	51.439733187069024	3.34024241474474
46.53465346534654	9834427173.393034	225802221.65115488	969486954.1016296	237560.24901950965	52.22547286363226	3.3912644716644302
47.524752475247524	9828498363.092861	224242666.4006068	968902598.5957655	236354.54526403733	53.00008939721652	3.4415642465724985
48.51485148514851	9822567131.289186	222693882.57897437	968317971.4734789	235115.37788211252	53.763740250036555	3.491151964288086
49.504950495049506	9816635717.328865	221155795.7908934	967733295.1291039	233846.9923668334	54.51658065522946	3.5400377048850284
50.495049504950494	9810706248.005362	219628332.15482843	967148780.7732817	232553.21927847623	55.25876364841032	3.588231405740929
51.48514851485149	9804780743.56591	218111418.29952395	966564629.0307863	231237.5141485935	55.99044009878065	3.6357428635571845
52.475247524752476	9798861123.33829	216604981.36047992	965981030.5004306	229902.99355417144	56.711758739796856	3.682581736350445
53.46534653465346	9792949211.005156	215108948.9764519	965398166.2798386	228552.46772470418	57.42286619940427	3.7287575454158604
54.45544554455446	9787046739.552252	213623249.28597513	964816208.4577134	227188.47001837566	58.12390702984346	3.774279677262561
55.445544554455445	9781155355.914019	212147810.92391253	964235320.5759518	225813.28356612803	58.815023737034586	3.8191573855217253
56.43564356435643	9775276625.338324	210682563.018027	963655658.0637678	224428.9653544566	59.49635680954546	3.863399792827626
57.42574257425743	9769412035.49053	209227435.18557683	963077368.6458517	223037.3679959339	60.16804474714984	3.9070158926720664
58.415841584158414	9763563000.315048	207782357.52993497	962500592.7263665	221640.15940717884	60.830224088981154	3.9500145512325417
59.4059405940594	9757730863.6715	206347260.63723174	961925463.7504989	220238.84059808758	61.483029441288096	3.992404509174551
60.396039603960396	9751916902.76062	204922075.57302028	961352108.5450673	218834.7617503062	62.126593504797015	4.034194383428378
61.386138613861384	9746122331.35436	203506733.87896538	960780647.6396343	217429.13675117368	62.76104710168694	4.075392668940712
62.37623762376238	9740348302.84273	202101167.56955534	960211195.5693713	216023.0563268206	63.386519202181255	4.116007740401382
63.366336633663366	9734595913.109947	200705309.12883624	959643861.1609344	214617.4999127856	64.00313695076254	4.156047853945621
64.35643564356435	9728866203.256954	199319091.50716844	959078747.8030354	213213.34642308854	64.61102569202914	4.1955211488330635
65.34653465346534	9723160162.169744	197942448.11800545	958515953.7016735	211811.38394574204	65.21030899617467	4.234435649102255
66.33663366336634	9717478728.939205	196575312.83469728	957955572.1205995	210412.31844782748	65.80110868408416	4.272799265200273
67.32673267326733	9711822795.16931	195217619.98731244	957397691.6106526	209016.781770942	66.38354485212018	4.310619795592224
68.31683168316832	9706193207.150476	193869304.3594842	956842396.2256858	207625.3387753346	66.9577358965265	4.347904928345882
69.3069306930693	9700590767.923328	192530301.1852774	956289765.7275923	206238.49382514213	67.52379853750168	4.384662242694919
70.29702970297029	9695016239.230145	191200546.14607823	955739875.7801539	204856.69662699124	68.08184784291639	4.420899210578993
71.2871287128713	9689470343.371431	189879975.36750394	955192798.1334547	203480.34754123178	68.63199725171381	4.456623198163241
72.27722772277228	9683953764.962336	188568525.41633505	954648600.79833	202109.80235245635	69.17435859696235	4.491841467335225
73.26732673267327	9678467152.602951	187266133.29746836	954107348.2122524	200745.3765983218	69.70904212859229	4.526561177181324
74.25742574257426	9673011120.46348	185972736.45089084	953569101.3967533	199387.34947683747	70.23615653580597	4.560789385441954
75.24752475247524	9667586249.790579	184688272.7486747	953033918.1070013	198035.9673778975	70.7558089691716	4.594533049946214
76.23762376237623	9662193090.33987	183412680.49199292	952501852.974046	196691.4470781016	71.26810506240615	4.627799030026381
77.22772277227723	9656832161.737143	182145898.40815595	951972957.6399672	195353.97862308324	71.77314895384532	4.660594087912041
78.21782178217822	9651503954.775284	180887865.64766786	951447280.8866373	194023.72794045534	72.27104330761694	4.692924890105004
79.20792079207921	9646208932.646584	179638521.78130424	950924868.7580588	192700.83919206433	72.76188933450467	4.7247980087340755
80.1980198019802	9640947532.118755	178397806.7972088	950405764.6771069	191385.4369101353	73.24578681252844	4.756219922891462
81.18811881188118	9635720164.652601	177165661.09801117	949890009.5564752	190077.6279176672	73.72283410721985	4.787197019949344
82.17821782178218	9630527217.470036	175942025.49796382	949377641.9046822	188777.50307427812	74.19312819162545	4.817735596858798
83.16831683168317	9625369054.569519	174726841.22009954	948868697.9268581	187485.13884412532	74.65676466601104	4.84784186142929
84.15841584158416	9620246017.697437	173520049.89340752	948363211.6211497	186200.59872246798	75.11383777730347	4.877521933591138
85.14851485148515	9615158427.272146	172321593.55003017	947861214.8704242	184923.93451596817	75.56444043824041	4.9067818466389905
86.13861386138613	9610106583.268723	171131414.62247798	947362737.5300683	183655.1875080232	76.0086642462659	4.935627548458826
87.12871287128712	9605090766.061195	169949455.94086492	946867807.5115645	182394.38950443183	76.44659950214186	4.964064902736486
88.11881188118812	9600111237.229382	168775660.7301617	946376450.862548	181141.56378476787	76.87833522831176	4.992099690150115
