time	T	C	F_beta	F_gamma	M1	M2
89.10891089108911	9595168240.32746	167609972.60746935	945888691.8430679	179896.72595602667	77.30395918698747	5.019737609544642
90.0990099009901	9590262001.618748	166452335.5793116	945404552.9984882	178659.88472476057	77.72355789798043	5.0469842790896395
91.08910891089108	9585392730.782917	165302694.03894302	944924055.2296517	177431.04260549834	78.1372166563165	5.073845237423152
92.07920792079207	9580560621.590984	164160992.76367712	944447217.8598387	176210.19655682717	78.54501954959001	5.100325944778574
93.06930693069307	9575765852.54564	163027176.9122355	943974058.6982946	174997.33854341845	78.94704947502963	5.126431784092835
94.05940594059406	9571008587.494696	161901192.02211526	943504594.1010824	173792.45604575356	79.34338815632755	5.152168062099194
95.04950495049505	9566288976.222193	160782984.00697237	943038839.0297172	172595.53252992727	79.73411616026036	5.177540010406519
96.03960396039604	9561607155.015722	159672499.15402225	942576807.1074367	171406.54787477356	80.11931291308427	5.202552786563915
97.02970297029702	9556963247.208248	158569684.12145945	942118510.6729419	170225.47875347084	80.49905671668536	5.22721147510944
98.01980198019803	9552357363.695797	157474485.9358958	941663960.831742	169052.29897461977	80.8734247644894	5.2515210886032095
99.00990099009901	9547789603.433641	156386851.98981646	941213167.5053656	167886.97979070168	81.24249315714653	5.27548656864588
100.0	9543260053.91323	155306730.03905267	940766139.4786592	166729.49017939897	81.60633691800456	5.2991127868834145
