time	B0	S0	B1	S1	B2	S2	B3	S3	B4	S4	M0	M1	M2	M3	M4	L0	L1	L2	L3	L4	glu
0.0	8.30269391581363e-23	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.30269391581363e-20
0.9900990099009901	-7.861781588774554e-17	-3.5096534449397173e-19	1.1000768862159899e-16	8.152055775302648e-18	1.0803508456907797e-17	1.3405523427587801e-17	-2.2262431401557653e-19	-8.808136312984785e-19	4.059848973490439e-21	-3.489009287578355e-19	-4.949209790775315e-22	1.7982113549443588e-19	2.616366607173844e-18	2.706829232547351e-22	-1.2912203376483671e-18	-7.200976773781641e-25	3.764988419022298e-21	6.345097266608112e-19	5.442031502388913e-19	-9.15633400266129e-17	2.835446877759388e-16
1.9801980198019802	-1.9681217841900295e-16	-8.799643222770792e-19	2.760692549461712e-16	2.0467706532825518e-17	2.7078338590886168e-17	3.3629260772262866e-17	-5.52895928561117e-19	-2.2386760947141085e-18	1.0674444984618255e-20	-8.662316454730173e-19	-1.2454529156586239e-21	4.520559434563645e-19	6.5777057491259174e-18	6.7013586997505465e-22	-3.250755910956272e-18	-1.8139215678009634e-24	9.46839940322532e-21	1.5962894979175142e-18	1.3680335597508674e-18	-2.3054226031493904e-16	7.157531725204965e-16
2.9702970297029703	-3.150065409502604e-16	-1.4089633000601867e-18	4.4213082127074344e-16	3.278335729034839e-17	4.335316872486455e-17	5.385299811693793e-17	-8.831675431066576e-19	-3.5965385581297385e-18	1.728904099574607e-20	-1.3835623621881992e-18	-1.9959848522397166e-21	7.242907514182932e-19	1.053904489107799e-17	1.0695888166953742e-21	-5.2102914842641765e-18	-2.907745458223763e-24	1.5171810387428343e-20	2.5580692691742175e-18	2.191863969262844e-18	-3.695211806032652e-16	1.1479616572650545e-15
3.9603960396039604	-4.246054097992582e-16	-1.8994935348677805e-18	5.961167599628767e-16	4.42034546896231e-17	5.844448338713384e-17	7.260609308583288e-17	-1.189414586099181e-18	-4.855699010061653e-18	2.3440694576820052e-20	-1.8623234556972663e-18	-2.691944473847238e-21	9.767303286701358e-19	1.4212340467710193e-17	1.440273797154954e-21	-6.942567753873344e-18	-3.922038239760006e-24	2.046050943146925e-20	3.4499159849045156e-18	2.9557904956199455e-18	-4.922697746787372e-16	1.5048713418470406e-15
4.9504950495049505	-5.045092045844349e-16	-2.257124809589143e-18	7.083847159343054e-16	5.252966076812693e-17	6.944707657659035e-17	8.627852184932757e-17	-1.4126633211421728e-18	-5.773871073239726e-18	2.799300898600816e-20	-2.2078370755814986e-18	-3.1993717091976406e-21	1.1607828110353041e-18	1.68905244984593e-17	1.7115733414363417e-21	-7.889725436407594e-18	-4.661572844969681e-24	2.431649242294856e-20	4.100163167189492e-18	3.512765529398303e-18	-5.589470415231219e-16	1.6016443163806442e-15
5.9405940594059405	-5.844129993696108e-16	-2.6147560843105023e-18	8.20652671905734e-16	6.085586684663071e-17	8.044966976604675e-17	9.995095061282216e-17	-1.635912056185163e-18	-6.692043136417794e-18	3.2545323395196246e-20	-2.553350695465728e-18	-3.7067989445480364e-21	1.3448352934004716e-18	1.9568708529208397e-17	1.982872885717728e-21	-8.836883118941844e-18	-5.40110745017935e-24	2.8172475414427847e-20	4.750410349474459e-18	4.069740563176658e-18	-6.256243083675061e-16	1.6984172909142472e-15
6.930693069306931	-6.643167941547871e-16	-2.972387359031863e-18	9.329206278771627e-16	6.918207292513449e-17	9.14522629555032e-17	1.1362337937631685e-16	-1.859160791228153e-18	-7.610215199595867e-18	3.7097637804384356e-20	-2.8988643153499586e-18	-4.214226179898439e-21	1.5288877757656399e-18	2.2246892559957493e-17	2.2541724299991156e-21	-9.784040801476093e-18	-6.140642055389022e-24	3.2028458405907133e-20	5.400657531759433e-18	4.626715596955015e-18	-6.923015752118907e-16	1.7951902654478508e-15
7.920792079207921	-7.442205889399634e-16	-3.330018633753224e-18	1.0451885838485914e-15	7.750827900363827e-17	1.0245485614495966e-16	1.272958081398115e-16	-2.0824095262711433e-18	-8.52838726277394e-18	4.1649952213572465e-20	-3.2443779352341898e-18	-4.721653415248838e-21	1.7129402581308084e-18	2.492507659070659e-17	2.5254719742805018e-21	-1.0731198484010343e-17	-6.880176660598697e-24	3.588444139738642e-20	6.050904714044407e-18	5.183690630733373e-18	-7.589788420562754e-16	1.8919632399814538e-15
8.910891089108912	-8.241243837251398e-16	-3.687649908474585e-18	1.1574565398200201e-15	8.583448508214205e-17	1.134574493344161e-16	1.4096823690330618e-16	-2.3056582613141335e-18	-9.446559325952014e-18	4.620226662276055e-20	-3.589891555118422e-18	-5.229080650599237e-21	1.8969927404959764e-18	2.76032606214557e-17	2.7967715185618895e-21	-1.1678356166544596e-17	-7.61971126580837e-24	3.974042438886573e-20	6.701151896329377e-18	5.740665664511731e-18	-8.256561089006601e-16	1.988736214515057e-15
9.900990099009901	-9.04028178510316e-16	-4.045281183195947e-18	1.2697244957914492e-15	9.416069116064583e-17	1.2446004252387256e-16	1.5464066566680082e-16	-2.5289069963571244e-18	-1.0364731389130087e-17	5.075458103194866e-20	-3.9354051750026525e-18	-5.7365078859496364e-21	2.0810452228611447e-18	3.028144465220479e-17	3.068071062843277e-21	-1.2625513849078848e-17	-8.359245871018041e-24	4.3596407380345016e-20	7.351399078614351e-18	6.297640698290088e-18	-8.923333757450446e-16	2.0855091890486606e-15
