time	C16AcylCarCYT	C16AcylCarMAT	C16AcylCoAMAT	C16EnoylCoAMAT	C16HydroxyacylCoAMAT	C16KetoacylCoAMAT	C14AcylCarCYT	C14AcylCarMAT	C14AcylCoAMAT	C14EnoylCoAMAT	C14HydroxyacylCoAMAT	C14KetoacylCoAMAT	C12AcylCarCYT	C12AcylCarMAT	C12AcylCoAMAT	C12EnoylCoAMAT	C12HydroxyacylCoAMAT	C12KetoacylCoAMAT	C10AcylCarCYT	C10AcylCarMAT	C10AcylCoAMAT	C10EnoylCoAMAT	C10HydroxyacylCoAMAT	C10KetoacylCoAMAT	C8AcylCarCYT	C8AcylCarMAT	C8AcylCoAMAT	C8EnoylCoAMAT	C8HydroxyacylCoAMAT	C8KetoacylCoAMAT	C6AcylCarCYT	C6AcylCarMAT	C6AcylCoAMAT	C6EnoylCoAMAT	C6HydroxyacylCoAMAT	C6KetoacylCoAMAT	C4AcylCarCYT	C4AcylCarMAT	C4AcylCoAMAT	C4EnoylCoAMAT	C4HydroxyacylCoAMAT	C4AcetoacylCoAMAT	AcetylCoAMAT	FADHMAT	NADHMAT	CarCYT	CoACYT	MalCoACYT	CarMAT	FADtMAT	NADtMAT	CoAMATt	CoAMAT	C16AcylCoACYT
0.0	0.0017100000000000001	0.0	0.0	0.0	0.0	0.0	0.00023	0.0	0.0	0.0	0.0	0.0	0.0011	0.0	0.0	0.0	0.0	0.0	0.00019	0.0	0.0	0.0	0.0	0.0	0.00052	0.0	0.0	0.0	0.0	0.0	0.00017	0.0	0.0	0.0	0.0	0.0	8e-05	0.0	0.0	0.0	0.0	0.0	5.4e-05	8.28e-07	2.88e-05	4.0	1.4000000000000001	0.0	0.00171	1.386e-06	0.00045	0.009	0.008945999999999999	0.268
0.9900990099009901	0.0036561564832914917	7.418903365432467e-07	1.972465059719407e-06	7.461533675830477e-08	2.327417753662574e-07	7.386350860383822e-10	0.0003616989790498962	2.6739796338788476e-07	3.7903038852677335e-06	7.141598505944749e-08	2.0722117898583786e-07	6.56999350619077e-10	0.0009412702821429229	3.946281080529821e-07	4.4185521495353455e-06	7.94200450438454e-08	2.41956508341489e-07	7.647236959583015e-10	0.00039408011284668707	3.042838358913974e-07	4.4117365998188445e-06	7.066316349612379e-08	2.1641973328807997e-07	6.820566228813234e-10	0.0005332708767928883	2.5967628579144755e-07	3.553583272216106e-06	1.4240931789899545e-07	4.4124336488817193e-07	1.389773049218754e-09	0.0003538490988195409	2.6408383098644604e-07	8.059490485729464e-06	9.507311047989563e-06	2.9628918896062236e-05	9.335491805601793e-08	0.00010902572059214846	6.593173352327597e-08	1.3786474198581111e-05	3.241557669575064e-05	0.00010130153570435506	3.192599215896359e-07	5.400000000257042e-05	8.280000023679988e-07	2.880000000235464e-05	4.0	1.4000000000000001	0.0	0.00171	1.386e-06	0.00045	0.009	0.008730959098565827	0.22425171726593174
1.9801980198019802	0.004836849446204122	1.0475881684014036e-06	3.124144012472939e-06	1.1093427942039865e-07	3.465051010986603e-07	1.0996772240359671e-09	0.0006226923520567969	4.225041829279648e-07	5.9040156099379305e-06	1.0388509028009072e-07	3.013285576330283e-07	9.553630801293115e-10	0.0010084716988125978	5.006620905189743e-07	6.175618760840837e-06	1.052065957968396e-07	3.20460362942036e-07	1.012827362703276e-09	0.0006659448877330778	4.3408716025915445e-07	6.041996400282299e-06	9.360572319450979e-08	2.866341699315586e-07	9.03310281579249e-10	0.0006155155252344336	3.164912105259659e-07	4.683190626373303e-06	1.8281442914406676e-07	5.663899290028552e-07	1.7838807588573494e-09	0.0005798770336254065	3.7325173098722803e-07	1.0330945566291732e-05	1.1649308297720884e-05	3.6302989473707083e-05	1.1437962922241602e-07	0.00014857382182615803	8.580210146502438e-08	1.7349202962393968e-05	3.994406771178298e-05	0.00012482812691037956	3.933920937694989e-07	5.400000000290936e-05	8.280000026901044e-07	2.880000000267859e-05	4.0	1.4000000000000001	0.0	0.00171	1.386e-06	0.00045	0.009	0.008676735102644764	0.18764489812208726
2.9702970297029703	0.005530756814287858	1.2540845005156613e-06	3.985686712605836e-06	1.378959230748558e-07	4.3104552296928394e-07	1.3679768260816533e-09	0.0009299459770439524	5.623737878594521e-07	7.587212350868284e-06	1.297201126690177e-07	3.760906896310329e-07	1.1923930279572294e-09	0.0011768927694428297	6.071126040925577e-07	7.655992334956305e-06	1.2724271769684072e-07	3.875119647370797e-07	1.2247377526893873e-09	0.0009517941286812861	5.594473735717089e-07	7.522264044101323e-06	1.1406245279007425e-07	3.4921598418911015e-07	1.100512252592939e-09	0.0007297644222002258	3.786319637298679e-07	5.732710434485237e-06	2.1920322144112337e-07	6.79075334832381e-07	2.138746856118425e-09	0.0008249910116420446	4.866236964006306e-07	1.2436733935210398e-05	1.3582689370005444e-05	4.2326507305058904e-05	1.3335498679802452e-07	0.00019310878851630495	1.0724655953904344e-07	2.0590365101354498e-05	4.665995491412991e-05	0.00014581447762048198	4.5951986576936406e-07	5.4000000003101473e-05	8.280000028702881e-07	2.88000000028598e-05	4.0	1.4000000000000001	0.0	0.00171	1.386e-06	0.00045	0.009	0.008628554442730326	0.15701377104503314
3.9603960396039604	0.005889136626220819	1.3788037342522092e-06	4.532787304261772e-06	1.5647791566117554e-07	4.89358549512186e-07	1.553040510880847e-09	0.0012306756081200665	6.778029870340843e-07	8.798165921637969e-06	1.498128022783004e-07	4.3407931183709976e-07	1.3762409961772192e-09	0.0013852511062513412	7.064958459690403e-07	8.861151171548643e-06	1.4614761229346482e-07	4.449752785121694e-07	1.4063374649391322e-09	0.0012381041859409229	6.800513483449631e-07	8.881871567245828e-06	1.3236466597180292e-07	4.051621403713806e-07	1.2767919621952405e-09	0.0008644784089236532	4.45074136591351e-07	6.735238136360172e-06	2.5210922884436533e-07	7.809359595289198e-07	2.45949783460055e-09	0.0010841345616228644	6.042062856659523e-07	1.444109144214196e-05	1.5361063837776103e-05	4.786610880769416e-05	1.5080418828454169e-07	0.00024194732004009705	1.303063859028786e-07	2.363167357859492e-05	5.282658099471073e-05	0.00016508326623850136	5.202298441895093e-07	5.4000000003217124e-05	8.280000029758177e-07	2.8800000002966176e-05	4.0	1.4000000000000001	0.0	0.00171	1.386e-06	0.00045	0.009	0.008584910471590254	0.13138286489271833
4.9504950495049505	0.006002295782349235	1.4362143684419582e-06	4.791529429302307e-06	1.6769321603180242e-07	5.246371003521811e-07	1.6650014083977394e-09	0.001493324233449234	7.643318825300429e-07	9.549316632316298e-06	1.6465307231882112e-07	4.766877375696678e-07	1.5113237966992988e-09	0.001598005893109545	7.931703900815851e-07	9.783948643686999e-06	1.6197041563557372e-07	4.930000875969294e-07	1.5580968799458554e-09	0.0015174100653444164	7.943338132018366e-07	1.0115789517639446e-05	1.4848288179267046e-07	4.5438041869790216e-07	1.4318539763778105e-09	0.0010129153435800196	5.144987043584881e-07	7.692646973987274e-06	2.8147585359099526e-07	8.717949662582708e-07	2.7455666218994684e-09	0.0013546147104432074	7.254877006574027e-07	1.6352292644047082e-05	1.6993531253436927e-05	5.2950039756800614e-05	1.668155952303149e-07	0.00029479100117072853	1.5497327795085708e-07	2.6494215543320955e-05	5.84940468556257e-05	0.00018279098699611673	5.760130960497594e-07	5.400000000328659e-05	8.280000030359794e-07	2.8800000003027172e-05	4.0	1.4000000000000001	0.0	0.00171	1.386e-06	0.00045	0.009	0.008545495139466624	0.10993594429667904
5.9405940594059405	0.005930559882809554	1.4387682101801946e-06	4.806541704618779e-06	1.725247719787952e-07	5.399365288384623e-07	1.7135560637092448e-09	0.0017002449663053748	8.203146107409225e-07	9.876326801515262e-06	1.745335832780251e-07	5.048024864819925e-07	1.6004522238132606e-09	0.001793085685558827	8.628865637048743e-07	1.0416567581740937e-05	1.7458415995218755e-07	5.312045230270438e-07	1.678808865192811e-09	0.0017839622231262098	9.002224270254249e-07	1.1206825194740707e-05	1.6228553656912468e-07	4.964698878395859e-07	1.5644338744452012e-09	0.001170343371522821	5.855632127140407e-07	8.596801021088633e-06	3.0709633877890433e-07	9.510134390582862e-07	2.9949388803270548e-09	0.0016344259562135139	8.497737458595185e-07	1.816166186873419e-05	1.8477131334100922e-05	5.756909311402345e-05	1.8136002660955553e-07	0.0003514937705290488	1.812374118253303e-07	2.9171475367336754e-05	6.365781941061856e-05	0.00019892350171421723	6.268244692985792e-07	5.400000000332453e-05	8.280000030650499e-07	2.88000000030571e-05	4.0	1.4000000000000001	0.0	0.00171	1.386e-06	0.00045	0.009	0.008510304066942321	0.09199001603650031
6.930693069306931	0.005718679317377803	1.3976093385928512e-06	4.628287065825123e-06	1.7191350766411012e-07	5.381925941488312e-07	1.7080214751826112e-09	0.0018429384640136434	8.461119855914697e-07	9.828388560989661e-06	1.7970471782579342e-07	5.191903301208711e-07	1.646057868972712e-09	0.0019560372515433425	9.125792544787958e-07	1.0756014023422341e-05	1.838206326188748e-07	5.590874135569359e-07	1.7668909253668428e-09	0.0020323033682038538	9.953563052576005e-07	1.2133033265769563e-05	1.7361573708600112e-07	5.309564417933864e-07	1.6730390458026578e-09	0.0013328972213855655	6.568881008967783e-07	9.435198235444128e-06	3.2873129410669406e-07	1.0178542471167669e-06	3.205295632193535e-09	0.0019216796311164808	9.762286869540888e-07	1.9854486311231658e-05	1.980523104863032e-05	6.170267180717072e-05	1.9437265201640456e-07	0.000411979073809337	2.0909011528503696e-07	3.164754169243155e-05	6.829696969557938e-05	0.00021341549306803034	6.724583105496045e-07	5.400000000333859e-05	8.280000030705217e-07	2.8800000003063463e-05	4.0	1.4000000000000001	0.0	0.00171	1.386e-06	0.00045	0.009	0.008479416788038584	0.07697357861009625
7.920792079207921	0.005402705642162471	1.3229519466215964e-06	4.307410924287779e-06	1.6678026716931255e-07	5.222799483558382e-07	1.657520710212209e-09	0.0019192141845778589	8.436541874256007e-07	9.463996716189788e-06	1.804422121495969e-07	5.207003883216533e-07	1.6508336693140408e-09	0.0020772449484834964	9.402827194792819e-07	1.0807232637588176e-05	1.895249082844296e-07	5.761922196203477e-07	1.820902752504614e-09	0.002256800264027481	1.0771758946745417e-06	1.2870599989412696e-05	1.8231190404022352e-07	5.573540376613986e-07	1.756140949757782e-09	0.001497007982292057	7.269973302629336e-07	1.0192621971275505e-05	3.4613596981265076e-07	1.071566688104988e-06	3.374278362802253e-09	0.0022143304079727403	1.103834566849901e-06	2.1412286245605284e-05	2.0969581208432024e-05	6.532518627476891e-05	2.0577306239417407e-07	0.000476198469315706	2.385174550357061e-07	3.390181767376163e-05	7.23843234661554e-05	0.00022618217521998626	7.126481140916467e-07	5.4000000003332944e-05	8.280000030564647e-07	2.880000000305035e-05	4.0	1.4000000000000001	0.0	0.00171	1.386e-06	0.00045	0.009	0.00845294079827275	0.06440842234111298
8.910891089108912	0.005013201507827621	1.2241897548289322e-06	3.8916079237397285e-06	1.5803139163689798e-07	4.950265720700376e-07	1.5710287184998157e-09	0.0019314928494505467	8.161332734978365e-07	8.847931432779401e-06	1.770839504525163e-07	5.103600425873953e-07	1.6180378859334364e-09	0.0021506535384466863	9.451307455259968e-07	1.0584938673857818e-05	1.9158399702091713e-07	5.821921241683729e-07	1.8398148389889354e-09	0.0024515429413478652	1.143011223538519e-06	1.3395649818934059e-05	1.882146533635469e-07	5.751865233351818e-07	1.8122435581916158e-09	0.0016590659845365458	7.942510163227321e-07	1.0851273413668801e-05	3.5907749340405205e-07	1.1114375283514632e-06	3.4996490084786316e-09	0.002509991334536406	1.231341456981931e-06	2.2813716010165397e-05	2.1960612342784602e-05	6.840697316593245e-05	2.1546813568672735e-07	0.0005441027041122066	2.694911068416678e-07	3.590986777718097e-05	7.58887879575002e-05	0.00023712656440289112	7.470893371213891e-07	5.400000000330981e-05	8.280000030250816e-07	2.8800000003019956e-05	4.0	1.4000000000000001	0.0	0.00171	1.386e-06	0.00045	0.009	0.008431000984554047	0.0538944004342686
