time	r0	r1	r2	r11	r12	r22	r1x2	r11x2	r1x22	r1x22d	r11x22	rend	rendP	iendIR	iend	rPbasal	IRS	IRSiP	X	X_P	PI3K	PI3K_	PDK1	PDK1_	PKC	PKC_P	PKB	PKB_P	mTOR	mTOR_	GLUT4_C	GLUT4_M
0.0	9.96820379306998	0.0221366043399864	0.00934921094738169	1.22886711962222e-05	1.0376421415741e-05	2.18683301945588e-06	1.36475817837692e-06	1.51513915390766e-09	6.39351849488596e-10	5.59231079319369e-20	1.78725515332219e-14	3.31711803810961e-05	0.000212533941418487	7.25519178924707e-06	1.13228497567934e-06	3.87230309356247e-05	9.99982253600007	0.000177463999892648	9.92463241634744	0.0753675836525682	9.97578356966623	0.0242164303337614	8.65876984730663	1.34123015269338	3.60283594102724e-05	9.99996397164059	9.90193143617302	0.0980685638269942	0.0201915011292933	9.97980849887072	9.99316830771855	0.00683169228144988
0.9900990099009901	9.948851579619458	0.04115351692686077	0.009640046175779486	4.255782231683214e-05	1.993603604793167e-05	2.3300292358320832e-06	2.183306910336564e-06	4.515717261658478e-09	1.0571966863390764e-09	2.3892032027123757e-19	7.770997348042057e-14	3.3700933358409975e-05	0.0002157510721842563	1.101172121822899e-05	1.7055395537134582e-06	3.8647853254815596e-05	9.99981987300688	0.0001801269930776331	9.924536552571798	0.07546344742821345	9.975421083732043	0.024578916267952455	8.641422265983833	1.358577734016174	3.5568322212680476e-05	9.999964431677785	9.900675603360032	0.09932439663998888	0.01993671382507349	9.980063286174934	9.993102628992217	0.006897371007789856
1.9801980198019802	9.939609766504754	0.05007431013823639	0.009932940205728942	6.306695549926055e-05	2.5019540729269983e-05	2.4765460768084427e-06	2.59216023401488e-06	6.529713790668434e-09	1.2946961920288539e-09	2.95802195825954e-19	9.690767475517578e-14	3.4070303417468875e-05	0.00021739321741718546	1.3475816154499214e-05	2.1049296918833e-06	3.861195179934944e-05	9.999818509222981	0.00018149077697438633	9.924296623300359	0.07570337669965883	9.975235444082262	0.02476455591773396	8.632563439817043	1.3674365601829621	3.533789654177419e-05	9.999964662103457	9.900034415602798	0.09996558439722018	0.019809090366811628	9.9801909096332	9.993044414397792	0.006955585602221853
2.9702970297029703	9.934892021628546	0.05448179967666379	0.010227604998807925	7.469331522310524e-05	2.8043283916092702e-05	2.627366693958684e-06	2.8001277141811266e-06	7.678127611502733e-09	1.4408332581837768e-09	3.3349064914148385e-19	1.0954712700152966e-13	3.425074276428477e-05	0.0002178114640991334	1.467997078737511e-05	2.3047291777718795e-06	3.859362490103833e-05	9.99981816153794	0.00018183846201242005	9.92404298802959	0.07595701197041788	9.975188117053191	0.024811882946808174	8.630307769932468	1.3696922300675363	3.527970072828083e-05	9.999964720299275	9.899871166915228	0.10012883308479174	0.01977685740748341	9.980223142592527	9.993026660693376	0.006973339306637379
3.9603960396039604	9.932074059219104	0.056992299947429347	0.010525464140479801	8.175883999877403e-05	3.0198727215960316e-05	2.7838600034669506e-06	2.92347693520311e-06	8.388148284978431e-09	1.5486095674666204e-09	3.650916700533999e-19	1.2002686781453673e-13	3.435074698664788e-05	0.0002178237753157408	1.5349541607955385e-05	2.418274388362716e-06	3.858267805591329e-05	9.999818151042684	0.0001818489572678456	9.92382300200397	0.07617699799603204	9.975186687782413	0.024813312217585037	8.630239591231406	1.369760408768596	3.5277944714959034e-05	9.999964722055292	9.899866232617118	0.1001337673829033	0.01977588469521051	9.980224115304802	9.993024361262353	0.006975638737660693
4.9504950495049505	9.92987550093133	0.05887930193764436	0.010829314669082282	8.728185287051628e-05	3.210650299857617e-05	2.9479900443687163e-06	3.01877028094976e-06	8.950340435000402e-09	1.6456569965173113e-09	3.984072225717712e-19	1.3100782345704602e-13	3.4422538978374013e-05	0.00021777542163667303	1.5833422657765902e-05	2.500715499464818e-06	3.857413740972327e-05	9.99981819113239	0.0001818088675647663	9.92364311919439	0.07635688080561391	9.97519214458396	0.024807855416036768	8.630499582326305	1.369500417673702	3.528464198881925e-05	9.99996471535802	9.89988504852038	0.10011495147964326	0.019779594098557892	9.980220405901456	9.993025589578792	0.00697441042122436
5.9405940594059405	9.927594416304121	0.060837797111314804	0.011143569036077099	9.320634536970831e-05	3.4145061641479883e-05	3.1227032366485393e-06	3.116837469484081e-06	9.550683638065637e-09	1.7488617507133656e-09	4.397302664428009e-19	1.446266359260434e-13	3.4493249167604704e-05	0.00021781212412128924	1.6313066459462463e-05	2.5811859150938434e-06	3.85652761940828e-05	9.99981816085373	0.00018183914622582338	9.923494977632359	0.07650502236764764	9.97518802381789	0.02481197618210784	8.630303315778994	1.3696966842210114	3.52795860013116e-05	9.999964720414008	9.899870844544786	0.1001291554552404	0.01977679384740985	9.980223206152605	9.99302532526865	0.006974674731366118
6.930693069306931	9.92475672274954	0.0633335636757204	0.011474616477777784	0.00010103936166355951	3.661228657339996e-05	3.312356433921462e-06	3.2383340257796037e-06	1.0333005264083772e-08	1.8715817645176674e-09	4.958976437268772e-19	1.631903736851107e-13	3.4579896260103984e-05	0.0002180037528991807	1.6902457952341557e-05	2.6782787747041242e-06	3.855425275785487e-05	9.999818002231041	0.00018199776891553708	9.92336561707729	0.07663438292271876	9.975166434204159	0.024833565795840954	8.629274951519847	1.370725048480159	3.525311815796198e-05	9.999964746881853	9.899796421288546	0.10020357871148065	0.019762134335222805	9.980237865664797	9.993021280199217	0.006978719800798563
7.920792079207921	9.920965107867195	0.06675337876596354	0.011831109089016217	0.00011228849646600948	3.980335585608271e-05	3.523133630758841e-06	3.400456469979158e-06	1.144056736859654e-08	2.0271440690194583e-09	5.757167704515159e-19	1.8967085783720458e-13	3.469594641628529e-05	0.00021839524581132122	1.7691683860467593e-05	2.8068761713592845e-06	3.853952367839987e-05	9.999817677996024	0.00018232200393634578	9.923241025853924	0.07675897414608178	9.975122303336608	0.024877696663397796	8.627173587936978	1.3728264120630276	3.5199156961277004e-05	9.999964800843053	9.899644347891417	0.10035565210860746	0.01973224709283336	9.980267752907187	9.993012117053748	0.006987882946265969
8.910891089108912	9.915841702633749	0.07146184289784166	0.012224109537214048	0.0001287542628900893	4.404909428203287e-05	3.7634521251709155e-06	3.619500320100757e-06	1.3043204856770033e-08	2.230582482149292e-09	6.91421830170762e-19	2.2821502575630725e-13	3.485390111688991e-05	0.0002190251737863506	1.8763825070461537e-05	2.980868860560043e-06	3.851962106481623e-05	9.999817156171208	0.0001828438287491691	9.923107146735706	0.07689285326429844	9.975051279418004	0.02494872058200248	8.62379377098893	1.3762062290110775	3.511271185963323e-05	9.999964887288154	9.899399763948669	0.10060023605135832	0.01968436770299568	9.980315632297023	9.992996771038792	0.0070032289612217856
