time	AcanmRNA	ADAMTS5	AGEprod	Alk1	Alk1_Alk5	Alk5	Alk5_dimer	Bax	Bax_Bcl2	Bax_Bcl2_Beclin	Bax_Bcl2_Beclin_I	Bcl2	Bcl2_Beclin	Bcl2_Beclin_I	Beclin	Beclin_I	Caspase_A	Caspase_I	Col2mRNA	DamP	IkB	IkB_NFkB	IL1	Lys_A	Lys_I	MMP13	MMP2	NFkB	NFkB_P	p38	p38_P	proMMP13	proMMP2	RAGE	ROS	Runx2_A	Runx2_I	Smad1	Smad1_P	Smad1_P_Smad4	Smad2	Smad2_P	Smad2_P_Smad4	Smad4	Smad7	SOD	Sox9	Sox9_A	Sox9mRNA	Tgfb_A	Tgfb_Alk1_Alk5	Tgfb_Alk1_Alk5_Smad7	Tgfb_Alk5_dimer	Tgfb_Alk5_dimer_Smad7	AggFrag	Aggrecan	Aggrecan_Collagen2	ColFrag	Collagen2	Integrin	Tgfb_I	IntegrinCount	NatP	Sink	Source
0.0	0.0	0.0	0.0	500.0	0.0	500.0	0.0	0.0	90.0	10.0	0.0	30.0	25.0	0.0	75.0	0.0	0.0	100.0	0.0	0.0	0.0	100.0	0.0	40.0	360.0	0.0	0.0	0.0	0.0	100.0	0.0	0.0	0.0	0.0	2.0	0.0	100.0	600.0	0.0	0.0	600.0	0.0	0.0	600.0	0.0	2.0	100.0	0.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1000.0	0.0	0.0	0.0	200.0	0.0	1500.0	0.0	1.0
0.9900990099009901	1.2711528567761806e-26	1.577615032377858e-16	9.900990099009893e-07	488.5270903571732	11.472908722599547	444.60822498348915	21.959342296347707	0.0033624298112007725	90.0662966711633	9.930340898998184	2.7426301815500076e-11	29.731380145146225	25.17027203782846	4.10500229561596e-11	74.89938702606946	3.703550653158919e-08	8.094185342606477e-07	99.99999919058145	4.4265335929310376e-23	0.0019783588785424306	3.186616900730031e-13	99.99980201298968	1.5917360321147002e-12	39.99995692089229	360.0000430791079	1.6674610926307498e-22	2.6054447874982894e-26	0.00019798572465057652	1.2857212425733716e-09	99.98030092243121	0.01969907756877369	1.0096652905532236e-17	1.5776280334671105e-18	4.900181596819989e-10	1.9993420549093321	3.79304289608658e-19	100.0	600.0	5.33759391718786e-15	2.6613497687525945e-17	600.0	3.088409651353202e-14	3.094499742620446e-16	600.0	4.423500863205929e-22	1.998020781953436	99.999999767093	2.21271707422449e-20	9.999019850503252	3.855772210657437e-08	2.230235148070965e-12	4.1250891824407894e-35	6.455228916152664e-12	4.788049879623536e-39	2.6054287448651334e-23	1.4092619827487135e-33	1000.0	3.320802582934592e-54	2.6054288001448932e-23	3.9594159052995356e-07	199.99999996143356	3.960396039603958e-07	1500.0	0.0	1.0
1.9801980198019802	3.041027176166016e-24	5.0222508694763105e-15	1.9801980198019787e-06	478.6041430146984	21.395855271571147	399.63611629432665	39.48384240006227	0.0033931259750908747	90.1347323737394	9.861874500176686	1.089191066273197e-10	29.46232343003391	25.338620127825386	1.629715975942049e-10	74.79950529783851	7.388761571039929e-08	3.1458770217312526e-06	99.99999685412295	5.255884495899065e-21	0.003953044922493112	5.072051808115909e-12	99.99960409137005	2.531036757283097e-11	39.999913493863616	360.0000865061366	1.0623677369196804e-20	1.659996493380302e-24	0.00039589841100645836	1.0218997917188937e-08	99.96080624948469	0.039193750515290955	3.214187611970039e-16	5.022333702278516e-17	1.959805629687616e-09	1.9986870161989545	4.613249360171619e-17	100.0	600.0	1.6017070305384158e-13	1.6074260831275847e-15	599.9999999999992	8.981106927082069e-13	1.8187694962307252e-14	600.0	5.248631768768068e-20	1.9960435225677757	99.99999906841758	2.626627117453243e-18	9.998039798046202	1.516218808749631e-07	3.3259464180746044e-11	1.473683665506098e-31	9.342949834019425e-11	1.6635974995160084e-35	1.6599760430962665e-21	6.782356280048466e-31	1000.0	2.6932230175093133e-50	1.6599761753737666e-21	7.916872188810206e-07	199.99999984825143	7.920792079207916e-07	1500.0	0.0	1.0
2.9702970297029703	7.306074859658322e-23	3.7940899621396365e-14	2.9702970297029652e-06	469.9273046866031	30.072692916307762	362.43880847576895	53.74400462018733	0.0034240524225161084	90.20199742507543	9.794578522258842	2.4331811044918404e-10	29.196126874723284	25.50506866327335	3.639545416954748e-10	74.70035270329984	1.1056077093833882e-07	6.967762352092969e-06	99.99999303223764	8.358732381045888e-20	0.005924066280519344	2.554346073291006e-11	99.9994062348541	1.2734164794936827e-10	39.999869721481154	360.0001302785192	1.204731316827055e-19	1.882472389536581e-23	0.0005937308807419037	3.426517418639706e-08	99.9415138962584	0.05848610374159082	2.428157765119893e-15	3.7941838957711347e-16	4.4095207087029224e-09	1.9980348610571745	7.503349157340434e-16	100.0	599.9999999999991	1.1435694324245508e-12	1.7315616605899243e-14	599.9999999999936	6.229037604179759e-12	1.9101969682544636e-13	600.0	8.341313968512232e-19	1.9940682199272697	99.99999790404203	4.176206564911217e-17	9.99705984261925	3.3532705435397695e-07	1.574805620355976e-10	1.6787007570373498e-29	4.3073384349823766e-10	1.8483604682289666e-33	1.8824375849835228e-20	2.458434472548936e-29	1000.0	5.1926157149115245e-48	1.8824379028525512e-20	1.1872369820401681e-06	199.99999966408475	1.1881188118811864e-06	1500.0	0.0	1.0
3.9603960396039604	6.858213320848563e-22	1.5905762500072078e-13	3.960396039603953e-06	462.271575278498	37.728421737701595	331.195479438072	65.53773861225385	0.0034552104890357488	90.26811348118979	9.728431307891812	4.294877215309704e-10	28.932755701639856	25.66964177890491	6.422311769751292e-10	74.60192676507234	1.470593128940987e-07	1.2235091618019736e-05	99.99998776490837	5.845529806254584e-19	0.007891431070499905	8.030876165214256e-11	99.99920844315713	3.9997422246086294e-10	39.99982560630366	360.0001743936966	6.738970178978908e-19	1.0530234526822375e-22	0.0007914761492215399	8.069365964611245e-08	99.92242179907865	0.07757820092135326	1.0179355125176813e-14	1.590628794578471e-15	7.840050593705085e-09	1.9973855668940237	5.359130197665475e-15	100.0	599.9999999999956	4.54128427130603e-12	9.217652347424574e-14	599.999999999975	2.407981743461382e-11	9.930670505212452e-13	599.9999999999991	5.829185094063764e-18	1.9920948721326441	99.99999627403452	2.9197989423226487e-16	9.996079984212779	5.859105172540759e-07	4.669147948443651e-10	4.680000773292313e-28	1.2468523905544538e-09	5.038220220156274e-32	1.052997479805276e-19	3.09430128051878e-28	1000.0	2.167494572106414e-46	1.0529977782573117e-19	1.5825909769463672e-06	199.9999994123758	1.5841584158415813e-06	1500.0	0.0	1.0
4.9504950495049505	3.849939947539158e-21	4.8290069132928e-13	4.950495049504941e-06	455.46597066851035	44.534025846442795	304.61177208985396	75.42672982240303	0.003486601515638308	90.33310177724567	9.663411620572466	6.663165566282278e-10	28.67217562010467	25.83236326006668	9.960751813703477e-10	74.50422493431107	1.833874820805784e-07	1.8908822265499433e-05	99.99998109117772	2.6086932723577506e-18	0.009855147379743343	1.9504215205419083e-10	99.99901071599655	9.704614526929494e-10	39.999781150881255	360.00021884911905	2.5593235758088874e-18	3.999224361522389e-22	0.0009891274224172674	1.5658103599885297e-07	99.90352791528359	0.09647208471641602	3.090438786478175e-14	4.8292064684181825e-15	1.2252991422710063e-08	1.996739111339011	2.4396086927839857e-14	100.0	599.9999999999869	1.3087078143301033e-11	3.336876318637797e-13	599.9999999999288	6.767349909693516e-11	3.5160215598920674e-12	599.9999999999962	2.599521344142434e-17	1.9901234773007008	99.99999417846333	1.302681647678974e-15	9.995100222817193	8.997422717752626e-07	1.0722277946267808e-09	6.042781099366529e-27	2.8019942329081414e-09	6.3736605893935955e-31	3.9991009926425436e-19	2.1828837984813777e-27	1000.0	3.910433480367426e-45	3.9991026684260826e-19	1.97774930049061e-06	199.9999990963836	1.9801980198019774e-06	1500.0	0.0	1.0
5.9405940594059405	1.5621379429193845e-20	1.1954114576574196e-12	5.94059405940593e-06	449.37769304858324	50.622303041185965	281.7424439039476	83.81719979014646	0.003518226847242318	90.39698313598028	9.59949863621985	9.527169460174304e-10	28.414352818733164	25.993256548216205	1.4238004801033424e-09	74.40724459363808	2.1954942129343947e-07	2.695082817616692e-05	99.9999730491718	8.768536743001988e-18	0.011815223265204323	4.023242790180769e-10	99.99881305309204	1.999904150147547e-09	39.99973635775509	360.0002636422452	7.608245444436605e-18	1.1888884593622222e-21	0.0011866780938454267	2.688141424506697e-07	99.88483022300893	0.11516977699107714	7.650262526456436e-14	1.1954707809891858e-14	1.765062864364103e-08	1.996095472238899	8.355634944697598e-14	99.99999999999994	599.9999999999684	3.0808100426255246e-11	9.469574888047716e-13	599.9999999998346	1.5560783040011093e-10	9.771402915515736e-12	599.9999999999894	8.731334838926183e-17	1.9881540335639238	99.99999161739663	4.37751252945246e-15	9.994120558422885	1.2733410412828083e-06	2.0962738090633826e-09	4.800490207071735e-26	5.371544812203715e-09	4.969851586619246e-30	1.1888444251857395e-18	1.0682471540793818e-26	1000.0	4.149301122383526e-44	1.1888451053043046e-18	2.3727120495159343e-06	199.9999987191912	2.376237623762375e-06	1500.0	0.0	1.0
6.930693069306931	5.068606769405294e-20	2.5704243117960858e-12	6.930693069306918e-06	443.9016689728014	56.09832675984087	261.881161646596	91.00977775074267	0.003550087832501721	90.45977797596004	9.536671934919925	1.2876244479369947e-09	28.159253957959248	26.152344746332297	1.9237601706096517e-09	74.31098305998731	2.555491780227911e-07	3.6323876439653394e-05	99.99996367612353	2.4249579016297142e-17	0.01377166675369805	7.414527506915868e-10	99.99861545416536	3.682154010300649e-09	39.99969122945717	360.0003087705431	1.9100178034340876e-17	2.9846952407957375e-21	0.0013841217415249485	4.240931391420284e-07	99.86632672097582	0.13367327902420403	1.6449792280909478e-13	2.570573241634568e-14	2.40359177068854e-08	1.9954546276555063	2.352277505668364e-13	99.9999999999998	599.9999999999347	6.310180207625892e-11	2.2724841391154078e-12	599.9999999996652	3.117519651605499e-10	2.299023293372892e-11	599.9999999999749	2.4128916532161674e-16	1.9861865390700901	99.9999885909027	1.210286895594515e-14	9.993140991020248	1.7033817713517034e-06	3.669377463308249e-09	2.730105322453254e-25	9.2357078565228e-09	2.778612280520928e-29	2.9845661981046646e-18	4.063286989622712e-26	1000.0	3.052769232088258e-43	2.9845684053771778e-18	2.767479320817447e-06	199.9999982837132	2.7722772277227726e-06	1500.0	0.0	1.0
7.920792079207921	1.3968005173456037e-19	4.985608037104341e-12	7.92079207920791e-06	438.9534182176011	61.046577219081975	244.4895477956402	97.23141181656732	0.0035821858237042184	90.52150631966738	9.474911492839018	1.6699973723023446e-09	27.9068461626817	26.309650624240035	2.494345480194301e-09	74.21543758736597	2.913907067899966e-07	4.699160479357822e-05	99.9999530083952	5.816108293022377e-17	0.015724485842112647	1.2582550351955385e-09	99.99841791894053	6.24273753381865e-09	39.99964576851008	360.0003542314902	4.237030447586398e-17	6.6210992040069335e-21	0.001581452124957157	6.289345479624781e-07	99.84801542828085	0.1519845717191714	3.1905861641524215e-13	4.9859384135830184e-14	3.141246507899874e-08	1.994816555863528	5.738079975713716e-13	99.99999999999946	599.9999999998786	1.1676359415094962e-10	4.8248128542250095e-12	599.999999999387	5.649638554742941e-10	4.7905914091505995e-11	599.9999999999476	5.782868769836807e-16	1.9842209919818874	99.9999850990497	2.9020132690277205e-14	9.992161520599682	2.1866978594453103e-06	5.925844378830727e-09	1.216532977565669e-24	1.4672959093492868e-08	1.2188971734387708e-28	6.62077186825162e-18	1.2856157979280014e-25	1000.0	1.7179403333598033e-42	6.620777952467648e-18	3.162051211142348e-06	199.99999779270345	3.1683168316831697e-06	1500.0	0.0	1.0
8.910891089108912	3.3987906148292794e-19	8.937878711496636e-12	8.910891089108903e-06	434.46406244305393	65.53593275285435	229.15008699762458	102.65642005102413	0.0036145221767009596	90.5821878014221	9.414197674302493	2.098816313545032e-09	27.6570970150309	26.46519662385151	3.1339847553218847e-09	74.12060536953538	3.270778714215182e-07	5.8918499709657084e-05	99.99994108150027	1.2515599217694933e-16	0.017673688497619643	2.004903747513497e-09	99.99822044714364	9.937800221154924e-09	39.99959997742675	360.00040002257344	8.551642623168721e-17	1.336361430516047e-20	0.001778663182127873	8.896742701327792e-07	99.82989438418836	0.17010561581164996	5.719836706690589e-13	8.938545518656227e-14	3.978450957497862e-08	1.9941812353483819	1.254839603360518e-12	99.99999999999879	599.9999999997908	1.9997897686892927e-10	9.33082142990425e-12	599.9999999989602	9.48709374083446e-10	9.101260583044996e-11	599.9999999998998	1.2434749133953496e-15	1.982257390476542	99.99998114190583	6.243100440379024e-14	9.991182147151585	2.7202800602655424e-06	9.00136168231244e-09	4.501716274165994e-24	2.1955912539864178e-08	4.4458206057925735e-28	1.3362870639218929e-17	3.5348040457269992e-25	1000.0	7.878035757788915e-42	1.3362885447282373e-17	3.556427817189958e-06	199.99999724876275	3.564356435643567e-06	1500.0	0.0	1.0
