time	EGFR_active	D_SOS	A_SOS	Raf	Ras_active	Mek_active	ERK	ERK_active	IGFR_active	PI3KCA	PI3KCA_active	AKT_active	AKT	PP2A	Ras	Raf_active	Mek	RasGapActive	RafPP	P90RskInactive	P90Rsk_Active
0.0	8000.0	120000.0	0.0	120000.0	0.0	0.0	600000.0	0.0	800.0	120000.0	0.0	0.0	600000.0	120000.0	120000.0	0.0	600000.0	120000.0	120000.0	120000.0	0.0
0.9900990099009901	7843.142330183293	28265.206986200057	91734.79301380011	118079.50964176717	17722.874807099743	17602.37212107457	579952.0951982681	20047.90480173353	784.3142330183282	0.16897011634009748	119999.83102988343	3205.687479224822	596794.3125207761	120000.0	102277.12519290022	1920.490358232754	582397.627878922	120000.0	120000.0	119985.77703088263	14.222969117377794
1.9801980198019802	7689.360201439123	109440.59191656436	10559.408083435706	119894.5647681796	2098.237483843885	20622.775796299422	517326.1052991477	82673.89470085321	768.9360201439115	0.17579637129372302	119999.82420362851	6387.742037729348	593612.257962271	120000.0	117901.76251615606	105.43523182037241	579377.2242036981	120000.0	120000.0	119834.03696853973	165.96303146035316
2.9702970297029703	7538.593310991734	116175.90671526345	3824.093284736669	119969.23940944864	756.1910450011248	11753.212154897381	494363.7794843941	105636.22051560684	753.8593310991733	0.18289818995666143	119999.81710180988	9545.144348976382	590454.8556510234	120000.0	119243.80895499884	30.760590551207606	588246.7878451012	120000.0	120000.0	119556.73221712737	443.2677828728341
3.9603960396039604	7390.782538434485	117760.71851301222	2239.2814869878675	119983.09199613186	441.95257083948394	6538.422562501203	496804.14481984143	103195.85518015949	739.0782538434482	0.19028688711255484	119999.80971311273	12678.040393615483	587321.9596063839	120000.0	119558.04742916054	16.908003868063417	593461.5774374978	120000.0	120000.0	119257.12580250719	742.8741974929878
4.9504950495049505	7245.869922546876	118393.96380391925	1606.03619608079	119988.35941489978	316.6590911479234	3644.2908545608375	509369.20207327383	90630.7979267273	724.5869922546871	0.19797406365859635	119999.8020259362	15786.575729630851	584213.4242703691	120000.0	119683.34090885211	11.64058510007637	596355.7091454379	120000.0	120000.0	118983.46775928464	1016.5322407155709
5.9405940594059405	7103.798638566164	118716.09141595171	1283.9085840483708	119990.99235037706	252.99866231080546	2063.168086555072	524696.7305072588	75303.2694927424	710.3798638566157	0.20597177880523815	119999.794028221	18870.89549155259	581129.1045084472	120000.0	119747.0013376893	9.007649622890892	597936.8319134437	120000.0	120000.0	118752.4766689082	1247.5233310920416
6.930693069306931	6964.512975904586	118904.31109057055	1095.6889094295652	119992.52768117601	215.829814500358	1202.8648246221858	539435.4122222912	60564.587777709996	696.4512975904577	0.21429257751021719	119999.78570742231	21931.144389622525	578068.8556103773	120000.0	119784.17018549978	7.472318823950094	598797.1351753761	120000.0	120000.0	118566.15544419907	1433.8445558011147
7.920792079207921	6827.958316303506	119024.70259246559	975.297407534546	119993.51800172398	192.0679850879693	733.6332819230236	552254.4126669071	47745.587333093645	682.7958316303499	0.22294951112669759	119999.7770504887	24967.466708915956	575032.5332910842	120000.0	119807.93201491215	6.481998275957257	599266.3667180752	120000.0	120000.0	118420.22008678367	1579.779913216549
8.910891089108912	6694.081112415877	119106.88319604612	893.1168039540025	119994.2050782724	175.8544531515761	475.7066695921829	562816.7276107717	37183.27238922878	669.4081112415872	0.2319561580768975	119999.76804384179	27980.006308421656	572019.9936915787	120000.0	119824.14554684851	5.7949217275591955	599524.2933304061	120000.0	120000.0	118308.27324214402	1691.726757856215
9.900990099009901	6562.828866808677	119165.89607308537	834.1039269146881	119994.70948064166	164.21558601255268	331.99018994899177	571240.2908575543	28759.70914244579	656.282886680867	0.2413266452047264	119999.75867335468	30968.90662008016	569031.0933799199	120000.0	119835.78441398755	5.290519358304231	599668.0098100494	120000.0	120000.0	118223.77774308439	1776.2222569158005
10.89108910891089	6434.150111376994	119210.1002331686	789.8997668314566	119995.0972025477	155.49990406284786	250.22665125631713	577819.6108397277	22180.38916027257	643.4150111376989	0.25107566994874486	119999.74892432996	33934.31064778249	566065.6893522175	120000.0	119844.50009593723	4.902797452240256	599749.7733487417	120000.0	120000.0	118160.89251465716	1839.1074853430964
11.881188118811881	6307.994387161801	119244.46066686355	755.5393331365168	119995.40693841719	148.72687170500393	202.2939245696422	582888.6448937503	17111.355106249594	630.7994387161797	0.26121852339646184	119999.73878147652	36876.36096632962	563123.6390336704	120000.0	119851.27312829506	4.59306158271243	599797.7060754285	120000.0	120000.0	118114.73815897886	1885.2618410214131
12.871287128712872	6184.312224563411	119272.0787648165	727.9212351835835	119995.6625928244	143.2841821628473	173.02202184428393	586759.0337067356	13240.966293264391	618.4312224563406	0.2717711142640376	119999.72822888564	39795.199720354154	560204.8002796461	120000.0	119856.71581783722	4.337407175488622	599826.977978154	120000.0	120000.0	118081.39481821074	1918.6051817895577
13.861386138613861	6063.055123942908	119294.96777028457	705.032229715516	119995.87954415705	138.77445457203916	154.18999422966942	589697.1013470943	10302.898652905604	606.3055123942901	0.28274999384183575	119999.71725000607	42690.96862320525	557309.0313767949	120000.0	119861.225545428	4.120455842847193	599845.8100057686	120000.0	120000.0	118057.78967210888	1942.210327891426
14.85148514851485	5944.175536603912	119314.47375202288	685.5262479772387	119996.06800852859	134.9320450982163	141.3117994968304	591919.6608139526	8080.33918604719	594.4175536603906	0.2941723819459156	119999.70582761799	45563.80895579817	554436.191044202	120000.0	119865.06795490182	3.9319914712815347	599858.6882005013	120000.0	120000.0	118041.55222748137	1958.4477725189545
