time	E1	E2	KKK	P_KKK	KK	P_KK	PP_KK	K	P_K	PP_K	KPase	KKPase	E1_KKK	E2_P_KKK	P_KKK_KK	P_KKK_P_KK	PP_KK_K	PP_KK_P_K	KKPase_PP_KK	KKPase_P_KK	KPase_PP_K	KPase_P_K	K_PP_norm	KK_PP_norm	KKK_P_norm	rel_K_PP_max
10.0	1.1891166589017516e-16	1.1998422995923612e-15	1.0926418800123837e-14	1.5800335656610513e-16	3.696458018986863e-12	3.35589842792843e-13	1.534703864603529e-13	2.039047606678194e-12	1.5337204061970529e-12	3.341027382566077e-17	-1.3338812423989395e-13	1.1565830345474589e-15	1.0883341098598871e-18	1.5770040763849966e-19	3.2424362448012346e-16	3.0363855700828545e-16	6.13797080715839e-13	1.3371896759015531e-17	1.5268295997864949e-16	-1.0926599452615002e-16	1.3362811763835923e-17	6.133747614274224e-13	3.8977571324573616e-17	6.39527935027495e-13	2.683965564292176e-13	4.3306054808764435e-17
11.0	1.1891952269638742e-16	1.1998356854845174e-15	1.0848229960191879e-14	1.64647451445806e-16	3.544906493624349e-12	3.6408330555281537e-13	1.780827269806705e-13	1.5962643398064982e-12	1.7796887585523703e-12	3.877783385251544e-17	-2.3175956148266313e-13	1.1749585328595083e-15	1.0804773036532013e-18	1.6431451548258293e-19	3.0191682250580746e-16	3.519532256209792e-16	7.122330421545968e-13	1.5520171834564084e-17	1.7716883802801122e-16	-1.5212737088756323e-16	1.5509627280650382e-17	7.11744051854561e-13	4.5239550944295485e-17	7.420903817876804e-13	2.8063262786665887e-13	5.026343115129897e-17
12.0	1.1892737950259968e-16	1.1998290713766733e-15	1.077004112025992e-14	1.7129154632550682e-16	3.393354968261836e-12	3.925767683127877e-13	2.0269506750098799e-13	1.1534810729348041e-12	2.0256571109076874e-12	4.414539387937006e-17	-3.301309987254319e-13	1.193334031171558e-15	1.0726204974465154e-18	1.7092862332666617e-19	2.7959002053149155e-16	4.002678942336726e-16	8.106690035933542e-13	1.7668446910112626e-17	2.0165471607737297e-16	-1.9498874724897622e-16	1.765644279746484e-17	8.101133422816993e-13	5.150153056401694e-17	8.446528285478682e-13	2.9296463391851615e-13	5.722080749383304e-17
13.0	1.1893523630881193e-16	1.1998224572688292e-15	1.0691852280327962e-14	1.7793564120520767e-16	3.241803442899322e-12	4.2107023107275997e-13	2.2730740802130559e-13	7.106978060631084e-13	2.2716254632630053e-12	4.951295390622473e-17	-4.285024359682011e-13	1.2117095294836071e-15	1.0647636912398293e-18	1.7754273117074947e-19	2.5726321855717555e-16	4.485825628463662e-16	9.091049650321116e-13	1.9816721985661173e-17	2.261405941267348e-16	-2.3785012361038945e-16	1.9803258314279312e-17	9.084826327088379e-13	5.776351018373809e-17	9.472152753080585e-13	3.0539370726098085e-13	6.417818383636679e-17
14.0	1.189430931150242e-16	1.1998158431609852e-15	1.0613663440396003e-14	1.8457973608490855e-16	3.0902519175368077e-12	4.4956369383273237e-13	2.519197485416231e-13	2.679145391914127e-13	2.517593815618323e-12	5.488051393307938e-17	-5.268738732109703e-13	1.2300850277956567e-15	1.0569068850331435e-18	1.8415683901483274e-19	2.3493641658285955e-16	4.968972314590599e-16	1.0075409264708694e-12	2.196499706120972e-17	2.506264721760966e-16	-2.8071149997180267e-16	2.1950073831093783e-17	1.0068519231359766e-12	6.402548980345888e-17	1.0497777220682525e-12	3.1792099847166577e-13	7.113556017890014e-17
15.0	1.1895094992123647e-16	1.1998092290531411e-15	1.0535474600464047e-14	1.912238309646094e-16	2.9387003921742936e-12	4.780571565927048e-13	2.765320890619407e-13	-1.74868727680283e-13	2.763562167973641e-12	6.024807395993403e-17	-6.252453104537394e-13	1.2484605261077061e-15	1.0490500788264574e-18	1.9077094685891603e-19	2.1260961460854354e-16	5.452119000717535e-16	1.1059768879096272e-12	2.4113272136758268e-17	2.7511235022545844e-16	-3.235728763332159e-16	2.4096889347908247e-17	1.1052212135631156e-12	7.028746942317926e-17	1.1523401688284489e-12	3.305476763846627e-13	7.809293652143301e-17
16.0	1.1895880672744873e-16	1.1998026149452968e-15	1.0457285760532087e-14	1.9786792584431024e-16	2.78714886681178e-12	5.06550619352677e-13	3.011444295822582e-13	-6.176519945519771e-13	3.009530520328958e-12	6.561563398678867e-17	-7.236167476965081e-13	1.2668360244197555e-15	1.0411932726197715e-18	1.9738505470299925e-19	1.9028281263422754e-16	5.935265686844471e-16	1.2044128493483846e-12	2.626154721230681e-17	2.995982282748201e-16	-3.664342526946289e-16	2.6243704864722706e-17	1.2035905039902539e-12	7.65494490428993e-17	1.2549026155886477e-12	3.432749284540844e-13	8.505031286396552e-17
17.0	1.1896666353366098e-16	1.1997960008374528e-15	1.0379096920600128e-14	2.0451202072401112e-16	2.635597341449266e-12	5.350440821126495e-13	3.257567701025758e-13	-1.0604352614236728e-12	3.2554988726842753e-12	7.098319401364332e-17	-8.219881849392774e-13	1.285211522731805e-15	1.0333364664130854e-18	2.0399916254708252e-19	1.6795601065991153e-16	6.418412372971406e-16	1.3028488107871424e-12	2.8409822287855356e-17	3.240841063241819e-16	-4.092956290560421e-16	2.839052038153717e-17	1.3019597944173925e-12	8.281142866261898e-17	1.3574650623488496e-12	3.5610396112632784e-13	9.200768920649763e-17
18.0	1.1897452033987324e-16	1.1997893867296087e-15	1.030090808066817e-14	2.1115611560371197e-16	2.4840458160867518e-12	5.635375448726218e-13	3.503691106228934e-13	-1.5032185282953685e-12	3.5014672250395936e-12	7.635075404049798e-17	-9.20359622182047e-13	1.3035870210438544e-15	1.0254796602063996e-18	2.1061327039116582e-19	1.4562920868559553e-16	6.901559059098343e-16	1.4012847722259e-12	3.0558097363403904e-17	3.4856998437354373e-16	-4.521570054174552e-16	3.053733589835164e-17	1.4003290848445312e-12	8.907340828233835e-17	1.4600275091090544e-12	3.690360002213052e-13	9.896506554902939e-17
19.0	1.189823771460855e-16	1.1997827726217647e-15	1.0222719240736211e-14	2.178002104834128e-16	2.332494290724238e-12	5.92031007632594e-13	3.7498145114321093e-13	-1.9460017951670626e-12	3.74743557739491e-12	8.171831406735261e-17	-1.0187310594248158e-12	1.3219625193559038e-15	1.0176228539997135e-18	2.1722737823524906e-19	1.2330240671127965e-16	7.384705745225278e-16	1.4997207336646576e-12	3.270637243895245e-17	3.7305586242290546e-16	-4.950183817788682e-16	3.26841514151661e-17	1.4986983752716694e-12	9.53353879020573e-17	1.562589955869262e-12	3.820722913228933e-13	1.0592244189156068e-16
20.0	1.1899023395229778e-16	1.1997761585139206e-15	1.0144530400804253e-14	2.2444430536311363e-16	2.180942765361724e-12	6.205244703925662e-13	3.995937916635284e-13	-2.3887850620387567e-12	3.993403929750228e-12	8.708587409420726e-17	-1.117102496667585e-12	1.3403380176679532e-15	1.0097660477930276e-18	2.238414860793323e-19	1.0097560473696358e-16	7.867852431352214e-16	1.5981566951034153e-12	3.4854647514501e-17	3.975417404722673e-16	-5.378797581402814e-16	3.4830966931980565e-17	1.597067665698808e-12	1.0159736752177588e-16	1.6651524026294717e-12	3.9521410017886643e-13	1.1287981823409156e-16
21.0	1.1899809075851003e-16	1.1997695444060765e-15	1.0066341560872295e-14	2.310884002428145e-16	2.02939123999921e-12	6.490179331525387e-13	4.24206132183846e-13	-2.8315683289104524e-12	4.239372282105546e-12	9.245343412106192e-17	-1.2154739339103541e-12	1.3587135159800026e-15	1.0019092415863416e-18	2.304555939234156e-19	7.864880276264756e-17	8.350999117479152e-16	1.6965926565421731e-12	3.7002922590049546e-17	4.2202761852162907e-16	-5.807411345016946e-16	3.6977782448795036e-17	1.6954369561259467e-12	1.0785934714149412e-16	1.767714849389685e-12	4.084627131105772e-13	1.1983719457662208e-16
22.0	1.190059475647223e-16	1.1997629302982325e-15	9.988152720940336e-15	2.377324951225154e-16	1.8778397146366962e-12	6.77511395912511e-13	4.488184727041635e-13	-3.274351595782148e-12	4.485340634460863e-12	9.782099414791658e-17	-1.3138453711531231e-12	1.377089014292052e-15	9.940524353796557e-19	2.3706970176749885e-19	5.632200078833161e-17	8.834145803606088e-16	1.7950286179809305e-12	3.915119766559809e-17	4.465134965709908e-16	-6.236025108631077e-16	3.9124597965609495e-17	1.793806246553085e-12	1.1412132676121207e-16	1.870277296149901e-12	4.2181943743266873e-13	1.2679457091915225e-16
23.0	1.1901380437093455e-16	1.1997563161903884e-15	9.909963881008378e-15	2.4437659000221627e-16	1.7262881892741821e-12	7.060048586724834e-13	4.734308132244812e-13	-3.717134862653844e-12	4.731308986816181e-12	1.0318855417477121e-16	-1.4122168083958923e-12	1.3954645126041014e-15	9.861956291729696e-19	2.4368380961158214e-19	3.3995198814015557e-17	9.317292489733023e-16	1.8934645794196883e-12	4.1299472741146634e-17	4.709993746203527e-16	-6.664638872245209e-16	4.1271413482423966e-17	1.892175536980224e-12	1.2038330638092958e-16	1.972839742910119e-12	4.352856018831037e-13	1.3375194726168194e-16
24.0	1.190216611771468e-16	1.1997497020825443e-15	9.83177504107642e-15	2.510206848819171e-16	1.574736663911668e-12	7.344983214324556e-13	4.980431537447987e-13	-4.159918129525539e-12	4.977277339171499e-12	1.0855611420162586e-16	-1.5105882456386613e-12	1.4138400109161508e-15	9.783388229662838e-19	2.5029791745566534e-19	1.1668396839699603e-17	9.800439175859958e-16	1.991900540858446e-12	4.344774781669518e-17	4.954852526697144e-16	-7.09325263585934e-16	4.341822899923843e-17	1.9905448274073622e-12	1.2664528600064675e-16	2.0754021896703404e-12	4.488625570638054e-13	1.4070932360421125e-16
25.0	1.1902951798335908e-16	1.1997430879747003e-15	9.753586201144461e-15	2.5766477976161793e-16	1.4231851385491543e-12	7.62991784192428e-13	5.226554942651162e-13	-4.602701396397233e-12	5.223245691526816e-12	1.139236742284805e-16	-1.6089596828814304e-12	1.4322155092282002e-15	9.704820167595975e-19	2.5691202529974864e-19	-1.0658405134616403e-17	1.0283585861986894e-15	2.0903365022972035e-12	4.559602289224372e-17	5.199711307190761e-16	-7.521866399473471e-16	4.556504451605289e-17	2.0889141178345005e-12	1.329072656203635e-16	2.1779646364305645e-12	4.625516758922221e-13	1.4766669994674012e-16
26.0	1.1903737478957134e-16	1.1997364738668562e-15	9.675397361212503e-15	2.643088746413188e-16	1.2716336131866403e-12	7.914852469524004e-13	5.472678347854338e-13	-5.0454846632689285e-12	5.469214043882134e-12	1.1929123425533516e-16	-1.7073311201241996e-12	1.4505910075402496e-15	9.626252105529118e-19	2.6352613314383193e-19	-3.29852071089324e-17	1.076673254811383e-15	2.1887724637359613e-12	4.774429796779227e-17	5.44457008768438e-16	-7.950480163087603e-16	4.771186003286736e-17	2.1872834082616395e-12	1.3916924524008e-16	2.280527083190791e-12	4.763543540641274e-13	1.546240762892687e-16
27.0	1.190452315957836e-16	1.1997298597590122e-15	9.597208521280544e-15	2.7095296952101964e-16	1.1200820878241264e-12	8.199787097123726e-13	5.718801753057514e-13	-5.488267930140623e-12	5.715182396237451e-12	1.2465879428218978e-16	-1.8057025573669686e-12	1.468966505852299e-15	9.547684043462257e-19	2.701402409879152e-19	-5.531200908324836e-17	1.1249879234240765e-15	2.2872084251747187e-12	4.989257304334082e-17	5.689428868177998e-16	-8.379093926701734e-16	4.985867554968182e-17	2.2856526986887778e-12	1.454312248597961e-16	2.3830895299510203e-12	4.902720105279879e-13	1.6158145263179683e-16
28.0	1.1905308840199585e-16	1.1997232456511683e-15	9.519019681348588e-15	2.775970644007205e-16	9.685305624616123e-13	8.48472172472345e-13	5.964925158260689e-13	-5.931051197012319e-12	5.961150748592769e-12	1.3002635430904448e-16	-1.904073994609738e-12	1.4873420041643485e-15	9.469115981395399e-19	2.7675434883199847e-19	-7.763881105756442e-17	1.1733025920367703e-15	2.3856443866134765e-12	5.204084811888937e-17	5.934287648671615e-16	-8.807707690315866e-16	5.200549106649629e-17	2.3840219891159164e-12	1.5169320447951186e-16	2.485651976711252e-12	5.043060879712338e-13	1.6853882897432457e-16
29.0	1.190609452082081e-16	1.199716631543324e-15	9.440830841416628e-15	2.8424115928042134e-16	8.169790370990984e-13	8.769656352323174e-13	6.211048563463864e-13	-6.373834463884014e-12	6.207119100948086e-12	1.353939143358991e-16	-2.0024454318525068e-12	1.5057175024763979e-15	9.390547919328538e-19	2.833684566760817e-19	-9.996561303188037e-17	1.2216172606494639e-15	2.4840803480522343e-12	5.418912319443791e-17	6.179146429165234e-16	-9.236321453929996e-16	5.415230658331075e-17	2.482391279543055e-12	1.579551840992272e-16	2.588214423471487e-12	5.184580533187837e-13	1.7549620531685183e-16
30.0	1.190688020144204e-16	1.19971001743548e-15	9.36264200148467e-15	2.908852541601222e-16	6.654275117365845e-13	9.054590979922896e-13	6.45717196866704e-13	-6.816617730755709e-12	6.453087453303404e-12	1.4076147436275375e-16	-2.1008168690952764e-12	1.5240930007884473e-15	9.31197985726168e-19	2.89982564520165e-19	-1.2229241500619637e-16	1.2699319292621574e-15	2.5825163094909917e-12	5.633739826998645e-17	6.424005209658851e-16	-9.664935217544129e-16	5.629912210012522e-17	2.5807605699701937e-12	1.6421716371894218e-16	2.690776870231725e-12	5.327293982441865e-13	1.8245358165937876e-16
31.0	1.1907665882063265e-16	1.199703403327636e-15	9.284453161552711e-15	2.9752934903982305e-16	5.138759863740704e-13	9.33952560752262e-13	6.703295373870216e-13	-7.2594009976274046e-12	6.699055805658721e-12	1.461290343896084e-16	-2.199188306338045e-12	1.5424684991004969e-15	9.233411795194819e-19	2.9659667236424826e-19	-1.4461921698051235e-16	1.318246597874851e-15	2.680952270929749e-12	5.848567334553501e-17	6.668863990152469e-16	-1.0093548981158259e-15	5.844593761693969e-17	2.6791298603973324e-12	1.7047914333865688e-16	2.7933393169919662e-12	5.471216396937532e-13	1.8941095800190534e-16
32.0	1.190845156268449e-16	1.1996967892197918e-15	9.206264321620752e-15	3.0417344391952393e-16	3.623244610115565e-13	9.624460235122344e-13	6.949418779073391e-13	-7.7021842644991e-12	6.9450241580140386e-12	1.5149659441646304e-16	-2.2975597435808143e-12	1.5608439974125463e-15	9.15484373312796e-19	3.0321078020833155e-19	-1.6694601895482836e-16	1.3665612664875446e-15	2.7793882323685076e-12	6.063394842108355e-17	6.913722770646087e-16	-1.052216274477239e-15	6.059275313375415e-17	2.7774991508244706e-12	1.7674112295837116e-16	2.895901763752208e-12	5.616363204240626e-13	1.9636833434443145e-16
33.0	1.1909237243305716e-16	1.1996901751119478e-15	9.128075481688794e-15	3.1081753879922476e-16	2.1077293564904262e-13	9.909394862722066e-13	7.195542184276566e-13	-8.144967531370794e-12	7.190992510369356e-12	1.5686415444331769e-16	-2.395931180823583e-12	1.5792194957245957e-15	9.0762756710611e-19	3.098248880524148e-19	-1.8927282092914434e-16	1.4148759351002382e-15	2.8778241938072646e-12	6.278222349663209e-17	7.158581551139705e-16	-1.0950776508386523e-15	6.273956865056861e-17	2.8758684412516093e-12	1.8300310257808505e-16	2.9984642105124556e-12	5.762750095532496e-13	2.0332571068695709e-16
34.0	1.1910022923926942e-16	1.199683561004104e-15	9.049886641756836e-15	3.1746163367892564e-16	5.922141028652853e-14	1.019432949032179e-12	7.441665589479741e-13	-8.58775079824249e-12	7.436960862724674e-12	1.6223171447017233e-16	-2.494302618066352e-12	1.5975949940366451e-15	8.99770760899424e-19	3.164389958964981e-19	-2.1159962290346034e-16	1.463190603712932e-15	2.9762601552460224e-12	6.493049857218064e-17	7.403440331633323e-16	-1.1379390272000653e-15	6.488638416738308e-17	2.974237731678748e-12	1.8926508219779864e-16	3.1010266572727035e-12	5.910393031264785e-13	2.1028308702948246e-16
35.0	1.191080860454817e-16	1.1996769468962597e-15	8.971697801824877e-15	3.2410572855862647e-16	-9.233011507598536e-14	1.0479264117921514e-12	7.687788994682917e-13	-9.030534065114186e-12	7.682929215079991e-12	1.6759927449702698e-16	-2.5926740553091215e-12	1.6159704923486945e-15	8.91913954692738e-19	3.2305310374058134e-19	-2.3392642487777635e-16	1.5115052723256255e-15	3.07469611668478e-12	6.707877364772918e-17	7.64829911212694e-16	-1.1808004035614785e-15	6.703319968419754e-17	3.0726070221058866e-12	1.9552706181751194e-16	3.203589104032955e-12	6.059308246960376e-13	2.1724046337200746e-16
36.0	1.1911594285169395e-16	1.1996703327884156e-15	8.893508961892919e-15	3.3074982343832735e-16	-2.438816404384993e-13	1.0764198745521236e-12	7.933912399886092e-13	-9.47331733198588e-12	7.928897567435309e-12	1.7296683452388163e-16	-2.6910454925518906e-12	1.634345990660744e-15	8.840571484860521e-19	3.2966721158466463e-19	-2.5625322685209235e-16	1.559819940938319e-15	3.1731320781235376e-12	6.922704872327774e-17	7.893157892620559e-16	-1.2236617799228917e-15	6.918001520101201e-17	3.170976312533025e-12	2.0178904143722477e-16	3.306151550793209e-12	6.20951225916495e-13	2.241978397145319e-16
37.0	1.191237996579062e-16	1.1996637186805715e-15	8.81532012196096e-15	3.373939183180282e-16	-3.9543316580101324e-13	1.104913337312096e-12	8.180035805089268e-13	-9.916100598857576e-12	8.174865919790626e-12	1.7833439455073627e-16	-2.78941692979466e-12	1.6527214889727933e-15	8.76200342279366e-19	3.362813194287479e-19	-2.785800288264083e-16	1.6081346095510126e-15	3.2715680395622954e-12	7.137532379882628e-17	8.138016673114177e-16	-1.2665231562843047e-15	7.132683071782647e-17	3.2693456029601634e-12	2.0805102105693718e-16	3.408713997553467e-12	6.361021871553739e-13	2.31155216057056e-16
38.0	1.1913165646411847e-16	1.1996571045727275e-15	8.737131282029002e-15	3.4403801319772906e-16	-5.469846911635272e-13	1.1334068000720684e-12	8.426159210292443e-13	-1.0358883865729271e-11	8.420834272145944e-12	1.8370195457759094e-16	-2.887788367037429e-12	1.6710969872848428e-15	8.683435360726802e-19	3.428954272728311e-19	-3.009068308007243e-16	1.6564492781637062e-15	3.3700040010010528e-12	7.352359887437482e-17	8.382875453607794e-16	-1.309384532645718e-15	7.347364623464094e-17	3.367714893387302e-12	2.1431300067664944e-16	3.5112764443137265e-12	6.513854181198206e-13	2.3811259239957985e-16
39.0	1.1912590705765758e-16	1.1996131352675962e-15	8.795636948445809e-15	3.880139672299199e-16	-4.635199724051005e-13	1.0569364094058716e-12	8.438434329765599e-13	-1.0326561895801172e-11	8.416889667450917e-12	-1.206695748971819e-14	-2.8797529225316424e-12	1.6844928178390841e-15	8.74092942178784e-19	3.868647324060808e-19	-3.9353661527351375e-16	1.6420786329463991e-15	3.307382221351374e-12	5.459372048275153e-14	8.564610303351706e-16	-1.3409539703896737e-15	5.458232751661814e-14	3.3051708837210115e-12	3.5429549075844526e-14	3.505563298130465e-12	6.27502192629595e-13	3.936402248749182e-14
40.0	1.1911867753204446e-16	1.1995651023670866e-15	8.869012598282248e-15	4.3605097785794157e-16	-3.5448957623381844e-13	9.690477781548965e-13	8.42527082537305e-13	-1.0242556744284441e-11	8.38575888222126e-12	-2.5650859382542457e-14	-2.8601422610723772e-12	1.6973469472015822e-15	8.813224673979337e-19	4.348976329182821e-19	-4.938141407713569e-16	1.6208889164861836e-15	3.227240162331596e-12	1.1504453228699073e-13	8.739478367965019e-16	-1.371295041723727e-15	1.150205625436707e-13	3.225122307351196e-12	7.447508089765736e-14	3.488071650667581e-12	5.993500856110934e-13	8.274558484888864e-14
41.0	1.1911144800643133e-16	1.1995170694665767e-15	8.942388248118685e-15	4.840879884859632e-16	-2.4545918006253637e-13	8.811591469039217e-13	8.412107320980499e-13	-1.0158551592767707e-11	8.354628096991604e-12	-3.923476127536672e-14	-2.840531599613112e-12	1.7102010765640803e-15	8.885519926170831e-19	4.829305334304835e-19	-5.940916662691997e-16	1.5996992000259678e-15	3.1470981033118182e-12	1.7549534409122992e-13	8.91434643257833e-16	-1.40163611305778e-15	1.7545879757072307e-13	3.1450737309813816e-12	1.1352079369939602e-13	3.4705800020805583e-12	5.71197684004457e-13	1.2612734828814434e-13
42.0	1.191042184808182e-16	1.199469036566067e-15	9.015763897955127e-15	5.321249991139851e-16	-1.364287838912539e-13	7.932705156529465e-13	8.398943816587949e-13	-1.0074546441250975e-11	8.323497311761946e-12	-5.281866316819099e-14	-2.820920938153847e-12	1.7230552059265786e-15	8.957815178362328e-19	5.309634339426848e-19	-6.943691917670429e-16	1.5785094835657522e-15	3.0669560442920404e-12	2.359461558954691e-13	9.089214497191643e-16	-1.4319771843918334e-15	2.3589703259777563e-13	3.065025154611566e-12	1.5256668748231925e-13	3.453088352369395e-12	5.430449878050622e-13	1.6950931280665746e-13
43.0	1.1909698895520508e-16	1.1994210036655573e-15	9.089139547791564e-15	5.801620097420068e-16	-2.7398387719972228e-14	7.053818844019716e-13	8.385780312195398e-13	-9.990541289734244e-12	8.292366526532289e-12	-6.640256506101526e-14	-2.8013102766945817e-12	1.7359093352890767e-15	9.030110430553824e-19	5.789963344548862e-19	-7.946467172648857e-16	1.5573197671055367e-15	2.9868139852722626e-12	2.963969676997083e-13	9.264082561804956e-16	-1.4623182557258865e-15	2.963352676248282e-13	2.9849765782417516e-12	1.9161276224768508e-13	3.4355967015340922e-12	5.148919970082849e-13	2.1289147840582578e-13
44.0	1.1908975942959196e-16	1.1993729707650474e-15	9.162515197628003e-15	6.281990203700284e-16	8.163200845131025e-14	6.174932531509964e-13	8.372616807802849e-13	-9.90653613821751e-12	8.261235741302632e-12	-7.998646695383953e-14	-2.7816996152353166e-12	1.748763464651575e-15	9.10240568274532e-19	6.270292349670876e-19	-8.949242427627285e-16	1.536130050645321e-15	2.906671926252485e-12	3.568477795039475e-13	9.438950626418269e-16	-1.4926593270599395e-15	3.5677350265188077e-13	2.9049280018719363e-12	2.3065901799675187e-13	3.4181050495746493e-12	4.867387116095007e-13	2.562738450870473e-13
