time	E1	E2	KKK	P_KKK	KK	P_KK	PP_KK	K	P_K	PP_K	KPase	KKPase	E1_KKK	E2_P_KKK	P_KKK_KK	P_KKK_P_KK	PP_KK_K	PP_KK_P_K	KKPase_PP_KK	KKPase_P_KK	KPase_PP_K	KPase_P_K	K_PP_norm	KK_PP_norm	KKK_P_norm	rel_K_PP_max
0.0	1.2e-16	1.1999999999999998e-15	1.2e-14	0.0	4.8e-12	0.0	0.0	4.8e-12	0.0	0.0	4.8e-13	1.1999999999999998e-15	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1.0	1.188256637296398e-16	1.1999679352871336e-15	1.183799126467381e-14	3.21818228415088e-17	4.7673914169344785e-12	3.2188836736499216e-14	5.192057567717813e-17	4.799070742854529e-12	5.156974876165555e-16	1.9006433781293038e-40	4.797939211441347e-13	1.1679133496330833e-15	1.1743362703597926e-18	3.2064712866110956e-20	1.277024803921697e-16	5.558205977611713e-19	2.0748080198855064e-16	7.646867046238553e-41	5.1870200497108236e-20	3.203478016641361e-17	7.595197226633725e-41	2.0607885586521948e-16	2.216802583993897e-40	2.1621103988852156e-16	5.3487032975041954e-14	2.462979886643835e-40
2.0	1.1883902974079912e-16	1.1999375026728505e-15	1.1684907285077497e-14	6.261414356814798e-17	4.721416650109564e-12	7.760159864123399e-14	1.3097864094967805e-16	4.797655787971934e-12	1.3009361931805232e-15	4.79470197224122e-40	4.79480130408462e-13	1.1226215550250185e-15	1.1609702592007221e-18	6.249732714950077e-20	2.485857662459534e-16	1.4021536847892528e-18	5.234062433471152e-16	1.9290545996142173e-40	1.3085156083670464e-19	7.724759341413029e-17	1.916019993079642e-40	5.198695915378474e-16	5.592268304434053e-40	5.454297798813581e-16	1.0422231962202509e-13	6.213293170076355e-40
3.0	1.1885239575195847e-16	1.1999070700585671e-15	1.1531823305481186e-14	9.304646429478717e-17	4.675441883284649e-12	1.2301436054596876e-13	2.1003670622217802e-16	4.796240833089339e-12	2.0861748987444904e-15	7.688760566353136e-40	4.791663396727894e-13	1.0773297604169538e-15	1.1476042480416513e-18	9.29299414328906e-20	3.6946905209973704e-16	2.2484867718173346e-18	8.393316847056796e-16	3.093422494604579e-40	2.0983292117630102e-19	1.2246040666184697e-16	3.0725202634959113e-40	8.336603272104754e-16	8.967734024874206e-40	8.746485198741953e-16	1.5496540514695364e-13	9.963606453508872e-40
4.0	1.1886452505290158e-16	1.1998819842394256e-15	1.1395551839715589e-14	1.181387872879e-16	4.6057671711619474e-12	1.646290662330091e-13	5.796343338447601e-15	4.695747207908365e-12	5.791029206514706e-14	1.2049136645328892e-18	4.568404992167207e-13	1.0463300446751624e-15	1.135474947100003e-18	1.1801576057400008e-19	4.582044363260195e-16	1.3750545332124026e-17	2.3181312083293083e-14	4.82246305724259e-19	5.7676916824787076e-18	1.4790226364232885e-16	4.819186629491346e-19	2.3159018864591286e-14	1.4056936062350113e-18	2.415325446644081e-14	1.96933494686211e-13	1.561796753548986e-18
5.0	1.1887238185911383e-16	1.1998753701315817e-15	1.131736299978363e-14	1.2478288216760084e-16	4.454215645799433e-12	1.931225289929813e-13	3.04086838587651e-14	4.252963941036669e-12	3.0387864442046456e-13	6.572473691387536e-18	3.5846906197395196e-13	1.0647055429872118e-15	1.127618140893317e-18	1.2462986841808333e-19	4.358776343517035e-16	6.20652139448174e-17	1.2161727352205047e-13	2.6305213812728002e-18	3.025356973184044e-17	1.0504088728091584e-16	2.6287341797635932e-18	1.2152830929172953e-13	7.667673225959009e-18	1.2671570122660932e-13	2.086167848607605e-13	8.519173096085891e-18
6.0	1.1888023866532611e-16	1.1998687560237377e-15	1.1239174159851672e-14	1.314269770473017e-16	4.302664120436919e-12	2.216159917529537e-13	5.50210243790827e-14	3.810180674164975e-12	5.498469967757821e-13	1.1940033718242182e-17	2.600976247311827e-13	1.0830810412992615e-15	1.1197613346866312e-18	1.312439762621666e-19	4.135508323773875e-16	1.1037988255751117e-16	2.2005323496080827e-13	4.778796456821354e-18	5.473944778120227e-17	6.217951091950263e-17	4.775549696578052e-18	2.1989759971886818e-13	1.3929652845682642e-17	2.292781479867811e-13	2.2038957065171384e-13	1.547654943862239e-17
7.0	1.1888809547153837e-16	1.1998621419158936e-15	1.1160985319919712e-14	1.3807107192700257e-16	4.151112595074405e-12	2.50109454512926e-13	7.96333648994003e-14	3.3673974072932794e-12	7.958153491310996e-13	1.730759374509683e-17	1.617261874884136e-13	1.1014565396113107e-15	1.1119045284799452e-18	1.3785808410624987e-19	3.912240304030715e-16	1.5869455117020474e-16	3.1848919639956606e-13	6.927071532369895e-18	7.92253258305641e-17	1.9318134558089417e-17	6.922365213392523e-18	3.1826689014600683e-13	2.019163246540593e-17	3.318405947469555e-13	2.3225288433593616e-13	2.2433925781158502e-17
8.0	1.1889595227775063e-16	1.1998555278080495e-15	1.1082796479987754e-14	1.4471516680670343e-16	3.999561069711891e-12	2.786029172728984e-13	1.042457054197178e-13	2.9246141404215837e-12	1.041783701486417e-12	2.26751537719515e-17	6.335475024564441e-14	1.1198320379233603e-15	1.1040477222732593e-18	1.4447219195033314e-19	3.6889722842875547e-16	2.070092197828983e-16	4.1692515783832385e-13	9.075346607918448e-18	1.0371120387992593e-16	-2.3543241803323794e-17	9.069180730206994e-18	4.166361805731455e-13	2.6453612085128883e-17	4.3440304150713267e-13	2.4420777412713826e-13	2.9391302123694244e-17
9.0	1.1890380908396288e-16	1.1998489137002055e-15	1.1004607640055795e-14	1.5135926168640426e-16	3.848009544349379e-12	3.070963800328707e-13	1.288580459400353e-13	2.4818308735498896e-12	1.2877520538417345e-12	2.804271379880612e-17	-3.501668699712477e-14	1.1382075362354097e-15	1.0961909160665732e-18	1.5108629979441639e-19	3.4657042645443957e-16	2.5532388839559193e-16	5.153611192770812e-13	1.122362168346699e-17	1.2819708192928766e-16	-6.640461816473682e-17	1.1215996247021452e-17	5.150054710002837e-13	3.271559170485141e-17	5.36965488267312e-13	2.5625530448461964e-13	3.634867846622952e-17
