time	Susceptible	Exposed	Infected	Recovered	Total_population
0.0	315283090.04	14439817.0	330052.96	0.0	330052960.0
0.9900990099009901	315032514.7841125	12170467.499646278	2762854.631929851	87123.08431154574	330052960.0
1.9801980198019802	314441860.9211162	10605347.795903884	4714102.871144213	291648.41183601855	330052960.0
2.9702970297029703	313578876.04152036	9562552.411710866	6322173.245775899	589358.3009930976	330052960.0
3.9603960396039604	312492466.80037737	8908482.196608806	7689075.541695283	962935.4613186802	330052960.0
4.9504950495049505	311217536.1826686	8545172.870622877	8890107.532274105	1400143.4144346174	330052960.0
5.9405940594059405	309778626.292785	8400880.376585435	9980963.02417539	1892490.306454386	330052960.0
6.930693069306931	308192642.284503	8423114.407649009	11002955.05678028	2434248.251067701	330052960.0
7.920792079207921	306470880.42668486	8573497.923394054	11986847.934482947	3021733.715438198	330052960.0
8.910891089108912	304620534.9957061	8823980.995431334	12955664.707849408	3652779.3010131908	330052960.0
9.900990099009901	302645817.97674316	9154055.184560103	13926741.156754805	4326345.68194187	330052960.0
10.89108910891089	300548792.9302198	9548704.88147452	14913226.152012367	5042236.036293403	330052960.0
11.881188118811881	298329998.89868647	9996900.398938598	15925175.38522203	5800885.3171531195	330052960.0
12.871287128712872	295988920.77415776	10490488.714279411	16970346.453621157	6603204.0579418335	330052960.0
13.861386138613861	293524347.8376359	11023375.81936885	18054774.538320135	7450461.804675338	330052960.0
14.85148514851485	290934651.1630797	11590922.817288743	19183186.791848432	8344199.227783274	330052960.0
15.841584158415841	288218002.36768425	12189498.694102302	20359298.069741808	9286160.868471723	330052960.0
16.831683168316832	285372550.06110406	12816148.07088029	21586019.256434977	10278242.611580836	330052960.0
17.821782178217823	282396565.8312553	13468343.440199377	22865601.197238855	11322449.531306582	330052960.0
18.81188118811881	279288568.19571686	14143799.749594253	24199731.13916831	12420860.915520662	330052960.0
19.801980198019802	276047430.43157727	14840335.256151399	25589594.1934455	13575600.118825916	330052960.0
20.792079207920793	272672476.29781294	15555767.056067016	27035909.1225221	14788807.523598086	330052960.0
21.78217821782178	269163566.22971433	16287832.985545857	28538945.42746477	16062615.357275072	330052960.0
22.77227722772277	265521175.50702482	17034133.9783271	30098527.04816055	17399123.46648757	330052960.0
23.762376237623762	261746465.04973853	17792092.77541859	31714026.755476505	18800375.41936642	330052960.0
24.752475247524753	257841344.89260906	18558926.096956275	33384354.496640835	20268334.513793886	330052960.0
25.742574257425744	253808529.90080768	19331628.350811765	35107942.31021272	21804859.438167896	330052960.0
26.73267326732673	249651586.95052096	20106965.581725847	36882728.00327313	23411679.46448015	330052960.0
27.722772277227723	245374972.5681667	20881478.796547536	38706139.46879033	25090369.16649554	330052960.0
28.712871287128714	240984059.88969028	21651496.071875785	40575081.28679524	26842322.751638792	330052960.0
29.7029702970297	236485153.75809303	22413152.992227904	42485925.07149963	28668728.178179525	330052960.0
30.693069306930692	231885492.8293221	23162421.001043	44434504.86759367	30570541.302041326	330052960.0
31.683168316831683	227193237.68582395	23895143.20452109	46416118.74931503	32548460.360339984	330052960.0
32.67326732673267	222417444.1629461	24607077.06232182	48425537.62190681	34602901.15282531	330052960.0
33.663366336633665	217568021.3835774	25293943.242039826	50457022.04850951	36733973.32587328	330052960.0
34.65346534653465	212655674.33236954	25951479.735354014	52504347.735086896	38941458.1971896	330052960.0
35.64356435643565	207691831.19923204	26575500.1347773	54560840.08511903	41224788.58087168	330052960.0
36.633663366336634	202688556.15481594	27161954.77572484	56619417.98936578	43583031.08009349	330052960.0
37.62376237623762	197658448.66060975	27706993.274487644	58672646.75477585	46014871.31012679	330052960.0
38.613861386138616	192614530.86608094	28207026.849498227	60712799.791539006	48518602.49288181	330052960.0
