time	RanGDP_nuc	RCC1_RanGDP	RCC1	RCC1_RanGTP	RCC1_Ran	RanGTP_nuc	RanGAP	RanBP1	RanGTP_cy	RanGTP_RanBP1	RanGDP_cy	GDP	GTP
0.0	0.0	0.0	8.4e-12	0.0	0.0	0.0	1.2599999999999999e-11	3.6e-11	0.0	0.0	9e-11	1.9200000000000002e-11	6e-09
0.9900990099009901	1.46272792435781e-12	1.3926969091666946e-13	8.863277763796193e-12	-5.561858339004685e-13	-2.442658870788986e-14	1.5209862423297561e-12	1.2599999999999999e-11	3.599997110615426e-11	3.694604167878181e-15	2.8893845736534354e-17	8.406236812557037e-11	1.9200000000000002e-11	6e-09
1.9801980198019802	2.986864345649516e-12	-1.3562995896885672e-13	1.1673027934593021e-11	-2.898327212171335e-12	-1.8215336347028378e-13	2.7099686714141398e-12	1.2599999999999999e-11	3.5999945346575014e-11	6.933053303841878e-15	5.465342498524938e-17	7.861264072828768e-11	1.9200000000000002e-11	6e-09
2.9702970297029703	4.287923573579209e-12	-2.34526611375869e-13	1.2513642981805277e-11	-3.574838842110803e-12	-2.2893308987920255e-13	3.7548474003143295e-12	1.2599999999999999e-11	3.599992281452732e-11	9.767112917638024e-15	7.718547267163591e-17	7.417893555039814e-11	1.9200000000000002e-11	6e-09
3.9603960396039604	5.339656316475545e-12	-1.3671015270549712e-13	1.1153416555625246e-11	-2.3897275770350375e-12	-1.5171072905588857e-13	4.638665876905715e-12	1.2599999999999999e-11	3.599990388979192e-11	1.2149198859779024e-14	9.611020807458488e-17	7.088080700792915e-11	1.9200000000000002e-11	6e-09
4.9504950495049505	6.391389059371882e-12	-3.889369403512524e-14	9.793190129445218e-12	-1.204616311959272e-12	-7.448836823257463e-14	5.522484353497101e-12	1.2599999999999999e-11	3.5999884965056514e-11	1.4531284801920026e-14	1.1503494347753384e-16	6.758267846546012e-11	1.9200000000000002e-11	6e-09
5.9405940594059405	7.443121802268218e-12	5.892276463524666e-14	8.432963703265187e-12	-1.9505046883505918e-14	2.7339925907393524e-15	6.406302830088487e-12	1.2599999999999999e-11	3.599986604032111e-11	1.6913370744061027e-14	1.3395967888048282e-16	6.42845499229911e-11	1.9200000000000002e-11	6e-09
6.930693069306931	8.494854545164555e-12	1.5673922330561856e-13	7.072737277085157e-12	1.16560621819226e-12	7.995635341405335e-14	7.290121306679872e-12	1.2599999999999999e-11	3.599984711558571e-11	1.929545668620203e-14	1.528844142834318e-16	6.098642138052208e-11	1.9200000000000002e-11	6e-09
7.920792079207921	9.495261933776584e-12	2.2371846366686498e-13	6.146476201214004e-12	1.9722590529696577e-12	1.325426037716381e-13	8.129611690859582e-12	1.2599999999999999e-11	3.599982914299077e-11	2.1557879946850785e-14	1.7085700923205e-16	5.821800746488706e-11	1.9200000000000002e-11	6e-09
8.910891089108912	1.0341427164652803e-11	1.980261743934148e-13	6.5243610576521744e-12	1.6415744895642482e-12	1.1109279749719939e-13	8.835887980032454e-12	1.2599999999999999e-11	3.5999814031753526e-11	2.346069477515286e-14	1.8596824647176622e-16	5.704148372061854e-11	1.9200000000000002e-11	6e-09
9.900990099009901	1.1187592395529021e-11	1.7233388511996462e-13	6.902245914090344e-12	1.310889926158839e-12	8.96429912227607e-14	9.542164269205325e-12	1.2599999999999999e-11	3.5999798920516285e-11	2.5363509603454937e-14	2.0107948371148239e-16	5.586495997635002e-11	1.9200000000000002e-11	6e-09
10.89108910891089	1.2033757626405237e-11	1.4664159584651449e-13	7.280130770528514e-12	9.802053627534304e-13	6.819318494832205e-14	1.0248440558378196e-11	1.2599999999999999e-11	3.5999783809279044e-11	2.7266324431757006e-14	2.161907209511985e-16	5.4688436232081505e-11	1.9200000000000002e-11	6e-09
11.881188118811881	1.2879922857281455e-11	1.209493065730643e-13	7.658015626966683e-12	6.495207993480208e-13	4.674337867388335e-14	1.0954716847551066e-11	1.2599999999999999e-11	3.599976869804181e-11	2.9169139260059086e-14	2.313019581909147e-16	5.351191248781298e-11	1.9200000000000002e-11	6e-09
12.871287128712872	1.3726088088157675e-11	9.52570172996141e-14	8.035900483404853e-12	3.188362359426113e-13	2.5293572399444644e-14	1.1660993136723938e-11	1.2599999999999999e-11	3.599975358680457e-11	3.107195408836116e-14	2.4641319543063085e-16	5.233538874354445e-11	1.9200000000000002e-11	6e-09
13.861386138613861	1.4572253319033894e-11	6.956472802616392e-14	8.413785339843023e-12	-1.1848327462798034e-14	3.843766125005944e-15	1.236726942589681e-11	1.2599999999999999e-11	3.5999738475567327e-11	3.2974768916663235e-14	2.61524432670347e-16	5.115886499927594e-11	1.9200000000000002e-11	6e-09
14.85148514851485	1.541841854991011e-11	4.3872438752713806e-14	8.79167019628119e-12	-3.4253289086820636e-13	-1.760604014943269e-14	1.3073545715069681e-11	1.2599999999999999e-11	3.5999723364330085e-11	3.4877583744965307e-14	2.766356699100632e-16	4.998234125500742e-11	1.9200000000000002e-11	6e-09
15.841584158415841	1.6264583780786327e-11	1.8180149479263604e-14	9.169555052719362e-12	-6.73217454273616e-13	-3.90558464238714e-14	1.3779822004242552e-11	1.2599999999999999e-11	3.599970825309285e-11	3.6780398573267384e-14	2.9174690714977936e-16	4.8805817510738895e-11	1.9200000000000002e-11	6e-09
16.831683168316832	1.7110749011662548e-11	-7.512139794186591e-15	9.547439909157531e-12	-1.0039020176790256e-12	-6.050565269831011e-14	1.4486098293415422e-11	1.2599999999999999e-11	3.599969314185561e-11	3.868321340156946e-14	3.0685814438949553e-16	4.762929376647037e-11	1.9200000000000002e-11	6e-09
