time	T	I	VI	VNI
0.0	1000000.0	1000000.0	10000000.0	1000000.0
0.9900990099009901	4860655.565179356	551498.3777918359	208565.2359053246	124137.51325429042
1.9801980198019802	18648774.299890224	329175.16491343617	101240.28590969328	67454.31424026919
2.9702970297029703	31508685.466016177	337532.1563565574	95405.2442966645	63603.39305373007
3.9603960396039604	34909053.94454429	439663.7157537288	121531.14983738314	81020.76628689791
4.9504950495049505	35376602.41707859	598664.0814455262	164948.3188770916	109965.54591734715
5.9405940594059405	35331209.84001929	818198.0995785043	225449.33438995434	150299.55625996768
6.930693069306931	35170365.696509816	1114268.5134145436	307254.73940458585	204836.4929363905
7.920792079207921	34940825.241701834	1508353.9477761756	416370.81676964636	277580.54451309756
8.910891089108912	34635562.25727962	2025130.766568794	559831.941212952	373221.294141968
9.900990099009901	34238800.258460835	2689765.491890716	744972.7585213725	496648.50568091485
10.89108910891089	33734680.62292742	3523183.294116728	978169.0708969493	652112.7139312994
11.881188118811881	33112031.000255853	4534847.991311483	1262862.4366705099	841908.291113673
12.871287128712872	32369710.96243411	5713945.483585565	1597048.967555381	1064699.3117035872
13.861386138613861	31522008.053453766	7021910.987919477	1970978.2260626329	1313985.4840417553
14.85148514851485	30601781.81425369	8391054.71756389	2366374.509515981	1577583.0063439873
15.841584158415841	29658584.281240247	9733468.781543624	2758481.7903239224	1838987.8602159482
16.831683168316832	28750512.49917152	10959843.9038023	3121106.924809187	2080737.9498727913
17.821782178217823	27931831.051558968	12001238.005330978	3432949.888409856	2288633.258939904
18.81188118811881	27241237.601294924	12823734.81218183	3682347.0660024616	2454898.044001641
19.801980198019802	26695556.558143623	13429907.952345578	3868364.236884919	2578909.491256613
20.792079207920793	26290586.707088493	13848904.969595732	3998381.655705109	2665587.770470072
21.78217821782178	26007266.082644068	14122157.946767364	4084039.4525480964	2722692.968365398
22.77227722772277	25819612.177781872	14291300.48487613	4137550.9951816993	2758367.330121133
23.762376237623762	25701421.139786538	14391206.833527513	4169423.286776775	2779615.5245178505
24.752475247524753	25630334.0299191	14447757.743760686	4187603.6766865286	2791735.7844576854
25.742574257425744	25589354.633815367	14478522.87268258	4197566.731138742	2798377.8207591614
26.73267326732673	25566649.84603823	14494630.319387004	4202820.729499762	2801880.486333175
27.722772277227723	25554539.790550582	14502741.59399957	4205486.415878112	2803657.6105854083
28.712871287128714	25548321.164469257	14506658.042168884	4206784.290564712	2804522.860376476
29.7029702970297	25545252.650347296	14508458.601376424	4207387.012268518	2804924.6748456783
30.693069306930692	25543804.796797756	14509235.88815118	4207650.7370763635	2805100.4913842417
31.683168316831683	25543157.963752802	14509541.880389351	4207756.7590064565	2805171.1726709707
32.67326732673267	25542889.72931015	14509643.934302585	4207793.622840523	2805195.7485603485
33.663366336633665	25542790.982418537	14509665.40529402	4207802.590215252	2805201.726810168
34.65346534653465	25542762.724002983	14509659.797202488	4207801.79570163	2805201.19713442
35.64356435643565	25542760.544751905	14509648.329175686	4207798.578725399	2805199.052483599
36.633663366336634	25542765.924554262	14509638.182775686	4207795.523229544	2805197.0154863624
37.62376237623762	25542771.977568563	14509630.953923415	4207793.282753908	2805195.521835939
38.613861386138616	25542776.682879537	14509626.334891146	4207791.82716899	2805194.5514459936
39.603960396039604	25542779.836432744	14509623.58448688	4207790.950367648	2805193.9669117657
40.59405940594059	25542781.776782833	14509622.03075371	4207790.450503823	2805193.6336692143
41.584158415841586	25542782.90170196	14509621.190912617	4207790.178132815	2805193.4520885427
42.57425742574257	25542783.522720326	14509620.75532573	4207790.035790593	2805193.3571937294
43.56435643564356	25542783.850816417	14509620.538484287	4207789.964388124	2805193.309592082
44.554455445544555	25542784.01802351	14509620.434904356	4207789.929980696	2805193.286653797
45.54455445544554	25542784.099475503	14509620.388266603	4207789.914311908	2805193.276207939
46.53465346534654	25542784.136812367	14509620.369247118	4207789.907804008	2805193.271869338
47.524752475247524	25542784.152714677	14509620.362407165	4207789.905392712	2805193.2702618074
48.51485148514851	25542784.159330294	14509620.359843833	4207789.904470272	2805193.269646848
49.504950495049506	25542784.162222236	14509620.358753184	4207789.904075583	2805193.269383722
50.495049504950494	25542784.163331088	14509620.358589895	4207789.903997137	2805193.2693314245
51.48514851485149	25542784.163332876	14509620.359078856	4207789.904136908	2805193.2694246047
52.475247524752476	25542784.162384298	14509620.360167688	4207789.904475431	2805193.269650285
53.46534653465346	25542784.161715955	14509620.360683233	4207789.904641992	2805193.2697613267
54.45544554455446	25542784.16154211	14509620.360675577	4207789.904644781	2805193.269763187
55.445544554455445	25542784.16192841	14509620.360165391	4207789.904487828	2805193.2696585525
