time	P	Q	R
0.0	0.43	0.8	0.55
1.0	0.44566666782423575	0.8571227151394084	0.6522331323687591
2.0	0.45720555350759307	0.7284874210903787	0.8030611381644535
3.0	0.4471312934062213	0.4441984398250629	0.8807997606274642
4.0	0.4091387294227632	0.18375933321408497	0.8154723611268627
5.0	0.3583505341852491	0.17312567855790048	0.5699515284488031
6.0	0.3304988804110075	0.626295868893033	0.15497318727271234
7.0	0.35861304814696043	0.9991592078756233	0.05255766857284977
8.0	0.39322065125646777	0.9983247411699178	0.09751837986916811
9.0	0.4257678103081015	0.9959080138766357	0.19831172101137773
10.0	0.45621235584252073	0.9867989547656845	0.39565488124385323
11.0	0.48263744037940637	0.9232106476343597	0.6998010550777329
12.0	0.4908615487358603	0.6136632386141279	0.941090892573916
13.0	0.46150846516642663	0.22188097388518618	0.9282757319591608
14.0	0.402774978088221	0.038011190318646616	0.8268885780868351
15.0	0.34464198011101643	0.13933182396703014	0.5208914592926587
16.0	0.3195832699296973	0.7076650197694295	0.06771013300731701
17.0	0.35206268476598174	0.9992473002869114	0.04742928686166833
18.0	0.3870715333299963	0.9985432826783274	0.08635005097287275
19.0	0.4199830498342901	0.996579935077963	0.17382107772493552
20.0	0.450847006572624	0.9896747123540206	0.35121052922506896
21.0	0.47845386518891186	0.9466792569316501	0.6386406035208377
22.0	0.49194903331942713	0.6882404774119391	0.9262309526590462
23.0	0.46962881415852037	0.28711099941947943	0.9350631167678044
24.0	0.4143116081519241	0.04050784927249912	0.857217826581801
25.0	0.3540775934776745	0.09978672041614224	0.5950499075025883
26.0	0.31928912631972056	0.5568827753187833	0.13496002349773392
27.0	0.34543109109770453	0.9993215869156181	0.04303329933987828
28.0	0.3808524584058815	0.998725226780588	0.0767440161226132
29.0	0.41413128672058985	0.9971194132340766	0.15237323605828068
30.0	0.44538941196029425	0.9917668740126352	0.31062146114862244
31.0	0.47387837532679233	0.9625836042717295	0.5791635244405814
32.0	0.49171426629861376	0.7582403577251132	0.8941745868546186
33.0	0.4765840661030491	0.3560968712306256	0.9400055052055788
34.0	0.4258078004041927	0.055802758312298605	0.881143999426068
35.0	0.3642249764814046	0.0732653803067251	0.6612032855513109
36.0	0.3215897689585613	0.4254183304545439	0.2197721818282976
37.0	0.3387174636133814	0.9993856159590335	0.03918839440812122
38.0	0.37456370582078574	0.9988774134429484	0.06847376436279885
39.0	0.408214654382544	0.9975558513665186	0.13370499020794657
40.0	0.43985109580889725	0.993358265597697	0.2738614738392464
41.0	0.4690280378292968	0.9731562281515528	0.5223231682663669
42.0	0.49027101325984707	0.8195998931686382	0.846772466124471
43.0	0.48230643682828683	0.4278623548995522	0.9433953279234927
44.0	0.4369736699443723	0.0884602306443082	0.8996119820665442
45.0	0.3748847941943234	0.05612698711052026	0.7189662384401884
46.0	0.32613076442990446	0.3163703384808758	0.30946919852732196
47.0	0.33191759670136756	0.999440660094222	0.03596556998160877
48.0	0.3682022931663143	0.9990055691440761	0.061336213905713824
49.0	0.40223196574630066	0.99791114503201	0.1175338127204961
50.0	0.4342376806320796	0.9945741111175433	0.24082834947962922
51.0	0.4639788580160899	0.9802091136998755	0.46869246785583224
52.0	0.48779312964455185	0.8698201716898402	0.7902627854054529
53.0	0.4867390917414264	0.5016904472460454	0.945110803978657
54.0	0.44750074829186254	0.13542748760949747	0.913629958827975
55.0	0.385911440098596	0.04540870702442824	0.7683186370504378
56.0	0.3325232033051956	0.22988126149237756	0.3980395661116298
57.0	0.32526207492406434	0.9429888194571531	0.03490494153005499
58.0	0.36176817669472255	0.9991142547389581	0.05515803424770061
59.0	0.3961845307413531	0.9982022008535919	0.10358127962315115
60.0	0.428554964722641	0.9955230807730518	0.21138437849379108
61.0	0.45878239707872	0.9850106728350604	0.418635485598074
62.0	0.4844855339467015	0.9083998361456878	0.729706089202659
63.0	0.48984280616807147	0.5769173977192361	0.9438877816498104
64.0	0.45716859529361764	0.19196375183909825	0.9241652312815428
65.0	0.39721046764931023	0.03933119449805667	0.8095923174772984
66.0	0.34039085934468877	0.16436448986575988	0.48221176002279537
67.0	0.3207432330422091	0.7854063684545105	0.04792284678464112
68.0	0.35525599881292186	0.9992070829970773	0.04978656897328751
69.0	0.39006853029374683	0.9984420829389532	0.09156684736394965
70.0	0.42280275056076794	0.9962719653548637	0.18532905726783355
71.0	0.4534667293439848	0.98838402066624	0.3723320272966788
72.0	0.48054420571960677	0.9363660900670934	0.6682334356203001
73.0	0.4915888065887723	0.652293648263015	0.9353438944882196
74.0	0.46582069773770635	0.2548487962475293	0.9320203908639334
75.0	0.4086935204016525	0.03818172997564388	0.8433237049130844
76.0	0.3493858465271323	0.11715359101892932	0.5599491228021957
77.0	0.3190890290960954	0.6281693726902318	0.09883009225914166
78.0	0.3486657344230221	0.9992868157212061	0.045098120145932
79.0	0.38388504597708206	0.9986408855426782	0.08123442185333293
80.0	0.41698478140589934	0.9968716347271515	0.16243712642572394
81.0	0.4480536906306383	0.9908319703303072	0.32987388095894604
82.0	0.47614403298645946	0.9556504045566894	0.6078009400957488
83.0	0.49198839211372725	0.7250570444686377	0.9119947201142573
84.0	0.47335310801344616	0.32216096892099744	0.9378090482533619
85.0	0.4202401274500129	0.0462934803244662	0.8702555282763077
86.0	0.35921701359788566	0.08477046050729012	0.6300773632058738
87.0	0.3201681786682302	0.4866244464092253	0.1773813965997757
88.0	0.3419917396580059	0.9993557790233598	0.040991311725935
89.0	0.3776298114677519	0.9988067205298052	0.07234085206573752
90.0	0.41109913379661295	0.9973550187953119	0.1424504166412827
91.0	0.44255313865488866	0.9926429499958102	0.29125725216894494
92.0	0.47141489079551896	0.968558891176148	0.5495816960238975
93.0	0.491113721962249	0.7910535821383401	0.8713415339476253
94.0	0.47968219375139687	0.392674636041634	0.9419357693490927
95.0	0.43160716398080806	0.07047901337345817	0.8912522303110976
96.0	0.3696485360481669	0.06349610173120154	0.6919405926546273
97.0	0.3236674510309607	0.36653060722442105	0.2657187958871319
98.0	0.3352343879819686	0.9994148734734147	0.03743111238199661
99.0	0.3713041599022734	0.9989464476586387	0.06467637813861478
100.0	0.40514880586360946	0.9977473239509272	0.12510091548909988
