time	Gd	Gt	R	Rl	Rg	Rlg	Rlgp	IP3	Pc	Pcg	P	Pg	Ca
0.0	10000.0	0.0	13.9	0.0	5.06	0.0	0.0	0.015	9.09	0.0	90.9	0.0	0.1
0.9900990099009901	10000.003998369148	0.0	13.90399836914595	0.0	5.0560016308540465	0.0	0.0	0.015007701648184338	9.09	0.0	90.9	0.0	0.1
1.9801980198019802	10000.003998515582	0.0	13.903998515580913	0.0	5.056001484419087	0.0	0.0	0.015009935683948622	9.09	0.0	90.9	0.0	0.1
2.9702970297029703	10000.003998517273	0.0	13.903998517271987	0.0	5.056001482728012	0.0	0.0	0.015010583715291601	9.09	0.0	90.9	0.0	0.1
3.9603960396039604	10000.003998517486	0.0	13.903998517486308	0.0	5.056001482513692	0.0	0.0	0.015010771672136446	9.09	0.0	90.9	0.0	0.1
4.9504950495049505	10000.003998517424	0.0	13.903998517422473	0.0	5.056001482577524	0.0	0.0	0.015010826284640007	9.09	0.0	90.9	0.0	0.1
5.9405940594059405	10000.003998517454	0.0	13.903998517452086	0.0	5.056001482547909	0.0	0.0	0.015010842105793247	9.09	0.0	90.9	0.0	0.1
6.930693069306931	10000.003998517459	0.0	13.903998517456644	0.0	5.056001482543354	0.0	0.0	0.015010846734029073	9.09	0.0	90.9	0.0	0.1
7.920792079207921	10000.003998517459	0.0	13.903998517455832	0.0	5.056001482544165	0.0	0.0	0.015010848079861194	9.09	0.0	90.9	0.0	0.1
8.910891089108912	10000.003998517459	0.0	13.90399851745688	0.0	5.056001482543117	0.0	0.0	0.015010848509061593	9.09	0.0	90.9	0.0	0.1
9.900990099009901	10000.003998517459	0.0	13.903998517456358	0.0	5.056001482543638	0.0	0.0	0.015010848518158666	9.09	0.0	90.9	0.0	0.1
10.89108910891089	10000.003998517459	0.0	13.903998517456554	0.0	5.056001482543443	0.0	0.0	0.015010848476692668	9.09	0.0	90.9	0.0	0.1
11.881188118811881	10000.003998517459	0.0	13.903998517456555	0.0	5.05600148254344	0.0	0.0	0.015010848506913881	9.09	0.0	90.9	0.0	0.1
12.871287128712872	10000.003998517459	0.0	13.90399851745627	0.0	5.056001482543725	0.0	0.0	0.015010848539075894	9.09	0.0	90.9	0.0	0.1
13.861386138613861	10000.003998517459	0.0	13.903998517456348	0.0	5.056001482543649	0.0	0.0	0.015010848547351335	9.09	0.0	90.9	0.0	0.1
14.85148514851485	10000.003998517459	0.0	13.903998517456497	0.0	5.056001482543499	0.0	0.0	0.015010848535776057	9.09	0.0	90.9	0.0	0.1
15.841584158415841	10000.003998517459	0.0	13.903998517456488	0.0	5.056001482543505	0.0	0.0	0.015010848518694917	9.09	0.0	90.9	0.0	0.1
16.831683168316832	10000.003998517459	0.0	13.903998517456486	0.0	5.056001482543508	0.0	0.0	0.015010848507933675	9.09	0.0	90.9	0.0	0.1
17.821782178217823	10000.003998517459	0.0	13.90399851745646	0.0	5.056001482543533	0.0	0.0	0.015010848506405486	9.09	0.0	90.9	0.0	0.1
18.81188118811881	10000.003998517459	0.0	13.903998517456387	0.0	5.056001482543606	0.0	0.0	0.015010848511578613	9.09	0.0	90.9	0.0	0.1
19.801980198019802	10000.003998517459	0.0	13.903998517456383	0.0	5.056001482543609	0.0	0.0	0.015010848517140775	9.09	0.0	90.9	0.0	0.1
20.792079207920793	10000.003998517459	0.0	13.903998517455795	0.0	5.056001482544197	0.0	0.0	0.015010848559381349	9.09	0.0	90.9	0.0	0.1
21.78217821782178	10000.003998517457	0.0	13.90399851745519	0.0	5.056001482544804	0.0	0.0	0.015010848606457187	9.09	0.0	90.9	0.0	0.1
22.77227722772277	10000.003998517457	0.0	13.903998517455113	0.0	5.056001482544881	0.0	0.0	0.0150108486277363	9.09	0.0	90.9	0.0	0.1
23.762376237623762	10000.003998517459	0.0	13.90399851745627	0.0	5.056001482543723	0.0	0.0	0.015010848583966424	9.09	0.0	90.9	0.0	0.1
24.752475247524753	10000.003998517459	0.0	13.903998517455614	0.0	5.056001482544377	0.0	0.0	0.015010848634608184	9.09	0.0	90.9	0.0	0.1
25.742574257425744	10000.003998517457	0.0	13.903998517455083	0.0	5.05600148254491	0.0	0.0	0.01501084867409563	9.09	0.0	90.9	0.0	0.1
26.73267326732673	10000.003998517457	0.0	13.903998517455058	0.0	5.056001482544933	0.0	0.0	0.015010848678544785	9.09	0.0	90.9	0.0	0.1
27.722772277227723	10000.003998517459	0.0	13.903998517456051	0.0	5.056001482543941	0.0	0.0	0.01501084861721918	9.09	0.0	90.9	0.0	0.1
28.712871287128714	10000.003998517459	0.0	13.903998517456836	0.0	5.056001482543158	0.0	0.0	0.015010848530342017	9.09	0.0	90.9	0.0	0.1
29.7029702970297	10000.003998517459	0.0	13.903998517456357	0.0	5.0560014825436355	0.0	0.0	0.015010848501734621	9.09	0.0	90.9	0.0	0.1
30.693069306930692	9999.915082399397	0.026333989767571703	13.843327005649044	9.782448674509074e-06	5.0193245306588885	0.09732613919725065	1.2542046168105114e-05	0.015014415182278397	9.089042596886157	0.0009601660874855905	90.89903700417298	0.000960232853390202	0.09999997884870743
31.683168316831683	9999.686746331256	0.13474015116417845	13.734139675897465	2.468002140060045e-05	4.979605752446176	0.24614929363064506	8.059800434184659e-05	0.015062706852569758	9.083714706448559	0.006337221055875709	90.8936074200523	0.006340652443303336	0.09999960248124329
