time	GTPgS_C	KCNQsites_M	PIP2_M	GGDPbS_M	ATP_C	oxoM_EX	GDPbS_C	GGTPMg_M	GDP_C	GGDPAlF4Mg_M	ip3_C	AlF4_C	G_M	GGTP_M	GGDPAlF4_M	GGTPgS_M	PI_M	PIP_M	PIP2xKCNQ_M	GGTPgSMg_M	GGDP_M	Mg2_C	GTP_C
10.0	0.0	24.30518080584093	347.718987998197	0.0	2999.297860934558	0.0	0.0	1.1477192202646747	0.23625816117970813	0.0	1.2460930856093124	0.0	0.004672472818525606	0.03156549072188631	0.0	0.0	199851.18577601333	873.5799254417198	15.69481919415902	0.0	199.02904281619865	2100.0	95.89575006880506
11.0	0.0	25.731784002294685	387.3196775989226	0.0	2999.2367129177865	0.0	0.0	0.28383336613122084	0.23645720718957125	0.0	0.9276472727633674	0.0	0.004692024925247197	0.03173605240443829	0.0	0.0	199836.31090265102	843.7978350578271	14.268215997705266	0.0	199.8927385565428	2100.0	95.92981003792096
12.0	0.0	26.52132610416984	427.67083376356646	0.0	2999.1771250668567	0.0	0.0	0.14025639940885395	0.23665665340425596	0.0	0.6893770932388792	0.0	0.0046939075652497895	0.03176927738397261	0.0	0.0	199821.4372112453	815.7788516388285	13.478673895830104	0.0	200.03628041564565	2100.0	95.96358735332043
13.0	0.0	26.854392803208928	466.2807351928613	0.0	2999.119004836003	0.0	0.0	0.11639515786381455	0.2368561661297207	0.0	0.5127310276337786	0.0	0.004692856545699875	0.03177480706295607	0.0	0.0	199806.5646998233	789.42583575639	13.145607196791024	0.0	200.06013717853122	2100.0	95.99708436066396
14.0	0.0	26.874774742689358	502.8873149926397	0.0	2999.062264968847	0.0	0.0	0.11242959615779928	0.23705568990866363	0.0	0.3821067312737617	0.0	0.004691330392310121	0.03177572409825725	0.0	0.0	199791.69336652398	764.6416466672412	13.125225257310598	0.0	200.06410334935532	2100.0	96.03030338614609
15.0	0.0	26.68984357359924	537.6076983866609	0.0	2999.006823321591	0.0	0.0	0.1117705747971588	0.23725521552459772	0.0	0.2856097343961912	0.0	0.004689737440956413	0.0317758745697464	0.0	0.0	199776.82320959153	741.3341929962667	13.31015642640071	0.0	200.0647638131958	2100.0	96.06324673665691
16.0	0.0	26.377067909968282	570.6000760771886	0.0	2998.9526025692744	0.0	0.0	0.11166103466877639	0.2374547414457548	0.0	0.21437402974923972	0.0	0.004688145413954432	0.03177589766840509	0.0	0.0	199761.9542273694	719.4169487869135	13.62293209003167	0.0	200.06487492225253	2100.0	96.09591669994234
17.0	0.0	25.99084033175722	602.0073928301692	0.0	2998.8995299116837	0.0	0.0	0.11164288077167461	0.2376542674176073	0.0	0.1618273106687918	0.0	0.004686565443786122	0.03177589959848961	0.0	0.0	199747.08641829438	698.8086800123738	14.009159668242733	0.0	200.06489465418971	2100.0	96.12831554476297
18.0	0.0	25.56833752698863	631.9521506065346	0.0	2998.847536797767	0.0	0.0	0.11163963404629772	0.23785379339764318	0.0	0.12310404637952878	0.0	0.004684999274269187	0.03177589809104591	0.0	0.0	199732.21978089106	679.4330723763682	14.431662473011324	0.0	200.06489946859207	2100.0	96.1604455210516
19.0	0.0	25.13421414526231	660.5395032554704	0.0	2998.7965586698006	2.220282929712617e-25	0.0	0.11163902823088358	0.23805331937902527	0.0	0.09460372498627688	0.0	0.0046834470708798925	0.03177589598936012	0.0	0.0	199717.3543137669	661.2183801608952	14.865785854737638	0.0	200.06490162871256	2100.0	96.19230886006947
