time	H	HR	R	HRRH	E	GQ	IP3	CHO
0.0	1.0	0.0	0.01	0.0	0.0	0.1	0.0	0.0
1.0	0.9934972069137041	0.0014270245638410418	0.003497206913704516	0.000856453653839124	0.0016814306073858636	0.09831856939261421	3224.3034694092125	0.3114476011620568
2.0	0.9928858466631374	0.0014007892233428387	0.002885846663137679	0.0009644855033889015	0.0018921965533686058	0.09810780344663148	3770.1797708029085	0.26680493418252443
3.0	0.9928229920200274	0.0013980855480767859	0.002822992020027856	0.0009756109762075542	0.001913850239737891	0.09808614976026217	3826.2379912685474	0.2653810207744518
4.0	0.9928165231169708	0.0013978072275695134	0.002816523116971072	0.0009767561909940505	0.0019160786367334224	0.09808392136326666	3832.0065179389685	0.26537531217361376
5.0	0.9928158579955262	0.0013977786101382658	0.0028158579955265346	0.0009768739421581372	0.001916307755007228	0.09808369224499285	3832.599624944274	0.26537878314517094
6.0	0.00409237614730551	0.0005858917400341177	0.006908234142832047	0.0004186079387598047	0.0008343291198048808	0.0991656708801952	1845.3799704027272	0.23604447870731382
7.0	0.00607362048649412	0.00027528303470906806	0.008889478482020657	0.0001389033987646804	0.0002787158428682263	0.09972128415713183	632.2589407209534	0.16752147004950385
8.0	0.006841166328911036	0.00011508044420075889	0.009657024324437569	3.782808400720863e-05	7.611953167139516e-05	0.09992388046832865	176.1153914678024	0.07814437906183204
9.0	0.007070813431651482	5.6524522734600366e-05	0.009886671427178017	9.424948799541319e-06	1.8977076241918833e-05	0.09998102292375811	44.05963866815935	0.02429493140275041
10.0	0.007127954890635198	4.047121459252725e-05	0.009943812886161727	2.6094362864256756e-06	5.248513334214389e-06	0.09999475148666585	11.903311262422344	0.006975913810598635
11.0	0.007141023124689177	3.6677830788489884e-05	0.009956881120215703	1.0713031250966336e-06	2.1492213705723367e-06	0.0999978507786295	4.6121317465660185	0.0027419862443273917
12.0	0.007143933845152748	3.5825637101833634e-05	0.009959791840679267	7.299362606172856e-07	1.4613248465953678e-06	0.09999853867515346	2.99207566903679	0.0017845662866896985
13.0	0.007144577849052214	3.563670909599217e-05	0.009960435844578737	6.544715825648776e-07	1.3092515778350223e-06	0.0999986907484222	2.633841639410632	0.0015720240587979446
14.0	0.007144720115275681	3.559495441939586e-05	0.009960578110802202	6.378039178566997e-07	1.2756634691083807e-06	0.09999872433653091	2.554714885103818	0.0015250368623173026
15.0	0.007144751537210062	3.5585731262358784e-05	0.009960609532736584	6.341227332011998e-07	1.2682452650910742e-06	0.09999873175473496	2.537238888987197	0.001514657238892311
16.0	0.007144758475020104	3.558369478879392e-05	0.009960616470546626	6.333099531925428e-07	1.266607376861711e-06	0.0999987333926232	2.533380301448354	0.0015123653875064103
17.0	0.007144759999752758	3.558324722657148e-05	0.009960617995279277	6.331313279356061e-07	1.2662474169033504e-06	0.09999873375258315	2.532532295339842	0.0015118617000410225
18.0	0.007144760345273858	3.5583145806610697e-05	0.009960618340800378	6.33090849063103e-07	1.266165845206142e-06	0.09999873383415486	2.5323401272739408	0.001511747558355699
19.0	0.007144760405805154	3.558312803977335e-05	0.009960618401331674	6.330837575064059e-07	1.2661515545340503e-06	0.09999873384844553	2.532306460990162	0.0015117275616508467
20.0	0.007144760427970253	3.5583121526625976e-05	0.009960618423496773	6.33081161989093e-07	1.2661463240750917e-06	0.099998733853676	2.5322941361846487	0.0015117202411065777
21.0	0.00714476045198459	3.558311447785798e-05	0.00996061844751111	6.33078348593633e-07	1.266140654686078e-06	0.09999873385934538	2.5322807809562904	0.001511712308523357
22.0	0.007144760447981585	3.558311565949261e-05	0.009960618443508104	6.330788164638918e-07	1.266141597501602e-06	0.09999873385840255	2.532283003955511	0.0015117136289146099
23.0	0.007144760444184106	3.5583116771581236e-05	0.009960618439710625	6.330792617794983e-07	1.2661424948810106e-06	0.09999873385750518	2.532285116933332	0.0015117148839566192
24.0	0.007144760446061995	3.558311622090947e-05	0.009960618441588515	6.330790416826676e-07	1.266142051369434e-06	0.09999873385794869	2.5322840726362803	0.0015117142636771946
25.0	0.00714476044629711	3.5583116153133174e-05	0.00996061844182363	6.330790139333354e-07	1.26614199544873e-06	0.0999987338580046	2.5322839410322535	0.0015117141855085644
26.0	0.007144760446081855	3.558311621623851e-05	0.009960618441608372	6.330790391644497e-07	1.2661420462930659e-06	0.09999873385795376	2.532284060732619	0.0015117142566067963
27.0	0.007144760445837539	3.5583116287615796e-05	0.009960618441364057	6.330790678431405e-07	1.2661421040836554e-06	0.09999873385789597	2.532284196811331	0.0015117143374332482
28.0	0.007144760445597243	3.558311635800815e-05	0.009960618441123762	6.330790960183786e-07	1.2661421608597428e-06	0.09999873385783918	2.5322843305437432	0.0015117144168660718
29.0	0.007144760445514364	3.558311638224232e-05	0.009960618441040884	6.330791057434692e-07	1.2661421804570003e-06	0.09999873385781959	2.532284376694022	0.0015117144442778779
30.0	0.007144760445356802	3.558311642878637e-05	0.009960618440883319	6.330791241540215e-07	1.2661422175561248e-06	0.09999873385778249	2.5322844641373305	0.0015117144962164383
31.0	0.007144760445051018	3.5583116519293266e-05	0.009960618440577534	6.330791598539779e-07	1.2661422894947583e-06	0.09999873385771056	2.5322846337258946	0.0015117145969466823
32.0	0.007144760444878566	3.558311657028005e-05	0.009960618440405083	6.330791799968925e-07	1.2661423300839857e-06	0.09999873385766997	2.532284729387086	0.0015117146537664049
33.0	0.007144760444968855	3.558311654331179e-05	0.009960618440495372	6.330791694967421e-07	1.2661423089238686e-06	0.09999873385769113	2.5322846794254996	0.0015117146240908024
34.0	0.007144760445283067	3.558311644992349e-05	0.009960618440809582	6.330791328776721e-07	1.2661422351313187e-06	0.09999873385776492	2.532284505350153	0.0015117145206955513
35.0	0.007144760445228022	3.558311646632022e-05	0.009960618440754536	6.330791392868867e-07	1.2661422480464945e-06	0.099998733857752	2.532284535814543	0.0015117145387904356
36.0	0.007144760445227209	3.558311646671132e-05	0.009960618440753724	6.33079139356518e-07	1.2661422481874109e-06	0.09999873385775186	2.5322845361863875	0.0015117145390112995
37.0	0.007144760445304273	3.558311644407863e-05	0.009960618440830788	6.330791303297242e-07	1.2661422299989147e-06	0.09999873385777004	2.5322844933691786	0.0015117145135792314
38.0	0.007144760445482854	3.5583116391404e-05	0.009960618441009369	6.330791094496637e-07	1.2661421879258526e-06	0.09999873385781212	2.532284394266409	0.00151171445471532
39.0	0.007144760445582249	3.558311636214796e-05	0.009960618441108763	6.330790978181144e-07	1.2661421644881698e-06	0.09999873385783556	2.532284339069181	0.0015117144219299124
40.0	0.007144760445639532	3.558311634531663e-05	0.009960618441166047	6.330790911098332e-07	1.2661421509703845e-06	0.09999873385784908	2.532284307233764	0.0015117144030206814
41.0	0.007144760445682688	3.558311633260702e-05	0.009960618441209204	6.330790860611111e-07	1.2661421407960066e-06	0.09999873385785925	2.5322842832568977	0.0015117143887791809
42.0	0.007144760445705396	3.558311632586852e-05	0.009960618441231911	6.330790834133224e-07	1.2661421354587851e-06	0.09999873385786459	2.532284270652614	0.0015117143812926346
43.0	0.007144760445728741	3.558311631897066e-05	0.009960618441255257	6.330790806862742e-07	1.2661421299625167e-06	0.09999873385787009	2.5322842576876887	0.0015117143735918792
