time	P0	T0	P1	T1	P2	T2	CC	Cn	Mp	Mt
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1.0	0.11565716419523778	0.11565716419523778	0.07658866298441895	0.07658866298441895	0.026231533293195598	0.026231533293195598	0.00013681486040255543	1.3022857401479196e-05	0.5963215249908277	0.5963215249908277
2.0	0.2476765461216854	0.2476765461216854	0.19559917164426469	0.19559917164426469	0.0849980076307282	0.0849980076307282	0.0027633831658150014	0.0006048578253848216	1.0278686727551758	1.0278686727551758
3.0	0.378468288418566	0.37846828841856595	0.3148749160656322	0.31487491606563234	0.16291905752782873	0.16291905752782876	0.013173487285050543	0.004392669512933961	1.4145711422119502	1.4145711422119502
4.0	0.5138020140177226	0.5138020140177234	0.43906892628801647	0.4390689262880155	0.2660434084009749	0.26604340840097485	0.04019237073867394	0.017225248662382165	1.7767587746261508	1.7767587746261508
5.0	0.6569694774268279	0.6569694774268284	0.5717394472658405	0.5717394472658393	0.3981985431149547	0.3981985431149542	0.09875609112477321	0.05026273007795502	2.1224825549995745	2.1224825549995745
6.0	0.8102066600477884	0.810206660047789	0.714466260618669	0.7144662606186676	0.5556471580395519	0.5556471580395494	0.20877377542820758	0.1222194552851218	2.4558253497860103	2.4558253497860103
7.0	0.9750977415966128	0.9750977415966169	0.8673402363319155	0.8673402363319165	0.7275130960100661	0.7275130960100604	0.3879993097723398	0.25885286211054215	2.7779094373727533	2.7779094373727533
8.0	1.1494256246762768	1.1494256246763033	1.0286481633005953	1.0286481633006008	0.9015733234128356	0.9015733234128114	0.6440255606624927	0.48805593909043943	3.0727344477570577	3.0727344477570577
9.0	1.3002551609178417	1.300255160917767	1.1849131984329722	1.1849131984330366	1.065830604329437	1.0658306043294734	0.9707745482125696	0.8328667087543323	3.2208110401311436	3.2208110401311436
10.0	1.3099359749569786	1.3099359749570056	1.2754016587601276	1.2754016587601005	1.19624119165287	1.1962411916528852	1.3361758063655675	1.3025112762846731	2.986571054906415	2.986571054906415
11.0	1.1087860533564797	1.108786053356523	1.2070017824940042	1.2070017824939148	1.2509192460370777	1.2509192460372704	1.6534137668184279	1.8727077621486523	2.4550573241798306	2.4550573241798306
12.0	0.8017141451818113	0.8017141451818086	0.9722023155521213	0.9722023155521309	1.1953678549403457	1.195367854940465	1.8006615411422473	2.4641591344809353	1.8390230431274204	1.8390230431274204
