time	E	T
0.0	1708110.0	8286380.0
0.9900990099009901	1707569.1230841235	8196590.840624179
1.9801980198019802	1706616.9602227532	8108691.996642129
2.9702970297029703	1705264.022627398	8022992.791482015
3.9603960396039604	1703522.5937977245	7939778.303384575
4.9504950495049505	1701406.6058805736	7859309.472882446
5.9405940594059405	1698931.509615844	7781823.4393492825
6.930693069306931	1696114.1374680148	7707534.077082061
7.920792079207921	1692972.561119303	7636632.705663752
8.910891089108912	1689525.949709139	7569288.921757258
9.900990099009901	1685794.4246564854	7505651.543535274
10.89108910891089	1681798.9165475268	7445849.626862204
11.881188118811881	1677561.0239054768	7389993.530598856
12.871287128712872	1673102.8756777388	7338176.005695644
13.861386138613861	1668446.998152998	7290473.286598636
14.85148514851485	1663616.1877175502	7246946.167286322
15.841584158415841	1658633.3899929007	7207641.043639705
16.831683168316832	1653521.585618147	7172590.909062142
17.821782178217823	1648303.6835424805	7141816.292805175
18.81188118811881	1643002.421912982	7115326.131963501
19.801980198019802	1637640.2767044506	7093118.569503997
20.792079207920793	1632239.378036553	7075181.674808412
21.78217821782178	1626821.4341985837	7061494.082783322
22.77227722772277	1621407.6630531102	7052025.551061586
23.762376237623762	1616018.730637919	7046737.43460081
24.752475247524753	1610674.6965488524	7045583.0799144
25.742574257425744	1605394.965777218	7048508.140670645
26.73267326732673	1600198.2465133618	7055450.818936518
27.722772277227723	1595102.5135127846	7066342.035682339
28.712871287128714	1590124.9765206426	7081105.53626882
29.7029702970297	1585282.0533115005	7099657.936482102
30.693069306930692	1580589.346860682	7121908.7155483505
31.683168316831683	1576061.6262049258	7147760.162992176
32.67326732673267	1571712.8105521859	7177107.286862766
33.663366336633665	1567555.95622862	7209837.691057815
34.65346534653465	1563603.2460827972	7245831.429976763
35.64356435643565	1559865.9809855684	7284960.849016938
36.633663366336634	1556354.5731146957	7327090.419790214
37.62376237623762	1553078.5407269858	7372076.578997111
38.613861386138616	1550046.5041793	7419767.580434995
39.603960396039604	1547266.1829741634	7470003.369121198
40.59405940594059	1544744.3936612245	7522615.487565399
41.584158415841586	1542487.0484450073	7577427.022823661
42.57425742574257	1540499.1544037324	7634252.604516308
43.56435643564356	1538784.8132411968	7692898.461628601
44.554455445544555	1537347.2215342298	7753162.548515503
45.54455445544554	1536188.6714707792	7814834.746318056
46.53465346534654	1535310.5521161	7877697.149368157
47.524752475247524	1534713.3512390682	7941524.441311032
48.51485148514851	1534396.657802059	8006084.369324827
49.504950495049506	1534359.1652006642	8071138.318217138
50.495049504950494	1534598.6754049095	8136441.991251729
51.48514851485149	1535112.104119551	8201746.196234987
52.475247524752476	1535895.4871717293	8266797.741142161
53.46534653465346	1536943.9882706106	8331340.433868602
54.45544554455446	1538251.9083575276	8395116.187940296
55.445544554455445	1539812.696721681	8457866.224278258
56.43564356435643	1541618.9641591157	8519332.366589013
57.42574257425743	1543662.498292343	8579258.417454492
58.415841584158414	1545934.2813757183	8637391.60809106
59.4059405940594	1548424.510682243	8693484.105317526
60.396039603960396	1551122.6218073214	8747294.564303042
61.386138613861384	1554017.3149363894	8798589.708254019
62.37623762376238	1557096.5844219462	8847145.919060696
63.366336633663366	1560347.7516497674	8892750.819074877
64.35643564356435	1563757.5015299432	8935204.823985137
65.34653465346534	1567311.9225125255	8974322.64767604
66.33663366336634	1570996.5504294967	9009934.73579701
67.32673267326733	1574796.415978836	9041888.61155512
68.31683168316832	1578696.096098141	9070050.1083774
69.3069306930693	1582679.768926265	9094304.47761747
70.29702970297029	1586731.2725435134	9114557.345204975
71.2871287128713	1590834.1670806848	9130735.511800291
72.27722772277228	1594971.8002771386	9142787.571277041
73.26732673267327	1599127.3759833667	9150684.349712644
74.25742574257426	1603284.0255645222	9154419.142229281
75.24752475247524	1607424.8816118469	9154007.758118587
76.23762376237623	1611533.1537724284	9149488.355582543
77.22772277227723	1615592.2060453822	9140921.084585432
78.21782178217822	1619585.6351926096	9128387.524426537
79.20792079207921	1623497.3495863	9111989.941150643
80.1980198019802	1627311.6479751994	9091850.357876562
81.18811881188118	1631013.2975241342	9068109.468949705
82.17821782178218	1634587.6104253472	9040925.395559367
83.16831683168317	1638020.5185257122	9010472.31756308
84.15841584158416	1641298.6451224631	8976938.986288458
85.14851485148515	1644409.373504186	8940527.151724923
86.13861386138613	1647340.911262143	8901449.914784236
87.12871287128712	1650082.3501505367	8859930.035790456
88.11881188118812	1652623.7204302752	8816198.21421795
89.10891089108911	1654956.0397124854	8770491.365671666
90.0990099009901	1657071.3552076055	8723050.914597424
91.08910891089108	1658962.7796485932	8674121.121757753
92.07920792079207	1660624.5198296618	8623947.466757327
93.06930693069307	1662051.8982810448	8572775.096943095
94.05940594059406	1663241.3671152443	8520847.362964828
95.04950495049505	1664190.5147998426	8468404.444543317
96.03960396039604	1664898.0650328046	8415682.085623993
97.02970297029702	1665363.8686751043	8362910.435012241
98.01980198019803	1665588.8880934927	8310313.009374461
99.00990099009901	1665575.1750138015	8258105.768621319
100.0	1665325.8414354546	8206496.317480936
