time	M	B	A	L	P	I1	I2	I3	L_e
0.0	0.000626	0.0	0.038	0.372	0.0149	0.0	0.0	0.0	0.08
1.0	0.00040885755424530107	1.819149471305541e-06	0.025838271341718674	0.6185114650604854	0.008245415972842243	2.528666480761525e-07	6.2517584344062715e-06	0.003977270289704424	0.08
2.0	0.0002678981921282516	5.394833821908005e-06	0.03366339475727846	0.6123264558644984	0.005472065926045219	3.725337874000326e-07	7.879618177718616e-06	0.005393811766518503	0.08
3.0	0.00017952970976069135	9.113907545973484e-06	0.05566704956023959	0.6030220172248316	0.004214551902412912	9.870030530608716e-07	7.480871465490608e-06	0.005506446520766745	0.08
4.0	0.00012981293574096446	1.234376021850638e-05	0.08253879864041772	0.5924099440318477	0.003509419139382089	2.1821703219081814e-06	6.408201069777767e-06	0.0050560553515730374	0.08
5.0	0.0001090591666811801	1.4951647501503312e-05	0.1078011277820092	0.5813531700709356	0.0030081496416561153	3.7321568100504555e-06	5.341973218357867e-06	0.004473930546406166	0.08
6.0	0.00010847069059598361	1.7041226772083725e-05	0.12869612222466298	0.5699770461576059	0.002613531037009795	5.3028952926197485e-06	4.5813439067719175e-06	0.0039910665211706975	0.08
7.0	0.00012011098925251743	1.880121554984354e-05	0.14498607495923507	0.5584880046786349	0.002314841206695518	6.689724316732103e-06	4.2027284868948825e-06	0.003703139804386745	0.08
8.0	0.00013791534248383202	2.0420974001713147e-05	0.1576503236458501	0.5475476717371581	0.0021182216613619687	7.851797302012511e-06	4.1651793305314655e-06	0.0036219160345032876	0.08
9.0	0.00015810619635165193	2.2051890169688608e-05	0.16803824022759153	0.5381287640787327	0.002023081756409326	8.848352407325605e-06	4.383602957211301e-06	0.003717301962989602	0.08
10.0	0.00017890722437000235	2.379859329022561e-05	0.1774244528642666	0.5310675911484212	0.0020191502814591636	9.774547550907291e-06	4.7732888878009236e-06	0.003947022904435134	0.08
11.0	0.00019994136934513504	2.5726236106944777e-05	0.18680129519253813	0.5266451823461656	0.0020907614110103777	1.0721687494522885e-05	5.2708117018438434e-06	0.004273631404106081	0.08
12.0	0.0002216104684946897	2.7873627830065455e-05	0.1968056626882262	0.5244980279229244	0.00222191010211634	1.1757550839791597e-05	5.838853745506452e-06	0.004671482584536955	0.08
13.0	0.00024459856161400243	3.0265974832201112e-05	0.2077432368729112	0.5239215326919822	0.002399620916330213	1.292087116187759e-05	6.4621326632437625e-06	0.005127192077743993	0.08
14.0	0.0002695506645999191	3.292427677754776e-05	0.21968295163457294	0.5242397163698369	0.0026152480588006854	1.422567218441292e-05	7.139893632904019e-06	0.005636752696587344	0.08
15.0	0.0002969233844317597	3.587071318607559e-05	0.23256823351920686	0.5249808511694266	0.002864220510917557	1.5670046525360347e-05	7.878542310097487e-06	0.006201711189099171	0.08
16.0	0.0003269576635098067	3.9130740215401255e-05	0.24630080536630677	0.5258733336328054	0.003144986206319522	1.724421511701912e-05	8.686173257146392e-06	0.006825843218712886	0.08
17.0	0.00035971534490175606	4.273293083115603e-05	0.26078037314989166	0.5267863790991821	0.0034577539116016475	1.8935188259053438e-05	9.569455339106815e-06	0.007512926258195044	0.08
18.0	0.00039512389217854436	4.6707831063743686e-05	0.27591572969795813	0.5276458342607809	0.0038034463635702974	2.0728475109827293e-05	1.053225470517483e-05	0.00826551431292799	0.08
19.0	0.00043301161639681935	5.108641594533192e-05	0.29161726519718617	0.528412241833914	0.004182945204684475	2.2607807411953206e-05	1.1575311760697628e-05	0.009084395052915839	0.08
20.0	0.0004731260428268304	5.589855688557034e-05	0.30778872586679085	0.5290544844760543	0.004596627884584899	2.4554778248562436e-05	1.2696374121855207e-05	0.009968419646666764	0.08
21.0	0.0005151420937771298	6.117162675708074e-05	0.32432094098382075	0.5295479676110726	0.005044111116984349	2.6548248079783384e-05	1.3890426652227048e-05	0.010914478844585516	0.08
22.0	0.0005586691122722166	6.692924712332096e-05	0.34108935298033694	0.5298747635868283	0.005524123498572332	2.856513683113092e-05	1.5149915600191385e-05	0.011917539802994006	0.08
23.0	0.0006032601455185126	7.319017875725873e-05	0.35795679192193597	0.5300168927515532	0.006034456882350356	3.0581138955568024e-05	1.6464988675627556e-05	0.01297073729673242	0.08
24.0	0.0006484272864209583	7.996736511807636e-05	0.37477710455551794	0.5299647955334779	0.006571975821505349	3.257190287505445e-05	1.782379773982442e-05	0.014065537136857209	0.08
25.0	0.0006936619409526035	8.7267182882606e-05	0.3914013955840086	0.5297109591705318	0.007132676220862408	3.451444414816987e-05	1.9212900904288353e-05	0.015191988589549829	0.08
26.0	0.0007384572839281773	9.508893938097781e-05	0.4076838219001229	0.5292538429114042	0.007711792636881218	3.63881398377122e-05	2.0617776885703087e-05	0.01633907188741885	0.08
27.0	0.0007823313679760683	0.0001034246322833811	0.4234883410098741	0.5285939360606197	0.008303957509975101	3.817569842070365e-05	2.202343605386687e-05	0.017495132309365623	0.08
28.0	0.0008248483569042956	0.00011225904783733615	0.43869343625446217	0.5277315923466501	0.008903400741869051	3.986367460896442e-05	2.341506308018026e-05	0.018648357567173462	0.08
29.0	0.0008656330940319269	0.00012157017609624978	0.4531955703373221	0.5266731553746198	0.009504174804331451	4.1442431496092004e-05	2.4778628615780813e-05	0.01978725387054013	0.08
