time	FeDuo	FeRBC	FeSpleen	FeLiver	Tf	Fe2Tf	Fe1Tf	NTBI	FeRest	FeBM	Hepcidin	FeOutside
0.0	4.522709658297896e-07	3.000419111816154e-05	2.6535386983253474e-07	2.323937591254054e-06	2.05683830088178e-08	1.7582265578416237e-08	1.2159351412765894e-08	4.33045736047067e-11	5.649279300692685e-06	6.509657569052975e-07	2.9902269360981806e-11	0.0
0.9900990099009901	5.526693111515582e-07	2.9816764363440096e-05	7.344063721747909e-07	2.339314396814193e-06	3.690059577564936e-08	3.551334898724495e-09	9.858069350250263e-09	1.097783767057451e-11	5.579139984418612e-06	3.535486811370049e-07	1.43e-10	0.0
1.9801980198019802	6.476390160120153e-07	2.946183502370768e-05	1.0749661512441911e-06	2.3641223478569206e-06	3.492259006466361e-08	4.830886508806568e-09	1.0556523434593476e-08	1.3327407653214854e-11	5.530770446367899e-06	2.915229509624989e-07	1.43e-10	0.0
2.9702970297029703	7.378422399611049e-07	2.9091701487670225e-05	1.3472014102619522e-06	2.396021285934367e-06	3.363682944093184e-08	5.507421379070038e-09	1.116574913498911e-08	1.4855642050870143e-11	5.498911143728756e-06	2.9393087930430987e-07	1.43e-10	0.0
3.9603960396039604	8.237631087938105e-07	2.8741669701993827e-05	1.574477945586757e-06	2.4323090752423857e-06	3.286620560908746e-08	6.082233007378925e-09	1.1361561325098347e-08	1.593522527241744e-11	5.477712875792912e-06	3.09301654794565e-07	1.43e-10	0.0
4.9504950495049505	9.057998829731555e-07	2.8416514094241993e-05	1.7687110947155488e-06	2.4715684944450057e-06	3.226031399216631e-08	6.468907722521432e-09	1.1580778256026827e-08	1.677242429430696e-11	5.464063082031853e-06	3.2471300506266386e-07	1.43e-10	0.0
5.9405940594059405	9.842811706374217e-07	2.8113927964245735e-05	1.936996345286581e-06	2.5129441911421618e-06	3.1818011194133845e-08	6.7937723238271655e-09	1.1698216428013703e-08	1.7413761415974345e-11	5.4560569317744125e-06	3.37627880328176e-07	1.43e-10	0.0
6.930693069306931	1.0594824622052053e-06	2.783067446984307e-05	2.0840390866061236e-06	2.555869522835133e-06	3.146616014911617e-08	7.054987312299977e-09	1.1788852462779685e-08	1.7946951052185436e-11	5.452415703423101e-06	3.480521017655979e-07	1.43e-10	0.0
7.920792079207921	1.1316401124518412e-06	2.756391262760146e-05	2.213251718135947e-06	2.599937864251302e-06	3.118089990622471e-08	7.270829311838891e-09	1.185827070262723e-08	1.8383737582050825e-11	5.4522110729524805e-06	3.564642222035711e-07	1.43e-10	0.0
8.910891089108912	1.2009585280231716e-06	2.7311364934501902e-05	2.327177454534008e-06	2.644850693423563e-06	3.094440082784099e-08	7.452205934783407e-09	1.1913393161079728e-08	1.8750485346711883e-11	5.45475336278698e-06	3.6335992771941e-07	1.43e-10	0.0
9.900990099009901	1.2676141961151207e-06	2.707130599336293e-05	2.4277327548964574e-06	2.6903881788192323e-06	3.0745794165490336e-08	7.606289910394815e-09	1.1957915849192864e-08	1.9063999577204355e-11	5.459528090488251e-06	3.6910407229010597e-07	1.43e-10	0.0
10.89108910891089	1.3317633526503402e-06	2.6842373265814577e-05	2.516466631895102e-06	2.736376540882522e-06	3.057705963216051e-08	7.738297758573809e-09	1.199464253520354e-08	1.9333372505291634e-11	5.466124650666371e-06	3.739472933898607e-07	1.43e-10	0.0
11.881188118811881	1.39354618698679e-06	2.662345236993817e-05	2.5946623906849935e-06	2.782675143375308e-06	3.043254837720171e-08	7.85245140919113e-09	1.2025000140108562e-08	1.9566584355626454e-11	5.474207749839347e-06	3.7807313368188337e-07	1.43e-10	0.0
12.871287128712872	1.4530893388816118e-06	2.64136155646401e-05	2.6633949806790326e-06	2.8291691575732026e-06	3.030740502615989e-08	7.951551056416576e-09	1.2051043844903672e-08	1.9770172775493213e-11	5.4835011588136584e-06	3.816211200611003e-07	1.43e-10	0.0
13.861386138613861	1.510506587004382e-06	2.6212098739440136e-05	2.7235593403132797e-06	2.875766027244703e-06	3.019920000643406e-08	8.038373683774213e-09	1.2072426237513111e-08	1.994796410262027e-11	5.493780096128367e-06	3.8469166604276663e-07	1.43e-10	0.0
14.85148514851485	1.5659018367033389e-06	2.6018243898745937e-05	2.7759328285616083e-06	2.9223875183257837e-06	3.010438549500372e-08	8.113643180378122e-09	1.209197125325396e-08	2.010371436746336e-11	5.504853492667368e-06	3.8736125229857497e-07	1.43e-10	0.0
15.841584158415841	1.6193703455620752e-06	2.58314803436029e-05	2.8211954078656555e-06	2.9689672166208467e-06	3.002242102614801e-08	8.180053628110726e-09	1.2107525274829067e-08	2.0240225628757703e-11	5.516558333271119e-06	3.896877478729009e-07	1.43e-10	0.0
16.831683168316832	1.6709997447734555e-06	2.565131095318051e-05	2.859935181060485e-06	3.0154497097508475e-06	2.99511411014001e-08	8.238554895775065e-09	1.2120303930288796e-08	2.0359905276092815e-11	5.528757425199081e-06	3.917193010690371e-07	1.43e-10	0.0
17.821782178217823	1.7208695691583163e-06	2.5477318814172572e-05	2.8926452352588985e-06	3.061791035974002e-06	2.988824753842032e-08	8.289450213374328e-09	1.2132302169661038e-08	2.0464612256902807e-11	5.541340565920802e-06	3.934902914644743e-07	1.43e-10	0.0
18.81188118811881	1.7690570694910563e-06	2.5309080379214197e-05	2.9198316859711885e-06	3.107945387033574e-06	2.9833998505357744e-08	8.33412759442303e-09	1.2141873813603771e-08	2.0556209479564216e-11	5.554194647369679e-06	3.950365836062849e-07	1.43e-10	0.0
