time	II_f	II_l	mIIa_f	mIIa_l	V_f	V_l	Va_f	Va_l	VII_f	VII_l	VIIa_f	VIIa_l	X_f	X_l	Xa_f	Xa_l	APC_f	APC_l	PS_f	PS_l	Vai_f	Vai_l	PC_f	PC_l	TF_l	TF_VIIa_l	TF_VII_l	TF_VIIa_X_l	TF_VIIa_Xa_l	TF_VII_Xa_l	Xa_Va_l	V_Xa_l	IIa_f	V_IIa_l	Xa_Va_II_l	Xa_Va_mIIa_l	APC_PS_l	TFPI_f	AT_f	IIa_AT_f	TFPI_Xa_l	TFPI_Xa_TF_VIIa_l	APC_PS_Va_l	Xa_AT_f	VII_Xa_l	V_mIIa_l	TM_l	IIa_TM_l	IIa_TM_PC_l	mIIa_AT_l	LIPID	alpha2M_l	alpha2M_IIa_l	alpha2M_Xa_l
0.0	1174.5	0.0	0.0	0.0	1.75	0.0	0.0	0.0	7.6	0.0	0.1	0.0	142.85	0.0	0.0	0.0	0.0	0.0	116.0	0.0	0.0	0.0	66.0	0.0	0.0182	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	12.3	4721.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	170000.0	364.0	0.0	0.0
0.9900990099009901	339.47369550965186	835.0263044903494	1.2586704346294353e-16	1.0486731993033965e-14	0.008621633931910474	1.7413773013180878	4.1515565496832724e-11	9.365590831076988e-09	0.1674876300664861	7.431877756651108	0.0007628825655922443	0.09839634975036647	34.79996486232045	108.04972612793671	4.692914554018393e-06	2.8653421099227507e-05	4.355121688525905e-19	5.197712317957849e-18	0.7867958216240085	115.21320417837589	1.572451987466057e-22	3.087677522849163e-20	18.613900737770866	47.386099262229095	0.016724788530867594	0.0005672146731068487	0.0006337925628913305	0.0001756534822884196	9.855073641334286e-05	1.422995506349698e-11	1.6301434151425238e-14	1.0553428646987115e-06	2.2118815002468946e-15	2.1702294983169107e-17	1.118379228239307e-14	1.6185489129567036e-15	4.3541936237488856e-18	12.299999778463224	4720.999999987785	6.472185856172054e-18	2.215365871252983e-07	2.0256637515199332e-13	1.9324608302528591e-28	1.2223891558321953e-08	1.6949730734451284e-07	9.81428634345425e-17	1.0	1.5903605888292911e-16	3.506743309961538e-17	3.5431808474606223e-19	58505.12340052201	363.9999999994268	1.826575668765394e-19	5.736897247381284e-10
1.9801980198019802	335.54010713781435	838.959892862174	1.0199741686712057e-13	7.245917569617077e-12	0.008682665315880815	1.7413057387222788	1.0646433098222379e-09	2.2159597071884684e-07	0.16863655650412462	7.430134566837224	0.000762315387164775	0.09763102176535222	35.173704693678275	107.67547483318663	3.1218401051621666e-05	0.00017367185021298966	1.3611267206183497e-15	1.3444456978992583e-14	0.7923574896856378	115.20764251031427	1.6001023537944284e-22	3.0878480444039464e-20	18.703970859291076	47.29602914070878	0.015365513825979627	0.0010157957189204198	0.0012190218851788998	0.00031779202996592575	0.0002818763566465572	1.7150553355648843e-10	4.685974562110797e-12	1.1373292544110865e-05	1.402488267793499e-12	2.056789958680037e-14	3.361358951854589e-12	5.141846572041621e-13	2.4060888422059727e-14	12.29999670279214	4720.999999818066	8.973495984237457e-15	3.297196079970433e-06	1.180308850764341e-11	5.025850929606777e-23	1.8194584698804107e-07	1.0533321031134304e-06	9.898481261591066e-14	0.9999999999997398	1.9842507710113837e-13	6.191287910031919e-14	6.320160163919372e-16	58158.82564248351	363.9999999914614	2.532493626262256e-16	8.539053408526637e-09
2.9702970297029703	335.50500196418255	838.9949980354141	3.760945763864498e-12	2.534616218415134e-10	0.008683070873875345	1.7412765098293352	6.019317547126114e-09	1.2228322479531962e-06	0.16863438605076495	7.429572563011974	0.0007571021519455253	0.09696024531858567	35.17717682990108	107.67131355825875	8.393597932609726e-05	0.0004542740858024183	9.512164033401713e-14	8.824852625713447e-13	0.7924071155466496	115.20759288445086	1.0957164938412673e-22	3.6142604072102114e-20	18.70477282290916	47.29522717708399	0.014127073270787228	0.0014047261638167835	0.0017536761466808966	0.0004413822344262254	0.00047314142262261713	6.522424663503971e-10	1.0036030614936414e-10	3.919025577224544e-05	4.5236033875794186e-11	7.819197037595201e-13	7.292160235081707e-11	1.1355680601905017e-11	2.4210766513977895e-12	12.299985904116896	4720.999999222115	4.595214888270238e-13	1.4095773700558903e-05	1.0942383085610237e-10	4.022963076938829e-20	7.77896829906043e-07	2.776737505979155e-06	4.031098390736387e-12	0.9999999999871063	9.494738440619022e-12	3.3990406727005437e-12	3.691415709578797e-14	58155.75321439643	363.9999999634925	1.2968582631241604e-14	3.650812968262977e-08
3.9603960396039604	335.50471933435404	838.9952806614662	4.234213179512439e-11	2.779725880741831e-09	0.00868282917632897	1.741226039905016	1.9067638300585192e-08	3.828368164939984e-06	0.16862227318114828	7.429033892759408	0.000752575547029679	0.09638368417820566	35.177008885167425	107.67063122177923	0.0001611017702188073	0.000860569706706856	1.5958921992826418e-12	1.4355554907289829e-11	0.7924076694409034	115.20759233050632	1.5321476699763894e-21	3.7029886181611955e-19	18.704781867793443	47.29521813208862	0.012997705147954229	0.0017541534767137345	0.0022422400165387946	0.0005523646273238694	0.000653534642475974	1.5879149097867418e-09	7.782354360782832e-10	8.728198959578567e-05	4.601315158854541e-10	8.690628592514619e-12	5.689889344453425e-10	8.937701142675321e-11	5.276489482960599e-11	12.299962413941218	4720.999997925607	6.521813759398003e-12	3.758555772601971e-05	5.010785340775546e-10	3.479430492846227e-18	2.074396532272842e-06	5.2794821496744106e-06	4.796273825353143e-11	0.9999999998231174	1.2770313996236808e-10	4.9179842597463455e-11	5.776445676278688e-13	58155.71763140037	363.99999990264524	1.84058162039057e-13	9.735524648767478e-08
4.9504950495049505	335.5047486686815	838.9952513073976	2.5514676697024507e-10	1.6492152577555386e-08	0.008682471903744726	1.7411533910184795	4.459034506321821e-08	8.891831461417178e-06	0.16861004231371296	7.428493724803851	0.000748818290969721	0.09590587801660022	35.17677177947578	107.669871137528	0.0002599226795991707	0.001378038736761246	1.2761836668264192e-11	1.1273273924332587e-10	0.7924077789730612	115.20759222051134	5.537388772229981e-20	1.1833426415643941e-17	18.70478372840298	47.29521627060308	0.011966935014489834	0.002071647188656001	0.0026887458933182325	0.0006531828258079769	0.0008194844409409076	3.0581438442204356e-09	3.5267760717259506e-09	0.00015519378270803207	2.547332739897239e-09	5.0816937026763075e-11	2.587871680260808e-09	4.085629077036723e-10	5.155709912618165e-10	12.299921742783209	4720.999995680534	4.689708270112984e-11	7.825563816790696e-05	1.578643250145466e-09	9.337703649039044e-17	4.319424543373741e-06	8.471589344882646e-06	2.9923204985387735e-10	0.9999999987711354	8.760262292193254e-10	3.5283863417403463e-10	4.503259966459291e-12	58155.70960388172	363.99999979728074	1.3235261181284379e-12	2.027185422853756e-07
5.9405940594059405	335.5047789751693	838.9952209298497	1.04837136741843e-09	6.707821395303355e-08	0.008682008125650061	1.741059450987084	8.670288397279078e-08	1.721343038702865e-05	0.16859748778690292	7.427938985420074	0.0007458618460362782	0.09553078149954526	35.17650067089754	107.6690108580755	0.000377684112203583	0.0019927063956798655	6.511312833660819e-11	5.684229358216139e-10	0.7924078765033326	115.20759212041014	9.192186416998684e-19	1.9300421143419272e-16	18.704785387003778	47.295214607627486	0.01102538280703212	0.0023613463693042966	0.003096839836587797	0.0007451647728721471	0.0009712571646626125	5.103215601838739e-09	1.1502035555148301e-08	0.00024121799207697589	9.724353085474798e-09	2.0124126733098902e-10	8.459764265007023e-09	1.3399745944351975e-09	3.086504885661343e-09	12.299859945887153	4720.9999922687775	2.220808862649226e-10	0.00014005016654348773	3.946325471682459e-09	1.227006965665378e-15	7.730987870156397e-06	1.2266254463263692e-05	1.258899391833272e-09	0.999999994379317	3.972029733465095e-09	1.6486535167396644e-09	2.286983415687894e-11	58155.70242029869	363.9999996371649	6.267550910197904e-12	3.628294871106895e-07
6.930693069306931	335.5048061999156	838.9951935054569	3.3315990218263363e-09	2.1164890206308715e-07	0.008681444259083229	1.7409455112839847	1.4909011528660023e-07	2.950896819915025e-05	0.1685843489652663	7.4273582362048245	0.0007437324547484951	0.09526173563918569	35.17619859844688	107.66805876191073	0.0005119353048947642	0.0026919765398045466	2.4631749865855796e-10	2.132622022652293e-09	0.7924079626945869	115.20759202399344	9.161300406908236e-18	1.8999307112767567e-15	18.704786849682584	47.29521312884504	0.010164638447749496	0.00262627201126226	0.0034698223608434805	0.0008292737338844817	0.0011099772790255167	7.73469616378848e-09	3.009238433955533e-08	0.0003433259334450854	2.8956631771719056e-08	6.15074759687066e-10	2.2169127006295647e-08	3.5194592754817156e-09	1.3311959016730276e-08	12.299773583754616	4720.999987499837	7.943219542563138e-10	0.00022640781286658126	8.432538649058317e-09	1.000867847947751e-14	1.2499291973889863e-05	1.6585183714761175e-05	4.069114066347276e-09	0.9999999805846645	1.3633910116685725e-08	5.781425598474113e-09	8.70231390768446e-11	58155.696077643275	363.9999994133634	2.241729746556396e-11	5.866147733249224e-07
7.920792079207921	335.5048291469957	838.9951700874371	8.813151567304349e-09	5.569390525979137e-07	0.008680786958256224	1.7408129113076738	2.3498016356907754e-07	4.6405242580414144e-05	0.1685703960252897	7.426741422997297	0.0007424520078235883	0.09510152653624512	35.17586804735738	107.66702264369289	0.0006604896184338231	0.0034646125604818876	7.53549381555632e-10	6.4848792351321525e-09	0.7924080347298136	115.20759191982734	6.292152630171527e-17	1.2932962881815726e-14	18.704788064350797	47.29521186644005	0.009377156069028964	0.0028689460696805806	0.003810684447607923	0.0009063119761350202	0.0012368744039475586	1.0943368365110437e-08	6.729248541917141e-08	0.0004595242253636695	7.227456111252829e-08	1.5651805217701746e-09	4.963371967884939e-08	7.892739169023929e-09	4.544279168834522e-08	12.299659669567246	4720.999981207779	2.3250301789187655e-09	0.00034031434254271683	1.6090231634786007e-08	5.801172191932595e-14	1.878963591449811e-05	2.1358502363679072e-05	1.0901765561852209e-08	0.9999999451114763	3.836068110888618e-08	1.6527842775213547e-08	2.6924333485373587e-10	58155.690779587756	363.9999991181027	6.561683568934853e-11	8.818321900744482e-07
8.910891089108912	335.5048471072636	838.9951511507918	2.0329985173863845e-08	1.2795715518358176e-06	0.008680042529518985	1.7406629187376428	3.4717129519840454e-07	6.8445464319475e-05	0.16855542727467004	7.426079727612999	0.0007420385022105254	0.09505244345164035	35.175511223222266	107.66590956710961	0.0008213969119009654	0.004300592689155182	1.9690600270615895e-09	1.6867355867499194e-08	0.7924080895259809	115.20759178013411	3.289798061433975e-16	6.715786340656448e-14	18.704788970805048	47.29521083943219	0.008656160699746089	0.0030915726504409363	0.004122139536354334	0.0009769801460022928	0.0013531040728180783	1.4705235810144497e-08	1.3387403868228126e-07	0.0005879687801266112	1.582237960310696e-07	3.4776875302694625e-09	9.883265513976131e-08	1.5736250572339947e-08	1.303396563626731e-07	12.299515620242985	4720.9999732483275	5.860029174039002e-09	0.0004843515676331415	2.8189402504440877e-08	2.6133697027784757e-13	2.6745107774745063e-05	2.6523858215408065e-05	2.539613521694462e-08	0.999999866360724	9.30528758365022e-08	4.0586400165011526e-08	7.134650810022079e-10	58155.68673476452	363.999998744638	1.6538132498971348e-10	1.2551971245149099e-06
