time	M	MpY	MpT	Mpp	MAPKK	MKP	MpY_MAPKK	MpT_MAPKK	M_MAPKK_Y	M_MAPKK_T	Mpp_MKP_Y	Mpp_MKP_T	MpY_MKP_Y	MpY_MKP_T	MpT_MKP_Y	MpT_MKP_T	M_MKP_T	M_MKP_Y
0.0	800.0	0.0	0.0	0.0	180.0	100.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1.0	548.5104258098396	0.6048046873231636	0.604618867898877	0.07614611453242158	7.902495424104523	21.893500070926013	0.008945778443706207	0.008943320778736323	86.03980773981017	86.03980773981017	0.025828133346296918	0.025828133346296914	0.06411609371261942	0.07603955373734676	0.0760289540263524	0.06347367010105429	30.131716685825648	47.64346870559834
2.0	535.0544905334892	1.1751706346650068	1.1741809769240854	0.3653972860401361	8.10514979458544	9.66408965196918	0.018493244912348543	0.018478178907475655	85.92893939227106	85.92893939227106	0.08324706824552765	0.08324706824552768	0.07676060649189752	0.10657766911707302	0.1065267629694693	0.07541699850891818	35.67154273963181	54.13259143544067
3.0	531.4346460745439	1.6453322851626682	1.6433917496755528	0.8532735074893245	8.159875780185178	7.416767852117232	0.02641745076985378	0.026386721448798476	85.89366002527176	85.89366002527176	0.16719389396122125	0.16719389396122128	0.07915019786615454	0.12071411502603896	0.12061729386160254	0.0775770162303104	37.393908119971044	54.456877617619746
4.0	529.6420220207211	2.0066805602010933	2.00388420643245	1.4570150833355386	8.186350785872664	6.923251100250022	0.032520110057435665	0.032475173322635935	85.8743269668473	85.8743269668473	0.2883830172194713	0.2883830172194713	0.08755319224470784	0.14135230784602074	0.14120744120281528	0.08580636668400961	38.32880307850744	53.7152604794414
5.0	528.2608043592238	2.288534703023176	2.2849385545859984	2.1324659970056423	8.206578790243983	6.760164839045125	0.037295462502171146	0.03723725752037563	85.8594442463404	85.8594442463404	0.4418615069104998	0.4418615069104998	0.09812905980441317	0.1675944594277738	0.16740056538449602	0.09616092754233162	39.021404823157084	52.80542231245129
6.0	527.008262128343	2.5157108781573565	2.5113300897852384	2.861216051396078	8.22495611845261	6.671563044874361	0.041163578984811405	0.041092326773029375	85.84639398936844	85.84639398936844	0.6177766661374074	0.6177766661374077	0.10796892841820867	0.19597652938253818	0.19573340778713874	0.10576678944513984	39.58712365634654	51.900314312300225
7.0	525.8131597947798	2.704289122912184	2.6991395445223443	3.6319448560934653	8.242571036854976	6.605962297126139	0.04439458214226548	0.04431048219883547	85.83436195087563	85.83436195087563	0.8086641569818016	0.8086641569818016	0.11633447503781269	0.22460035162972453	0.22430843902033706	0.11391618663953287	40.060175240377355	51.03737469706243
8.0	524.650979233733	2.86472664594579	2.8588401828354875	4.435718160488433	8.259787167164617	6.550477071513137	0.0471628246469293	0.0470663370167793	85.82299183705949	85.82299183705949	1.009694287861738	1.009694287861738	0.1233162894729401	0.25273766984695434	0.25239838158637884	0.12070937997799007	40.45639979610365	50.22457283663439
9.0	523.510473095299	3.0041890502617052	2.9976120457903384	5.265393962528981	8.276766583340398	6.500901586267592	0.04958725509022158	0.049479086765277375	85.81208353887573	85.81208353887573	1.2176699533623578	1.2176699533623578	0.12918378513159143	0.2802011148942476	0.27981692161030275	0.12641495138573372	40.78609449878167	49.46204723611617
