time	C	M	X
0.0	0.01	0.01	0.01
1.0	0.03475821383680508	0.0007403440822718706	7.3209780146929585e-06
2.0	0.059285987563376406	0.001333400901409795	1.3240438636424548e-05
3.0	0.08356829486023691	0.001988290699582206	1.9793003003710634e-05
4.0	0.10760738062918578	0.002715124734938408	2.7085062430371117e-05
5.0	0.13140545714677335	0.0035263357369543927	3.524815776980564e-05
6.0	0.15496468656037357	0.004437361228392248	4.44466350362358e-05
7.0	0.1782871686102845	0.005467603122897314	5.488853482613784e-05
8.0	0.2013749274382123	0.006641887499852107	6.68420511465869e-05
9.0	0.22422989502329221	0.007992066949414517	8.065454542626706e-05
10.0	0.24685388812228815	0.009560270902520521	9.679022485694807e-05
11.0	0.2692485767312068	0.011402677170133269	0.00011587577337086286
12.0	0.29141543759636007	0.0135960549695648	0.00013878014710234321
13.0	0.3133556843154612	0.016247460666688487	0.00016673673644233554
14.0	0.3350701607443659	0.019509924645842402	0.00020154749535010092
15.0	0.3565591704910497	0.023607402471688754	0.00024592394830792995
16.0	0.37782219934590977	0.028876092444501608	0.00030408711431561647
17.0	0.39885744589963495	0.03583056627789215	0.00038282622573955884
18.0	0.41966101278071183	0.04526630427662987	0.0004934069847614387
19.0	0.44022548358114366	0.058397697951463746	0.0006549635156680975
20.0	0.4605374023325136	0.07700104423922498	0.0009005893404126455
21.0	0.48057278137665704	0.10345119822365513	0.001288474064223558
22.0	0.5002887482808099	0.14051299362324898	0.001925105396510645
23.0	0.5196061767293616	0.19086268939461232	0.0030244888264933977
24.0	0.5383662492431873	0.2565156420540882	0.00509425560200368
25.0	0.5561932560481184	0.33833564203745753	0.009669087466077218
26.0	0.5719315646326373	0.43540212496098385	0.022861786166806727
27.0	0.5812493375217744	0.5428876616592324	0.0677244007582477
28.0	0.5719414551339184	0.64530772837917	0.18189238025926976
29.0	0.5261542811079596	0.706775674011775	0.3682482616507483
30.0	0.4334218149797883	0.6672181697767299	0.5655587775280971
31.0	0.30785302153044214	0.4414488943452394	0.636041256441598
32.0	0.20572599772819283	0.008494930318588053	0.3647013011592635
33.0	0.19737238127737278	0.006425806477505957	6.463804727940008e-05
34.0	0.22026774161770918	0.007742688574255365	7.809783281710614e-05
35.0	0.24293182008916828	0.009269352523038985	9.378932137896639e-05
36.0	0.26536631594176496	0.011059180208829485	0.000112306885978456
37.0	0.28757274361761026	0.013184776855703064	0.0001344700950440921
